SHAP_Rank,Feature,mean_abs_SHAP,Perm_Mean,Perm_Rank,Rank_Diff
1,총자본영업이익률_diff,1.4593697,0.08585717905077835,2,1
2,영업이익률_ratio,1.3422601,0.06981418607527151,3,1
3,금융비용부담률,0.7480392,0.06608625869967154,4,1
4,ROA변화,0.6660077,0.18634460751443396,1,3
5,금융비용대매출액_ratio_industry,0.43424737,0.026115509826446098,8,3
6,매출액순이익률_diff_industry,0.35292578,0.018418878110933463,10,4
7,자본잠식률,0.30643213,0.04790688819845587,5,2
8,ROIC_diff,0.2609088,0.0017545783045949058,28,20
9,ROA_ratio,0.21591942,-0.00048388195711451256,39,30
10,순이익률_ratio,0.19153388,-0.002805648214457377,43,33
11,영업CF_유동부채_diff,0.16360009,0.017566235781533504,11,0
12,매출액증가율,0.14786322,0.030555267222130658,6,6
13,순차입금비율,0.14156108,0.005983335524206553,17,4
14,유형자산비율_ratio,0.14105096,0.00195380715432605,26,12
15,비유동자산회전율_ratio,0.11092745,0.00042442357023315854,34,19
16,매출채권회전율_diff,0.08843556,0.011757498682904065,14,2
17,영업CF_총부채_diff,0.08213727,0.006131712666647484,16,1
18,유형자산회전율_diff,0.08179189,0.0001616049427827689,36,18
19,순운전자본회전율_diff,0.07911618,-0.010644926496558706,50,31
20,유형자산증가율_ratio_industry,0.07400819,0.0008728129723014732,33,13
21,순이익증가율_diff,0.07360907,0.00332422557952788,22,1
22,자기자본증가율,0.07284683,-2.0511416218538246e-05,37,15
23,현금ROA,0.06938526,-0.0022643656592528133,42,19
24,재고자산보유기간_ratio,0.06625253,-0.016347243335638095,51,27
25,유동비율변화_diff,0.06510892,-0.00025259968514279585,38,13
26,비유동비율_ratio,0.064843416,0.008724436055431974,15,11
27,장기부채의존도,0.0647545,0.001083319252976045,31,4
28,투하자본회전율_ratio,0.060966402,0.004876883058281208,18,10
29,순운전자본대총자본_ratio_industry,0.060112655,0.013344155334114679,13,16
30,매입채무지급기간_diff,0.06004184,-0.006847870607108268,49,19
31,비유동장기적합률_ratio,0.05961322,0.02874587969164589,7,24
32,총자산증가율_diff_industry,0.05815905,-0.004171969510184596,44,12
33,장기부채비율,0.05546106,-0.005868484919597603,47,14
34,유보율_diff,0.053780146,0.0027752486068884624,23,11
35,차입금의존도_ratio_industry,0.0524215,0.004118725997054525,19,16
36,총자산회전율_ratio,0.052243605,-0.005878095453738408,48,12
37,부채비율변화,0.048160654,0.0034217869604473983,21,16
38,업력,0.04525208,0.003594704681251626,20,18
39,판관비율,0.044351704,0.0016287566419798413,29,10
40,유동비율_ratio,0.0425708,0.0022350668963555718,24,16
41,현금ROE_ratio,0.040620416,-0.005432653813734981,46,5
42,영업현금흐름비율_diff,0.03750259,0.0003032147303850393,35,7
43,유동자산회전율,0.035324063,-0.0013202960456648297,40,3
44,FCF_총자산_ratio,0.03465801,-0.0016906694289003598,41,3
45,감가상각비율,0.033511855,0.0021751110252184254,25,20
46,순운전자본비율_diff,0.03331366,0.00127327777134744,30,16
47,매출총이익률_diff,0.028933465,-0.004389953689038204,45,2
48,부채비율,0.028285023,0.02048403397438104,9,39
49,매출원가율,0.02821675,0.00101126410574508,32,17
50,자기자본비율_diff_industry,0.026354628,0.016186563902986523,12,38
51,ROE_diff,0.023153134,-0.02299345308272212,52,1
52,총부채비율,0.019935561,0.0018725077871086274,27,25
