업종코드,연도,매출액,매출원가,영업손익,매출채권,유형자산,매입채무,GDP성장률
B 광업,2012,3790241,2730713,494933,643481,4914278,194793,3.9
B 광업,2013,4052607,2979691,442265,635349,4969272,192376,4.4
B 광업,2014,3898106,2905341,379677,626952,4975679,199334,4.3
B 광업,2015,3914636,3058949,221696,627416,5186970,257574,6.2
B 광업,2016,3732920,2882224,234789,672641,4847522,197693,5.3
B 광업,2017,3411121,2576379,194491,634761,4188564,187379,5.5
B 광업,2018,3123021,2308806,72575,552707,4332394,161294,3.8
B 광업,2019,2970282,2237534,139326,529187,4555609,156621,1.7
B 광업,2020,2572386,1964549,42453,460173,4749633,136271,0.9
B 광업,2021,2774016,2138897,1430,475392,5139233,127974,8.0
B 광업,2022,3121810,2274480,200510,489229,5898894,144183,4.7
B 광업,2023,3503994,2483640,254425,500297,10568012,137711,3.4
B 광업,2024,3734254,2514605,443144,467288,11855098,139478,6.5
C 제조업,2012,1751526409,1473104979,89851650,259550967,583723563,158771535,3.9
C 제조업,2013,1737755043,1451830019,91179391,260137123,603941987,156157507,4.4
C 제조업,2014,1727256255,1450962650,72749140,273715510,626832071,150453071,4.3
C 제조업,2015,1678047027,1378618558,86921412,272126469,657404572,142385328,6.2
C 제조업,2016,1670375606,1349708382,100110172,294590430,689252104,158107166,5.3
C 제조업,2017,1821878190,1454370174,138313723,302237989,736227105,164421622,5.5
C 제조업,2018,1900756205,1528589178,138388610,300447607,773833849,164519663,3.8
C 제조업,2019,1854703239,1526823518,82152306,292925004,788517170,159474249,1.7
C 제조업,2020,1817218849,1482420128,83906527,293301850,826793968,164313446,0.9
C 제조업,2021,2159055513,1733753521,146656860,341637821,879962476,199742049,8.0
C 제조업,2022,2486091173,2040101085,142238357,349683655,947065563,213578662,4.7
C 제조업,2023,2428259309,2032934807,79587897,367902285,1003170397,222110808,3.4
C 제조업,2024,2568791271,2091213003,131880978,398125747,1072830810,229581995,6.5
F 건설업,2012,284320890,251107908,5577871,65224314,37700548,28286197,3.9
F 건설업,2013,317320121,283962407,5239876,68433399,38781314,29123243,4.4
F 건설업,2014,330976850,293490224,9312277,65634798,38747364,28452859,4.3
F 건설업,2015,358355495,316406199,9708521,69734750,38733342,31925901,6.2
F 건설업,2016,387405538,338145805,16060990,73210263,40280645,33623323,5.3
