기준연도,생애주기,전체,부실,정상,부실률(%),위험점수_최종
2015,쇠퇴기,448,132,316,29.46,100.0
2015,도입기,551,136,415,24.68,77.6
2015,조정기,525,82,443,15.62,35.2
2015,성숙기,1048,93,955,8.87,3.6
2015,성장기,568,46,522,8.1,0.0
2016,쇠퇴기,487,153,334,31.42,100.0
2016,도입기,583,160,423,27.44,82.3
2016,조정기,609,92,517,15.11,27.5
2016,성장기,588,53,535,9.01,0.4
2016,성숙기,1176,105,1071,8.93,0.0
2017,쇠퇴기,514,164,350,31.91,100.0
2017,도입기,668,191,477,28.59,85.3
2017,조정기,682,100,582,14.66,23.8
2017,성장기,639,61,578,9.55,1.3
2017,성숙기,1263,117,1146,9.26,0.0
2018,쇠퇴기,572,181,391,31.64,100.0
2018,도입기,711,221,490,31.08,97.5
2018,조정기,744,123,621,16.53,32.6
2018,성장기,685,70,615,10.22,4.5
2018,성숙기,1389,128,1261,9.22,0.0
2019,쇠퇴기,663,212,451,31.98,100.0
2019,도입기,831,249,582,29.96,90.9
2019,조정기,832,142,690,17.07,32.5
2019,성장기,775,77,698,9.94,0.2
2019,성숙기,1505,149,1356,9.9,0.0
2020,도입기,830,278,552,33.49,100.0
2020,쇠퇴기,713,234,479,32.82,97.1
2020,조정기,954,166,788,17.4,31.5
2020,성장기,889,89,800,10.01,0.0
2020,성숙기,1618,162,1456,10.01,0.0
2021,쇠퇴기,771,267,504,34.63,100.0
2021,도입기,1039,319,720,30.7,84.3
2021,조정기,1060,193,867,18.21,34.5
2021,성숙기,1700,175,1525,10.29,2.9
2021,성장기,1056,101,955,9.56,0.0
2022,쇠퇴기,862,300,562,34.8,100.0
2022,도입기,1243,368,875,29.61,78.7
2022,조정기,1064,208,856,19.55,37.5
2022,성장기,1049,114,935,10.87,2.0
2022,성숙기,1905,198,1707,10.39,0.0
2023,도입기,1132,410,722,36.22,100.0
2023,쇠퇴기,945,335,610,35.45,97.0
2023,조정기,1172,232,940,19.8,36.4
2023,성장기,903,123,780,13.62,12.5
2023,성숙기,1972,205,1767,10.4,0.0
2024,도입기,1143,490,653,42.87,100.0
2024,쇠퇴기,984,375,609,38.11,85.0
2024,조정기,1194,267,927,22.36,35.3
2024,성장기,799,153,646,19.15,25.1
2024,성숙기,2004,224,1780,11.18,0.0
