사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score
3128663896,(주)비전오토모빌,,,,,0.0042,0.082,0.0082,0.002,0.1654,0.3428,0.951,0.0,0.0,0.0,0.0,0.0778,-0.0738,-0.0062,0.1634,0.1774,0.6082,96.92
7778600521,(주)시코쿠통신,,,,,0.0004,0.0032,0.0035,0.0018,0.1883,0.756,0.9672,0.0,0.0,0.0,0.0,0.0028,0.0003,-0.0017,0.1865,0.5677,0.2112,96.46
5768800693,(주)다름플러스,,,,,,0.0001,0.0005,0.0005,0.1969,0.8176,0.9767,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.1964,0.6207,0.1591,96.37
1138673991,통우인터내셔널(주),,,,,,,,0.0003,0.0037,0.1507,0.9432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.147,0.7925,96.28
1078190632,(주)하스오토메이션코리아,0.7065,0.9478,0.0028,0.0008,0.2115,0.7888,0.0052,0.0096,0.3541,0.6928,0.9496,0.2413,-0.945,-0.002,0.2107,0.5773,-0.7836,0.0044,0.3445,0.3387,0.2568,96.1
5428600304,주식회사윙잇,,,,,,,0.0011,0.0211,0.4523,0.8297,0.9668,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.4312,0.3774,0.1371,95.95
4968602009,(주)교원,,,,,,,0.0037,0.0004,0.378,0.801,0.9546,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033,0.3776,0.423,0.1536,95.93
2148728739,(주)나이스커피시스템,,,,0.0003,0.0001,,0.0001,0.002,0.0306,0.722,0.9466,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0019,0.0286,0.6914,0.2246,95.84
3018702178,주식회사서호비디,,,,,,,,0.0036,0.1381,0.764,0.9352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1345,0.6259,0.1712,95.81
4108661173,주식회사삼성모터스,,,,,,,,0.0015,0.041,0.894,0.9742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395,0.853,0.0802,95.72
1258603746,에이스메탈(주),0.0079,0.6632,0.0066,0.0051,0.001,0.0023,0.0011,0.0006,0.003,0.5565,0.9368,0.6553,-0.6566,-0.0015,-0.0041,0.0013,-0.0012,-0.0005,0.0024,0.5535,0.3803,95.67
