사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score
3128663896,(주)비전오토모빌,,,,,0.0021,0.1255,0.0076,0.0038,0.1806,0.622,0.9458,,,,,0.1234,-0.1179,-0.0038,0.1768,0.4414,0.3238,94.09
1138673991,통우인터내셔널(주),,,,,,,,0.0012,0.0018,0.2057,0.9584,,,,,,,,0.0006,0.2039,0.7527,93.9
1268126922,(주)홈우드,,0.0059,0.0021,0.0003,0.0085,0.5174,0.0008,0.0004,0.1423,0.5706,0.914,,-0.0038,-0.0018,0.0082,0.5089,-0.5166,-0.0004,0.1419,0.4283,0.3434,93.5
2148736452,주식회사뷰티르샤,,,,,,0.0042,0.6389,0.0017,0.1999,0.8014,0.9556,,,,,,0.6347,-0.6372,0.1982,0.6015,0.1542,93.44
5768800693,(주)다름플러스,,,,,,0.0002,0.0005,0.001,0.1629,0.8556,0.9749,,,,,,0.0003,0.0005,0.1619,0.6927,0.1193,93.35
2118881810,주식회사셀러허브,,,,,,,,0.0017,0.0081,0.1691,0.9053,,,,,,,,0.0064,0.161,0.7362,93.31
2148728739,(주)나이스커피시스템,,,,0.0006,0.0001,,0.0001,0.0009,0.0893,0.7141,0.9322,,,,-0.0005,,,0.0008,0.0884,0.6248,0.2181,93.11
1078190632,(주)하스오토메이션코리아,0.6898,0.9463,0.0074,0.0011,0.2245,0.6905,0.0057,0.0177,0.4825,0.783,0.9546,0.2565,-0.9389,-0.0063,0.2234,0.466,-0.6848,0.012,0.4648,0.3005,0.1716,93.1
1018124906,국제갤러리홀딩(주),0.0011,0.0008,0.0004,0.5107,0.1013,0.3958,0.003,0.0015,0.0114,0.5984,0.9339,-0.0003,-0.0004,0.5103,-0.4094,0.2945,-0.3928,-0.0015,0.0099,0.587,0.3355,93.04
1258603746,에이스메탈(주),0.0152,0.7348,0.0103,0.0088,0.0013,0.0033,0.0014,0.0005,0.0029,0.5266,0.9369,0.7196,-0.7245,-0.0015,-0.0075,0.002,-0.0019,-0.0009,0.0024,0.5237,0.4103,93.02
