부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,가중치합,spearman_rho,p_value
0.5,0.05,0.3,0.05,0.05,0.05,1.0,0.2088,0.0066
0.5,0.05,0.25,0.05,0.1,0.05,1.0,0.2066,0.0072
0.5,0.05,0.25,0.1,0.05,0.05,1.0,0.203,0.0083
0.5,0.05,0.2,0.05,0.15,0.05,1.0,0.2024,0.0085
0.55,0.05,0.25,0.05,0.05,0.05,1.0,0.2006,0.0091
0.5,0.05,0.15,0.05,0.2,0.05,1.0,0.1999,0.0094
0.5,0.05,0.2,0.1,0.1,0.05,1.0,0.1989,0.0098
0.5,0.05,0.25,0.05,0.05,0.1,1.0,0.1971,0.0104
0.5,0.05,0.2,0.05,0.1,0.1,1.0,0.1936,0.0119
0.5,0.1,0.2,0.1,0.05,0.05,1.0,0.1932,0.0121
0.55,0.05,0.2,0.05,0.1,0.05,1.0,0.1932,0.0121
0.5,0.05,0.2,0.15,0.05,0.05,1.0,0.1926,0.0124
0.5,0.05,0.2,0.1,0.05,0.1,1.0,0.189,0.0141
0.5,0.1,0.25,0.05,0.05,0.05,1.0,0.1875,0.015
0.6,0.05,0.2,0.05,0.05,0.05,1.0,0.1868,0.0153
0.55,0.05,0.15,0.05,0.15,0.05,1.0,0.1862,0.0157
0.5,0.05,0.15,0.05,0.15,0.1,1.0,0.1846,0.0166
0.55,0.05,0.2,0.1,0.05,0.05,1.0,0.184,0.017
0.55,0.05,0.2,0.05,0.05,0.1,1.0,0.1838,0.0171
0.5,0.05,0.2,0.05,0.05,0.15,1.0,0.1835,0.0173
0.5,0.15,0.2,0.05,0.05,0.05,1.0,0.1826,0.0178
0.5,0.05,0.1,0.05,0.25,0.05,1.0,0.1819,0.0183
0.5,0.05,0.15,0.1,0.15,0.05,1.0,0.1815,0.0186
0.6,0.05,0.15,0.05,0.1,0.05,1.0,0.18,0.0195
0.5,0.1,0.2,0.05,0.1,0.05,1.0,0.1795,0.0199
0.55,0.05,0.15,0.05,0.1,0.1,1.0,0.177,0.0217
0.5,0.1,0.15,0.1,0.1,0.05,1.0,0.1767,0.022
0.5,0.05,0.15,0.05,0.1,0.15,1.0,0.1765,0.0221
0.5,0.05,0.15,0.1,0.1,0.1,1.0,0.1752,0.0231
0.55,0.05,0.15,0.1,0.1,0.05,1.0,0.1729,0.025
0.5,0.05,0.1,0.05,0.2,0.1,1.0,0.1721,0.0257
0.5,0.1,0.15,0.15,0.05,0.05,1.0,0.1716,0.0262
0.5,0.1,0.2,0.05,0.05,0.1,1.0,0.1704,0.0272
0.5,0.05,0.15,0.1,0.05,0.15,1.0,0.17,0.0276
0.55,0.1,0.2,0.05,0.05,0.05,1.0,0.1695,0.028
0.5,0.1,0.15,0.1,0.05,0.1,1.0,0.1695,0.0281
0.55,0.05,0.15,0.1,0.05,0.1,1.0,0.1694,0.0281
0.55,0.05,0.15,0.05,0.05,0.15,1.0,0.1682,0.0293
0.5,0.1,0.15,0.05,0.15,0.05,1.0,0.1681,0.0294
0.5,0.05,0.15,0.05,0.05,0.2,1.0,0.1675,0.03
0.65,0.05,0.15,0.05,0.05,0.05,1.0,0.1672,0.0303
0.5,0.15,0.15,0.05,0.1,0.05,1.0,0.1666,0.0309
0.5,0.15,0.15,0.1,0.05,0.05,1.0,0.166,0.0315
0.55,0.05,0.1,0.05,0.2,0.05,1.0,0.166,0.0316
0.55,0.1,0.15,0.1,0.05,0.05,1.0,0.1649,0.0327
0.6,0.05,0.15,0.05,0.05,0.1,1.0,0.1649,0.0327
0.6,0.05,0.15,0.1,0.05,0.05,1.0,0.162,0.0359
0.5,0.15,0.15,0.05,0.05,0.1,1.0,0.1617,0.0363
0.5,0.05,0.1,0.05,0.15,0.15,1.0,0.1581,0.0406
0.55,0.15,0.15,0.05,0.05,0.05,1.0,0.1579,0.041
0.55,0.1,0.15,0.05,0.1,0.05,1.0,0.1567,0.0425
0.5,0.1,0.15,0.05,0.1,0.1,1.0,0.1565,0.0427
0.55,0.05,0.1,0.05,0.15,0.1,1.0,0.1555,0.0441
0.5,0.1,0.15,0.05,0.05,0.15,1.0,0.1554,0.0442
0.5,0.2,0.15,0.05,0.05,0.05,1.0,0.1549,0.045
0.55,0.1,0.15,0.05,0.05,0.1,1.0,0.1539,0.0464
0.6,0.05,0.1,0.05,0.15,0.05,1.0,0.1531,0.0475
0.5,0.05,0.15,0.15,0.1,0.05,1.0,0.1525,0.0484
0.6,0.1,0.15,0.05,0.05,0.05,1.0,0.1519,0.0493
0.5,0.05,0.1,0.05,0.1,0.2,1.0,0.1496,0.0529
0.5,0.05,0.15,0.15,0.05,0.1,1.0,0.1492,0.0536
0.5,0.1,0.1,0.05,0.2,0.05,1.0,0.1474,0.0565
0.55,0.05,0.15,0.15,0.05,0.05,1.0,0.1451,0.0606
0.65,0.05,0.1,0.05,0.1,0.05,1.0,0.1441,0.0623
0.5,0.1,0.1,0.1,0.1,0.1,1.0,0.1437,0.0631
0.55,0.05,0.1,0.05,0.1,0.15,1.0,0.1434,0.0638
0.5,0.1,0.1,0.1,0.15,0.05,1.0,0.1422,0.066
0.6,0.05,0.1,0.05,0.1,0.1,1.0,0.1422,0.066
0.5,0.05,0.1,0.05,0.05,0.25,1.0,0.1415,0.0672
0.5,0.05,0.15,0.2,0.05,0.05,1.0,0.1401,0.0701
0.55,0.1,0.1,0.1,0.1,0.05,1.0,0.1398,0.0707
0.55,0.05,0.1,0.05,0.05,0.2,1.0,0.1385,0.0735
0.5,0.1,0.1,0.05,0.15,0.1,1.0,0.1382,0.0741
0.5,0.05,0.1,0.1,0.2,0.05,1.0,0.138,0.0744
0.55,0.1,0.1,0.05,0.15,0.05,1.0,0.135,0.0811
0.6,0.05,0.1,0.05,0.05,0.15,1.0,0.1348,0.0815
0.7,0.05,0.1,0.05,0.05,0.05,1.0,0.1337,0.0841
0.5,0.1,0.1,0.1,0.05,0.15,1.0,0.1323,0.0875
0.65,0.05,0.1,0.05,0.05,0.1,1.0,0.1316,0.089
0.5,0.05,0.1,0.1,0.15,0.1,1.0,0.1316,0.0891
0.55,0.1,0.1,0.1,0.05,0.1,1.0,0.13,0.093
0.5,0.05,0.1,0.1,0.1,0.15,1.0,0.1297,0.0938
0.55,0.05,0.1,0.1,0.15,0.05,1.0,0.1297,0.0939
0.5,0.1,0.1,0.05,0.1,0.15,1.0,0.1295,0.0944
0.6,0.05,0.1,0.1,0.1,0.05,1.0,0.1279,0.0985
0.6,0.1,0.1,0.1,0.05,0.05,1.0,0.1279,0.0986
0.55,0.05,0.1,0.1,0.1,0.1,1.0,0.1271,0.1007
0.55,0.1,0.1,0.05,0.1,0.1,1.0,0.127,0.101
0.5,0.15,0.1,0.05,0.15,0.05,1.0,0.1269,0.1012
0.6,0.1,0.1,0.05,0.1,0.05,1.0,0.1264,0.1025
0.5,0.15,0.1,0.05,0.1,0.1,1.0,0.1263,0.1029
0.5,0.1,0.1,0.05,0.05,0.2,1.0,0.1259,0.1041
0.55,0.1,0.1,0.05,0.05,0.15,1.0,0.125,0.1065
0.5,0.05,0.1,0.1,0.05,0.2,1.0,0.1234,0.1111
0.55,0.15,0.1,0.05,0.1,0.05,1.0,0.1211,0.118
0.6,0.1,0.1,0.05,0.05,0.1,1.0,0.1206,0.1193
0.6,0.05,0.1,0.1,0.05,0.1,1.0,0.12,0.1212
0.55,0.05,0.1,0.1,0.05,0.15,1.0,0.1199,0.1214
0.5,0.15,0.1,0.1,0.1,0.05,1.0,0.1199,0.1217
0.5,0.15,0.1,0.05,0.05,0.15,1.0,0.1188,0.1252
0.65,0.1,0.1,0.05,0.05,0.05,1.0,0.1186,0.1257
0.65,0.05,0.1,0.1,0.05,0.05,1.0,0.1166,0.1323
0.55,0.15,0.1,0.05,0.05,0.1,1.0,0.1149,0.138
0.5,0.2,0.1,0.05,0.1,0.05,1.0,0.1138,0.1417
0.5,0.05,0.05,0.05,0.25,0.1,1.0,0.1138,0.142
0.6,0.15,0.1,0.05,0.05,0.05,1.0,0.1118,0.149
0.5,0.15,0.1,0.1,0.05,0.1,1.0,0.1114,0.1507
0.55,0.15,0.1,0.1,0.05,0.05,1.0,0.1105,0.154
0.55,0.05,0.05,0.05,0.25,0.05,1.0,0.1074,0.166
0.5,0.05,0.05,0.05,0.3,0.05,1.0,0.1073,0.1664
0.5,0.1,0.1,0.15,0.05,0.1,1.0,0.1058,0.1723
0.5,0.1,0.1,0.15,0.1,0.05,1.0,0.1043,0.1783
0.55,0.1,0.1,0.15,0.05,0.05,1.0,0.104,0.1796
0.5,0.2,0.1,0.1,0.05,0.05,1.0,0.1038,0.1806
0.5,0.2,0.1,0.05,0.05,0.1,1.0,0.1034,0.1821
0.55,0.2,0.1,0.05,0.05,0.05,1.0,0.1026,0.1857
0.5,0.05,0.05,0.05,0.2,0.15,1.0,0.1013,0.1914
0.5,0.05,0.1,0.15,0.15,0.05,1.0,0.0991,0.2014
0.55,0.05,0.05,0.05,0.2,0.1,1.0,0.0973,0.2094
0.55,0.05,0.1,0.15,0.05,0.1,1.0,0.0958,0.2168
0.5,0.15,0.1,0.15,0.05,0.05,1.0,0.0948,0.2214
0.5,0.05,0.1,0.15,0.1,0.1,1.0,0.0946,0.2225
0.5,0.05,0.1,0.15,0.05,0.15,1.0,0.0935,0.2279
0.7,0.05,0.05,0.05,0.05,0.1,1.0,0.0932,0.2293
0.6,0.05,0.05,0.05,0.2,0.05,1.0,0.0932,0.2296
0.6,0.05,0.1,0.15,0.05,0.05,1.0,0.0919,0.2361
0.55,0.05,0.1,0.15,0.1,0.05,1.0,0.0914,0.2385
0.55,0.05,0.05,0.05,0.15,0.15,1.0,0.0907,0.2422
0.6,0.05,0.05,0.05,0.05,0.2,1.0,0.0901,0.2455
0.5,0.05,0.05,0.05,0.15,0.2,1.0,0.0898,0.247
0.6,0.05,0.05,0.05,0.15,0.1,1.0,0.0897,0.2477
0.7,0.05,0.05,0.05,0.1,0.05,1.0,0.0895,0.2488
0.55,0.05,0.05,0.05,0.05,0.25,1.0,0.0894,0.2489
0.5,0.05,0.05,0.05,0.05,0.3,1.0,0.0893,0.2499
0.5,0.25,0.1,0.05,0.05,0.05,1.0,0.0891,0.2506
0.65,0.05,0.05,0.05,0.15,0.05,1.0,0.0887,0.2527
0.65,0.05,0.05,0.05,0.05,0.15,1.0,0.0882,0.2556
0.65,0.05,0.05,0.05,0.1,0.1,1.0,0.0873,0.2606
0.55,0.05,0.05,0.05,0.1,0.2,1.0,0.0871,0.2613
0.6,0.05,0.05,0.05,0.1,0.15,1.0,0.0866,0.2643
0.5,0.05,0.05,0.05,0.1,0.25,1.0,0.0842,0.2781
0.5,0.1,0.1,0.2,0.05,0.05,1.0,0.0826,0.2871
0.5,0.05,0.1,0.2,0.1,0.05,1.0,0.0733,0.3449
0.5,0.05,0.1,0.2,0.05,0.1,1.0,0.0698,0.3684
0.55,0.05,0.1,0.2,0.05,0.05,1.0,0.0668,0.3894
0.5,0.1,0.05,0.05,0.25,0.05,1.0,0.0667,0.3906
0.5,0.1,0.05,0.05,0.2,0.1,1.0,0.0636,0.4127
0.5,0.05,0.1,0.25,0.05,0.05,1.0,0.0623,0.4224
0.55,0.1,0.05,0.05,0.2,0.05,1.0,0.0579,0.4563
0.6,0.1,0.05,0.05,0.15,0.05,1.0,0.0573,0.4603
0.5,0.1,0.05,0.05,0.15,0.15,1.0,0.0564,0.4679
0.55,0.1,0.05,0.05,0.15,0.1,1.0,0.0558,0.4722
0.5,0.05,0.05,0.1,0.25,0.05,1.0,0.0522,0.5019
0.5,0.2,0.05,0.05,0.1,0.1,1.0,0.0495,0.5242
0.5,0.1,0.05,0.05,0.1,0.2,1.0,0.0469,0.5458
0.5,0.2,0.05,0.05,0.15,0.05,1.0,0.0466,0.5489
0.55,0.1,0.05,0.05,0.1,0.15,1.0,0.0458,0.5552
0.55,0.2,0.05,0.05,0.1,0.05,1.0,0.0452,0.5606
0.5,0.15,0.05,0.05,0.15,0.1,1.0,0.0449,0.5635
0.65,0.1,0.05,0.05,0.1,0.05,1.0,0.0448,0.5641
0.5,0.1,0.05,0.05,0.05,0.25,1.0,0.0448,0.5642
0.6,0.1,0.05,0.05,0.1,0.1,1.0,0.0445,0.5671
0.5,0.15,0.05,0.15,0.1,0.05,1.0,0.0443,0.5685
0.5,0.15,0.05,0.05,0.2,0.05,1.0,0.0441,0.5699
0.55,0.1,0.05,0.05,0.05,0.2,1.0,0.0441,0.57
0.5,0.15,0.05,0.05,0.1,0.15,1.0,0.0438,0.5727
0.5,0.1,0.05,0.1,0.2,0.05,1.0,0.0435,0.5752
0.5,0.05,0.05,0.1,0.2,0.1,1.0,0.043,0.5798
0.6,0.1,0.05,0.05,0.05,0.15,1.0,0.043,0.5802
0.7,0.1,0.05,0.05,0.05,0.05,1.0,0.0428,0.5816
0.55,0.15,0.05,0.05,0.1,0.1,1.0,0.0427,0.583
0.65,0.1,0.05,0.05,0.05,0.1,1.0,0.0422,0.5871
0.55,0.05,0.05,0.1,0.2,0.05,1.0,0.0417,0.5918
0.55,0.15,0.05,0.05,0.15,0.05,1.0,0.0403,0.6037
0.6,0.15,0.05,0.05,0.1,0.05,1.0,0.04,0.6071
0.5,0.1,0.05,0.1,0.15,0.1,1.0,0.0395,0.6111
0.5,0.15,0.05,0.05,0.05,0.2,1.0,0.0395,0.6115
0.55,0.15,0.05,0.05,0.05,0.15,1.0,0.0387,0.6182
0.5,0.25,0.05,0.05,0.05,0.1,1.0,0.037,0.6338
0.55,0.2,0.05,0.05,0.05,0.1,1.0,0.037,0.6338
0.5,0.25,0.05,0.05,0.1,0.05,1.0,0.0369,0.6353
0.5,0.2,0.05,0.05,0.05,0.15,1.0,0.0367,0.6363
0.6,0.05,0.05,0.1,0.15,0.05,1.0,0.0366,0.6375
0.5,0.1,0.05,0.15,0.15,0.05,1.0,0.0361,0.642
0.5,0.05,0.05,0.1,0.1,0.2,1.0,0.0356,0.6468
0.5,0.05,0.05,0.1,0.15,0.15,1.0,0.0356,0.647
0.5,0.15,0.05,0.2,0.05,0.05,1.0,0.0352,0.6502
0.55,0.1,0.05,0.1,0.15,0.05,1.0,0.0348,0.6547
0.55,0.25,0.05,0.05,0.05,0.05,1.0,0.0348,0.6547
0.55,0.05,0.05,0.1,0.15,0.1,1.0,0.0345,0.6573
0.6,0.05,0.05,0.1,0.1,0.1,1.0,0.034,0.6618
0.55,0.05,0.05,0.1,0.1,0.15,1.0,0.0339,0.6628
0.65,0.05,0.05,0.1,0.1,0.05,1.0,0.0332,0.6689
0.5,0.15,0.05,0.1,0.15,0.05,1.0,0.0331,0.6697
0.65,0.05,0.05,0.1,0.05,0.1,1.0,0.033,0.6715
0.6,0.2,0.05,0.05,0.05,0.05,1.0,0.0326,0.6753
