사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계,신용등급
8110041,엘브이엠씨홀딩스(주),2015,도입기,0,100.0,75.7,0.0,44.36,0.19,49.99,25.0,매우 안정,
8110041,엘브이엠씨홀딩스(주),2016,도입기,0,56.26,80.6,42.55,48.52,0.29,50.87,28.3,매우 안정,
8110041,엘브이엠씨홀딩스(주),2017,성장기,0,34.84,1.1,47.46,36.98,0.15,48.84,11.1,매우 안정,
8110041,엘브이엠씨홀딩스(주),2018,성장기,0,25.54,4.0,70.94,46.42,78.11,90.45,59.0,위험,
8110041,엘브이엠씨홀딩스(주),2019,성장기,0,56.69,0.2,63.92,47.83,88.57,53.05,63.0,매우 위험,
8110041,엘브이엠씨홀딩스(주),2020,성장기,1,0.0,0.0,67.03,52.92,95.74,54.45,64.7,매우 위험,
1018106586,서원물산(주),2015,도입기,1,100.0,75.7,0.0,40.67,92.54,64.5,76.3,매우 위험,
1018116269,현대코퍼레이션(주),2015,성숙기,0,100.0,3.2,0.0,49.3,2.08,49.3,11.7,매우 안정,
1018116269,현대코퍼레이션(주),2016,성장기,0,56.26,0.3,42.55,46.87,0.62,50.04,12.3,매우 안정,
1018116269,현대코퍼레이션(주),2017,조정기,0,34.84,21.8,47.46,36.16,1.47,49.36,15.9,매우 안정,
1018116269,현대코퍼레이션(주),2018,조정기,0,25.54,30.2,70.94,49.43,0.47,48.4,19.6,매우 안정,
1018116269,현대코퍼레이션(주),2019,조정기,0,56.69,30.1,63.92,45.82,0.86,47.64,20.4,매우 안정,A-/STABLE
1018116269,현대코퍼레이션(주),2020,성숙기,0,0.0,0.0,67.03,56.97,0.09,50.1,12.1,매우 안정,A-/STABLE
1018116269,현대코퍼레이션(주),2021,도입기,0,77.37,82.6,70.41,63.2,0.43,49.6,33.3,안정,A-/STABLE
1018116269,현대코퍼레이션(주),2022,성숙기,0,88.19,0.0,94.01,33.11,0.18,51.17,18.1,매우 안정,A-/STABLE
1018116269,현대코퍼레이션(주),2023,도입기,0,62.46,100.0,94.68,48.56,0.24,47.81,37.5,안정,A-/Positive
1018116269,현대코퍼레이션(주),2024,조정기,0,77.47,31.7,100.0,53.43,0.07,48.71,25.4,매우 안정,A/STABLE
1018116478,주식회사승전상사,2015,도입기,0,100.0,75.7,0.0,60.88,0.08,49.28,25.7,매우 안정,
1018116478,주식회사승전상사,2016,성숙기,0,56.26,0.0,42.55,46.77,1.06,51.33,12.6,매우 안정,
1018116478,주식회사승전상사,2017,성숙기,0,34.84,0.0,47.46,34.26,0.49,48.61,10.9,매우 안정,
1018116478,주식회사승전상사,2018,조정기,0,25.54,30.2,70.94,46.98,32.46,65.96,37.9,안정,
1018116478,주식회사승전상사,2019,쇠퇴기,0,56.69,100.0,63.92,46.32,54.47,59.4,64.5,매우 위험,
1018116478,주식회사승전상사,2020,성장기,1,0.0,0.0,67.03,54.37,90.2,69.7,62.5,매우 위험,
1018117953,에이치디엑스(주),2015,성숙기,0,100.0,3.2,0.0,55.05,0.13,49.85,11.0,매우 안정,
1018117953,에이치디엑스(주),2016,성숙기,0,56.26,0.0,42.55,50.11,0.19,50.84,12.2,매우 안정,
1018117953,에이치디엑스(주),2017,성숙기,0,34.84,0.0,47.46,39.42,0.17,48.9,11.0,매우 안정,
1018117953,에이치디엑스(주),2018,성숙기,0,25.54,0.0,70.94,50.58,0.78,49.26,13.8,매우 안정,
1018117953,에이치디엑스(주),2019,성숙기,0,56.69,0.0,63.92,53.88,12.48,53.81,21.5,매우 안정,
1018117953,에이치디엑스(주),2020,성숙기,0,0.0,0.0,67.03,57.44,2.81,45.35,13.4,매우 안정,
1018117953,에이치디엑스(주),2021,성숙기,0,77.37,2.6,70.41,60.44,21.08,58.8,29.0,매우 안정,
1018117953,에이치디엑스(주),2022,조정기,0,88.19,34.7,94.01,27.33,35.44,59.06,44.6,중립,
1018117953,에이치디엑스(주),2023,성장기,0,62.46,11.1,94.68,42.95,2.6,29.67,19.9,매우 안정,
1018117953,에이치디엑스(주),2024,조정기,0,77.47,31.7,100.0,50.18,0.54,47.69,25.4,매우 안정,
1018118781,세기P&C(주),2015,성숙기,0,100.0,3.2,0.0,52.89,0.23,50.01,10.9,매우 안정,
1018118781,세기P&C(주),2016,성숙기,0,56.26,0.0,42.55,50.37,0.04,50.71,12.1,매우 안정,
1018118781,세기P&C(주),2017,성숙기,0,34.84,0.0,47.46,41.34,0.05,48.92,11.0,매우 안정,
1018118781,세기P&C(주),2018,성숙기,0,25.54,0.0,70.94,51.64,0.04,48.93,13.4,매우 안정,
1018118781,세기P&C(주),2019,조정기,0,56.69,30.1,63.92,49.55,0.05,47.43,20.1,매우 안정,
1018118781,세기P&C(주),2020,성장기,0,0.0,0.0,67.03,55.67,0.04,50.5,12.0,매우 안정,
1018118781,세기P&C(주),2021,도입기,0,77.37,82.6,70.41,57.82,0.04,49.42,32.8,안정,
1018118781,세기P&C(주),2022,성숙기,0,88.19,0.0,94.01,29.73,0.34,51.47,18.1,매우 안정,
1018118781,세기P&C(주),2023,도입기,0,62.46,100.0,94.68,45.05,27.02,62.53,52.8,위험,
1018118781,세기P&C(주),2024,성장기,0,77.47,22.2,100.0,51.6,0.09,34.33,22.7,매우 안정,
1018118985,광원전기(주),2021,성숙기,0,77.37,2.6,70.41,59.96,0.03,49.42,16.9,매우 안정,
1018118985,광원전기(주),2022,성숙기,0,88.19,0.0,94.01,28.58,0.01,51.29,17.8,매우 안정,
1018118985,광원전기(주),2023,성숙기,0,62.46,0.0,94.68,43.91,0.03,47.79,17.2,매우 안정,
1018118985,광원전기(주),2024,성숙기,0,77.47,0.0,100.0,55.15,0.05,48.81,19.1,매우 안정,
1018119311,(주)갤러리현대,2015,쇠퇴기,0,100.0,100.0,0.0,42.3,0.23,34.4,29.0,매우 안정,
1018119311,(주)갤러리현대,2016,쇠퇴기,0,56.26,100.0,42.55,60.69,0.14,50.76,32.7,안정,
1018119311,(주)갤러리현대,2017,성장기,0,34.84,1.1,47.46,51.98,0.36,49.02,12.0,매우 안정,
1018119311,(주)갤러리현대,2018,쇠퇴기,0,25.54,100.0,70.94,57.53,0.29,48.9,33.9,안정,
1018119311,(주)갤러리현대,2019,도입기,0,56.69,89.9,63.92,36.9,11.91,53.76,38.3,안정,
1018119311,(주)갤러리현대,2020,성장기,0,0.0,0.0,67.03,60.25,0.24,44.28,12.1,매우 안정,
1018119311,(주)갤러리현대,2021,성숙기,0,77.37,2.6,70.41,54.44,0.23,49.42,16.7,매우 안정,
1018119311,(주)갤러리현대,2022,성숙기,0,88.19,0.0,94.01,25.74,0.03,51.19,17.7,매우 안정,
1018119311,(주)갤러리현대,2023,성숙기,0,62.46,0.0,94.68,41.04,0.07,47.8,17.1,매우 안정,
1018119311,(주)갤러리현대,2024,성숙기,0,77.47,0.0,100.0,49.5,9.43,53.8,24.2,매우 안정,
1018119742,(주)가나아트갤러리,2015,성숙기,0,100.0,3.2,0.0,50.77,0.16,46.8,10.6,매우 안정,
1018119742,(주)가나아트갤러리,2016,성숙기,0,56.26,0.0,42.55,44.38,2.44,52.03,13.2,매우 안정,
1018119742,(주)가나아트갤러리,2017,성숙기,0,34.84,0.0,47.46,32.7,0.29,47.77,10.7,매우 안정,
1018119742,(주)가나아트갤러리,2018,성숙기,0,25.54,0.0,70.94,50.55,4.62,51.24,16.0,매우 안정,
1018119742,(주)가나아트갤러리,2019,성숙기,0,56.69,0.0,63.92,57.95,43.8,68.79,39.7,안정,
1018119742,(주)가나아트갤러리,2020,도입기,0,0.0,100.0,67.03,66.89,78.84,69.31,76.9,매우 위험,
1018119742,(주)가나아트갤러리,2021,조정기,0,77.37,31.7,70.41,68.01,17.94,18.22,31.4,안정,
