사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,평가사명 및 등급,신용등급,평가사구분,등급_정제,등급_순위,최종합산스코어
1018116269,현대코퍼레이션(주),2018,조정기,0,25.54,30.2,70.94,49.43,0.47,48.4,2019,NICE신용평가(AAA~D),A-/STABLE,10.0,A-,7,19.0
1018116269,현대코퍼레이션(주),2019,조정기,0,56.69,30.1,63.92,45.82,0.86,47.64,2020,NICE신용평가(AAA~D),A-/STABLE,10.0,A-,7,20.2
1018116269,현대코퍼레이션(주),2020,성숙기,0,0.0,0.0,67.03,56.97,0.09,50.1,2021,NICE신용평가,A-/STABLE,10.0,A-,7,8.8
1018116269,현대코퍼레이션(주),2021,도입기,0,77.37,82.6,70.41,63.2,0.43,49.6,2022,NICE신용평가,A-/STABLE,10.0,A-,7,38.0
1018116269,현대코퍼레이션(주),2022,성숙기,0,88.19,0.0,94.01,33.11,0.18,51.17,2023,NICE신용평가,A-/Positive,10.0,A-,7,13.4
1018116269,현대코퍼레이션(주),2023,도입기,0,62.46,100.0,94.68,48.56,0.24,47.81,2024,NICE신용평가,A/STABLE,10.0,A,6,42.8
1048116860,롯데하이마트(주),2015,성숙기,0,100.0,3.2,0.0,53.24,0.15,49.98,2016,NICE신용평가,AA-,10.0,AA-,4,11.2
1048116860,롯데하이마트(주),2016,성숙기,0,56.26,0.0,42.55,50.2,0.13,50.8,2017,NICE신용평가,AA-,10.0,AA-,4,10.1
1048116860,롯데하이마트(주),2018,성숙기,0,25.54,0.0,70.94,51.19,0.08,48.94,2019,NICE신용평가,AA-,10.0,AA-,4,9.9
1048116860,롯데하이마트(주),2019,성숙기,0,56.69,0.0,63.92,48.84,0.39,47.59,2020,NICE신용평가,AA-,10.0,AA-,4,11.0
1048116860,롯데하이마트(주),2020,성숙기,0,0.0,0.0,67.03,57.16,0.11,50.36,2021,NICE신용평가,AA-,10.0,AA-,4,8.8
1048116860,롯데하이마트(주),2021,조정기,0,77.37,31.7,70.41,59.61,0.31,49.53,2022,NICE신용평가,AA-,10.0,AA-,4,22.5
1048116860,롯데하이마트(주),2022,성장기,0,88.19,1.7,94.01,27.33,70.78,89.49,2023,NICE신용평가,AA-,10.0,AA-,4,50.9
1048116860,롯데하이마트(주),2023,성숙기,0,62.46,0.0,94.68,42.57,88.87,57.91,2024,NICE신용평가,AA-,10.0,AA-,4,57.3
1048126067,롯데쇼핑(주),2015,성장기,0,100.0,0.0,0.0,48.97,8.81,53.07,2016,NICE신용평가(AAA~D),AA+,10.0,AA+,2,14.5
1048126067,롯데쇼핑(주),2016,성숙기,0,56.26,0.0,42.55,49.38,11.39,52.23,2017,NICE신용평가(AAA~D),AA+,10.0,AA+,2,15.7
1048126067,롯데쇼핑(주),2017,성장기,0,34.84,1.1,47.46,39.16,21.46,54.19,2018,NICE신용평가(AAA~D),AA+,10.0,AA+,2,19.8
1048126067,롯데쇼핑(주),2018,성숙기,0,25.54,0.0,70.94,47.38,20.12,48.27,2019,NICE신용평가(AAA~D),AA+,10.0,AA+,2,19.7
1048126067,롯데쇼핑(주),2019,성숙기,0,56.69,0.0,63.92,45.43,35.17,55.61,2020,NICE신용평가(AAA~D),AA,10.0,AA,3,28.7
1048126067,롯데쇼핑(주),2020,성숙기,0,0.0,0.0,67.03,54.69,55.37,61.36,2021,NICE신용평가(AAA~D),AA,10.0,AA,3,36.8
1048126067,롯데쇼핑(주),2021,성숙기,1,77.37,2.6,70.41,58.21,92.43,68.46,2022,NICE신용평가(AAA~D),AA-,10.0,AA-,4,60.7
1048158195,(주)포스코인터내셔널,2015,도입기,0,100.0,75.7,0.0,53.42,0.39,49.84,2016,NICE신용평가 (AAA~D),A+(Positive),10.0,A+,5,33.1
1048158195,(주)포스코인터내셔널,2016,성숙기,0,56.26,0.0,42.55,47.53,0.44,50.84,2017,NICE신용평가 (AAA~D),A+(Positive),10.0,A+,5,10.1
1048158195,(주)포스코인터내셔널,2017,성숙기,0,34.84,0.0,47.46,37.12,0.2,48.78,2018,NICE신용평가(AAA~D),AA-(STABLE),10.0,AA-,4,8.5
1048158195,(주)포스코인터내셔널,2018,성숙기,0,25.54,0.0,70.94,50.93,0.28,48.98,2019,NICE신용평가(AAA~D),AA-(STABLE),10.0,AA-,4,10.0
1048158195,(주)포스코인터내셔널,2019,성숙기,0,56.69,0.0,63.92,47.72,0.15,47.35,2020,NICE신용평가(AAA~D),AA-(STABLE),10.0,AA-,4,10.9
1048158195,(주)포스코인터내셔널,2020,성숙기,0,0.0,0.0,67.03,57.74,0.03,50.44,2021,NICE신용평가(AAA~D),AA-(STABLE),10.0,AA-,4,8.8
1048158195,(주)포스코인터내셔널,2021,성숙기,0,77.37,2.6,70.41,62.11,0.25,49.54,2022,NICE신용평가(AAA~D),AA-(STABLE),10.0,AA-,4,13.9
1048158195,(주)포스코인터내셔널,2022,성장기,0,88.19,1.7,94.01,34.22,0.07,51.2,2023,NICE신용평가(AAA~D),AA-(STABLE),10.0,AA-,4,13.9
1048158195,(주)포스코인터내셔널,2023,성숙기,0,62.46,0.0,94.68,49.27,0.06,47.77,2024,NICE신용평가(AAA~D),AA-(STABLE),10.0,AA-,4,12.7
1048158502,(주)아이마켓코리아,2015,조정기,0,100.0,32.8,0.0,49.09,0.04,49.94,2016,NICE신용평가(AAA~D),A,10.0,A,6,19.8
1048158502,(주)아이마켓코리아,2016,성숙기,0,56.26,0.0,42.55,49.66,0.09,50.84,2017,NICE신용평가(AAA~D),A,10.0,A,6,10.0
1048158502,(주)아이마켓코리아,2018,성숙기,0,25.54,0.0,70.94,48.85,0.13,48.93,2019,NICE신용평가,A,10.0,A,6,9.8
1048158502,(주)아이마켓코리아,2019,성숙기,0,56.69,0.0,63.92,48.72,0.12,47.42,2020,NICE신용평가,A,10.0,A,6,10.9
