피처,라벨,N,평균,중앙값,표준편차,Q1,Q3,최소,최대
금융비용부담률,정상(0),38399,5.941171,0.474949,245.439117,0.073076,1.360875,-0.007753,30300.0
금융비용부담률,부실(1),1509,56.182492,2.722735,329.53259,1.041921,10.02423,0.000942,7466.666667
매출총이익률_diff,정상(0),38399,-5.535418,-11.815899,27.431286,-21.279024,3.253176,-1634.659604,76.308356
매출총이익률_diff,부실(1),1509,-8.050323,-11.58684,59.560014,-23.201638,11.384978,-1197.449954,76.308356
총자본영업이익률_diff,정상(0),38399,-0.12554,1.170675,15.543168,-2.525317,6.030266,-745.375165,182.354137
총자본영업이익률_diff,부실(1),1509,-10.816983,-5.447002,16.289206,-12.214157,-2.892815,-175.697111,3.021179
영업CF_총부채_diff,정상(0),38399,32.981377,3.48043,120.041506,-6.966435,30.795822,-2774.058727,12651.558754
영업CF_총부채_diff,부실(1),1509,-10.470632,-7.106474,27.175209,-13.721195,-1.886337,-309.72329,259.48991
ROA_ratio,정상(0),38399,-0.338085,1.592475,18.288911,-0.012705,4.586017,-525.525333,183.44797
ROA_ratio,부실(1),1509,-7.472447,-2.367003,24.095192,-8.186951,0.065631,-350.542002,219.379948
ROA변화,정상(0),38399,-0.790787,0.0,10.447803,-2.157029,0.91491,-319.374821,225.290638
ROA변화,부실(1),1509,0.287436,-0.038548,29.285309,-4.282959,4.645533,-193.633705,640.844273
매출원가율,정상(0),38399,75.384093,81.978713,27.214725,66.983588,91.244473,-0.284562,1705.823627
매출원가율,부실(1),1509,77.991469,81.496259,59.136629,59.041901,92.768959,0.0,1263.636364
현금ROA,정상(0),38399,0.515528,2.543528,17.993647,-4.51769,9.210924,-310.409189,181.391519
현금ROA,부실(1),1509,-3.228599,-0.956137,16.702317,-5.93214,2.499249,-144.384291,111.87905
금융비용대매출액_ratio_industry,정상(0),38399,10.604041,0.794113,462.711989,0.122822,2.257855,-0.016496,54468.085106
금융비용대매출액_ratio_industry,부실(1),1509,88.105879,4.095919,513.834222,1.647828,16.249214,0.001163,10370.37037
순이익률_ratio,정상(0),38399,-35.551989,0.597972,3861.20296,0.111882,1.867374,-665742.663899,44947.303996
순이익률_ratio,부실(1),1509,-63.873443,-1.644171,935.816538,-8.566076,0.013033,-32799.156149,7128.127047
ROE_diff,정상(0),38399,3.065492,6.752368,2574.342477,-1.028294,24.35529,-496203.641346,65229.463787
ROE_diff,부실(1),1509,-23.671191,-5.464321,411.718152,-29.739525,49.937135,-12835.182817,2694.346224
순운전자본대총자본_ratio_industry,정상(0),38399,1.083473,1.178606,9.872173,-0.375539,2.962041,-1723.199279,11.248237
순운전자본대총자본_ratio_industry,부실(1),1509,-5.169814,-1.366763,72.553437,-3.824596,0.638551,-2704.467926,10.492813
매입채무지급기간_diff,정상(0),38399,27.18743,-80.241489,2644.356801,-157.602975,-14.218265,-336.538541,352982.295538
매입채무지급기간_diff,부실(1),1509,1085.989155,-83.768507,22143.339981,-176.343836,31.531855,-336.410181,825138.210943
비유동장기적합률_ratio,정상(0),38399,1.296359,0.677643,39.848425,0.301412,1.088709,0.0,7731.274234
비유동장기적합률_ratio,부실(1),1509,8.865722,1.417531,19.173848,0.829506,3.772282,0.0,236.173554
매출액순이익률_diff_industry,정상(0),38399,-70.391292,0.024407,6438.783873,-1.598227,3.619412,-921001.53,115178.18
매출액순이익률_diff_industry,부실(1),1509,-179.052602,-7.838903,2023.45828,-29.156684,-1.995212,-61757.505556,15188.986667
영업이익률_ratio,정상(0),38399,-15.2415,0.577073,1369.418885,0.166672,1.404401,-188684.606112,29.285864
영업이익률_ratio,부실(1),1509,-28.204366,-0.740525,326.841372,-3.311587,0.013475,-11735.392087,16.586773
매출채권회전율_diff,정상(0),38399,146.79525,-4.229126,1735.578666,-9.829396,23.842782,-22.137856,148223.969245
매출채권회전율_diff,부실(1),1509,203.379534,-3.230508,1321.08704,-9.369676,25.841054,-21.812147,44726.140864
판관비율,정상(0),38399,96.562369,13.535022,6216.044586,6.476852,27.300593,-118.157268,938800.0
판관비율,부실(1),1509,166.293039,28.466387,1584.037698,12.493258,62.928316,0.121429,53833.333333
부채비율,정상(0),38399,916.62507,153.372128,19098.210553,60.58052,332.988489,-6.280448,3053200.0
부채비율,부실(1),1509,7726.965401,451.109251,22713.9753,140.917166,10670.127473,0.0,712300.0
유보율_diff,정상(0),38399,-5557.05192,-10579.709065,30271.162216,-13022.103281,-4215.329733,-979861.975801,2474872.924713
유보율_diff,부실(1),1509,-11268.246932,-12046.852157,34822.824361,-15030.119261,-4830.522114,-1042618.7919,211808.024199
자기자본비율_diff_industry,정상(0),38399,-2.597012,-3.490369,132.92081,-19.649783,19.268064,-23238.622951,67.291321
자기자본비율_diff_industry,부실(1),1509,-73.997858,-24.155966,1019.172876,-43.952773,-0.495653,-38285.056471,61.640005
총자산회전율_ratio,정상(0),38399,2.374138,1.475819,8.779794,0.670583,2.543712,0.0,1000.881464
총자산회전율_ratio,부실(1),1509,1.439758,0.835788,2.689377,0.25051,1.716651,0.0,43.697511
순이익증가율_diff,정상(0),38399,25.375582,7.243581,4044.481247,-64.373329,65.22708,-396659.423086,204621.082079
순이익증가율_diff,부실(1),1509,-119.960562,7.243581,1549.114334,-94.168144,48.409622,-55448.409283,5613.22708
자본잠식률,정상(0),38399,-6994.783547,-1595.890411,30475.082384,-5322.222222,-395.506073,-2329300.0,1002420.0
자본잠식률,부실(1),1509,-719.5496,-92.727273,35441.886903,-1390.677134,106.230896,-227270.0,1065940.0
부채비율변화,정상(0),38399,-15.682085,-0.698148,24078.611182,-25.546389,7.938668,-3050399.808795,3045959.761905
부채비율변화,부실(1),1509,890.239429,0.0,19922.05439,-4.08617,34.610195,-76553.958944,703622.093023
장기부채비율,정상(0),38399,227.136193,15.093039,6580.070307,2.291707,61.257101,-22.553191,1182800.0
장기부채비율,부실(1),1509,1590.426863,68.241426,6957.791008,10.946158,1527.595628,0.0,244285.714286
현금ROE_ratio,정상(0),38399,0.101054,0.957833,930.088738,-3.976824,6.265685,-84687.78652,159103.478544
현금ROE_ratio,부실(1),1509,15.299548,0.116836,331.213341,-5.095541,15.559279,-1810.044451,8798.449254
유동비율변화_diff,정상(0),38399,34.85547,3.306951,6837.298423,-15.538246,20.3994,-744700.22894,744349.428446
유동비율변화_diff,부실(1),1509,-186.743017,-4.933355,8500.950268,-23.915901,11.705459,-328162.591045,19542.647047
자기자본증가율,정상(0),38399,15.449913,5.899232,1812.688781,0.0,17.695651,-318700.0,104500.0
자기자본증가율,부실(1),1509,40.168592,-5.129261,1793.543131,-29.925926,1.725293,-17242.857143,57080.645161
유형자산비율_ratio,정상(0),38399,0.848429,0.580317,0.860826,0.086757,1.382174,0.0,3.908068
유형자산비율_ratio,부실(1),1509,1.097347,0.714381,1.078753,0.09718,2.007505,0.0,3.908466
총자산증가율_diff_industry,정상(0),38399,2.536003,-4.454328,81.408447,-10.429977,7.148645,-109.360959,11686.884644
총자산증가율_diff_industry,부실(1),1509,-9.396606,-10.552449,40.895766,-22.846172,-2.353549,-108.648414,741.039937
순운전자본비율_diff,정상(0),38399,13.371107,14.685253,132.122164,-5.411747,37.687763,-23194.383184,103.803761
순운전자본비율_diff,부실(1),1509,-64.939209,-17.470344,1010.668575,-47.48155,7.229714,-38244.319364,100.228605
FCF_총자산_ratio,정상(0),38399,-8.673462,-0.856403,194.914218,-6.247192,3.499319,-6830.882384,8308.870483
FCF_총자산_ratio,부실(1),1509,40.9379,1.071311,1087.33307,-1.649675,6.416142,-4467.108539,40567.978003
영업현금흐름비율_diff,정상(0),38399,-86.668377,0.668962,6141.116926,-4.139954,6.204318,-677402.773507,112653.533115
영업현금흐름비율_diff,부실(1),1509,-134.619555,-5.008536,1285.018879,-17.944342,1.162079,-34416.466885,1493.197564
ROIC_diff,정상(0),38399,5.73798,1.545328,714.679505,-3.307944,8.594308,-11351.652402,97091.082835
ROIC_diff,부실(1),1509,-108.066882,-6.595617,2128.470089,-19.768998,-3.142276,-82111.685024,14.275256
유동자산회전율,정상(0),38399,3.834323,2.384594,9.830404,1.325946,4.097749,0.0,1106.663743
유동자산회전율,부실(1),1509,3.607677,2.072648,7.698658,0.964577,4.194953,0.0,196.573677
유동비율_ratio,정상(0),38399,4.512425,1.375075,64.172622,0.918926,2.380282,-0.005108,8324.039591
유동비율_ratio,부실(1),1509,2.002589,0.688281,10.91161,0.319947,1.19395,-0.03136,201.472883
순운전자본회전율_diff,정상(0),38399,9.202548,-4.829402,261.004102,-12.095375,1.273797,-52.427476,24613.715097
순운전자본회전율_diff,부실(1),1509,-5.918991,-5.832774,45.32257,-12.931462,-4.870735,-52.427476,794.586623
장기부채의존도,정상(0),38399,12.918974,5.569373,28.572318,0.968048,17.133895,-1.596867,2853.944734
장기부채의존도,부실(1),1509,21.537651,7.859227,83.997616,1.786221,25.674085,0.0,3075.114855
유형자산회전율_diff,정상(0),38399,603.918784,-0.234957,10833.628006,-4.811972,30.569779,-17.505489,1615318.214999
유형자산회전율_diff,부실(1),1509,330.100111,-3.291561,4776.229652,-5.932242,13.097352,-17.505489,172414.214999
유형자산증가율_ratio_industry,정상(0),38399,33.417904,0.0,1081.757952,-0.537049,1.118475,-33.670034,146013.052937
유형자산증가율_ratio_industry,부실(1),1509,77.635285,-0.257424,2819.259234,-2.198738,0.121046,-33.670034,109392.898053
비유동비율_ratio,정상(0),38399,2.991097,0.525457,95.637906,0.211919,1.127134,0.0,16553.108347
비유동비율_ratio,부실(1),1509,22.72714,1.815778,63.498902,0.729644,22.852312,0.0,1488.129947
매출액증가율,정상(0),38399,143.383763,0.006,18272.409296,-7.99841,13.438748,-100.0,3242000.0
매출액증가율,부실(1),1509,178.603987,-3.669477,4917.753892,-23.073194,12.319481,-100.0,183800.0
총부채비율,정상(0),38399,59.656103,60.53236,132.910739,37.726101,76.903517,-6.701321,23292.622951
총부채비율,부실(1),1509,131.609715,81.860995,1019.154117,58.493555,100.912669,0.0,38341.176471
비유동자산회전율_ratio,정상(0),38399,36.369761,2.195385,1133.356952,0.664462,7.308808,0.0,177217.064668
비유동자산회전율_ratio,부실(1),1509,7.475354,0.87042,51.850578,0.219344,2.575164,0.0,1380.482615
차입금의존도_ratio_industry,정상(0),38399,1.125682,0.955558,3.937301,0.130491,1.800664,0.0,735.862958
차입금의존도_ratio_industry,부실(1),1509,3.156882,1.850456,30.755303,0.920609,2.817267,0.0,1172.571953
재고자산보유기간_ratio,정상(0),38399,3.917478,1.026306,108.570371,0.36009,3.171564,4.6e-05,21064.011031
재고자산보유기간_ratio,부실(1),1509,11.690389,1.328569,49.155953,0.409242,4.615017,0.000258,1315.66455
감가상각비율,정상(0),38399,5.844779,0.606628,327.035367,0.187298,1.621891,-2.04918,44500.0
감가상각비율,부실(1),1509,19.654422,1.991443,240.07698,0.582879,6.087152,0.0,9100.0
영업CF_유동부채_diff,정상(0),38399,47.125934,2.04378,324.110474,-12.261564,38.934291,-20092.784046,32225.00066
영업CF_유동부채_diff,부실(1),1509,-13.178585,-12.649811,181.485347,-22.153206,-4.78589,-1121.272219,6742.42295
투하자본회전율_ratio,정상(0),38399,7.358324,1.342539,229.704347,0.482937,2.919547,0.0,35156.599416
투하자본회전율_ratio,부실(1),1509,3.89631,0.647169,39.589124,0.109961,1.580585,0.0,1275.989171
업력,정상(0),38374,22.20738,21.0,11.445349,14.0,28.0,2.0,105.0
업력,부실(1),1507,20.976775,19.0,12.331903,12.0,26.0,2.0,75.0
순차입금비율,정상(0),38399,504.467786,49.064171,13949.594695,-6.311909,165.974864,-12873.666667,2464800.0
순차입금비율,부실(1),1509,5098.222613,262.223551,11673.564335,65.220354,5061.49866,-2187.57764,245700.0
