연도,컬럼,fallback,q_lo_final,q_hi_final
2012,부채비율,연도×라벨,6.6019,7426.9007
2012,총부채비율,연도×라벨,6.177,137.5929
2012,장기부채비율,연도×라벨,0.0,1605.5411
2012,장기부채의존도,연도×라벨,0.0,90.6703
2012,차입금의존도,연도×라벨,0.0,97.0157
2012,순차입금비율,연도×라벨,-33.3061,3597.5886
2012,금융부채비율,연도×라벨,0.0,3654.7738
2012,자기자본비율,연도×라벨,-37.5929,93.8254
2012,유보율,연도×라벨,-1593.5224,9268.1171
2012,자본잠식률,연도×라벨,-13111.0185,1127.46
2012,유동비율,연도×라벨,5.4667,709.1191
2012,당좌비율_추정,연도×라벨,2.9025,698.9129
2012,현금비율,연도×라벨,0.0171,120.8757
2012,순운전자본비율,연도×라벨,-77.7391,73.3317
2012,순운전자본회전율,연도×라벨,0.0191,153.9834
2012,금융비용부담률,연도×라벨,0.0319,32.8105
2012,비유동비율,연도×라벨,20.805,2704.993
2012,비유동장기적합률,연도×라벨,13.6763,732.4102
2012,유형자산비율,연도×라벨,0.0,93.9347
2012,유형자산부채비율,연도×라벨,0.0,212.6128
2012,ROA,연도×라벨,-50.0063,17.7539
2012,ROE,연도×라벨,-166.9464,53.1333
2012,ROIC,연도×라벨,-60.841,5.0154
2012,총자본영업이익률,연도×라벨,-30.0694,3.9347
2012,매출총이익률,연도×라벨,-1.4895,100.0
2012,영업이익률,연도×라벨,-69.98,50.4529
2012,순이익률,연도×라벨,-150.2573,52.6834
2012,EBITDA마진,연도×라벨,-60.3723,59.3483
2012,영업현금흐름비율,연도×라벨,-81.2786,91.9068
2012,현금ROA,연도×라벨,-33.7463,41.8423
2012,현금ROE,연도×라벨,-262.6588,402.8562
2012,매출원가율,연도×라벨,0.0,101.4895
2012,판관비율,연도×라벨,2.1114,122.4868
2012,감가상각비율,연도×라벨,0.0,22.6887
2012,총자산회전율,연도×라벨,0.0081,6.8858
2012,유동자산회전율,연도×라벨,0.0202,17.3359
2012,비유동자산회전율,연도×라벨,0.0146,142.8125
2012,유형자산회전율,연도×라벨,0.0687,4709.4408
2012,자기자본회전율,연도×라벨,0.0086,100.0508
2012,투하자본회전율,연도×라벨,0.007,14.1
2012,매출채권회전율,연도×라벨,1.0059,443.5725
2012,매출채권회수기간,연도×라벨,1.0985,361.0501
2012,재고자산회전율,연도×라벨,0.6721,1127.4938
2012,재고자산보유기간,연도×라벨,0.6193,465.9066
2012,매입채무회전율,연도×라벨,0.1357,1259.2621
