SMOTE_Ratio,Feature_Set,Model,Num_Features,Accuracy,ROC_AUC,PR_AUC,F1,Precision,Recall
0.2,VIF5,LogisticRegression,51,0.9284,0.9113,0.3219,0.3893,0.3012,0.5503
0.2,VIF5,XGBoost,51,0.9337,0.9302,0.2965,0.382,0.3115,0.4937
0.2,VIF5,LightGBM,51,0.9385,0.9306,0.308,0.3969,0.3348,0.4874
0.2,VIF10,LogisticRegression,60,0.9288,0.9116,0.3163,0.3906,0.3028,0.5503
0.2,VIF10,XGBoost,60,0.935,0.9291,0.2985,0.3882,0.3185,0.4969
0.2,VIF10,LightGBM,60,0.9372,0.9321,0.3083,0.3888,0.3262,0.4811
0.2,VIF10_ALPHA005,LogisticRegression,19,0.9378,0.9128,0.3372,0.406,0.3361,0.5126
0.2,VIF10_ALPHA005,XGBoost,19,0.946,0.9428,0.3404,0.4119,0.3756,0.456
0.2,VIF10_ALPHA005,LightGBM,19,0.9455,0.9422,0.3337,0.4029,0.3691,0.4434
0.2,VIF5_AIC,LogisticRegression,32,0.9282,0.9138,0.327,0.3943,0.3034,0.5629
0.2,VIF5_AIC,XGBoost,32,0.9265,0.9186,0.2639,0.3491,0.2761,0.4748
0.2,VIF5_AIC,LightGBM,32,0.928,0.9182,0.2647,0.3397,0.2741,0.4465
0.3,VIF5,LogisticRegression,51,0.9154,0.9123,0.3239,0.3817,0.274,0.6289
0.3,VIF5,XGBoost,51,0.9301,0.9292,0.2981,0.3909,0.306,0.5409
0.3,VIF5,LightGBM,51,0.9379,0.9322,0.3121,0.405,0.3361,0.5094
0.3,VIF10,LogisticRegression,60,0.9138,0.9121,0.3195,0.3723,0.2667,0.6164
0.3,VIF10,XGBoost,60,0.9333,0.9291,0.3003,0.4009,0.3196,0.5377
0.3,VIF10,LightGBM,60,0.9365,0.9305,0.3007,0.3995,0.3286,0.5094
0.3,VIF10_ALPHA005,LogisticRegression,19,0.9284,0.913,0.3352,0.4103,0.3116,0.6006
0.3,VIF10_ALPHA005,XGBoost,19,0.9413,0.9425,0.3386,0.4417,0.3648,0.5597
0.3,VIF10_ALPHA005,LightGBM,19,0.9404,0.941,0.3369,0.4252,0.3543,0.5314
0.3,VIF5_AIC,LogisticRegression,32,0.9143,0.9149,0.3281,0.3796,0.2713,0.6321
0.3,VIF5_AIC,XGBoost,32,0.9231,0.9201,0.2717,0.3577,0.2738,0.5157
0.3,VIF5_AIC,LightGBM,32,0.9297,0.9239,0.277,0.3606,0.2895,0.478
0.5,VIF5,LogisticRegression,51,0.8938,0.9118,0.3204,0.356,0.2378,0.7075
0.5,VIF5,XGBoost,51,0.9242,0.9277,0.2944,0.3852,0.2903,0.5723
0.5,VIF5,LightGBM,51,0.9255,0.9238,0.2865,0.38,0.2902,0.5503
0.5,VIF10,LogisticRegression,60,0.8952,0.9118,0.3158,0.3632,0.2428,0.7201
0.5,VIF10,XGBoost,60,0.931,0.9279,0.2953,0.3982,0.3119,0.5503
0.5,VIF10,LightGBM,60,0.9342,0.9311,0.3071,0.3986,0.3212,0.5252
0.5,VIF10_ALPHA005,LogisticRegression,19,0.9051,0.9137,0.3346,0.3695,0.2551,0.6698
0.5,VIF10_ALPHA005,XGBoost,19,0.9319,0.9405,0.3364,0.4411,0.3344,0.6478
0.5,VIF10_ALPHA005,LightGBM,19,0.9329,0.9399,0.3342,0.4389,0.3361,0.6321
0.5,VIF5_AIC,LogisticRegression,32,0.8929,0.9146,0.3235,0.3561,0.2372,0.7138
0.5,VIF5_AIC,XGBoost,32,0.9175,0.9202,0.2706,0.3525,0.2614,0.5409
0.5,VIF5_AIC,LightGBM,32,0.9162,0.9171,0.2616,0.3409,0.253,0.522
0.7,VIF5,LogisticRegression,51,0.8789,0.9123,0.3191,0.3428,0.2212,0.761
0.7,VIF5,XGBoost,51,0.9248,0.9291,0.3031,0.3937,0.2959,0.5881
0.7,VIF5,LightGBM,51,0.9301,0.9296,0.3024,0.4071,0.314,0.5786
0.7,VIF10,LogisticRegression,60,0.8783,0.912,0.3148,0.3434,0.2212,0.7673
0.7,VIF10,XGBoost,60,0.9261,0.9278,0.3025,0.4017,0.3025,0.5975
0.7,VIF10,LightGBM,60,0.9305,0.9308,0.3061,0.3977,0.3104,0.5535
0.7,VIF10_ALPHA005,LogisticRegression,19,0.8905,0.914,0.3355,0.3531,0.2339,0.7201
0.7,VIF10_ALPHA005,XGBoost,19,0.928,0.9393,0.3282,0.4379,0.3238,0.6761
0.7,VIF10_ALPHA005,LightGBM,19,0.9235,0.9377,0.3266,0.414,0.3035,0.6509
0.7,VIF5_AIC,LogisticRegression,32,0.8727,0.9146,0.3219,0.3324,0.2124,0.7642
0.7,VIF5_AIC,XGBoost,32,0.9174,0.9246,0.2877,0.3776,0.2747,0.6038
0.7,VIF5_AIC,LightGBM,32,0.9181,0.9219,0.2786,0.3592,0.2659,0.5535
1.0,VIF5,LogisticRegression,51,0.8613,0.9125,0.3191,0.3242,0.2032,0.8019
1.0,VIF5,XGBoost,51,0.9221,0.9293,0.3006,0.4024,0.2952,0.6321
1.0,VIF5,LightGBM,51,0.9252,0.927,0.291,0.3872,0.2934,0.5692
1.0,VIF10,LogisticRegression,60,0.8614,0.9122,0.3141,0.3236,0.2029,0.7987
1.0,VIF10,XGBoost,60,0.9272,0.9297,0.3082,0.4114,0.3095,0.6132
1.0,VIF10,LightGBM,60,0.9276,0.9272,0.3019,0.4026,0.3061,0.5881
1.0,VIF10_ALPHA005,LogisticRegression,19,0.8728,0.914,0.3353,0.3336,0.2131,0.7673
1.0,VIF10_ALPHA005,XGBoost,19,0.9184,0.9383,0.3321,0.4153,0.2956,0.6981
1.0,VIF10_ALPHA005,LightGBM,19,0.9162,0.9355,0.3186,0.4077,0.2885,0.695
1.0,VIF5_AIC,LogisticRegression,32,0.8569,0.9144,0.3204,0.3258,0.2024,0.8333
1.0,VIF5_AIC,XGBoost,32,0.9104,0.921,0.2778,0.3609,0.2563,0.6101
1.0,VIF5_AIC,LightGBM,32,0.9089,0.917,0.2655,0.3549,0.2513,0.6038
