회사명,사업자등록번호,회계년도,y_true,y_prob,y_pred,correct,error_type
엘브이엠씨홀딩스(주),0008110041,2014,0,0.0007,0,1,TN
엘브이엠씨홀딩스(주),0008110041,2015,0,0.0014,0,1,TN
엘브이엠씨홀딩스(주),0008110041,2016,0,0.0021,0,1,TN
엘브이엠씨홀딩스(주),0008110041,2017,0,0.0005,0,1,TN
엘브이엠씨홀딩스(주),0008110041,2018,0,0.6376,1,0,FP
엘브이엠씨홀딩스(주),0008110041,2019,0,0.8185,1,0,FP
엘브이엠씨홀딩스(주),0008110041,2020,1,0.9334,1,1,TP
서원물산(주),1018106586,2014,0,0.7185,1,0,FP
서원물산(주),1018106586,2015,1,0.9196,1,1,TP
현대코퍼레이션(주),1018116269,2014,0,0.0707,0,1,TN
현대코퍼레이션(주),1018116269,2015,0,0.0382,0,1,TN
현대코퍼레이션(주),1018116269,2016,0,0.0077,0,1,TN
현대코퍼레이션(주),1018116269,2017,0,0.0153,0,1,TN
현대코퍼레이션(주),1018116269,2018,0,0.0011,0,1,TN
현대코퍼레이션(주),1018116269,2019,0,0.0059,0,1,TN
현대코퍼레이션(주),1018116269,2020,0,0.0015,0,1,TN
현대코퍼레이션(주),1018116269,2021,0,0.0068,0,1,TN
현대코퍼레이션(주),1018116269,2022,0,0.0027,0,1,TN
현대코퍼레이션(주),1018116269,2023,0,0.0024,0,1,TN
현대코퍼레이션(주),1018116269,2024,0,0.001,0,1,TN
주식회사승전상사,1018116478,2014,0,0.0352,0,1,TN
주식회사승전상사,1018116478,2015,0,0.0007,0,1,TN
주식회사승전상사,1018116478,2016,0,0.0309,0,1,TN
주식회사승전상사,1018116478,2017,0,0.0081,0,1,TN
주식회사승전상사,1018116478,2018,0,0.2986,0,1,TN
주식회사승전상사,1018116478,2019,0,0.6423,1,0,FP
주식회사승전상사,1018116478,2020,1,0.8967,1,1,TP
에이치디엑스(주),1018117953,2014,0,0.0023,0,1,TN
에이치디엑스(주),1018117953,2015,0,0.0025,0,1,TN
에이치디엑스(주),1018117953,2016,0,0.0023,0,1,TN
에이치디엑스(주),1018117953,2017,0,0.0017,0,1,TN
에이치디엑스(주),1018117953,2018,0,0.0162,0,1,TN
에이치디엑스(주),1018117953,2019,0,0.1829,0,1,TN
에이치디엑스(주),1018117953,2020,0,0.0278,0,1,TN
에이치디엑스(주),1018117953,2021,0,0.2982,0,1,TN
에이치디엑스(주),1018117953,2022,0,0.4712,1,0,FP
에이치디엑스(주),1018117953,2023,0,0.0368,0,1,TN
에이치디엑스(주),1018117953,2024,0,0.0083,0,1,TN
세기P&C(주),1018118781,2014,0,0.0008,0,1,TN
세기P&C(주),1018118781,2015,0,0.0043,0,1,TN
세기P&C(주),1018118781,2016,0,0.0008,0,1,TN
세기P&C(주),1018118781,2017,0,0.0003,0,1,TN
세기P&C(주),1018118781,2018,0,0.0002,0,1,TN
세기P&C(주),1018118781,2019,0,0.0011,0,1,TN
세기P&C(주),1018118781,2020,0,0.0007,0,1,TN
세기P&C(주),1018118781,2021,0,0.0006,0,1,TN
세기P&C(주),1018118781,2022,0,0.0061,0,1,TN
세기P&C(주),1018118781,2023,0,0.5382,1,0,FP
세기P&C(주),1018118781,2024,0,0.0008,0,1,TN
광원전기(주),1018118985,2021,0,0.0005,0,1,TN
광원전기(주),1018118985,2022,0,0.0002,0,1,TN
광원전기(주),1018118985,2023,0,0.0002,0,1,TN
광원전기(주),1018118985,2024,0,0.0006,0,1,TN
