Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
1,총자본영업이익률_diff,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),1,2.394883,1,0.2066006609406477,0.0132267869461692,0,일치,0.0,2
2,금융비용부담률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),2,0.984711,3,0.1221206389189069,0.0111557863918287,1,일치,0.03409090909090909,2
2,ROA변화,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),3,0.68984693,2,0.1990791325038553,0.0098832490394457,1,일치,0.03409090909090909,2
4,자본잠식률,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),6,0.3337747,5,0.0339998106043727,0.0042982872680384,1,일치,0.10227272727272727,1
5,매출액순이익률_diff_industry,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),5,0.43658188,9,0.020422913871098,0.0070061911280587,4,소폭 불일치,0.13636363636363635,2
6,영업CF_유동부채_diff,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),9,0.18715121,7,0.0285414169311929,0.0087929097145065,2,일치,0.1590909090909091,5
7,ROIC_diff,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),4,0.48934308,13,0.0098901888755335,0.0040712598299519,9,대폭 불일치,0.17045454545454544,2
8,ROA_ratio,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),7,0.2824223,11,0.0124545807385762,0.0045455636840395,4,소폭 불일치,0.18181818181818182,2
9,매출액증가율,성장성 (Growth),★ 핵심피처 (SHAP+Perm 모두 높음),12,0.124345176,8,0.022987172922474,0.0044144685021176,4,소폭 불일치,0.20454545454545453,3
10,비유동장기적합률_ratio,안정성 (Solvency),"▲ 상호작용 (Perm 높음, SHAP 낮음)",18,0.089235574,6,0.0325702350256703,0.0022613656609212,12,대폭 불일치,0.25,1
11,순운전자본대총자본_ratio_industry,안정성 (Solvency),"▲ 상호작용 (Perm 높음, SHAP 낮음)",16,0.09615313,10,0.0134758176626829,0.0025557077935686,6,소폭 불일치,0.2727272727272727,1
11,차입금의존도_diff_industry,안정성 (Solvency),"△ 대체가능 (SHAP 높음, Perm 낮음)",10,0.13347343,16,0.0077612566398648,0.0045921271559068,6,소폭 불일치,0.2727272727272727,1
13,영업CF_총부채_diff,현금흐름 (Cash Flow),"▲ 상호작용 (Perm 높음, SHAP 낮음)",15,0.09626408,12,0.0123873231650576,0.0061365648832095,3,일치,0.28409090909090906,5
14,비유동자산회전율_ratio,활동성 (Activity),"△ 대체가능 (SHAP 높음, Perm 낮음)",11,0.12996009,18,0.0070120168808238,0.0037300302513394,7,소폭 불일치,0.3068181818181818,4
15,유형자산회전율_diff,활동성 (Activity),"△ 대체가능 (SHAP 높음, Perm 낮음)",13,0.105773434,17,0.0071140682099527,0.0022480584079892,4,소폭 불일치,0.3181818181818182,4
16,부채비율,안정성 (Solvency),"▲ 상호작용 (Perm 높음, SHAP 낮음)",31,0.057631847,4,0.0485005596381461,0.0032568314402973,27,대폭 불일치,0.375,1
17,자기자본비율_diff_industry,안정성 (Solvency),- 일반피처,23,0.07737937,14,0.0089531433812755,0.0016311812821348,9,대폭 불일치,0.3977272727272727,1
18,순이익증가율_diff,성장성 (Growth),- 일반피처,19,0.087998934,21,0.0065612479668303,0.0025183740502445,2,일치,0.4318181818181818,3
