통계표,업종코드,기업규모,계정항목,단위,변환,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","전산업","종합","매출채권","백만원","원자료","489,243,813","498,477,386","505,856,856","523,783,149","523,033,293","564,257,545","590,352,584","590,962,872","586,738,877","588,415,203","676,342,622","728,980,249","764,136,092","808,139,577"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","전산업","종합","유형자산","백만원","원자료","1,174,467,648","1,253,348,196","1,326,167,930","1,382,337,857","1,461,366,414","1,520,540,232","1,618,138,944","1,706,864,248","1,794,090,082","1,948,747,047","2,092,317,922","2,272,865,303","2,427,136,949","2,642,739,718"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","전산업","종합","매입채무","백만원","원자료","312,387,025","304,609,325","306,336,498","296,379,917","284,750,689","314,832,324","323,833,865","323,184,149","316,216,896","318,364,754","379,868,490","420,616,253","427,959,173","437,741,646"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","매출채권","백만원","원자료","420,443","470,313","540,059","602,199","656,109","675,939","792,882","864,244","953,698","963,427","1,114,735","1,218,776","1,326,076","1,315,582"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","유형자산","백만원","원자료","3,479,968","4,100,680","4,507,221","5,204,972","6,000,439","6,435,702","7,325,552","8,183,023","8,928,110","9,441,646","10,904,904","11,810,054","12,281,146","12,678,565"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","매입채무","백만원","원자료","371,024","525,379","623,390","578,518","623,436","633,167","625,816","721,077","793,891","832,298","863,766","1,017,353","1,130,214","1,042,236"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","A03 어업","종합","매출채권","백만원","원자료","172,591","196,534","203,307","221,350","211,782","250,763","256,012","220,486","201,228","252,469","245,328","321,246","198,175","190,967"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","A03 어업","종합","유형자산","백만원","원자료","1,128,305","1,254,143","1,290,970","1,378,135","1,359,880","1,360,290","1,350,366","1,425,900","1,502,816","1,422,917","1,361,992","1,340,481","1,207,497","1,210,407"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","A03 어업","종합","매입채무","백만원","원자료","155,624","161,995","148,283","137,049","139,742","155,703","154,366","153,312","153,459","137,946","164,919","185,464","124,041","137,521"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","B 광업","종합","매출채권","백만원","원자료","1,013,619","643,481","635,349","626,952","627,416","672,641","634,761","552,707","529,187","460,173","475,392","489,229","500,297","467,288"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","B 광업","종합","유형자산","백만원","원자료","4,260,988","4,914,278","4,969,272","4,975,679","5,186,970","4,847,522","4,188,564","4,332,394","4,555,609","4,749,633","5,139,233","5,898,894","10,568,012","11,855,098"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","B 광업","종합","매입채무","백만원","원자료","189,430","194,793","192,376","199,334","257,574","197,693","187,379","161,294","156,621","136,271","127,974","144,183","137,711","139,478"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","C 제조업","종합","매출채권","백만원","원자료","259,122,034","259,550,967","260,137,123","273,715,510","272,126,469","294,590,430","302,237,989","300,447,607","292,925,004","293,301,850","341,637,821","349,683,655","367,902,285","398,125,747"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","C 제조업","종합","유형자산","백만원","원자료","548,303,510","583,723,563","603,941,987","626,832,071","657,404,572","689,252,104","736,227,105","773,833,849","788,517,170","826,793,968","879,962,476","947,065,563","1,003,170,397","1,072,830,810"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","C 제조업","종합","매입채무","백만원","원자료","167,169,287","158,771,535","156,157,507","150,453,071","142,385,328","158,107,166","164,421,622","164,519,663","159,474,249","164,313,446","199,742,049","213,578,662","222,110,808","229,581,995"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C10 식료품","종합","매출채권","백만원","원자료","7,736,393","8,314,024","8,717,235","8,980,604","9,490,924","10,429,945","10,681,033","11,230,492","11,450,097","11,855,747","12,949,669","14,889,203","16,038,531","16,572,517"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C10 식료품","종합","유형자산","백만원","원자료","22,000,812","23,547,935","24,922,998","26,322,359","28,502,663","29,826,748","31,465,813","34,961,709","36,965,798","39,411,562","42,789,065","45,714,179","48,292,192","51,871,457"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C10 식료품","종합","매입채무","백만원","원자료","4,983,933","5,116,560","5,215,719","5,289,983","5,501,136","6,007,054","5,907,034","6,354,278","6,820,066","6,892,672","8,227,334","9,614,813","9,441,536","9,422,123"
