기준연도,생애주기,전체,부실,정상,부실률(%),부실비율,정상비율,WoE,IV,IV_합계,PDO_점수,위험점수_최종
2015,쇠퇴기,448,132,316,29.46,0.2707,0.1194,0.8188,0.1239,0.3763,572.4,100.0
2015,도입기,551,136,415,24.68,0.2789,0.1567,0.5763,0.0704,0.3763,565.4,84.3
2015,조정기,525,82,443,15.62,0.1685,0.1673,0.0076,0.0,0.3763,548.99,47.6
2015,성숙기,1048,93,955,8.87,0.191,0.3604,-0.6348,0.1075,0.3763,530.46,6.1
2015,성장기,568,46,522,8.1,0.095,0.1971,-0.7297,0.0745,0.3763,527.72,0.0
2016,쇠퇴기,487,153,334,31.42,0.2724,0.1161,0.8526,0.1332,0.4136,571.7,100.0
2016,도입기,583,160,423,27.44,0.2848,0.147,0.6613,0.0911,0.4136,566.18,87.6
2016,조정기,609,92,517,15.11,0.1642,0.1797,-0.0902,0.0014,0.4136,544.49,38.7
2016,성장기,588,53,535,9.01,0.0949,0.1859,-0.672,0.0611,0.4136,527.71,0.9
2016,성숙기,1176,105,1071,8.93,0.1872,0.372,-0.6866,0.1268,0.4136,527.29,0.0
2017,쇠퇴기,514,164,350,31.91,0.2597,0.1119,0.8422,0.1245,0.4104,570.45,100.0
2017,도입기,668,191,477,28.59,0.3023,0.1524,0.685,0.1027,0.4104,565.91,89.7
2017,조정기,682,100,582,14.66,0.1586,0.1859,-0.1585,0.0043,0.4104,541.57,34.2
2017,성장기,639,61,578,9.55,0.0971,0.1846,-0.6428,0.0563,0.4104,527.6,2.4
2017,성숙기,1263,117,1146,9.26,0.1855,0.3659,-0.6794,0.1226,0.4104,526.54,0.0
2018,쇠퇴기,572,181,391,31.64,0.2509,0.1159,0.7724,0.1043,0.4239,566.77,100.0
2018,도입기,711,221,490,31.08,0.3062,0.1452,0.7461,0.1201,0.4239,566.01,98.3
2018,조정기,744,123,621,16.53,0.1707,0.184,-0.0748,0.001,0.4239,542.32,44.1
2018,성장기,685,70,615,10.22,0.0974,0.1822,-0.6257,0.053,0.4239,526.43,7.8
2018,성숙기,1389,128,1261,9.22,0.1776,0.3734,-0.743,0.1455,0.4239,523.04,0.0
2019,쇠퇴기,663,212,451,31.98,0.2562,0.1195,0.7624,0.1042,0.3886,565.75,100.0
2019,도입기,831,249,582,29.96,0.3008,0.1542,0.6681,0.0979,0.3886,563.03,93.5
2019,조정기,832,142,690,17.07,0.1718,0.1828,-0.0621,0.0007,0.3886,541.96,43.2
2019,성장기,775,77,698,9.94,0.0934,0.1849,-0.6827,0.0625,0.3886,524.06,0.5
2019,성숙기,1505,149,1356,9.9,0.1802,0.3591,-0.6894,0.1233,0.3886,523.86,0.0
2020,도입기,830,278,552,33.49,0.2996,0.1356,0.7931,0.1301,0.4358,565.55,100.0
2020,쇠퇴기,713,234,479,32.82,0.2523,0.1177,0.7628,0.1027,0.4358,564.67,98.0
2020,조정기,954,166,788,17.4,0.1791,0.1935,-0.077,0.0011,0.4358,540.44,42.3
2020,성장기,889,89,800,10.01,0.0963,0.1964,-0.7129,0.0714,0.4358,522.09,0.1
2020,성숙기,1618,162,1456,10.01,0.1748,0.3574,-0.715,0.1305,0.4358,522.03,0.0
2021,쇠퇴기,771,267,504,34.63,0.2534,0.1104,0.8314,0.119,0.4181,566.29,100.0
2021,도입기,1039,319,720,30.7,0.3027,0.1576,0.6526,0.0947,0.4181,561.14,88.9
2021,조정기,1060,193,867,18.21,0.1833,0.1898,-0.0345,0.0002,0.4181,541.31,46.1
2021,성숙기,1700,175,1525,10.29,0.1663,0.3337,-0.6966,0.1166,0.4181,522.21,5.0
2021,성장기,1056,101,955,9.56,0.0962,0.209,-0.7763,0.0876,0.4181,519.91,0.0
2022,쇠퇴기,862,300,562,34.8,0.2528,0.114,0.7968,0.1107,0.3782,564.08,100.0
2022,도입기,1243,368,875,29.61,0.3101,0.1774,0.5584,0.0741,0.3782,557.2,84.4
2022,조정기,1064,208,856,19.55,0.1754,0.1735,0.0108,0.0,0.3782,541.4,48.5
2022,성장기,1049,114,935,10.87,0.0963,0.1895,-0.6767,0.0631,0.3782,521.56,3.4
2022,성숙기,1905,198,1707,10.39,0.167,0.346,-0.7282,0.1303,0.3782,520.08,0.0
2023,도입기,1132,410,722,36.22,0.3144,0.1499,0.7407,0.1219,0.4289,559.07,100.0
2023,쇠퇴기,945,335,610,35.45,0.257,0.1267,0.7074,0.0922,0.4289,558.1,97.9
2023,조정기,1172,232,940,19.8,0.1781,0.1951,-0.0914,0.0016,0.4289,535.06,47.6
2023,성장기,903,123,780,13.62,0.0946,0.1619,-0.5376,0.0362,0.4289,522.18,19.4
2023,성숙기,1972,205,1767,10.4,0.1574,0.3667,-0.8458,0.177,0.4289,513.29,0.0
2024,도입기,1143,490,653,42.87,0.3249,0.1416,0.8307,0.1523,0.4674,556.22,100.0
2024,쇠퇴기,984,375,609,38.11,0.2488,0.1321,0.6333,0.0739,0.4674,550.53,88.9
2024,조정기,1194,267,927,22.36,0.1772,0.201,-0.1257,0.003,0.4674,528.63,46.4
2024,성장기,799,153,646,19.15,0.1017,0.1401,-0.3202,0.0123,0.4674,523.02,35.5
2024,성숙기,2004,224,1780,11.18,0.1487,0.3858,-0.9531,0.2259,0.4674,504.75,0.0
