사업자등록번호,회사명,prob_2021,prob_2022,prob_2023,prob_2024,pred_label_2021,pred_label_2022,pred_label_2023,pred_label_2024,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score
3128663896,(주)비전오토모빌,0.0038,0.1806,0.622,0.9458,0,0,1,1,0.1768,0.4414,0.3238,95.33
1268126922,(주)홈우드,0.0004,0.1423,0.5706,0.914,0,0,1,1,0.1419,0.4283,0.3434,94.93
1138673991,통우인터내셔널(주),0.0012,0.0018,0.2057,0.9584,0,0,0,1,0.0006,0.2039,0.7527,94.92
2118881810,주식회사셀러허브,0.0017,0.0081,0.1691,0.9053,0,0,0,1,0.0064,0.161,0.7362,94.69
1018124906,국제갤러리홀딩(주),0.0015,0.0114,0.5984,0.9339,0,0,1,1,0.0099,0.587,0.3355,94.62
1258603746,에이스메탈(주),0.0005,0.0029,0.5266,0.9369,0,0,1,1,0.0024,0.5237,0.4103,94.58
2148736452,주식회사뷰티르샤,0.0017,0.1999,0.8014,0.9556,0,0,1,1,0.1982,0.6015,0.1542,94.52
2148728739,(주)나이스커피시스템,0.0009,0.0893,0.7141,0.9322,0,0,1,1,0.0884,0.6248,0.2181,94.47
8298700149,주식회사지오에너지,0.0005,0.0049,0.3279,0.8899,0,0,0,1,0.0044,0.323,0.562,94.38
5768800693,(주)다름플러스,0.001,0.1629,0.8556,0.9749,0,0,1,1,0.1619,0.6927,0.1193,94.3
1208673437,주식회사정우엠아이티,0.206,0.3063,0.6217,0.9296,0,0,1,1,0.1003,0.3154,0.3079,94.23
3018702178,주식회사서호비디,0.0055,0.1629,0.8224,0.9472,0,0,1,1,0.1574,0.6595,0.1248,94.09
1078190632,(주)하스오토메이션코리아,0.0177,0.4825,0.783,0.9546,0,1,1,1,0.4648,0.3005,0.1716,94.06
5148196886,(주)미래물산,0.0191,0.0371,0.7439,0.9406,0,0,1,1,0.018,0.7068,0.1967,94.06
1408117939,주식회사푸드팜,0.0022,0.0074,0.6,0.912,0,0,1,1,0.0052,0.5926,0.312,94.02
7778600521,(주)시코쿠통신,0.0033,0.2433,0.8645,0.9642,0,0,1,1,0.24,0.6212,0.0997,94.0
1328609087,주식회사씨엔어스,0.0044,0.0598,0.3907,0.8464,0,0,0,1,0.0554,0.3309,0.4557,93.69
2018180265,(주)바이크코리아,0.0013,0.0058,0.7826,0.946,0,0,1,1,0.0045,0.7768,0.1634,93.64
8868100081,(주)판디아메디텍,0.0009,0.011,0.8496,0.9699,0,0,1,1,0.0101,0.8386,0.1203,93.63
1208802580,(주)더월,0.0002,0.001,0.5928,0.911,0,0,1,1,0.0008,0.5918,0.3182,93.4
4968602009,(주)교원,0.001,0.512,0.861,0.9601,0,1,1,1,0.511,0.349,0.0991,93.36
4748100554,주식회사씨앤피물류,0.0011,0.0439,0.8812,0.9623,0,0,1,1,0.0428,0.8373,0.0811,93.34
6168153280,주식회사제주미래에너지,0.0329,0.1384,0.5866,0.8616,0,0,1,1,0.1055,0.4482,0.275,93.33
2948100695,(주)더썬테크,0.0064,0.0828,0.3018,0.8165,0,0,0,1,0.0764,0.219,0.5147,93.26
6358100130,(주)월곶식자재,0.2196,0.659,0.7338,0.9518,0,1,1,1,0.4394,0.0748,0.218,93.18
1658602522,코제노벨머티얼리스코리아주식회사,0.0056,0.016,0.7509,0.9074,0,0,1,1,0.0104,0.7349,0.1565,93.15
4108661173,주식회사삼성모터스,0.0025,0.047,0.8709,0.9508,0,0,1,1,0.0445,0.8239,0.0799,93.14
1288640279,(주)애그리로보텍,0.0047,0.006,0.6927,0.9163,0,0,1,1,0.0013,0.6867,0.2236,93.13
3148639655,주식회사브이디코랩,0.0035,0.0174,0.5961,0.8658,0,0,1,1,0.0139,0.5787,0.2697,93.12
7498700111,주식회사보람푸드,0.0016,0.0465,0.7895,0.9082,0,0,1,1,0.0449,0.743,0.1187,93.08
1298617733,(주)비즈바이오,0.0022,0.0137,0.5543,0.8599,0,0,1,1,0.0115,0.5406,0.3056,93.03
2118894940,(주)로사퍼시픽,0.0026,0.0214,0.4516,0.8282,0,0,1,1,0.0188,0.4302,0.3766,92.91
5348100064,주식회사일상의친구,0.107,0.4457,0.568,0.8704,0,1,1,1,0.3387,0.1223,0.3024,92.89
1198624668,(주)딘트,0.0005,0.0022,0.7301,0.9118,0,0,1,1,0.0017,0.7279,0.1817,92.89
4148601482,주식회사블랙홀릭,0.0002,0.0017,0.5922,0.8805,0,0,1,1,0.0015,0.5905,0.2883,92.86
1218138743,만복철강(주),0.0059,0.5794,0.6862,0.9047,0,1,1,1,0.5735,0.1068,0.2185,92.86
5888700059,(주)블루엠텍,0.0047,0.0264,0.1188,0.8009,0,0,0,1,0.0217,0.0924,0.6821,92.7
4188105807,(주)성전건설,0.0007,0.0013,0.6891,0.9082,0,0,1,1,0.0006,0.6878,0.2191,92.67
1048162971,주식회사서원상사,0.0821,0.6666,0.7413,0.9252,0,1,1,1,0.5845,0.0747,0.1839,92.66
4108148141,(주)우리로,0.0046,0.0131,0.8295,0.9255,0,0,1,1,0.0085,0.8164,0.096,92.61
1068178372,(주)티앤티정보,0.0002,0.0032,0.594,0.8598,0,0,1,1,0.003,0.5908,0.2658,92.52
6088171900,(주)삼진스틸,0.0133,0.0307,0.7425,0.8782,0,0,1,1,0.0174,0.7118,0.1357,92.49
1078630089,(주)더존월드,0.002,0.0058,0.1833,0.8048,0,0,0,1,0.0038,0.1775,0.6215,92.48
5428600304,주식회사윙잇,0.0228,0.5176,0.9345,0.9794,0,1,1,1,0.4948,0.4169,0.0449,92.37
7278800438,주식회사세종월드산업,0.01,0.0882,0.6648,0.841,0,0,1,1,0.0782,0.5766,0.1762,92.37
1288172650,(주)유니지오코리아,0.0015,0.067,0.2134,0.7712,0,0,0,1,0.0655,0.1464,0.5578,92.36
6098116308,신화철강(주),0.0033,0.1393,0.5436,0.8055,0,0,1,1,0.136,0.4043,0.2619,92.26
2148761418,주식회사오트리푸드,0.0036,0.004,0.6396,0.8833,0,0,1,1,0.0004,0.6356,0.2437,92.22
2208185825,(주)신화팝빌리지,0.0038,0.108,0.6089,0.8173,0,0,1,1,0.1042,0.5009,0.2084,92.19
8688602072,주식회사현도홀딩스,0.0075,0.0576,0.8371,0.9053,0,0,1,1,0.0501,0.7795,0.0682,92.18
1078118057,(주)어진철강,0.0026,0.1544,0.4421,0.7787,0,0,1,1,0.1518,0.2877,0.3366,92.11
2158103350,주식회사에네스에프,0.0359,0.3938,0.7837,0.877,0,0,1,1,0.3579,0.3899,0.0933,92.04
1288640134,동방페이퍼주식회사,0.0026,0.0045,0.2585,0.7965,0,0,0,1,0.0019,0.254,0.538,92.03
1378121645,(주)은성목재,0.0019,0.0086,0.4585,0.8023,0,0,1,1,0.0067,0.4499,0.3438,92.03
2018615721,주식회사더블유미션,0.0008,0.0028,0.209,0.792,0,0,0,1,0.002,0.2062,0.583,92.0
1058175799,복정제형(주),0.0002,0.0023,0.4674,0.8127,0,0,1,1,0.0021,0.4651,0.3453,91.99
1218606213,주식회사에스와이보드,0.0017,0.0322,0.1226,0.7587,0,0,0,1,0.0305,0.0904,0.6361,91.98
1408115760,(주)신보유통,0.0007,0.5889,0.8531,0.9212,0,1,1,1,0.5882,0.2642,0.0681,91.95
1438117879,에이프로젠파마(주),0.0001,0.3445,0.8444,0.9044,0,0,1,1,0.3444,0.4999,0.06,91.95
8438700126,주식회사디아이비즈,0.1476,0.5557,0.9546,0.9852,0,1,1,1,0.4081,0.3989,0.0306,91.87
2208116217,(주)케미코,0.0002,0.0003,0.2591,0.8296,0,0,0,1,0.0001,0.2588,0.5705,91.83
1788601188,(주)슬로우스탠다드,0.0017,0.0032,0.3937,0.8035,0,0,0,1,0.0015,0.3905,0.4098,91.73
2108100440,주식회사대경퍼시픽,0.3539,0.5252,0.7137,0.8713,0,1,1,1,0.1713,0.1885,0.1576,91.73
1138171135,(주)바우글로벌,0.003,0.0238,0.9349,0.9616,0,0,1,1,0.0208,0.9111,0.0267,91.65
1068186474,(주)이태원타운,0.0044,0.0751,0.545,0.78,0,0,1,1,0.0707,0.4699,0.235,91.61
4088130013,엘스타약품주식회사,0.0147,0.0282,0.6117,0.8143,0,0,1,1,0.0135,0.5835,0.2026,91.6
2198128576,주식회사길,0.0532,0.1247,0.3411,0.7548,0,0,0,1,0.0715,0.2164,0.4137,91.55
8388602182,주식회사섬강레저,0.0053,0.0217,0.4969,0.7802,0,0,1,1,0.0164,0.4752,0.2833,91.55
2048701989,주식회사수정,0.0064,0.0628,0.9189,0.9437,0,0,1,1,0.0564,0.8561,0.0248,91.55
4798801071,주식회사리씽크,0.0033,0.6304,0.9445,0.9706,0,1,1,1,0.6271,0.3141,0.0261,91.51
8108600319,(주)라벡스,0.0019,0.0382,0.9073,0.9366,0,0,1,1,0.0363,0.8691,0.0293,91.5
1268105081,(주)신양,0.0024,0.0052,0.8879,0.9403,0,0,1,1,0.0028,0.8827,0.0524,91.48
6028118080,(주)해우농수산,0.0017,0.003,0.6542,0.8445,0,0,1,1,0.0013,0.6512,0.1903,91.47
1448120042,주식회사케이브랜즈,0.0021,0.6887,0.8781,0.9353,0,1,1,1,0.6866,0.1894,0.0572,91.47
1798801318,주식회사루덴스,0.0047,0.0804,0.9674,0.9803,0,0,1,1,0.0757,0.887,0.0129,91.45
2118738806,케이지씨라이프앤진,0.0005,0.0055,0.7237,0.8466,0,0,1,1,0.005,0.7182,0.1229,91.4
3138800466,주식회사더이안,0.0007,0.0088,0.013,0.8197,0,0,0,1,0.0081,0.0042,0.8067,91.31
2118817109,(주)에스엠브랜드마케팅,0.0004,0.0001,0.5792,0.9612,0,0,1,1,-0.0003,0.5791,0.382,91.24
8488800152,주식회사에스티와이텔레콤,0.0018,0.0023,0.0106,0.8485,0,0,0,1,0.0005,0.0083,0.8379,91.2
5818600992,지엘앤코(주),0.0018,0.0354,0.735,0.8282,0,0,1,1,0.0336,0.6996,0.0932,91.13
2368602106,주식회사한국바이오,0.0046,0.0065,0.7356,0.855,0,0,1,1,0.0019,0.7291,0.1194,91.11
2068629007,주식회사엠지티앤씨,0.0025,0.8228,0.9521,0.9847,0,1,1,1,0.8203,0.1293,0.0326,91.02
1208653367,하이네켄코리아(주),0.0002,0.0001,0.7048,0.9176,0,0,1,1,-0.0001,0.7047,0.2128,90.92
1408172820,엘마트(주)-시흥,0.0011,0.0031,0.4262,0.7627,0,0,0,1,0.002,0.4231,0.3365,90.86
1298628661,(주)트레바이오,0.0029,0.0034,0.8381,0.9073,0,0,1,1,0.0005,0.8347,0.0692,90.85
2148141045,(주)오진양행,0.0003,0.1207,0.2045,0.7099,0,0,0,1,0.1204,0.0838,0.5054,90.84
1178150466,주식회사레몽,0.3099,0.5215,0.8899,0.9217,0,1,1,1,0.2116,0.3684,0.0318,90.81
