회계년도,종업원,부채비율,총부채비율,장기부채비율,장기부채의존도,차입금의존도,순차입금비율,금융부채비율,자기자본비율,유보율,자본잠식률,유동비율,당좌비율_추정,현금비율,순운전자본비율,순운전자본회전율,금융비용부담률,비유동비율,비유동장기적합률,유형자산비율,유형자산부채비율,ROA,ROE,ROIC,총자본영업이익률,매출총이익률,영업이익률,순이익률,EBITDA마진,영업현금흐름비율,현금ROA,현금ROE,매출원가율,판관비율,감가상각비율,총자산회전율,유동자산회전율,비유동자산회전율,유형자산회전율,자기자본회전율,투하자본회전율,매출채권회전율,매출채권회수기간,재고자산회전율,재고자산보유기간,매입채무회전율,매입채무지급기간,현금전환주기_CCC,영업CF_유동부채,영업CF_총부채,FCF,FCF_총자산,매출액증가율,영업이익증가율,순이익증가율,EBITDA증가율,총자산증가율,유형자산증가율,자기자본증가율,부채증가율,영업현금흐름증가율,FCF증가율,ROA변화,영업이익률변화,부채비율변화,유동비율변화,부실라벨_ICR3년,빅4감사
2012,5984.5,177.1619125694643,60.24040977746906,54.013799438568796,20.9911311237894,29.739116430193974,71.40731623477505,86.03054082328075,39.75958982405356,384652.9702342775,-6284.2543816868,86.64493810400123,71.69575143010927,9.463151785775235,-2.310423191269966,14.60021940623658,1.0405773346998992,156.46630076670985,99.90164367829433,32.833784762257785,63.43655288962968,1.9257970616524624,4.17989150151628,2.6755894795590347,2.7800089338820673,27.215800804322164,6.22042547970881,4.766923767310466,8.802477548658922,6.600282270022239,4.376501025427593,11.979256157756621,72.78418902323331,20.99539196584081,2.582052068950112,1.1687029585466744,4.020471706293172,2.369354461779324,16.103736450000838,3.640115395281005,1.9195513996109148,13.366289553736626,109.77765140851432,17.566127253245334,33.41720023334369,6.214854046624914,330.14670013577495,-186.95184849391688,12.590432669702745,7.76717089966027,-322361.8,-2.5114987121833185,8.254491270994865,-9.354433263058489,-24.417302370714815,-3.6332943676019753,10.917553955892801,24.207424107675237,8.628794169887925,16.448512006301307,42.4692839338818,-39.526959256629574,-5.597899838682711,-3.0689674396574693,-1.7356883692114622,-8.568061311639388,0.0,1.0
2013,6010.6,175.84556339805698,60.46768877134207,58.09351148502246,22.405008753602388,30.114959337378757,73.12326072605974,85.12441700034523,39.532308921627596,424953.1264446458,-6795.473726854832,109.66504573788225,88.98052226770372,9.456696673606046,4.388299042762223,22.579386417052607,1.0218701977688336,153.6199142407542,96.54606518621821,33.993832565143975,66.20475572008837,1.4257690102689802,2.600414524914472,3.6236874154460508,3.401726235347688,28.318390103069476,6.663168831869859,4.415255737681531,9.292735861091185,7.276886563872916,2.543911022919212,5.764776115877265,71.68160715163604,21.65522534043926,2.6295670292213273,1.2318459608792827,3.9824047856250915,2.438190399229936,16.151830838299425,3.702437875325675,2.0089918164868013,12.98084897915913,108.57474805856289,12.623965373864968,38.64031542661295,5.418772385141455,270.7437976339884,-123.52873414881256,10.237900917331876,5.146394907608814,-86429.6,-0.8760654390922328,1.8419973526707316,-5.113364194116463,-27.55655242781095,-2.708693822900132,4.892357296499363,4.64544722724335,3.116633228576123,7.148908192068765,94.29225190083145,32.17594305170775,-1.7199122822597992,-0.37239755955614595,3.04856498267224,19.73649104967714,0.0,1.0
2014,6010.6,174.19179581933423,59.34984153122342,53.248758669806286,20.865644572349474,29.883601961244768,73.6607682364899,87.1239844029816,40.650160780947225,496329.1578622266,-7741.311654935358,112.92035901232478,89.77530860636588,11.83475901810779,4.283922668435625,45.401918048045204,0.9377032552439539,149.14444304212984,96.62213386235318,34.290245444517986,70.07669240251367,2.138290839314406,5.012345596936191,3.390352630180908,3.4765030482198958,30.255759845317336,6.598984108894236,5.043567229738098,9.61299678316405,4.385989458829327,2.129544950077335,3.228398684243276,69.74423963122216,23.65677974876989,3.0140126742698152,1.2166593908399057,3.852971084025974,2.425157376401503,17.99608140146015,3.7047140344172265,1.9650152826688125,13.452938314481788,109.2882986294024,12.403957769457291,42.825523949276466,5.654135381718403,214.12723773885122,-62.01341516017235,9.507609979721291,4.917798494269808,-56461.2,-1.0489295248380954,6.473928460014962,25.05536694219331,92.45470608396889,35.49167396079712,4.729288050781543,4.862692351244666,6.780616610377011,2.101427261508276,-2.3758362282017016,-17.7241034465904,0.7125218290454256,-0.06418472297562286,-1.6537675787227637,3.255313274442551,0.0,1.0
2015,5977.2,170.86869103832254,59.192553494367566,57.64765415646898,22.971666887002375,29.60257829864605,68.70919133424186,81.51573538084999,40.80744821876973,1050226.8427446892,-13308.328185872693,103.01309999934657,86.04413254660864,10.849773941628342,3.0364152781785885,7.568309462926621,0.9697593171884193,155.8969432643019,98.70468682853149,33.2627010717324,68.08299389257374,1.8914709997557086,4.51677341432246,3.1708608895533477,2.5136919152210604,31.59845056968937,5.67997461203454,5.909199271752686,8.92148781327079,4.11108548274496,3.6609065349923084,9.722902448865494,68.40155333048946,25.91845868563963,3.2415132012362493,1.0404978499722728,4.3392467291522605,2.0964212756977543,11.009278817482173,3.138555135207612,1.7590230743766937,21.902440643793504,99.4420759040955,13.780796593960144,41.60872533708292,4.843834003293486,219.3682042934635,-78.31740305228506,11.116124971060952,6.784136606942619,-345869.8,-0.6721341052788035,18.75029490695164,-88.4961251589745,-92.53179198505272,2.147689787256417,74.10538382819178,41.594347712682335,48.52923703853884,122.73426504056997,-20.66138962886721,-2216.9857480595947,0.20064845083828337,-0.7231170362518702,11.585756636622483,-3.75388001429123,0.0,1.0
2016,5977.2,183.19646083081432,59.522793228142326,58.843283272850975,23.044843551661806,29.189355495896724,74.3024841880472,84.29688235975284,40.47720506526545,1083962.0117234907,-15031.373714406334,95.64182661297392,81.27386705952732,9.914846961616549,1.9602875796993267,7.330711099902821,1.7865192270132906,160.5551064522918,100.83284149753342,33.263994439836324,67.0575233380032,1.5043891390913156,3.711757256185611,2.958815962417167,2.710998655610797,31.072939449906233,5.48355075135931,1.9963556700424228,8.736458715166686,-0.9130657622305378,3.118142226085559,6.625202431620335,68.92705015292879,25.589399095711915,3.2529079638073766,0.9643676094363591,3.350836948679464,1.8358816376637368,7.233634996754153,2.8809549565989143,1.6110121323591653,13.176282007190148,106.21279586768098,17.230846733344297,48.34868808244963,4.005789019188331,223.8416673312983,-69.28018338116772,8.760500070097082,6.23716797845169,-32591.3,-1.2691709930411736,4.290677281644493,46.58517114232423,-7.243580819090063,26.978110489441054,9.4060640470389,11.292338114143275,6.573185732635485,10.2872322054184,-8.545568485996025,-199.83805363269033,-0.387081860664393,-0.19642386067523115,12.327769792491758,-7.371273386372631,0.1,1.0
2017,6932.6,164.44071367339956,55.58526931001025,40.610607348336785,16.584096924624017,25.289842869067563,63.001800565369784,72.0899865373779,44.41472921447198,1147494.7918760574,-17510.673270996318,88.39867731801561,75.5980314905168,11.12309382688664,-1.971841817154062,20.919697572904948,0.7591892034995756,148.34179422404424,105.42991485163691,37.960802561799824,80.37615924193034,1.8875636298700438,4.654775682696615,3.181800008679801,2.957224298659425,30.9711157004212,6.699099367301153,4.510412301925873,10.166773666819546,-0.6617923424190714,1.4521250893528461,-0.581640187722391,69.02887776373217,24.272024326999762,3.4676742995183916,0.9897445890671971,4.027640295520324,1.6807501428764258,5.522037553833034,2.596834442226132,1.5076688028762437,12.875694691292082,127.96441528711053,31.815484474890997,35.39852368267497,5.394852824132754,212.6949994665753,-49.33206049678982,6.676068705034507,3.91034046013334,73949.1,-1.1703591703510132,24.017613960586573,51.616286082228406,222.7286130141707,19.73213503304962,20.970117200039905,12.53153290353606,9.685742615344157,259.3743497209488,-16.714493920214586,62.03366842627163,-0.2765740848828989,0.22959776410582183,4.763996502488082,-47.23491645657624,0.0,1.0
2018,6932.6,180.91136751799542,56.25638897742674,45.07215720693539,17.753852161751716,26.304620962203796,72.96835258611216,82.70775348057995,43.743613398952306,1215613.1153524367,-16390.855933745494,92.63997086178647,76.64719292308102,11.470806986405611,-0.7231823392828008,9.680930778660004,0.7708457912864917,149.71675263634697,103.1576334524126,36.999556042815094,78.17783332889108,1.6751586760825212,3.9907117739536533,3.1865930179292077,2.8845926342582784,29.072289071534016,5.564098055138674,3.714067040924894,8.815135291668195,-1.0379447524108663,1.383581859823194,-2.4666056192123262,70.9277069685373,23.50819101639534,3.251037236529521,1.000755839332443,4.096017793736154,1.724912855120826,5.50655343402112,2.6538259933805266,1.5164355519988226,12.278436030984427,92.18584083972344,35.27267046980013,36.50487735283776,4.905815541291849,173.77301977282565,-45.08230158026447,6.751651450800857,4.461121514123001,-102632.4,-0.9318154606589285,10.858543358418123,5.0481042449168525,-198.0282630433494,-0.49975652816366106,5.348359995557493,-0.7468779733693889,1.5046117993953145,6.4832858373261475,-10.977435258658023,23.200774121487903,-0.21240495378752294,-1.1350013121624787,16.47065384459584,4.241293543770847,0.0,1.0
2019,6932.6,216.00839229083167,59.36421257644859,76.82128127974823,25.91147573280216,24.443348731628834,84.50169732782217,92.93628911780593,40.63578756172818,1257446.6431833794,-18845.83932132462,97.47732684574524,80.66307167548737,9.682456785229702,1.5905390792198086,5.880746048941167,1.0423243436355538,176.67675262127926,99.04613974368986,30.626605735818124,59.416069839137755,1.293673585196391,3.6422227687095274,2.840258949462745,2.570425875182507,28.046335702846637,4.900239287067007,3.231436474253236,10.125451013982358,-2.2799166051016626,4.683080265940782,4.750434662069344,71.95365979242112,23.14609885153162,5.225211726915352,0.9361749030993645,3.8347359868524413,1.6181791427672299,5.56363754946546,2.6149214712326065,1.4794944140858322,13.003951222612496,58.33210883229185,52.664309264139305,38.25191255071503,12.044821734527378,120.54993730234423,-23.965915919337345,16.823955971966477,9.104624819643764,-83476.5,0.7004873492140872,7.753316962556487,-188.3506800779629,-6.007599868568479,31.527609461813046,16.767299555187098,4.424007389105252,5.66153873656305,25.315596341320028,92.07749636077621,0.18361379130055724,-0.3814850908861301,-0.6638587680716673,35.09702477283627,4.837355983958774,0.1,1.0
2020,6707.6,250.48229177013621,61.940003921410565,70.64322213965325,25.017714055953284,23.738265188460293,77.15636528204489,95.4580468885141,38.05999777638537,1317041.2741033353,-22626.961290573305,95.5552234360918,78.82432464043026,15.386881134388826,1.1883569136351813,4.844470243665599,1.0952790098209024,176.63938554873394,101.72964661760322,30.637905848493023,54.56003808908872,1.704254385054701,6.078999204965276,3.0403990948238535,2.293797409360546,26.23391217465583,4.062469824868603,2.273755792777084,9.82876468517193,3.389395599054681,4.4359871313457315,7.8535915197447395,73.76609052139847,22.17144084558958,5.7662948603033275,0.9972820764036137,3.693784826711849,1.8449567628712464,6.366857840185465,2.952265388683686,1.8020765995127537,14.739499142168137,38.34994138117783,131.67573283580708,41.9034445305049,15.766259052349957,102.62309928545528,-22.369713373772562,16.193158535881103,7.949049897423142,45346.0,0.3924910162383856,2.7859313909251116,0.7423296597481681,11.38105280769751,2.757951682401152,7.982848246924263,-2.0762190620145504,5.1102922158617075,9.958434158939554,10.164549242555202,-7963.8916873792205,0.32917785304802105,-1.0401848390754962,21.766507820525163,0.7117564499911584,0.0,1.0
2021,6707.6,227.37878206840088,61.4141761907397,65.05461340075493,23.48271185624381,23.33527156366272,66.71502566643198,85.30920890832968,38.585823076364846,1421538.400272967,-24007.42885893206,97.23971498997136,79.38346948068269,15.436098666472574,1.715679237400676,5.1436345749817844,0.933806132986534,171.27633345272474,101.8862398566291,28.458194357524413,51.332962478624644,3.9534068262275968,11.467219579088567,5.013223366593312,3.4746657511994195,28.102186157263485,5.055645488311399,4.97572229262118,10.09949383060405,0.9714282332993335,2.86754219126544,0.8088885317897692,71.89781486672918,23.04654131106644,5.043848342292651,1.1754596541614175,3.898621100909827,2.452846951019916,8.360531805268261,3.3797436543807367,2.150680529304008,21.891393929014363,30.051441403161977,145.48776697330544,37.61642185302773,18.96539337042764,89.1007831229245,-21.432919866734785,12.687026379183061,5.718448061433926,-498244.7,-2.4392726305369132,25.198014071647783,95.19690287130176,128.48313811235016,33.688518988971666,16.710914487641094,6.837254536441807,20.82452304850765,16.379211013911323,-1.9997131145649631,-19.19905257470305,2.249152441172896,0.993175663442796,-23.103509701735337,1.6844915538795733,0.1,1.0
