회계년도,순위,회사명,자산총계(요약)(백만원)
2012,1,씨제이제일제당(주),12363883.0
2012,2,롯데칠성음료(주),3750454.0
2012,3,하이트진로(주),3518666.0
2012,4,오비맥주주식회사,2739547.0
2012,5,(주)농심,2151311.0
2012,6,대상(주),1621342.0
2012,7,대한제당(주),1620716.0
2012,8,주식회사한국인삼공사,1283286.0
2012,9,(주)이지홀딩스,1230494.0
2012,10,사조산업(주),1225739.0
2013,1,씨제이제일제당(주),13004490.0
2013,2,롯데칠성음료(주),3958498.0
2013,3,하이트진로(주),3553147.0
2013,4,오비맥주주식회사,3084052.0
2013,5,(주)농심,2215391.0
2013,6,대상(주),1738880.0
2013,7,대한제당(주),1570048.0
2013,8,(주)이지홀딩스,1474743.0
2013,9,사조산업(주),1458791.0
2013,10,주식회사한국인삼공사,1415039.0
2014,1,씨제이제일제당(주),13382531.0
2014,2,롯데칠성음료(주),4099993.0
2014,3,하이트진로(주),3422364.0
2014,4,오비맥주주식회사,3040928.0
2014,5,(주)농심,2224132.0
2014,6,대상(주),1814827.0
2014,7,주식회사한국인삼공사,1637402.0
2014,8,대한제당(주),1561334.0
2014,9,(주)이지홀딩스,1494403.0
2014,10,(주)오뚜기,1351560.0
2015,1,씨제이제일제당(주),13751265.0
2015,2,롯데칠성음료(주),4381975.0
2015,3,하이트진로(주),3460482.0
2015,4,오비맥주주식회사,3236642.0
2015,5,(주)농심,2418708.0
2015,6,대상(주),2104599.0
2015,7,주식회사한국인삼공사,1761926.0
2015,8,(주)이지홀딩스,1581004.0
2015,9,대한제당(주),1541681.0
2015,10,(주)오뚜기,1484303.0
2016,1,씨제이제일제당(주),15766239.0
2016,2,롯데칠성음료(주),4650516.0
2016,3,하이트진로(주),3401085.0
2016,4,오비맥주주식회사,3381001.0
2016,5,(주)농심,2481287.0
2016,6,대상(주),2308461.0
2016,7,(주)삼양사,2063772.0
2016,8,주식회사한국인삼공사,1867855.0
2016,9,(주)오뚜기,1592713.0
2016,10,(주)이지홀딩스,1509864.0
2017,1,씨제이제일제당(주),16868124.0
2017,2,오비맥주주식회사,3579156.0
2017,3,하이트진로(주),3507596.0
2017,4,롯데칠성음료(주),3486931.0
2017,5,(주)농심,2449898.0
2017,6,(주)오리온,2257998.0
2017,7,대상(주),2252431.0
2017,8,(주)삼양사,2128238.0
2017,9,주식회사한국인삼공사,1955637.0
2017,10,롯데웰푸드(주),1907044.0
2018,1,씨제이제일제당(주),19497023.0
2018,2,하이트진로(주),3428144.0
2018,3,롯데칠성음료(주),3311280.0
2018,4,오비맥주주식회사,3244493.0
2018,5,롯데웰푸드(주),2542674.0
2018,6,(주)농심,2532287.0
2018,7,(주)오리온,2351351.0
2018,8,대상(주),2198995.0
2018,9,(주)삼양사,2173867.0
2018,10,(주)오뚜기,2063479.0
2019,1,씨제이제일제당(주),26280632.0
2019,2,하이트진로(주),3270860.0
2019,3,롯데칠성음료(주),3256510.0
2019,4,오비맥주주식회사,3091788.0
2019,5,롯데웰푸드(주),2716175.0
2019,6,(주)농심,2653050.0
2019,7,(주)오리온,2452307.0
2019,8,대상(주),2397069.0
2019,9,(주)삼양사,2388160.0
2019,10,(주)오뚜기,2152124.0
2020,1,씨제이제일제당(주),25611892.0
2020,2,롯데칠성음료(주),3466113.0
2020,3,하이트진로(주),3297784.0
2020,4,(주)농심,2725528.0
2020,5,오비맥주주식회사,2724326.0
2020,6,(주)오리온,2665406.0
2020,7,롯데웰푸드(주),2643035.0
2020,8,(주)삼양사,2576478.0
2020,9,대상(주),2528335.0
2020,10,(주)오뚜기,2339300.0
2021,1,씨제이제일제당(주),26855804.0
2021,2,하이트진로(주),3631051.0
2021,3,롯데칠성음료(주),3596830.0
2021,4,(주)오리온,3120429.0
2021,5,(주)농심,2899908.0
2021,6,대상(주),2870530.0
2021,7,(주)삼양사,2802047.0
2021,8,오비맥주주식회사,2712255.0
2021,9,롯데웰푸드(주),2666649.0
2021,10,(주)오뚜기,2605839.0
2022,1,씨제이제일제당(주),30013242.0
2022,2,롯데웰푸드(주),4105259.0
2022,3,롯데칠성음료(주),3695936.0
2022,4,(주)오뚜기,3569761.0
2022,5,(주)오리온,3371684.0
2022,6,하이트진로(주),3333438.0
2022,7,대상(주),3190196.0
2022,8,(주)농심,3034719.0
2022,9,(주)삼양사,2949649.0
2022,10,오비맥주주식회사,2799104.0
2023,1,씨제이제일제당(주),29606280.0
2023,2,롯데칠성음료(주),4257670.0
2023,3,롯데웰푸드(주),4199096.0
2023,4,(주)오리온,3521385.0
2023,5,(주)오뚜기,3496483.0
2023,6,하이트진로(주),3358347.0
2023,7,대상(주),3334370.0
2023,8,(주)농심,3234751.0
2023,9,(주)삼양사,3205001.0
2023,10,오비맥주주식회사,2859300.0
2024,1,씨제이제일제당(주),30149997.0
2024,2,롯데칠성음료(주),4372529.0
2024,3,롯데웰푸드(주),4341728.0
2024,4,(주)오리온,4308450.0
2024,5,(주)농심,3597462.0
2024,6,(주)오뚜기,3597403.0
2024,7,대상(주),3509835.0
2024,8,하이트진로(주),3441539.0
2024,9,(주)삼양사,3319926.0
2024,10,(주)이지홀딩스,2855886.0
