회계년도,순위,회사명,자산총계(요약)(백만원)
2012,1,(주)엘에프,1208060.0
2012,2,(주)한섬,873763.0
2012,3,(주)세정,777530.0
2012,4,한세예스24홀딩스(주),777412.0
2012,5,일신방직(주),737310.0
2012,6,한세실업(주),585712.0
2012,7,전방(주),542146.0
2012,8,(주)비와이씨,505457.0
2012,9,주식회사파크랜드,477423.0
2012,10,티케이지태광(주),466970.0
2013,1,(주)엘에프,1291580.0
2013,2,(주)한섬,1002393.0
2013,3,한세예스24홀딩스(주),873460.0
2013,4,(주)세정,830632.0
2013,5,일신방직(주),776197.0
2013,6,티케이지태광(주),749247.0
2013,7,한세실업(주),682384.0
2013,8,케이투코리아(주),611002.0
2013,9,네파주식회사,607297.0
2013,10,티피(주),567237.0
2014,1,(주)엘에프,1402967.0
2014,2,한세예스24홀딩스(주),1121319.0
2014,3,(주)한섬,1048240.0
2014,4,티케이지태광(주),824397.0
2014,5,일신방직(주),818332.0
2014,6,(주)세정,815033.0
2014,7,한세실업(주),783234.0
2014,8,(주)비와이씨,608388.0
2014,9,티피(주),601878.0
2014,10,(주)시몬느,563477.0
2015,1,(주)엘에프,1474853.0
2015,2,한세예스24홀딩스(주),1436141.0
2015,3,한세실업(주),992172.0
2015,4,(주)한섬,957471.0
2015,5,티케이지태광(주),947436.0
2015,6,일신방직(주),889517.0
2015,7,네파주식회사,843729.0
2015,8,(주)세정,734797.0
2015,9,(주)비와이씨,691465.0
2015,10,티피(주),611247.0
2016,1,한세예스24홀딩스(주),1740589.0
2016,2,(주)엘에프,1581138.0
2016,3,한세실업(주),1270684.0
2016,4,티케이지태광(주),1085088.0
2016,5,(주)한섬,1038024.0
2016,6,일신방직(주),904835.0
2016,7,네파주식회사,810196.0
2016,8,(주)비와이씨,733019.0
2016,9,(주)세정,713684.0
2016,10,세아상역(주),699066.0
2017,1,한세예스24홀딩스(주),1693645.0
2017,2,(주)엘에프,1594829.0
2017,3,(주)한섬,1252267.0
2017,4,티케이지태광(주),1202118.0
2017,5,한세실업(주),1196058.0
2017,6,일신방직(주),895873.0
2017,7,(주)비와이씨,745823.0
2017,8,한솔섬유(주),684321.0
2017,9,네파주식회사,659075.0
2017,10,(주)세정,632471.0
2018,1,한세예스24홀딩스(주),1678316.0
2018,2,(주)엘에프,1651841.0
2018,3,티케이지태광(주),1367878.0
2018,4,(주)한섬,1219780.0
2018,5,한세실업(주),1170729.0
2018,6,일신방직(주),937344.0
2018,7,세아상역(주),820410.0
2018,8,(주)화승엔터프라이즈,760456.0
2018,9,(주)비와이씨,738431.0
2018,10,한솔섬유(주),706830.0
2019,1,(주)엘에프,2417125.0
2019,2,한세예스24홀딩스(주),1731430.0
2019,3,티케이지태광(주),1430410.0
2019,4,(주)한섬,1323645.0
2019,5,한세실업(주),1179456.0
2019,6,세아상역(주),1120491.0
2019,7,(주)화승엔터프라이즈,978863.0
2019,8,일신방직(주),953609.0
2019,9,한솔섬유(주),702670.0
2019,10,(주)비와이씨,693883.0
2020,1,(주)엘에프,2479440.0
2020,2,한세예스24홀딩스(주),1840013.0
2020,3,티케이지태광(주),1494350.0
2020,4,(주)한섬,1438544.0
2020,5,(주)화승엔터프라이즈,1154956.0
2020,6,세아상역(주),1100400.0
2020,7,한세실업(주),1021056.0
2020,8,일신방직(주),964200.0
2020,9,한솔섬유(주),780469.0
2020,10,(주)비와이씨,679135.0
2021,1,(주)엘에프,2541138.0
2021,2,한세예스24홀딩스(주),2241273.0
2021,3,티케이지태광(주),1580987.0
2021,4,(주)한섬,1557085.0
2021,5,세아상역(주),1379002.0
2021,6,(주)화승엔터프라이즈,1330258.0
2021,7,한세실업(주),1216241.0
2021,8,(주)에프앤에프,1146495.0
2021,9,일신방직(주),1044005.0
2021,10,한솔섬유(주),898782.0
2022,1,(주)엘에프,2584040.0
2022,2,한세예스24홀딩스(주),2036964.0
2022,3,세아상역(주),1697685.0
2022,4,(주)한섬,1684715.0
2022,5,(주)에프앤에프,1570179.0
2022,6,(주)화승엔터프라이즈,1475832.0
2022,7,티케이지태광(주),1397019.0
2022,8,한세실업(주),1239211.0
2022,9,일신방직(주),1176746.0
2022,10,한솔섬유(주),838482.0
2023,1,(주)엘에프,2755628.0
2023,2,한세예스24홀딩스(주),2152346.0
2023,3,(주)에프앤에프,2005098.0
2023,4,(주)한섬,1724265.0
2023,5,세아상역(주),1621353.0
2023,6,티케이지태광(주),1475834.0
2023,7,(주)화승엔터프라이즈,1360570.0
2023,8,한세실업(주),1237248.0
2023,9,일신방직(주),1059230.0
2023,10,주식회사영원아웃도어,927159.0
2024,1,(주)엘에프,2914967.0
2024,2,한세예스24홀딩스(주),2825660.0
2024,3,(주)에프앤에프,2285905.0
2024,4,세아상역(주),1872621.0
2024,5,(주)제이에스코퍼레이션,1830514.0
2024,6,(주)한섬,1746168.0
2024,7,티케이지태광(주),1725907.0
2024,8,(주)화승엔터프라이즈,1537604.0
2024,9,한세실업(주),1424527.0
2024,10,일신방직(주),1115759.0
