회계년도,순위,회사명,자산총계(요약)(백만원)
2012,1,(주)엘지화학,16581153.0
2012,2,(주)한화,15865392.0
2012,3,한화솔루션(주),12406695.0
2012,4,디엘(주),11006469.0
2012,5,롯데케미칼(주),10372314.0
2012,6,한국타이어앤테크놀로지(주),7182454.0
2012,7,(주)케이씨씨,6823990.0
2012,8,에스케이지오센트릭주식회사,5061451.0
2012,9,금호타이어(주),4781013.0
2012,10,코오롱인더스트리(주),4628342.0
2013,1,(주)한화,113322610.0
2013,2,(주)엘지화학,17446464.0
2013,3,한화솔루션(주),12807062.0
2013,4,디엘(주),10783047.0
2013,5,롯데케미칼(주),10687664.0
2013,6,한국타이어앤테크놀로지(주),7776713.0
2013,7,(주)케이씨씨,7051729.0
2013,8,에스케이지오센트릭주식회사,5758473.0
2013,9,한화토탈에너지스주식회사,5480893.0
2013,10,(주)아모레퍼시픽홀딩스,4921856.0
2014,1,(주)한화,123684262.0
2014,2,(주)엘지화학,18127646.0
2014,3,한화솔루션(주),12597024.0
2014,4,디엘(주),10596719.0
2014,5,롯데케미칼(주),10322656.0
2014,6,(주)케이씨씨,8654534.0
2014,7,한국타이어앤테크놀로지(주),8320082.0
2014,8,한화토탈에너지스주식회사,6328713.0
2014,9,에스케이지오센트릭주식회사,6290277.0
2014,10,(주)아모레퍼시픽홀딩스,5499725.0
2015,1,(주)한화,145621715.0
2015,2,(주)엘지화학,18578728.0
2015,3,디엘(주),12064894.0
2015,4,롯데케미칼(주),11467809.0
2015,5,한국타이어앤테크놀로지(주),9496138.0
2015,6,(주)케이씨씨,8668411.0
2015,7,(주)아모레퍼시픽홀딩스,6147969.0
2015,8,한화토탈에너지스주식회사,6059243.0
2015,9,삼성바이오로직스(주),5960494.0
2015,10,에스케이지오센트릭주식회사,5487021.0
2016,1,(주)한화,154871038.0
2016,2,(주)엘지화학,20487060.0
2016,3,롯데케미칼(주),15866834.0
2016,4,디엘(주),12391509.0
2016,5,한국타이어앤테크놀로지(주),9621973.0
2016,6,(주)케이씨씨,9162368.0
2016,7,삼성바이오로직스(주),7533016.0
2016,8,(주)아모레퍼시픽홀딩스,7088395.0
2016,9,한화토탈에너지스주식회사,6317702.0
2016,10,에스케이지오센트릭주식회사,5739332.0
2017,1,(주)한화,160194978.0
2017,2,(주)엘지화학,25041221.0
2017,3,롯데케미칼(주),19550971.0
2017,4,디엘(주),13402455.0
2017,5,(주)케이씨씨,9543777.0
2017,6,한국타이어앤테크놀로지(주),9518786.0
2017,7,(주)아모레퍼시픽홀딩스,7335236.0
2017,8,한화토탈에너지스주식회사,6678543.0
2017,9,에스케이지오센트릭주식회사,5810213.0
2017,10,코오롱인더스트리(주),5661949.0
2018,1,(주)한화,169548577.0
2018,2,(주)엘지화학,28944137.0
2018,3,롯데케미칼(주),20799139.0
2018,4,디엘(주),12833717.0
2018,5,한국타이어앤테크놀로지(주),9796442.0
2018,6,(주)케이씨씨,8965418.0
2018,7,(주)아모레퍼시픽홀딩스,7387374.0
2018,8,한화토탈에너지스주식회사,6837310.0
2018,9,에스케이지오센트릭주식회사,5934621.0
2018,10,코오롱인더스트리(주),5572860.0
2019,1,(주)한화,182286178.0
2019,2,(주)엘지화학,34024426.0
2019,3,롯데케미칼(주),20043105.0
2019,4,디엘(주),13445224.0
2019,5,한국타이어앤테크놀로지(주),10164608.0
2019,6,(주)케이씨씨,9382222.0
2019,7,(주)아모레퍼시픽홀딩스,8281393.0
2019,8,한화토탈에너지스주식회사,7065546.0
2019,9,(주)엘지생활건강,6493670.0
2019,10,(주)아모레퍼시픽,5989008.0
2020,1,(주)한화,191178338.0
2020,2,(주)엘지화학,41388894.0
2020,3,롯데케미칼(주),19386546.0
2020,4,디엘(주),13901860.0
2020,5,(주)케이씨씨,12347572.0
2020,6,한국타이어앤테크놀로지(주),10658548.0
2020,7,(주)아모레퍼시픽홀딩스,7788744.0
2020,8,(주)엘지생활건강,6801416.0
2020,9,한화토탈에너지스주식회사,6656108.0
2020,10,(주)아모레퍼시픽,5701918.0
2021,1,(주)한화,202366402.0
2021,2,(주)엘지화학,51135302.0
2021,3,롯데케미칼(주),22869964.0
2021,4,(주)케이씨씨,12878863.0
2021,5,한국타이어앤테크놀로지(주),11703918.0
2021,6,디엘(주),8180715.0
2021,7,금호석유화학(주),8115675.0
2021,8,(주)아모레퍼시픽홀딩스,8038143.0
2021,9,(주)엘지생활건강,7555239.0
2021,10,한화토탈에너지스주식회사,7418026.0
2022,1,(주)한화,211175324.0
2022,2,(주)엘지화학,67973823.0
2022,3,롯데케미칼(주),26784588.0
2022,4,(주)케이씨씨,13118486.0
2022,5,한국타이어앤테크놀로지(주),12581364.0
2022,6,디엘(주),12018994.0
2022,7,금호석유화학(주),7719272.0
2022,8,(주)아모레퍼시픽홀딩스,7651004.0
2022,9,한화토탈에너지스주식회사,7510403.0
2022,10,(주)엘지생활건강,7302930.0
2023,1,(주)한화,209738149.0
2023,2,(주)엘지화학,77466694.0
2023,3,롯데케미칼(주),33476310.0
2023,4,(주)셀트리온,19917534.0
2023,5,(주)케이씨씨,13353471.0
2023,6,한국타이어앤테크놀로지(주),12763306.0
2023,7,디엘(주),12119564.0
2023,8,금호석유화학(주),7979695.0
2023,9,케이지케미칼(주),7818146.0
2023,10,한화토탈에너지스주식회사,7788215.0
2024,1,(주)한화,252036985.0
2024,2,(주)엘지화학,93857762.0
2024,3,롯데케미칼(주),34552330.0
2024,4,(주)셀트리온,21055222.0
2024,5,한국타이어앤테크놀로지(주),15849745.0
2024,6,(주)케이씨씨,13108550.0
2024,7,디엘(주),12535315.0
2024,8,(주)아모레퍼시픽홀딩스,8540521.0
2024,9,금호석유화학(주),8340239.0
2024,10,케이지케미칼(주),8160948.0
