회계년도,순위,회사명,자산총계(요약)(백만원)
2012,1,롯데쇼핑(주),36857045.0
2012,2,(주)이마트,12253991.0
2012,3,에스케이네트웍스(주),10627073.0
2012,4,(주)포스코인터내셔널,7465638.0
2012,5,(주)신세계,6968482.0
2012,6,삼성물산(주),6642285.0
2012,7,(주)현대백화점,5400076.0
2012,8,(주)STX,5067029.0
2012,9,(주)다우데이타,5050869.0
2012,10,(주)엘엑스인터내셔널,4957522.0
2013,1,롯데쇼핑(주),38972566.0
2013,2,(주)이마트,13051830.0
2013,3,에스케이네트웍스(주),8879375.0
2013,4,삼성물산(주),8553889.0
2013,5,(주)포스코인터내셔널,8268622.0
2013,6,(주)신세계,7499975.0
2013,7,(주)현대백화점,5600706.0
2013,8,(주)다우데이타,5077464.0
2013,9,(주)엘엑스인터내셔널,4877003.0
2013,10,(주)이원,3629693.0
2014,1,롯데쇼핑(주),40072326.0
2014,2,(주)이마트,13827457.0
2014,3,삼성물산(주),9511431.0
2014,4,(주)포스코인터내셔널,9340867.0
2014,5,에스케이네트웍스(주),8504709.0
2014,6,(주)신세계,7931446.0
2014,7,(주)현대백화점,5683921.0
2014,8,(주)다우데이타,5593146.0
2014,9,(주)엘엑스인터내셔널,4896828.0
2014,10,(주)이원,3658165.0
2015,1,삼성물산(주),42361431.0
2015,2,롯데쇼핑(주),40693366.0
2015,3,(주)이마트,14493752.0
2015,4,에스케이네트웍스(주),8203152.0
2015,5,(주)포스코인터내셔널,8043304.0
2015,6,(주)신세계,7918168.0
2015,7,(주)다우데이타,7133439.0
2015,8,홈플러스스토어즈(주),6467259.0
2015,9,(주)현대백화점,6160847.0
2015,10,(주)엘엑스인터내셔널,5383467.0
2016,1,삼성물산(주),44458515.0
2016,2,롯데쇼핑(주),41915907.0
2016,3,(주)이마트,15428184.0
2016,4,(주)다우데이타,10174844.0
2016,5,(주)신세계,9954539.0
2016,6,에스케이네트웍스(주),8620317.0
2016,7,(주)포스코인터내셔널,8288782.0
2016,8,(주)현대백화점,6587262.0
2016,9,홈플러스스토어즈(주),6472218.0
2016,10,(주)엘엑스인터내셔널,5177267.0
2017,1,삼성물산(주),49048903.0
2017,2,롯데쇼핑(주),27948488.0
2017,3,(주)이마트,16066508.0
2017,4,(주)다우데이타,13561817.0
2017,5,농협경제지주주식회사,11149112.0
2017,6,(주)신세계,10151705.0
2017,7,(주)포스코인터내셔널,9169986.0
2017,8,에스케이네트웍스(주),7227372.0
2017,9,(주)현대백화점,6777282.0
2017,10,(주)지에스리테일,5092274.0
2018,1,삼성물산(주),42406652.0
2018,2,롯데쇼핑(주),26259309.0
2018,3,(주)다우데이타,19770710.0
2018,4,(주)이마트,16753864.0
2018,5,(주)신세계,11101281.0
2018,6,농협경제지주주식회사,10609446.0
2018,7,(주)포스코인터내셔널,9881020.0
2018,8,에스케이네트웍스(주),7769042.0
2018,9,(주)현대백화점,6988562.0
2018,10,(주)지에스리테일,5098880.0
2019,1,삼성물산(주),45905517.0
2019,2,롯데쇼핑(주),33972616.0
2019,3,(주)다우데이타,25214813.0
2019,4,(주)이마트,21094759.0
2019,5,(주)신세계,13018489.0
2019,6,에스케이네트웍스(주),10138772.0
2019,7,농협경제지주주식회사,9635366.0
2019,8,(주)포스코인터내셔널,8959415.0
2019,9,(주)현대백화점,7623094.0
2019,10,(주)지에스리테일,7049658.0
2020,1,삼성물산(주),54331740.0
2020,2,(주)다우데이타,38997606.0
2020,3,롯데쇼핑(주),32829404.0
2020,4,(주)이마트,22340424.0
2020,5,(주)신세계,12769111.0
2020,6,에스케이네트웍스(주),8773482.0
2020,7,(주)현대백화점,8707033.0
2020,8,(주)포스코인터내셔널,8328039.0
2020,9,(주)지에스리테일,7177767.0
2020,10,(주)엘엑스인터내셔널,5395942.0
2021,1,삼성물산(주),55245423.0
2021,2,(주)다우데이타,47001465.0
2021,3,롯데쇼핑(주),33426534.0
2021,4,(주)이마트,31242082.0
2021,5,(주)신세계,13644511.0
2021,6,(주)포스코인터내셔널,10770734.0
2021,7,(주)지에스리테일,9455973.0
2021,8,에스케이네트웍스(주),9410916.0
2021,9,(주)현대백화점,8969196.0
2021,10,(주)엘엑스인터내셔널,6746889.0
2022,1,삼성물산(주),58981492.0
2022,2,(주)다우데이타,49874926.0
2022,3,(주)이마트,33201722.0
2022,4,(주)신세계,14348412.0
2022,5,(주)포스코인터내셔널,12516337.0
2022,6,(주)현대백화점,12069250.0
2022,7,(주)지에스리테일,9832423.0
2022,8,에스케이네트웍스(주),9499259.0
2022,9,(주)엘엑스인터내셔널,7719007.0
2022,10,에스케이가스(주),5831777.0
2023,1,삼성물산(주),66127029.0
2023,2,(주)다우데이타,53939863.0
2023,3,(주)이마트,33443866.0
2023,4,(주)포스코인터내셔널,16617748.0
2023,5,(주)신세계,14751983.0
2023,6,(주)현대백화점,11712593.0
2023,7,(주)지에스리테일,10042016.0
2023,8,에스케이네트웍스(주),9110359.0
2023,9,(주)엘엑스인터내셔널,7995341.0
2023,10,에스케이가스(주),6081811.0
2024,1,삼성물산(주),61990427.0
2024,2,(주)다우데이타,57757102.0
2024,3,(주)이마트,33930639.0
2024,4,(주)포스코인터내셔널,17336326.0
2024,5,(주)신세계,15071774.0
2024,6,(주)이원,14539775.0
2024,7,(주)현대백화점,11217722.0
2024,8,(주)엘엑스인터내셔널,8930866.0
2024,9,(주)지에스리테일,7581643.0
2024,10,에스케이가스(주),7539622.0
