Method,SMOTE_Ratio,Feature_Set,Model,Num_Features,Test_Accuracy,Test_ROC_AUC,Test_PR_AUC,Test_F1,Test_Precision,Test_Recall,Train_Accuracy,Train_ROC_AUC,Train_PR_AUC,Train_F1,Train_Precision,Train_Recall
None,-,top25,LogisticRegression,25,0.9597,0.894,0.315,0.3934,0.4681,0.3392,0.9686,0.9226,0.466,0.3771,0.7396,0.2531
None,-,top25,RandomForest,25,0.8211,0.9422,0.4904,0.2919,0.1722,0.9581,0.8425,0.9566,0.5381,0.315,0.1882,0.9649
None,-,top25,XGBoost,25,0.9743,0.9595,0.6341,0.5288,0.8995,0.3744,0.9814,0.9919,0.8829,0.6782,0.97,0.5213
None,-,top25,LightGBM,25,0.9747,0.9585,0.6264,0.5373,0.9105,0.3811,0.9813,0.9918,0.8786,0.6708,0.9871,0.5081
None,-,top30,LogisticRegression,30,0.958,0.8945,0.3054,0.3877,0.441,0.3458,0.9686,0.9242,0.466,0.3757,0.7368,0.2521
None,-,top30,RandomForest,30,0.821,0.9429,0.5171,0.2865,0.1692,0.9339,0.842,0.9585,0.5957,0.3101,0.1854,0.946
None,-,top30,XGBoost,30,0.9741,0.96,0.6207,0.5016,0.9625,0.3392,0.988,0.9971,0.9586,0.8108,0.9986,0.6825
None,-,top30,LightGBM,30,0.9708,0.9354,0.5475,0.3986,0.9661,0.2511,0.9909,0.9976,0.9649,0.8627,0.9988,0.7592
None,-,top35,LogisticRegression,35,0.9564,0.89,0.2896,0.3762,0.4189,0.3414,0.9687,0.9253,0.4678,0.3809,0.7364,0.2569
None,-,top35,RandomForest,35,0.8165,0.9379,0.479,0.2819,0.166,0.9361,0.837,0.9587,0.577,0.3069,0.1826,0.9611
None,-,top35,XGBoost,35,0.9739,0.9606,0.6266,0.4967,0.962,0.3348,0.9882,0.9975,0.9605,0.8139,0.9959,0.6882
None,-,top35,LightGBM,35,0.9708,0.9392,0.5379,0.4028,0.9508,0.2555,0.9909,0.9982,0.9718,0.8627,0.9988,0.7592
BorderlineSMOTE,1.0,top25,LogisticRegression,25,0.8596,0.8994,0.3047,0.2995,0.1853,0.7797,0.8793,0.9263,0.3896,0.3341,0.2106,0.8066
BorderlineSMOTE,1.0,top25,RandomForest,25,0.8475,0.9339,0.3847,0.3131,0.1894,0.9031,0.8684,0.9464,0.4143,0.3403,0.2096,0.9043
BorderlineSMOTE,1.0,top25,XGBoost,25,0.921,0.9499,0.5672,0.4071,0.2862,0.7048,0.9374,0.9772,0.7176,0.5143,0.3628,0.8834
BorderlineSMOTE,1.0,top25,LightGBM,25,0.9196,0.9506,0.564,0.4095,0.2853,0.7247,0.9375,0.9782,0.724,0.5154,0.3634,0.8863
BorderlineSMOTE,1.0,top30,LogisticRegression,30,0.8574,0.8979,0.3016,0.3009,0.1855,0.7974,0.8795,0.9267,0.3991,0.3335,0.2104,0.8028
BorderlineSMOTE,1.0,top30,RandomForest,30,0.8406,0.9341,0.3837,0.3026,0.1819,0.8987,0.8604,0.947,0.4628,0.3256,0.1989,0.8976
BorderlineSMOTE,1.0,top30,XGBoost,30,0.9235,0.9449,0.5525,0.4086,0.2908,0.6872,0.9601,0.9884,0.8586,0.6285,0.4827,0.9005
BorderlineSMOTE,1.0,top30,LightGBM,30,0.914,0.9197,0.4698,0.3694,0.2574,0.6542,0.9646,0.9913,0.8893,0.6624,0.5159,0.9251
BorderlineSMOTE,1.0,top35,LogisticRegression,35,0.8591,0.8891,0.2947,0.3005,0.1857,0.7863,0.8798,0.9269,0.3974,0.3334,0.2105,0.8009
BorderlineSMOTE,1.0,top35,RandomForest,35,0.836,0.9313,0.3341,0.3012,0.1801,0.9185,0.8569,0.9474,0.4225,0.3292,0.1997,0.9355
BorderlineSMOTE,1.0,top35,XGBoost,35,0.9232,0.9472,0.5624,0.4078,0.29,0.6872,0.9636,0.9903,0.8754,0.6515,0.5082,0.9071
BorderlineSMOTE,1.0,top35,LightGBM,35,0.9213,0.9273,0.4858,0.386,0.2757,0.6432,0.9664,0.9921,0.8943,0.6738,0.5299,0.9251
CTGAN,1.0,top25,LogisticRegression,25,0.9019,0.8279,0.2895,0.2915,0.2019,0.5242,0.9163,0.8563,0.3807,0.3209,0.2307,0.527
CTGAN,1.0,top25,RandomForest,25,0.957,0.8596,0.2225,0.2467,0.379,0.1828,0.9615,0.871,0.2979,0.2206,0.4608,0.145
CTGAN,1.0,top25,XGBoost,25,0.9719,0.9543,0.592,0.5251,0.7531,0.4031,0.9776,0.9801,0.7614,0.5909,0.9381,0.4313
CTGAN,1.0,top25,LightGBM,25,0.9631,0.947,0.4811,0.4596,0.5271,0.4075,0.9766,0.9771,0.7327,0.564,0.9403,0.4028
CTGAN,1.0,top30,LogisticRegression,30,0.8795,0.821,0.2752,0.2632,0.1721,0.5595,0.9207,0.8419,0.3861,0.3231,0.2377,0.5043
CTGAN,1.0,top30,RandomForest,30,0.9535,0.8486,0.2641,0.301,0.3576,0.2599,0.9603,0.8693,0.3294,0.2963,0.4426,0.2227
CTGAN,1.0,top30,XGBoost,30,0.968,0.9524,0.587,0.511,0.6215,0.4339,0.9825,0.9887,0.8641,0.7025,0.9668,0.5517
CTGAN,1.0,top30,LightGBM,30,0.9557,0.9413,0.491,0.4406,0.4283,0.4537,0.9842,0.9913,0.8907,0.7373,0.9811,0.5905
CTGAN,1.0,top35,LogisticRegression,35,0.8876,0.8201,0.2686,0.2722,0.1813,0.5463,0.9237,0.8446,0.3833,0.3291,0.2456,0.4986
CTGAN,1.0,top35,RandomForest,35,0.9569,0.8764,0.2775,0.2925,0.3977,0.2313,0.9618,0.8902,0.3549,0.2745,0.4788,0.1924
CTGAN,1.0,top35,XGBoost,35,0.9685,0.9536,0.5815,0.4987,0.6424,0.4075,0.984,0.9913,0.8889,0.7328,0.9809,0.5848
CTGAN,1.0,top35,LightGBM,35,0.9597,0.9451,0.5181,0.4716,0.4764,0.467,0.9848,0.9924,0.9018,0.7479,0.9876,0.6019
