Method,SMOTE_Ratio,Model,Num_Features,Test_Accuracy,Test_ROC_AUC,Test_PR_AUC,Test_F1,Test_Precision,Test_Recall,Train_Accuracy,Train_ROC_AUC,Train_PR_AUC,Train_F1,Train_Precision,Train_Recall
None,-,LogisticRegression,30,0.958,0.8945,0.3054,0.3877,0.441,0.3458,0.9686,0.9242,0.466,0.3757,0.7368,0.2521
None,-,RandomForest,30,0.821,0.9429,0.5171,0.2865,0.1692,0.9339,0.842,0.9585,0.5957,0.3101,0.1854,0.946
None,-,XGBoost,30,0.9741,0.96,0.6207,0.5016,0.9625,0.3392,0.988,0.9971,0.9586,0.8108,0.9986,0.6825
None,-,LightGBM,30,0.9708,0.9354,0.5475,0.3986,0.9661,0.2511,0.9909,0.9976,0.9649,0.8627,0.9988,0.7592
BorderlineSMOTE,0.2,LogisticRegression,30,0.9339,0.8919,0.3079,0.376,0.2952,0.5176,0.9476,0.923,0.4361,0.4197,0.3589,0.5052
BorderlineSMOTE,0.2,RandomForest,30,0.8359,0.9348,0.4056,0.2975,0.1781,0.9031,0.8552,0.9493,0.4819,0.3212,0.1949,0.9128
BorderlineSMOTE,0.2,XGBoost,30,0.952,0.9499,0.5819,0.475,0.4103,0.5639,0.9859,0.9915,0.8995,0.8139,0.8052,0.8227
BorderlineSMOTE,0.2,LightGBM,30,0.9437,0.9282,0.5077,0.4315,0.3529,0.5551,0.9882,0.9937,0.9239,0.8443,0.8357,0.8531
BorderlineSMOTE,0.3,LogisticRegression,30,0.9191,0.8927,0.3088,0.3571,0.2573,0.5837,0.9371,0.9233,0.4272,0.4134,0.318,0.5905
BorderlineSMOTE,0.3,RandomForest,30,0.8372,0.9344,0.3945,0.2986,0.179,0.9009,0.8562,0.9485,0.4719,0.3227,0.196,0.9128
BorderlineSMOTE,0.3,XGBoost,30,0.9449,0.9474,0.5751,0.4681,0.3724,0.63,0.9822,0.9913,0.8966,0.7819,0.723,0.8512
BorderlineSMOTE,0.3,LightGBM,30,0.9395,0.9271,0.4975,0.4324,0.3383,0.5991,0.9826,0.9929,0.9129,0.7886,0.7237,0.8664
BorderlineSMOTE,0.5,LogisticRegression,30,0.8967,0.8944,0.3074,0.3291,0.2194,0.6586,0.9165,0.9249,0.4194,0.3771,0.2619,0.673
BorderlineSMOTE,0.5,RandomForest,30,0.8396,0.9346,0.3828,0.3013,0.181,0.8987,0.86,0.948,0.4602,0.3267,0.1993,0.9052
BorderlineSMOTE,0.5,XGBoost,30,0.9428,0.9467,0.5578,0.4426,0.354,0.5903,0.9728,0.9895,0.874,0.7066,0.5934,0.873
BorderlineSMOTE,0.5,LightGBM,30,0.9229,0.9216,0.4817,0.3787,0.2745,0.6101,0.9767,0.9928,0.9108,0.7459,0.632,0.91
BorderlineSMOTE,0.7,LogisticRegression,30,0.8788,0.8961,0.3039,0.3151,0.2013,0.7247,0.9006,0.926,0.4098,0.3617,0.2383,0.7507
BorderlineSMOTE,0.7,RandomForest,30,0.8374,0.9337,0.3766,0.3,0.1798,0.9053,0.8582,0.9472,0.4553,0.3244,0.1975,0.9071
BorderlineSMOTE,0.7,XGBoost,30,0.9365,0.9438,0.5464,0.4347,0.3307,0.6344,0.9669,0.9888,0.866,0.6671,0.5356,0.8844
BorderlineSMOTE,0.7,LightGBM,30,0.923,0.923,0.4838,0.3857,0.2783,0.6278,0.9704,0.9919,0.8978,0.6995,0.5655,0.9166
BorderlineSMOTE,1.0,LogisticRegression,30,0.8589,0.8971,0.3026,0.2973,0.1839,0.7753,0.8802,0.9269,0.4051,0.3346,0.2113,0.8028
BorderlineSMOTE,1.0,RandomForest,30,0.8388,0.9341,0.3795,0.3012,0.1808,0.9031,0.8585,0.9476,0.4589,0.3246,0.1977,0.9062
BorderlineSMOTE,1.0,XGBoost,30,0.9319,0.9448,0.5538,0.4252,0.315,0.6542,0.9629,0.9892,0.8701,0.6489,0.5034,0.9128
BorderlineSMOTE,1.0,LightGBM,30,0.9207,0.9228,0.4778,0.3826,0.2731,0.6388,0.9633,0.9907,0.8823,0.6549,0.5057,0.9289
