FeatureSet,FeatureFile,N_Features,Method,SMOTE_Ratio,Model,HP_Label,max_depth,learning_rate,n_estimators,Val_F1,Val_Recall,Val_ROC_AUC,Val_Precision,Val_PR_AUC,Val_Accuracy,Test_F1,Test_Recall,Test_ROC_AUC,Test_Precision,Test_PR_AUC,Test_Accuracy,Gap_F1,Gap_Recall,Gap_ROC_AUC,Gap_Precision,Gap_PR_AUC,Gap_Accuracy
top55_dedup45,lasso_features_top55--45.csv,45,ClassWeight,-,XGBoost,md4_lr0.03_ne300,4,0.03,300,0.40225584873584647,0.7884661480887897,0.9588999695014156,0.27014649504289445,0.42341730406120287,0.9291462751643085,0.39232209737827717,0.9229074889867841,0.9603535880189261,0.24910820451843044,0.47208609355049064,0.8899720267864711,0.009933751357569298,-0.13444134089799442,-0.0014536185175104688,0.021038290524464015,-0.04866878948928777,0.03917424837783734
top50_dedup43,lasso_features_top50--43.csv,43,ClassWeight,-,XGBoost,md4_lr0.03_ne300,4,0.03,300,0.39966459586532643,0.8025739081399458,0.9588070580301892,0.2661191026697116,0.42283510094106375,0.9273115745990315,0.4028639618138425,0.9295154185022027,0.9604133970726964,0.2571602681291895,0.45952192440833745,0.893956090531491,-0.003199365948516053,-0.12694151036225687,-0.0016063390425071766,0.008958834540522098,-0.0366868234672737,0.03335548406754041
top55_dedup45,lasso_features_top55--45.csv,45,ClassWeight,-,XGBoost,md5_lr0.03_ne300,5,0.03,300,0.43349926281885187,0.6980883848808377,0.9571259948184353,0.31514690604437307,0.41101744034710164,0.9447688804942435,0.43449419568822556,0.8656387665198237,0.9602832929622219,0.2900369003690037,0.4567095367148677,0.9132830380605239,-0.000994932869373688,-0.16755038163898606,-0.0031572981437866243,0.025110005675369362,-0.045692096367766055,0.031485842433719546
top55_dedup45,lasso_features_top55--45.csv,45,ClassWeight,-,XGBoost,md4_lr0.05_ne300,4,0.05,300,0.4294840893619341,0.6465626542985033,0.9569578290206452,0.3294048002545021,0.4160634235342968,0.948303071576177,0.430987452264048,0.8700440528634361,0.9596801536082918,0.2864394488759971,0.4525367879161206,0.9115876917860473,-0.0015033629021138917,-0.22348139856493277,-0.0027223245876466518,0.04296535137850499,-0.0364733643818238,0.03671537979012973
top50_dedup43,lasso_features_top50--43.csv,43,ClassWeight,-,XGBoost,md5_lr0.03_ne300,5,0.03,300,0.43323705720168615,0.7125451462243916,0.9580070365697725,0.3118650132382131,0.4121235763947622,0.943527173169833,0.43397260273972604,0.8722466960352423,0.9604341748933244,0.2888402625820569,0.4524864379679839,0.9124353649232856,-0.0007355455380398945,-0.15970154981085072,-0.002427138323551903,0.023024750656156168,-0.040362861573221664,0.031091808246547448
top50_dedup43,lasso_features_top50--43.csv,43,ClassWeight,-,XGBoost,md4_lr0.05_ne300,4,0.05,300,0.4356633612534308,0.6766712129919678,0.9577092854373643,0.3229911638231812,0.41667780512060887,0.947167753252551,0.43340857787810383,0.8458149779735683,0.9597632648908038,0.291350531107739,0.4471470059887718,0.9148936170212766,0.002254783375326974,-0.16914376498160055,-0.0020539794534394362,0.03164063271544221,-0.030469200868162905,0.0322741362312744
top50_dedup43,lasso_features_top50--43.csv,43,ClassWeight,-,XGBoost,md5_lr0.01_ne300,5,0.01,300,0.36227689355445375,0.8950453553283743,0.9559571269759425,0.22752172603631404,0.39160863301787546,0.9048153319565193,0.3542009884678748,0.947136563876652,0.9551635020298184,0.21783181357649442,0.4352196158397553,0.8670848520810376,0.00807590508657896,-0.052091208548277756,0.0007936249461241163,0.009689912459819622,-0.04361098282187986,0.037730479875481726
top50_dedup43,lasso_features_top50--43.csv,43,ClassWeight,-,XGBoost,md4_lr0.01_ne300,4,0.01,300,0.3438933457791427,0.9145084302631473,0.9578897461316188,0.21226566646603273,0.3997741248153406,0.894312561416348,0.3352556708958093,0.960352422907489,0.9536993453238836,0.20307405682347462,0.4318415868955051,0.8534373145715012,0.00863767488333339,-0.04584399264434169,0.004190400807735251,0.009191609642558107,-0.03206746208016453,0.04087524684484678
top55_dedup45,lasso_features_top55--45.csv,45,ClassWeight,-,XGBoost,md4_lr0.01_ne300,4,0.01,300,0.34268495726772336,0.9086811744358915,0.9578101024096304,0.21157030062720242,0.4057425472015086,0.8945461878801971,0.33877233877233875,0.960352422907489,0.9538446929756597,0.20566037735849058,0.4287536424014624,0.8557260320420446,0.003912618495384601,-0.05167124847159754,0.0039654094339707235,0.005909923268711842,-0.023011095199953813,0.03882015583815257
top55_dedup45,lasso_features_top55--45.csv,45,ClassWeight,-,XGBoost,md5_lr0.01_ne300,5,0.01,300,0.3653243000314265,0.8905973358803547,0.9561455912854794,0.23023431350018217,0.3919498769360268,0.9064925335660806,0.35173824130879344,0.947136563876652,0.9550738855417826,0.21597187343043697,0.426776460313209,0.8656438077477324,0.013586058722633076,-0.05653922799629729,0.0010717057436967492,0.014262440069745197,-0.034826583377182196,0.0408487258183482
top55_dedup45,lasso_features_top55--45.csv,45,ClassWeight,-,XGBoost,md5_lr0.05_ne300,5,0.05,300,0.4103538755562232,0.47276046936424293,0.9556377271829098,0.37612209023080706,0.4024457561379993,0.9598414740259801,0.46406570841889117,0.7466960352422908,0.9583305661936703,0.33664349553128103,0.42452356502315214,0.9336271933542426,-0.05371183286266795,-0.27393556587804785,-0.0026928390107604505,0.039478594699526026,-0.022077808885152816,0.026214280671737478
