iter	Passed	Remaining
0	9	2853
1	19	2926
2	30	2974
3	40	2984
4	50	2963
5	60	2972
6	70	2951
7	80	2929
8	90	2929
9	99	2899
10	109	2864
11	118	2852
12	129	2851
13	138	2835
14	148	2817
15	157	2803
16	167	2791
17	177	2773
18	186	2755
19	195	2734
20	204	2718
21	213	2702
22	223	2694
23	233	2684
24	242	2669
25	253	2673
26	264	2675
27	274	2668
28	284	2657
29	293	2637
30	302	2624
31	311	2608
32	320	2594
33	331	2590
34	340	2577
35	350	2567
36	359	2555
37	368	2540
38	378	2530
39	387	2518
40	396	2503
41	404	2487
42	414	2475
43	423	2462
44	432	2449
45	440	2432
46	449	2418
47	458	2405
48	479	2457
49	488	2441
50	497	2430
51	506	2415
52	515	2401
53	524	2390
54	535	2383
55	545	2375
56	554	2364
57	563	2349
58	571	2333
59	580	2322
60	589	2309
61	598	2296
62	607	2285
63	616	2271
64	624	2259
65	633	2246
66	642	2234
67	651	2223
68	659	2208
69	668	2196
70	677	2186
71	687	2176
72	695	2163
73	705	2153
74	713	2141
75	722	2130
76	732	2120
77	741	2111
78	750	2100
79	759	2088
80	767	2075
81	776	2063
82	785	2054
83	794	2043
84	804	2033
85	812	2021
86	821	2011
87	830	2001
88	840	1991
89	849	1982
90	858	1972
91	867	1960
92	875	1948
93	884	1938
94	893	1929
95	902	1918
96	911	1908
97	921	1898
98	930	1889
99	940	1880
100	949	1869
101	958	1860
102	967	1851
103	976	1839
104	985	1829
105	994	1819
106	1003	1809
107	1012	1799
108	1021	1789
109	1031	1782
110	1046	1782
111	1061	1781
112	1074	1777
113	1086	1772
114	1097	1764
115	1109	1760
116	1120	1752
117	1130	1743
118	1140	1735
119	1149	1724
120	1158	1714
121	1167	1703
122	1177	1694
123	1186	1684
124	1196	1674
125	1206	1665
126	1215	1655
127	1224	1644
128	1233	1634
129	1243	1625
130	1252	1615
131	1261	1606
132	1269	1594
133	1279	1584
134	1289	1575
135	1299	1566
136	1308	1557
137	1316	1546
138	1327	1537
139	1336	1527
140	1346	1518
141	1357	1510
142	1366	1500
143	1376	1490
144	1385	1480
145	1394	1470
146	1402	1459
147	1411	1449
148	1421	1440
149	1430	1430
150	1439	1420
151	1449	1411
152	1459	1402
153	1469	1392
154	1478	1383
155	1488	1373
156	1498	1364
157	1507	1355
158	1518	1346
159	1527	1336
160	1536	1326
161	1546	1317
162	1555	1307
163	1565	1297
164	1574	1288
165	1584	1278
166	1592	1268
167	1602	1259
168	1612	1250
169	1623	1241
170	1633	1232
171	1642	1222
172	1651	1212
173	1660	1202
174	1669	1192
175	1679	1182
176	1688	1173
177	1697	1163
178	1707	1154
179	1715	1143
180	1725	1134
181	1734	1124
182	1743	1114
183	1753	1105
184	1762	1095
185	1771	1085
186	1780	1075
187	1789	1066
188	1799	1057
189	1809	1047
190	1819	1038
191	1829	1029
192	1839	1020
193	1849	1010
194	1860	1001
195	1870	992
196	1879	982
197	1889	973
198	1899	964
199	1909	954
200	1918	945
201	1928	935
202	1937	925
203	1947	916
204	1956	906
205	1966	897
206	1975	887
207	1985	878
208	1994	868
209	2004	859
210	2014	849
211	2024	840
212	2033	830
213	2042	820
214	2053	811
215	2063	802
216	2072	792
217	2082	783
218	2091	773
219	2101	764
220	2110	754
221	2120	745
222	2130	735
223	2140	726
224	2151	717
225	2161	707
226	2172	698
227	2181	688
228	2190	679
229	2201	669
230	2211	660
231	2221	651
232	2231	641
233	2240	631
234	2249	622
235	2258	612
236	2268	602
237	2278	593
238	2288	584
239	2298	574
240	2308	565
241	2317	555
242	2327	545
243	2336	536
244	2346	526
245	2358	517
246	2368	508
247	2378	498
248	2388	489
249	2400	480
250	2409	470
251	2420	461
252	2432	451
253	2442	442
254	2452	432
255	2464	423
256	2474	413
257	2484	404
258	2495	395
259	2506	385
260	2516	376
261	2527	366
262	2539	357
263	2550	347
264	2560	338
265	2570	328
266	2581	319
267	2590	309
268	2601	299
269	2611	290
270	2621	280
271	2632	271
272	2643	261
273	2655	251
274	2665	242
275	2676	232
276	2688	223
277	2699	213
278	2710	203
279	2719	194
280	2730	184
281	2742	175
282	2753	165
283	2765	155
284	2774	146
285	2787	136
286	2798	126
287	2809	117
288	2820	107
289	2830	97
290	2839	87
291	2849	78
292	2858	68
293	2868	58
294	2877	48
295	2886	39
296	2897	29
297	2907	19
298	2917	9
299	2927	0
