평가구분,변수,F통계량,p값,유의성,Eta²,효과크기
성장성,매출액증가율,29.8375,0.0,***,0.0146,소
성장성,유형자산증가율,25.435,0.0,***,0.0125,소
성장성,총자산증가율,111.9122,0.0,***,0.0528,소
수익성,영업이익률,63.2744,0.0,***,0.0305,소
수익성,순이익률,71.1672,0.0,***,0.0342,소
수익성,ROE,9.64,2e-06,***,0.0048,소
레버리지,부채비율,88.5011,0.0,***,0.0422,소
레버리지,차입금의존도,409.6824,0.0,***,0.1694,대
레버리지,자기자본비율,172.9465,0.0,***,0.0793,중
이자지급능력 및 현금보유수준,금융비용부담률,104.4384,0.0,***,0.0494,소
이자지급능력 및 현금보유수준,현금비율,89.4289,0.0,***,0.0426,소
이자지급능력 및 현금보유수준,영업CF_총부채,425.8739,0.0,***,0.175,대
생산성 등,총자산회전율,15.3049,0.0,***,0.0076,소
생산성 등,ROIC,63.8961,0.0,***,0.0308,소
생산성 등,투하자본회전율,22.0714,0.0,***,0.0109,소
