변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
기본 재무비율,부채비율,88.5011,0.0,***,0.0422,소
기본 재무비율,총부채비율,204.4042,0.0,***,0.0924,중
기본 재무비율,장기부채비율,87.0774,0.0,***,0.0416,소
기본 재무비율,장기부채의존도,70.6484,0.0,***,0.034,소
기본 재무비율,차입금의존도,409.6824,0.0,***,0.1694,대
기본 재무비율,순차입금비율,90.9841,0.0,***,0.0433,소
기본 재무비율,금융부채비율,89.3669,0.0,***,0.0426,소
기본 재무비율,자기자본비율,172.9465,0.0,***,0.0793,중
기본 재무비율,유보율,80.0199,0.0,***,0.0383,소
기본 재무비율,자본잠식률,56.1047,0.0,***,0.0272,소
기본 재무비율,유동비율,83.295,0.0,***,0.0398,소
기본 재무비율,당좌비율_추정,83.408,0.0,***,0.0399,소
기본 재무비율,현금비율,89.4289,0.0,***,0.0426,소
기본 재무비율,순운전자본비율,164.3802,0.0,***,0.0757,중
기본 재무비율,순운전자본회전율,1.1937,0.310495,n.s.,0.0006,소
기본 재무비율,금융비용부담률,104.4384,0.0,***,0.0494,소
기본 재무비율,비유동비율,82.3974,0.0,***,0.0394,소
기본 재무비율,비유동장기적합률,36.6682,0.0,***,0.0179,소
기본 재무비율,유형자산비율,79.959,0.0,***,0.0383,소
기본 재무비율,유형자산부채비율,38.7007,0.0,***,0.0189,소
기본 재무비율,ROA,192.6448,0.0,***,0.0875,중
기본 재무비율,ROE,9.64,2e-06,***,0.0048,소
기본 재무비율,ROIC,63.8961,0.0,***,0.0308,소
기본 재무비율,총자본영업이익률,239.9211,0.0,***,0.1067,중
기본 재무비율,매출총이익률,15.4524,0.0,***,0.0076,소
기본 재무비율,영업이익률,63.2744,0.0,***,0.0305,소
기본 재무비율,순이익률,71.1672,0.0,***,0.0342,소
기본 재무비율,EBITDA마진,65.1636,0.0,***,0.0314,소
기본 재무비율,현금ROA,549.6969,0.0,***,0.2149,대
기본 재무비율,현금ROE,10.4484,1e-06,***,0.0052,소
기본 재무비율,매출원가율,9.844,2e-06,***,0.0049,소
기본 재무비율,판관비율,82.0762,0.0,***,0.0393,소
기본 재무비율,감가상각비율,46.9376,0.0,***,0.0228,소
기본 재무비율,총자산회전율,15.3049,0.0,***,0.0076,소
기본 재무비율,유동자산회전율,17.0079,0.0,***,0.0084,소
기본 재무비율,비유동자산회전율,16.524,0.0,***,0.0082,소
기본 재무비율,유형자산회전율,8.2562,1.8e-05,***,0.0041,소
기본 재무비율,자기자본회전율,3.3333,0.01863,*,0.0017,소
기본 재무비율,투하자본회전율,22.0714,0.0,***,0.0109,소
기본 재무비율,매출채권회전율,22.8699,0.0,***,0.0113,소
기본 재무비율,매출채권회수기간,30.3222,0.0,***,0.0149,소
기본 재무비율,재고자산회전율,2.4156,0.064538,n.s.,0.0012,소
기본 재무비율,재고자산보유기간,49.0755,0.0,***,0.0239,소
기본 재무비율,매입채무회전율,11.5918,0.0,***,0.0057,소
기본 재무비율,매입채무지급기간,36.7766,0.0,***,0.018,소
기본 재무비율,현금전환주기_CCC,45.0327,0.0,***,0.0219,소
기본 재무비율,영업CF_유동부채,395.7414,0.0,***,0.1646,대
기본 재무비율,영업CF_총부채,425.8739,0.0,***,0.175,대
기본 재무비율,FCF,129.6187,0.0,***,0.0606,중
기본 재무비율,FCF_총자산,230.0386,0.0,***,0.1028,중
기본 재무비율,매출액증가율,29.8375,0.0,***,0.0146,소
기본 재무비율,영업이익증가율,7.2559,7.4e-05,***,0.0036,소
기본 재무비율,순이익증가율,11.6623,0.0,***,0.0058,소
기본 재무비율,EBITDA증가율,8.1958,1.9e-05,***,0.0041,소
기본 재무비율,총자산증가율,111.9122,0.0,***,0.0528,소
기본 재무비율,유형자산증가율,25.435,0.0,***,0.0125,소
기본 재무비율,자기자본증가율,17.7046,0.0,***,0.0087,소
기본 재무비율,부채증가율,79.671,0.0,***,0.0382,소
기본 재무비율,영업현금흐름증가율,110.5896,0.0,***,0.0522,소
기본 재무비율,FCF증가율,38.3637,0.0,***,0.0187,소
기본 재무비율,ROA변화,4.4703,0.003852,**,0.0022,소
기본 재무비율,영업이익률변화,14.917,0.0,***,0.0074,소
기본 재무비율,부채비율변화,0.8918,0.444475,n.s.,0.0004,소
기본 재무비율,유동비율변화,9.5968,3e-06,***,0.0048,소
전기대비_변화량(diff),종업원_diff,148.4678,0.0,***,0.0688,중
전기대비_변화량(diff),자산총계(요약)(백만원)_diff,102.6916,0.0,***,0.0486,소
전기대비_변화량(diff),투자활동으로 인한 현금흐름(요약)(백만원)_diff,4.3582,0.004505,**,0.0022,소
전기대비_변화량(diff),재무활동으로 인한 현금흐름(요약)(백만원)_diff,16.7563,0.0,***,0.0083,소
전기대비_변화량(diff),부채비율_diff,88.9417,0.0,***,0.0424,소
전기대비_변화량(diff),총부채비율_diff,206.7406,0.0,***,0.0933,중
전기대비_변화량(diff),장기부채비율_diff,86.8207,0.0,***,0.0414,소
전기대비_변화량(diff),장기부채의존도_diff,65.6609,0.0,***,0.0317,소
전기대비_변화량(diff),차입금의존도_diff,413.6152,0.0,***,0.1708,대
전기대비_변화량(diff),순차입금비율_diff,91.4438,0.0,***,0.0435,소
전기대비_변화량(diff),금융부채비율_diff,89.8294,0.0,***,0.0428,소
전기대비_변화량(diff),자기자본비율_diff,175.9016,0.0,***,0.0805,중
전기대비_변화량(diff),유보율_diff,43.3199,0.0,***,0.0211,소
전기대비_변화량(diff),자본잠식률_diff,17.2751,0.0,***,0.0085,소
전기대비_변화량(diff),유동비율_diff,82.7251,0.0,***,0.0396,소
전기대비_변화량(diff),당좌비율_추정_diff,82.95,0.0,***,0.0397,소
전기대비_변화량(diff),현금비율_diff,88.3447,0.0,***,0.0421,소
전기대비_변화량(diff),순운전자본비율_diff,165.5522,0.0,***,0.0762,중
전기대비_변화량(diff),순운전자본회전율_diff,7.1299,8.9e-05,***,0.0035,소
전기대비_변화량(diff),금융비용부담률_diff,105.8768,0.0,***,0.0501,소
전기대비_변화량(diff),비유동비율_diff,82.2609,0.0,***,0.0393,소
전기대비_변화량(diff),비유동장기적합률_diff,36.6678,0.0,***,0.0179,소
전기대비_변화량(diff),유형자산비율_diff,83.5268,0.0,***,0.0399,소
전기대비_변화량(diff),유형자산부채비율_diff,53.8213,0.0,***,0.0261,소
전기대비_변화량(diff),ROA_diff,196.0626,0.0,***,0.0889,중
전기대비_변화량(diff),ROE_diff,10.0779,1e-06,***,0.005,소
전기대비_변화량(diff),ROIC_diff,63.6342,0.0,***,0.0307,소
전기대비_변화량(diff),총자본영업이익률_diff,239.4252,0.0,***,0.1065,중
전기대비_변화량(diff),매출총이익률_diff,29.6362,0.0,***,0.0145,소
전기대비_변화량(diff),영업이익률_diff,64.0147,0.0,***,0.0309,소
전기대비_변화량(diff),순이익률_diff,72.2066,0.0,***,0.0347,소
전기대비_변화량(diff),EBITDA마진_diff,66.1444,0.0,***,0.0319,소
전기대비_변화량(diff),영업현금흐름비율_diff,126.289,0.0,***,0.0592,소
전기대비_변화량(diff),현금ROA_diff,558.3056,0.0,***,0.2175,대
전기대비_변화량(diff),현금ROE_diff,10.1684,1e-06,***,0.005,소
전기대비_변화량(diff),매출원가율_diff,23.2532,0.0,***,0.0114,소
전기대비_변화량(diff),판관비율_diff,70.7069,0.0,***,0.034,소
전기대비_변화량(diff),감가상각비율_diff,46.8605,0.0,***,0.0228,소
전기대비_변화량(diff),총자산회전율_diff,15.7788,0.0,***,0.0078,소
