연도,고용률,생산자물가지수,소비자물가지수,실업률,한국은행 기준금리,"회사채(3년, BBB-)","국내총생산(명목, 원화표시)",산업별대출금
2011,59.26666666666667,102.60000000000001,89.85000000000001,3.408333333333333,3.1041666666666665,10.384166666666667,1448575.6,769289.6
2012,59.60833333333333,103.31166666666668,91.81508333333333,3.2249999999999996,3.0625,9.338333333333333,1504674.1,789517.1
2013,59.80833333333334,101.65666666666665,93.00991666666665,3.0999999999999996,2.5833333333333335,8.836166666666665,1570938.2,827806.9
2014,60.50833333333335,101.11583333333334,94.19558333333335,3.4916666666666667,2.3333333333333335,8.712166666666667,1638484.8,882863.5
2015,60.54166666666668,97.05666666666667,94.86091666666665,3.5916666666666672,1.6458333333333333,8.0005,1740776.0,943349.3
2016,60.558333333333344,95.295,95.78266666666667,3.6750000000000003,1.3541666666666667,7.925916666666667,1833026.6,985510.4
2017,60.84166666666666,98.58333333333333,97.64500000000002,3.6833333333333336,1.2916666666666667,8.556250000000002,1934233.9,1051546.7
2018,60.71666666666667,100.43416666666667,99.08608333333332,3.8333333333333335,1.5416666666666667,8.817499999999999,2006974.5,1121547.9
2019,60.958333333333336,100.45666666666666,99.46558333333333,3.783333333333333,1.5625,8.117166666666666,2040594.3,1208266.8
2020,60.074999999999996,100.0,99.99999999999999,3.941666666666667,0.6666666666666666,8.407916666666667,2058466.5,1394601.9
2021,60.48333333333333,106.37750000000001,102.49833333333333,3.6750000000000003,0.6458333333333334,8.3305,2221912.9,1582338.6
2022,62.05833333333334,115.29166666666667,107.71499999999999,2.883333333333333,2.125,9.98825,2323781.5,1799844.0
2023,62.57500000000001,117.10833333333333,111.59000000000002,2.7083333333333335,3.5,10.769166666666669,2408687.4,1892394.5
2024,62.724999999999994,119.0775,114.18083333333335,2.8000000000000003,3.3958333333333335,9.760250000000001,2556857.4,1965442.0
2025,62.875,120.44666666666667,116.605,2.7916666666666665,2.6041666666666665,8.892916666666666,2663342.6,2026136.1
2026,62.125,124.905,118.65,3.35,2.5,9.737800000000002,,
