연도,정상(0),부실(1),합계,부실비율(%),정상비율(%)
2010,16780,0,16780,0.0,100.0
2011,18642,0,18642,0.0,100.0
2012,17864,2747,20611,13.33,86.67
2013,18387,979,19366,5.06,94.94
2014,18781,997,19778,5.04,94.96
2015,19498,903,20401,4.43,95.57
2016,20877,826,21703,3.81,96.19
2017,22182,947,23129,4.09,95.91
2018,23225,1034,24259,4.26,95.74
2019,24573,1265,25838,4.9,95.1
2020,23898,1299,25197,5.16,94.84
2021,26258,1334,27592,4.83,95.17
2022,27956,1537,29493,5.21,94.79
2023,25412,1883,27295,6.9,93.1
2024,22345,2252,24597,9.16,90.84
