회사명,거래소코드,회계년도,사업자등록번호,한국표준산업분류코드,자산총계(요약)(백만원),유동자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),매출채권(요약)(백만원),재고자산(요약)(백만원),비유동자산(요약)(백만원),유형자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),비유동부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),이익잉여금(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,감가상각비,영업이익(요약)(백만원),이자비용(요약)(백만원),당기순이익(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),주당순이익(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원)
농업회사법인(주)엔에이치농우바이오,54050,2010/10,124-81-16938,1,115289.0,56692.0,18846.0,14284.0,16509.0,58598.0,26457.0,9974.0,9904.0,1138.0,0.0,0.0,0.0,0.0,70.0,105315.0,7150.0,68393.0,48451.0,17950.0,30501.0,21669.0,6446.0,578.0,8832.0,5.0,10828.0,13029.0,2201.0,791.0,3651.0,19137.0
농업회사법인(주)엔에이치농우바이오,54050,2011/10,124-81-16938,1,129098.0,51879.0,13194.0,18116.0,17578.0,77219.0,39769.0,10878.0,10798.0,2407.0,0.0,0.0,0.0,0.0,80.0,118221.0,7150.0,80269.0,55599.0,20895.0,34703.0,23861.0,6701.0,685.0,10843.0,1.0,14482.0,14376.0,-105.0,1049.0,8514.0,20785.0
농업회사법인(주)엔에이치농우바이오,54050,2012/09,124-81-16938,1,156004.0,62567.0,13427.0,22110.0,22512.0,93438.0,42022.0,11194.0,8839.0,1129.0,0.0,0.0,0.0,0.0,2355.0,144810.0,7150.0,105020.0,60700.0,20477.0,40223.0,24065.0,6142.0,543.0,16158.0,3.0,16663.0,16752.0,89.0,1180.0,4934.0,10300.0
농업회사법인(주)엔에이치농우바이오,54050,2013/09,124-81-16938,1,168997.0,67210.0,10070.0,24422.0,28130.0,101788.0,48234.0,14787.0,11589.0,1435.0,1237.0,0.0,0.0,0.0,3199.0,154210.0,7150.0,114420.0,67572.0,27382.0,40191.0,27498.0,7199.0,572.0,12693.0,19.0,12975.0,12818.0,-157.0,907.0,8900.0,14257.0
농업회사법인(주)엔에이치농우바이오,54050,2014/09,124-81-16938,1,181307.0,71972.0,8074.0,26265.0,33127.0,109335.0,55680.0,16933.0,13550.0,3033.0,0.0,0.0,0.0,0.0,3383.0,164374.0,7150.0,124584.0,69262.0,27892.0,41369.0,28142.0,7685.0,606.0,13227.0,45.0,13739.0,13821.0,82.0,961.0,11431.0,16741.0
농업회사법인(주)엔에이치농우바이오,54050,2015/09,124-81-16938,1,203918.0,84529.0,5351.0,33858.0,40138.0,119389.0,47219.0,29193.0,26753.0,3868.0,11455.0,0.0,0.0,0.0,2440.0,174725.0,7150.0,134935.0,78478.0,30365.0,48113.0,35377.0,8800.0,621.0,12736.0,313.0,13926.0,13378.0,-548.0,974.0,3369.0,17546.0
농업회사법인(주)엔에이치농우바이오,54050,2015/12,124-81-16938,1,209966.0,90416.0,4788.0,32086.0,47958.0,119550.0,47635.0,37771.0,35605.0,8524.0,10253.0,0.0,0.0,0.0,2166.0,172195.0,7150.0,132405.0,13519.0,4130.0,9390.0,8580.0,2409.0,165.0,810.0,77.0,1044.0,988.0,-56.0,73.0,1241.0,1623.0
농업회사법인(주)엔에이치농우바이오,54050,2016/12,124-81-16938,1,212423.0,96922.0,4839.0,37659.0,49831.0,115500.0,45122.0,49316.0,46762.0,5584.0,7203.0,0.0,0.0,0.0,2554.0,163107.0,7150.0,123317.0,82837.0,36791.0,46046.0,34981.0,10375.0,673.0,11064.0,330.0,-9088.0,13521.0,22609.0,-635.0,4573.0,7672.0
농업회사법인(주)엔에이치농우바이오,54050,2017/12,124-81-16938,1,229441.0,104870.0,4318.0,45881.0,51183.0,124571.0,43902.0,58075.0,48947.0,7214.0,27200.0,0.0,0.0,7600.0,9128.0,171365.0,7150.0,131576.0,87589.0,40595.0,46994.0,36644.0,11606.0,635.0,10350.0,855.0,8259.0,8712.0,454.0,578.0,-14931.0,15809.0
농업회사법인(주)엔에이치농우바이오,54050,2018/12,124-81-16938,1,253156.0,120898.0,13003.0,44823.0,57604.0,132258.0,48084.0,29005.0,27594.0,8667.0,0.0,0.0,0.0,0.0,1410.0,224151.0,8015.0,155939.0,79957.0,37931.0,42027.0,38143.0,11880.0,549.0,3883.0,447.0,26863.0,5411.0,-21452.0,1734.0,27555.0,9707.0
농업회사법인(주)엔에이치농우바이오,54050,2019/12,124-81-16938,1,271519.0,127221.0,5303.0,52841.0,64642.0,144299.0,56671.0,47398.0,45062.0,11222.0,14200.0,0.0,0.0,0.0,2336.0,224122.0,8015.0,155956.0,91191.0,47036.0,44155.0,41539.0,12147.0,3048.0,2616.0,277.0,5164.0,3641.0,-1522.0,322.0,-3771.0,16541.0
농업회사법인(주)엔에이치농우바이오,54050,2020/12,124-81-16938,1,279702.0,130666.0,11189.0,49660.0,67820.0,149035.0,56985.0,50769.0,48475.0,9691.0,17700.0,0.0,0.0,0.0,2295.0,228932.0,8015.0,160555.0,98345.0,53034.0,45311.0,43314.0,12363.0,3167.0,1997.0,549.0,7805.0,5753.0,-2052.0,487.0,4537.0,6723.0
농업회사법인(주)엔에이치농우바이오,54050,2021/12,124-81-16938,1,278074.0,130356.0,3499.0,54158.0,70367.0,147718.0,55299.0,47080.0,44942.0,9333.0,12900.0,0.0,0.0,0.0,2138.0,230994.0,8015.0,162181.0,100940.0,53665.0,47276.0,43515.0,12595.0,3260.0,3760.0,456.0,4832.0,4692.0,-139.0,301.0,2514.0,2010.0
농업회사법인(주)엔에이치농우바이오,54050,2022/12,124-81-16938,1,292964.0,151368.0,14069.0,56189.0,75764.0,141596.0,49841.0,56616.0,54650.0,11527.0,21400.0,0.0,0.0,0.0,1965.0,236349.0,8015.0,167358.0,101998.0,51293.0,50705.0,41509.0,12765.0,3253.0,9196.0,815.0,8281.0,7956.0,-325.0,517.0,7115.0,2005.0
농업회사법인(주)엔에이치농우바이오,54050,2023/12,124-81-16938,1,287221.0,154008.0,21227.0,53706.0,73717.0,133213.0,49006.0,45478.0,43501.0,9622.0,13000.0,0.0,0.0,0.0,1977.0,241743.0,8015.0,171443.0,102100.0,52504.0,49596.0,40850.0,13143.0,3240.0,8747.0,1005.0,7291.0,6703.0,-588.0,455.0,14814.0,3886.0
