회사명,거래소코드,회계년도,사업자등록번호,한국표준산업분류코드,자산총계(요약)(백만원),유동자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),매출채권(요약)(백만원),재고자산(요약)(백만원),비유동자산(요약)(백만원),유형자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),비유동부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),이익잉여금(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,감가상각비,영업이익(요약)(백만원),이자비용(요약)(백만원),당기순이익(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),주당순이익(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원)
(주)거성개발,94882,2019/12,126-81-90443,7,20438.0,5996.0,22.0,2173.0,1193.0,14442.0,10315.0,18663.0,11322.0,0.0,4815.0,1104.0,0.0,7298.0,7341.0,1775.0,2300.0,-525.0,11114.0,9024.0,2090.0,752.0,34.0,2264.0,1338.0,183.0,799.0,1023.0,225.0,1736.0,-136.0,11517.0
(주)거성개발,94882,2020/12,126-81-90443,7,29875.0,8401.0,231.0,2321.0,960.0,21474.0,15953.0,27934.0,22205.0,0.0,294.0,5103.0,0.0,5306.0,5729.0,1941.0,2310.0,-369.0,15478.0,13979.0,1499.0,1042.0,183.0,2284.0,456.0,304.0,156.0,224.0,68.0,337.0,4623.0,9619.0
(주)거성개발,94882,2021/12,126-81-90443,7,29462.0,10061.0,230.0,2444.0,662.0,19400.0,16944.0,27301.0,25128.0,0.0,1554.0,7535.0,0.0,1755.0,2174.0,2160.0,2310.0,-150.0,26298.0,22708.0,3590.0,2466.0,386.0,2387.0,1124.0,547.0,219.0,394.0,174.0,475.0,2482.0,7275.0
(주)거성개발,94882,2022/12,126-81-90443,7,26060.0,8469.0,169.0,797.0,363.0,17591.0,15266.0,41120.0,34882.0,0.0,3389.0,5044.0,0.0,5792.0,6238.0,-15060.0,2310.0,-17370.0,15912.0,29597.0,-13686.0,1499.0,429.0,2400.0,-15185.0,945.0,-17220.0,-17163.0,57.0,-37273.0,-1919.0,6489.0
(주)거성개발,94882,2023/12,126-81-90443,7,9449.0,2498.0,1.0,2.0,0.0,6951.0,6900.0,34577.0,34403.0,0.0,5757.0,3035.0,0.0,0.0,175.0,-25129.0,2310.0,-27439.0,1887.0,4478.0,-2590.0,908.0,344.0,2390.0,-3498.0,373.0,-10069.0,-10069.0,0.0,-21794.0,-6513.0,47.0
(주)건우기업,47015,2010/12,136-81-09819,7,24965.0,7983.0,4416.0,1369.0,84.0,16982.0,13451.0,10318.0,6215.0,653.0,2805.0,1514.0,1000.0,2436.0,4103.0,14646.0,1000.0,13646.0,12160.0,5784.0,6376.0,2723.0,2059.0,46.0,3653.0,489.0,2612.0,3284.0,672.0,13062.0,3432.0,7976.0
(주)건우기업,47015,2011/12,136-81-09819,7,23452.0,6950.0,3588.0,981.0,663.0,16502.0,13506.0,7822.0,5463.0,375.0,2600.0,1596.0,1000.0,1331.0,2359.0,15630.0,1000.0,14630.0,9844.0,5774.0,4069.0,2788.0,1656.0,64.0,1281.0,459.0,984.0,1134.0,150.0,4919.0,375.0,4595.0
(주)건우기업,47015,2012/12,136-81-09819,7,24131.0,8495.0,3860.0,1511.0,626.0,15637.0,13750.0,7847.0,4970.0,200.0,2100.0,1974.0,0.0,2877.0,2877.0,16284.0,1000.0,15284.0,10230.0,6094.0,4136.0,3163.0,1375.0,61.0,972.0,331.0,654.0,819.0,164.0,3272.0,586.0,3320.0
(주)건우기업,47015,2013/12,136-81-09819,7,24023.0,7579.0,3548.0,1138.0,383.0,16444.0,13458.0,6588.0,5186.0,272.0,3000.0,1014.0,0.0,1402.0,1402.0,17434.0,1000.0,16434.0,10002.0,5943.0,4058.0,2380.0,1319.0,62.0,1678.0,344.0,1150.0,1450.0,300.0,5751.0,3120.0,2050.0
(주)건우기업,47015,2014/12,136-81-09819,7,26497.0,9284.0,4811.0,967.0,318.0,17213.0,13739.0,5807.0,4907.0,154.0,2800.0,502.0,0.0,900.0,900.0,20690.0,1000.0,19690.0,12713.0,6295.0,6419.0,2153.0,1350.0,122.0,4266.0,259.0,3255.0,4150.0,894.0,16277.0,4795.0,4682.0
(주)건우기업,47015,2015/12,136-81-09819,7,28449.0,9177.0,4913.0,1308.0,276.0,19272.0,15155.0,4732.0,3742.0,233.0,1200.0,1100.0,0.0,991.0,991.0,23717.0,1000.0,22717.0,12335.0,6212.0,6123.0,2252.0,1459.0,92.0,3871.0,181.0,3027.0,3857.0,830.0,15134.0,3875.0,7169.0
(주)건우기업,47015,2016/12,136-81-09819,7,31909.0,11362.0,5599.0,1292.0,185.0,20547.0,16728.0,3561.0,2966.0,271.0,0.0,1033.0,0.0,596.0,596.0,28348.0,1000.0,27348.0,14378.0,6027.0,8351.0,2416.0,1710.0,59.0,5936.0,116.0,4631.0,5913.0,1283.0,23154.0,6226.0,7643.0
(주)건우기업,47015,2017/12,136-81-09819,7,38126.0,13136.0,9189.0,1454.0,342.0,24991.0,20693.0,3815.0,3098.0,245.0,0.0,879.0,0.0,717.0,717.0,34312.0,1000.0,33312.0,16814.0,7069.0,9746.0,2522.0,1744.0,39.0,7224.0,75.0,5964.0,7621.0,1657.0,29820.0,7100.0,13071.0
(주)건우기업,47015,2018/12,136-81-09819,7,43715.0,18062.0,5408.0,1363.0,376.0,25652.0,21054.0,2982.0,2649.0,167.0,0.0,383.0,0.0,333.0,333.0,40733.0,1000.0,39696.0,18747.0,7927.0,10820.0,2657.0,1791.0,40.0,8164.0,58.0,6384.0,8175.0,1791.0,31920.0,8529.0,15015.0
(주)건우기업,47015,2019/12,136-81-09819,7,47183.0,15968.0,10250.0,991.0,848.0,31216.0,25478.0,6323.0,1639.0,185.0,0.0,333.0,0.0,0.0,4685.0,40860.0,1000.0,39874.0,14265.0,7304.0,6961.0,3040.0,1817.0,2772.0,3921.0,13.0,3178.0,4209.0,1030.0,15892.0,4079.0,2389.0
(주)건우기업,47015,2020/12,136-81-09819,7,47007.0,14321.0,9959.0,1385.0,721.0,32686.0,26647.0,10500.0,1096.0,140.0,0.0,0.0,0.0,0.0,9403.0,36507.0,1000.0,35522.0,14279.0,7389.0,6890.0,8458.0,1951.0,2862.0,-1568.0,5.0,-2353.0,-1428.0,925.0,-11763.0,4343.0,3937.0
(주)건우기업,47015,2021/12,136-81-09819,7,55399.0,15969.0,11477.0,1308.0,452.0,39431.0,33028.0,15448.0,3604.0,179.0,0.0,2150.0,0.0,2350.0,11843.0,39952.0,1000.0,38977.0,17020.0,9538.0,7481.0,3614.0,2082.0,2938.0,3867.0,73.0,3456.0,4141.0,685.0,17278.0,6629.0,9953.0
