회사명,거래소코드,회계년도,사업자등록번호,한국표준산업분류코드,자산총계(요약)(백만원),유동자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),매출채권(요약)(백만원),재고자산(요약)(백만원),비유동자산(요약)(백만원),유형자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),비유동부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),이익잉여금(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,감가상각비,영업이익(요약)(백만원),이자비용(요약)(백만원),당기순이익(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),주당순이익(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원)
(주)MH에탄올,023150,2010/12,608-81-03800,11,114576.0,36086.0,87.0,7483.0,4198.0,78490.0,36838.0,72006.0,63879.0,268.0,60309.0,875.0,0.0,4292.0,8127.0,42570.0,4408.0,13661.0,43305.0,32333.0,10971.0,3672.0,1881.0,269.0,7299.0,3971.0,-1208.0,38.0,1246.0,-173.0,2763.0,37699.0
(주)MH에탄올,023150,2011/12,608-81-03800,11,135927.0,26253.0,885.0,8749.0,4542.0,109674.0,35173.0,79766.0,66483.0,0.0,63016.0,1203.0,0.0,8089.0,13283.0,56161.0,4408.0,49414.0,43207.0,32716.0,10491.0,3595.0,1787.0,247.0,6896.0,4593.0,3352.0,4513.0,1161.0,479.0,4202.0,51583.0
(주)MH에탄올,023150,2012/12,608-81-03800,11,139201.0,23100.0,2.0,10110.0,5306.0,116101.0,34423.0,80488.0,67403.0,0.0,64484.0,476.0,0.0,7613.0,13085.0,58713.0,4408.0,51965.0,45489.0,35478.0,10010.0,3492.0,1790.0,180.0,6519.0,3983.0,2572.0,3316.0,745.0,367.0,2789.0,15756.0
(주)MH에탄올,023150,2013/12,608-81-03800,11,122521.0,25869.0,47.0,10665.0,6095.0,96652.0,34124.0,75401.0,67843.0,0.0,62913.0,1497.0,0.0,7182.0,7558.0,47120.0,4408.0,40314.0,46299.0,33248.0,13051.0,3400.0,1763.0,117.0,9650.0,2809.0,-11627.0,-17949.0,-6322.0,-1661.0,5638.0,26164.0
(주)MH에탄올,023150,2014/12,608-81-03800,11,85254.0,28019.0,5.0,10380.0,6987.0,57235.0,36083.0,32746.0,31619.0,0.0,28450.0,226.0,0.0,732.0,1127.0,52508.0,4597.0,44588.0,48984.0,37110.0,11874.0,3127.0,1705.0,97.0,8747.0,1556.0,4618.0,4265.0,-353.0,640.0,5126.0,18175.0
(주)MH에탄올,023150,2015/12,608-81-03800,11,78691.0,21759.0,3152.0,11080.0,3603.0,56933.0,36846.0,21122.0,20538.0,0.0,18000.0,136.0,0.0,484.0,583.0,57570.0,4597.0,50544.0,50386.0,36425.0,13961.0,2867.0,1668.0,110.0,11094.0,874.0,7745.0,9990.0,2245.0,1059.0,13354.0,8037.0
(주)MH에탄올,023150,2016/12,608-81-03800,11,72025.0,18956.0,1357.0,9965.0,5539.0,53069.0,37391.0,8768.0,7641.0,0.0,5000.0,136.0,0.0,348.0,1127.0,63258.0,4597.0,56778.0,48897.0,33962.0,14935.0,3058.0,1883.0,142.0,11877.0,404.0,8135.0,10440.0,2305.0,1128.0,12230.0,2348.0
(주)MH에탄올,023150,2017/12,608-81-03800,11,107437.0,18235.0,761.0,10590.0,5503.0,89202.0,39419.0,42738.0,15541.0,0.0,11203.0,136.0,0.0,25213.0,27197.0,64699.0,4597.0,60313.0,48270.0,34577.0,13693.0,3240.0,1854.0,170.0,10453.0,314.0,5903.0,8320.0,2417.0,824.0,10756.0,42633.0
(주)MH에탄올,023150,2018/12,608-81-03800,11,109657.0,18385.0,5.0,10266.0,6430.0,91272.0,40586.0,41185.0,13741.0,0.0,10482.0,0.0,0.0,25077.0,27444.0,68472.0,4597.0,70349.0,46943.0,34331.0,12612.0,3583.0,1992.0,187.0,9029.0,1034.0,6553.0,8252.0,1699.0,955.0,6669.0,4617.0
(주)MH에탄올,023150,2019/12,608-81-03800,11,101059.0,18130.0,2.0,9125.0,8081.0,82928.0,41121.0,41581.0,14252.0,0.0,10693.0,0.0,0.0,25000.0,27329.0,59478.0,4597.0,62921.0,46992.0,35416.0,11577.0,3748.0,2123.0,2443.0,7829.0,1032.0,-5005.0,-3444.0,1561.0,-752.0,6418.0,4842.0
(주)MH에탄올,023150,2020/12,608-81-03800,11,97516.0,20504.0,6.0,9315.0,8262.0,77012.0,41913.0,39906.0,17423.0,0.0,9570.0,3750.0,0.0,20300.0,22484.0,57609.0,4597.0,61489.0,51277.0,38909.0,12368.0,4130.0,2266.0,2447.0,8239.0,848.0,1156.0,2675.0,1519.0,178.0,7640.0,4496.0
(주)MH에탄올,023150,2021/12,608-81-03800,11,98741.0,19122.0,129.0,9491.0,9117.0,79618.0,43235.0,40683.0,23197.0,0.0,14975.0,5000.0,0.0,15000.0,17486.0,58057.0,4597.0,63423.0,45892.0,37736.0,8156.0,4481.0,2416.0,2436.0,3675.0,689.0,4939.0,5562.0,623.0,759.0,2030.0,4522.0
(주)MH에탄올,023150,2022/12,608-81-03800,11,110117.0,22711.0,27.0,11321.0,8699.0,87406.0,43571.0,47671.0,46410.0,0.0,43032.0,0.0,0.0,0.0,1261.0,62446.0,4597.0,67610.0,51400.0,46700.0,4700.0,4115.0,2199.0,2409.0,586.0,1227.0,5685.0,5578.0,-108.0,873.0,-848.0,5096.0
(주)MH에탄올,023150,2023/12,608-81-03800,11,117810.0,25262.0,78.0,11700.0,10889.0,92548.0,45103.0,50485.0,45998.0,73.0,41969.0,0.0,0.0,3000.0,4487.0,67325.0,4597.0,72171.0,55120.0,44630.0,10490.0,4833.0,2513.0,2437.0,5657.0,2121.0,6204.0,6936.0,733.0,953.0,3162.0,3442.0
(주)MH에탄올,023150,2024/12,608-81-03800,11,121565.0,24852.0,33.0,11638.0,9769.0,96713.0,48231.0,52065.0,45970.0,0.0,41336.0,1000.0,0.0,4000.0,6096.0,69500.0,4597.0,74272.0,53732.0,42815.0,10916.0,4926.0,2583.0,2505.0,5990.0,1994.0,4266.0,4839.0,573.0,659.0,5563.0,4807.0
(주)국순당,043650,2010/12,124-81-14925,11,175188.0,88939.0,52442.0,10096.0,14979.0,86249.0,61960.0,18861.0,18266.0,3343.0,0.0,0.0,0.0,0.0,594.0,156327.0,8929.0,136844.0,103748.0,50350.0,53398.0,39238.0,5713.0,1403.0,14160.0,0.0,14365.0,18322.0,3958.0,897.0,24205.0,46354.0
(주)국순당,043650,2011/12,124-81-14925,11,193849.0,77580.0,45220.0,10758.0,15072.0,116269.0,77006.0,19804.0,15617.0,2883.0,0.0,0.0,0.0,0.0,4187.0,174045.0,8929.0,154632.0,124280.0,71051.0,53229.0,47560.0,7686.0,754.0,5669.0,0.0,5641.0,7612.0,1971.0,351.0,7229.0,40407.0
(주)국순당,043650,2012/12,124-81-14925,11,203490.0,81288.0,48721.0,11709.0,14906.0,122202.0,74415.0,17184.0,12856.0,2531.0,0.0,0.0,0.0,0.0,4328.0,186306.0,8929.0,158066.0,115147.0,63607.0,51540.0,44746.0,7901.0,767.0,6794.0,0.0,5123.0,6428.0,1305.0,313.0,8479.0,16845.0
(주)국순당,043650,2013/12,124-81-14925,11,203200.0,84405.0,46576.0,9746.0,13577.0,118795.0,71314.0,17214.0,11999.0,2355.0,0.0,0.0,0.0,0.0,5215.0,185986.0,8929.0,157847.0,96141.0,55587.0,40554.0,39366.0,7956.0,758.0,1188.0,0.0,2347.0,3002.0,655.0,137.0,6876.0,19580.0
(주)국순당,043650,2014/12,124-81-14925,11,205783.0,86268.0,28362.0,11747.0,11887.0,119515.0,63633.0,18944.0,13596.0,2049.0,0.0,0.0,0.0,0.0,5348.0,186838.0,8929.0,158478.0,89174.0,54217.0,34957.0,34075.0,7750.0,582.0,882.0,0.0,1998.0,3565.0,1568.0,117.0,5749.0,35309.0
(주)국순당,043650,2015/12,124-81-14925,11,203528.0,82906.0,27507.0,11838.0,11788.0,120623.0,60757.0,17410.0,11431.0,2224.0,0.0,0.0,0.0,0.0,5980.0,186118.0,8929.0,153035.0,74955.0,48640.0,26315.0,34621.0,8136.0,348.0,-8306.0,0.0,-4855.0,-6137.0,-1282.0,-280.0,-5215.0,41621.0
(주)국순당,043650,2016/12,124-81-14925,11,200077.0,71906.0,18267.0,8999.0,10940.0,128171.0,56089.0,16889.0,9512.0,1876.0,0.0,0.0,0.0,0.0,7377.0,183189.0,8929.0,150052.0,68426.0,40999.0,27427.0,32884.0,7969.0,295.0,-5457.0,0.0,-2213.0,-2911.0,-698.0,-126.0,2455.0,46979.0
(주)국순당,043650,2017/12,124-81-14925,11,208832.0,75544.0,30565.0,7418.0,10134.0,133288.0,49399.0,17086.0,10644.0,1801.0,0.0,0.0,0.0,0.0,6443.0,191746.0,8929.0,158826.0,60087.0,36939.0,23149.0,26734.0,7460.0,300.0,-3585.0,0.0,9847.0,12203.0,2355.0,559.0,18085.0,55474.0
(주)국순당,043650,2018/12,124-81-14925,11,221230.0,62941.0,20648.0,6374.0,10861.0,158288.0,58144.0,17730.0,10033.0,1839.0,0.0,0.0,0.0,0.0,7697.0,203500.0,8929.0,169702.0,52679.0,32146.0,20533.0,23285.0,6616.0,326.0,-2752.0,0.0,15171.0,19860.0,4689.0,861.0,15818.0,55797.0
(주)국순당,043650,2019/12,124-81-14925,11,210007.0,60931.0,27596.0,6716.0,10459.0,149076.0,45387.0,13083.0,6656.0,1532.0,0.0,0.0,0.0,0.0,6427.0,196924.0,8929.0,166678.0,48045.0,30837.0,17208.0,22649.0,6514.0,2943.0,-5441.0,0.0,572.0,654.0,82.0,33.0,-3808.0,27019.0
(주)국순당,043650,2020/12,124-81-14925,11,226012.0,58070.0,30748.0,6511.0,9527.0,167943.0,43433.0,15763.0,8625.0,1044.0,0.0,0.0,0.0,0.0,7138.0,210249.0,8929.0,184557.0,50346.0,27779.0,22566.0,17477.0,5846.0,2964.0,5089.0,0.0,15418.0,19725.0,4307.0,974.0,12386.0,21515.0
(주)국순당,043650,2021/12,124-81-14925,11,244356.0,65329.0,29496.0,7306.0,11888.0,179027.0,38323.0,20262.0,11911.0,2466.0,0.0,0.0,0.0,0.0,8351.0,224095.0,8929.0,198837.0,61741.0,32528.0,29213.0,20871.0,6472.0,2803.0,8342.0,0.0,16884.0,21539.0,4655.0,1073.0,9260.0,43704.0
(주)국순당,043650,2022/12,124-81-14925,11,239922.0,86566.0,37004.0,7598.0,14163.0,153356.0,38140.0,18055.0,11540.0,2282.0,0.0,0.0,0.0,0.0,6515.0,221867.0,8929.0,197048.0,71300.0,37237.0,34063.0,25204.0,7072.0,2813.0,8859.0,0.0,1889.0,2319.0,430.0,120.0,3553.0,32778.0
(주)국순당,043650,2023/12,124-81-14925,11,234614.0,74936.0,31632.0,7294.0,16109.0,159678.0,39116.0,16496.0,7852.0,2265.0,0.0,0.0,0.0,0.0,8644.0,218118.0,8929.0,193299.0,67338.0,38190.0,29148.0,24439.0,7195.0,2805.0,4710.0,0.0,532.0,379.0,-153.0,34.0,1436.0,29106.0
(주)국순당,043650,2024/12,124-81-14925,11,244174.0,80545.0,34220.0,7788.0,18333.0,163629.0,48618.0,20132.0,9905.0,2358.0,0.0,0.0,0.0,0.0,10227.0,224042.0,8929.0,199048.0,65263.0,37214.0,28049.0,30046.0,7633.0,2801.0,-1996.0,0.0,7866.0,10352.0,2486.0,500.0,1904.0,21669.0
(주)네오크레마,311390,2016/12,215-86-93463,10,18427.0,14883.0,7702.0,2649.0,3576.0,3545.0,2747.0,3901.0,2819.0,1633.0,300.0,277.0,0.0,759.0,1082.0,14527.0,127.0,7590.0,14438.0,9876.0,4562.0,2675.0,732.0,2354.0,1887.0,37.0,1615.0,2077.0,462.0,6780.0,-1470.0,3860.0
(주)네오크레마,311390,2017/12,215-86-93463,10,25039.0,13779.0,6948.0,1998.0,3983.0,11260.0,10372.0,6294.0,2158.0,658.0,301.0,347.0,0.0,3763.0,4136.0,18745.0,135.0,8727.0,12043.0,8183.0,3860.0,2476.0,792.0,2315.0,1384.0,55.0,1137.0,1350.0,214.0,4332.0,642.0,8151.0
(주)네오크레마,311390,2018/12,215-86-93463,10,32287.0,15171.0,7646.0,1693.0,5191.0,17115.0,16788.0,9137.0,2599.0,948.0,300.0,153.0,0.0,5991.0,6538.0,23150.0,135.0,11931.0,21745.0,15681.0,6065.0,2798.0,814.0,2294.0,3266.0,302.0,3562.0,4310.0,748.0,18796.0,4021.0,8802.0
(주)네오크레마,311390,2019/12,215-86-93463,10,45863.0,20373.0,5234.0,2536.0,6233.0,25490.0,21509.0,7924.0,1438.0,877.0,0.0,0.0,0.0,5600.0,6486.0,37940.0,3628.0,13189.0,18448.0,14317.0,4131.0,3355.0,996.0,2336.0,777.0,190.0,1259.0,1259.0,0.0,202.0,-988.0,17866.0
(주)네오크레마,311390,2020/12,215-86-93463,10,48478.0,22132.0,6608.0,2030.0,5969.0,26345.0,21632.0,7709.0,1199.0,595.0,0.0,0.0,0.0,5600.0,6511.0,40768.0,3658.0,15460.0,22125.0,15735.0,6390.0,3286.0,736.0,2372.0,3104.0,147.0,2271.0,2309.0,38.0,316.0,4113.0,4592.0
(주)네오크레마,311390,2021/12,215-86-93463,10,49916.0,25239.0,8386.0,3261.0,6711.0,24677.0,21093.0,8153.0,5772.0,511.0,204.0,4025.0,0.0,1575.0,2382.0,41762.0,3664.0,16446.0,22908.0,16836.0,6073.0,4103.0,851.0,2403.0,1969.0,117.0,985.0,973.0,-12.0,135.0,2001.0,1561.0
(주)네오크레마,311390,2022/12,215-86-93463,10,78732.0,37484.0,5625.0,3257.0,6088.0,41249.0,20195.0,29736.0,27868.0,889.0,3000.0,300.0,0.0,1350.0,1867.0,48997.0,4018.0,14499.0,23997.0,18183.0,5814.0,4264.0,1236.0,2430.0,1550.0,129.0,-1946.0,-1485.0,461.0,-245.0,2458.0,57343.0
(주)네오크레마,311390,2023/12,215-86-93463,10,70849.0,46876.0,9376.0,2455.0,7254.0,23973.0,12587.0,31974.0,30409.0,914.0,0.0,300.0,0.0,1050.0,1565.0,38876.0,4028.0,4527.0,24852.0,19165.0,5687.0,5052.0,1400.0,2469.0,635.0,62.0,-9973.0,-10309.0,-336.0,-1253.0,2696.0,34014.0
(주)네오크레마,311390,2024/12,215-86-93463,10,92189.0,24374.0,14035.0,2885.0,6666.0,67815.0,11821.0,16625.0,8890.0,948.0,6500.0,300.0,0.0,750.0,7734.0,75565.0,6327.0,2270.0,23822.0,18394.0,5428.0,6204.0,1732.0,2487.0,-777.0,360.0,-2256.0,-2246.0,11.0,-211.0,1641.0,148080.0
(주)노바렉스,194700,2010/12,317-81-11175,10,23734.0,13303.0,2875.0,4292.0,5640.0,10431.0,9508.0,12853.0,9891.0,8844.0,0.0,375.0,2482.0,169.0,2962.0,10881.0,2273.0,403.0,13821.0,12813.0,1008.0,1282.0,649.0,20.0,-274.0,412.0,-36.0,-203.0,-167.0,-78.0,1072.0,175.0
(주)노바렉스,194700,2011/12,317-81-11175,10,25024.0,14592.0,1479.0,7458.0,5420.0,10432.0,9334.0,12257.0,11448.0,9340.0,1000.0,0.0,0.0,480.0,808.0,12767.0,2273.0,2289.0,40322.0,34958.0,5365.0,3372.0,1481.0,61.0,1993.0,182.0,1886.0,1886.0,0.0,4148.0,1180.0,973.0
