회사명,거래소코드,회계년도,사업자등록번호,한국표준산업분류코드,자산총계(요약)(백만원),유동자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),매출채권(요약)(백만원),재고자산(요약)(백만원),비유동자산(요약)(백만원),유형자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),비유동부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),이익잉여금(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,감가상각비,영업이익(요약)(백만원),이자비용(요약)(백만원),당기순이익(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),주당순이익(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원)
극동유화(주),14530,2010/12,621-81-00510,19,161748.0,81410.0,8848.0,46169.0,17373.0,80338.0,50408.0,76982.0,67888.0,15199.0,48993.0,0.0,0.0,2630.0,9094.0,84766.0,16000.0,54222.0,247538.0,217209.0,30330.0,18090.0,4103.0,440.0,12240.0,3124.0,8953.0,11494.0,2541.0,2798.0,-6734.0,7574.0
극동유화(주),14530,2011/12,621-81-00510,19,195933.0,115412.0,8678.0,72009.0,25331.0,80520.0,34530.0,103312.0,78023.0,19236.0,54952.0,0.0,0.0,6000.0,25290.0,92620.0,17435.0,73214.0,315588.0,281809.0,33779.0,20091.0,4524.0,287.0,13688.0,3620.0,9175.0,12318.0,3143.0,2765.0,-8204.0,4394.0
극동유화(주),14530,2012/12,621-81-00510,19,197892.0,116932.0,25551.0,64532.0,21542.0,80960.0,37618.0,94579.0,69665.0,22131.0,37069.0,4000.0,0.0,7350.0,24914.0,103313.0,17435.0,83200.0,333187.0,293931.0,39256.0,21540.0,5074.0,302.0,17717.0,3644.0,11921.0,15720.0,3799.0,3419.0,31734.0,8170.0
극동유화(주),14530,2013/12,621-81-00510,19,195573.0,109837.0,18355.0,60177.0,23737.0,85737.0,38134.0,82054.0,70753.0,21139.0,25076.0,19389.0,0.0,5192.0,11301.0,113519.0,17435.0,93701.0,306047.0,265673.0,40374.0,22275.0,5663.0,318.0,18099.0,2470.0,12941.0,17404.0,4463.0,3711.0,12047.0,9340.0
극동유화(주),14530,2014/12,621-81-00510,19,185130.0,109729.0,20964.0,56015.0,27677.0,75401.0,38059.0,67168.0,60246.0,16544.0,21453.0,15256.0,0.0,1658.0,6922.0,117962.0,17435.0,98680.0,286402.0,251265.0,35136.0,22304.0,5582.0,374.0,12833.0,1438.0,10417.0,13207.0,2789.0,2988.0,18934.0,3075.0
극동유화(주),14530,2015/12,621-81-00510,19,179862.0,94581.0,12494.0,48281.0,21556.0,85281.0,38328.0,50094.0,45400.0,13229.0,12079.0,13381.0,0.0,0.0,4695.0,129768.0,17435.0,110761.0,256079.0,215849.0,40230.0,22746.0,5763.0,404.0,17484.0,509.0,14843.0,19187.0,4345.0,4257.0,16503.0,11888.0
극동유화(주),14530,2016/12,621-81-00510,19,185279.0,103092.0,32811.0,45910.0,15982.0,82187.0,41425.0,45019.0,39069.0,11765.0,10272.0,11722.0,0.0,0.0,5950.0,140260.0,17435.0,121233.0,234722.0,195566.0,39156.0,21048.0,5115.0,434.0,18108.0,262.0,14138.0,18262.0,4124.0,405.0,29749.0,4271.0
극동유화(주),14530,2017/12,621-81-00510,19,261352.0,127856.0,24590.0,57728.0,22216.0,133497.0,54858.0,113593.0,60888.0,17502.0,19321.0,16722.0,0.0,0.0,52704.0,147760.0,17435.0,132970.0,361600.0,328847.0,32753.0,20498.0,5157.0,512.0,12254.0,1032.0,14513.0,9505.0,2193.0,427.0,3500.0,64247.0
극동유화(주),14530,2018/12,621-81-00510,19,271488.0,119855.0,12585.0,61434.0,19677.0,151633.0,64781.0,114655.0,68918.0,17736.0,19500.0,21722.0,0.0,35000.0,45737.0,156833.0,17435.0,142086.0,829437.0,783804.0,45633.0,26635.0,6379.0,738.0,18998.0,1911.0,14674.0,18828.0,4154.0,436.0,12440.0,18309.0
극동유화(주),14530,2019/12,621-81-00510,19,280637.0,115262.0,2654.0,63551.0,24885.0,165375.0,71025.0,116109.0,80550.0,19316.0,31000.0,10871.0,0.0,25000.0,35558.0,164528.0,17435.0,149805.0,792464.0,747164.0,45301.0,28384.0,6800.0,4632.0,16917.0,1949.0,13224.0,17251.0,4027.0,393.0,3957.0,10249.0
극동유화(주),14530,2020/12,621-81-00510,19,263578.0,107199.0,12529.0,49974.0,18879.0,156379.0,71033.0,97550.0,73047.0,13157.0,27500.0,10957.0,0.0,15000.0,24503.0,166028.0,17435.0,151234.0,617375.0,576053.0,41322.0,26456.0,6027.0,4490.0,14866.0,1610.0,7033.0,8827.0,1795.0,209.0,25059.0,8583.0
극동유화(주),14530,2021/12,621-81-00510,19,295977.0,142184.0,6435.0,70149.0,27505.0,153793.0,70478.0,121393.0,109834.0,17781.0,55700.0,11310.0,0.0,5000.0,11559.0,174585.0,17435.0,159505.0,956174.0,904976.0,51198.0,30698.0,6600.0,4816.0,20500.0,1572.0,11959.0,17326.0,5367.0,355.0,-12242.0,13538.0
극동유화(주),14530,2022/12,621-81-00510,19,315529.0,157092.0,7285.0,83242.0,31920.0,158437.0,70108.0,128656.0,122464.0,12374.0,88700.0,6512.0,0.0,0.0,6192.0,186873.0,17435.0,172148.0,1220548.0,1159454.0,61094.0,33905.0,7524.0,4953.0,27189.0,2915.0,17594.0,23862.0,6268.0,523.0,-1739.0,16414.0
극동유화(주),14530,2023/12,621-81-00510,19,397378.0,187679.0,6801.0,82051.0,33719.0,209699.0,79563.0,200411.0,153132.0,11574.0,126000.0,5037.0,0.0,31250.0,47279.0,196967.0,17435.0,182279.0,1134211.0,1071691.0,62520.0,37360.0,7261.0,6478.0,25160.0,6229.0,17539.0,21596.0,4056.0,521.0,5292.0,66004.0
극동유화(주),14530,2024/12,621-81-00510,19,422808.0,178334.0,14188.0,84445.0,33858.0,244473.0,75954.0,221189.0,209262.0,10799.0,152300.0,35330.0,0.0,250.0,11927.0,201619.0,17435.0,186734.0,1040706.0,980248.0,60458.0,39023.0,7582.0,7447.0,21435.0,9052.0,11374.0,16019.0,4645.0,338.0,17677.0,53490.0
미창석유공업(주),3650,2010/12,601-81-08046,19,182267.0,141272.0,932.0,53794.0,50740.0,40995.0,28193.0,50178.0,48860.0,25483.0,16276.0,0.0,0.0,0.0,1318.0,132089.0,8698.0,107582.0,339331.0,302707.0,36624.0,12721.0,2627.0,110.0,23902.0,396.0,21712.0,28560.0,6848.0,12598.0,7210.0,59044.0
미창석유공업(주),3650,2011/12,601-81-08046,19,194068.0,139111.0,1677.0,68947.0,57753.0,54957.0,34516.0,45791.0,44172.0,21974.0,12574.0,0.0,0.0,0.0,1620.0,148277.0,8698.0,126346.0,397740.0,362023.0,35716.0,13627.0,2464.0,89.0,22089.0,701.0,20913.0,27399.0,6486.0,12134.0,-2844.0,38527.0
미창석유공업(주),3650,2012/12,601-81-08046,19,203119.0,147917.0,2291.0,66996.0,59147.0,55202.0,40523.0,35149.0,32472.0,22483.0,3444.0,0.0,0.0,0.0,2677.0,167970.0,8698.0,146106.0,410609.0,365041.0,45568.0,14164.0,2965.0,64.0,31404.0,299.0,24673.0,31844.0,7171.0,14316.0,23712.0,41477.0
미창석유공업(주),3650,2013/12,601-81-08046,19,206854.0,139857.0,10655.0,61836.0,55610.0,66997.0,44399.0,25151.0,24016.0,17918.0,1583.0,0.0,0.0,0.0,1135.0,181703.0,8698.0,159892.0,370333.0,333195.0,37138.0,13878.0,2892.0,48.0,23260.0,119.0,17440.0,22905.0,5465.0,10119.0,21394.0,43184.0
미창석유공업(주),3650,2014/12,601-81-08046,19,215671.0,145293.0,13109.0,54972.0,51487.0,70378.0,45498.0,21386.0,20373.0,16479.0,0.0,0.0,0.0,0.0,1013.0,194285.0,8698.0,172795.0,355666.0,322080.0,33586.0,15119.0,2722.0,55.0,18467.0,67.0,15984.0,20796.0,4812.0,9274.0,29253.0,57511.0
미창석유공업(주),3650,2015/12,601-81-08046,19,251660.0,180669.0,16443.0,49143.0,57698.0,70991.0,47697.0,35768.0,34464.0,23721.0,0.0,0.0,0.0,0.0,1304.0,215892.0,8698.0,194491.0,309317.0,271356.0,37962.0,15829.0,3179.0,51.0,22132.0,6.0,25105.0,32744.0,7639.0,14566.0,40173.0,63953.0
미창석유공업(주),3650,2016/12,601-81-08046,19,280206.0,228491.0,17839.0,50080.0,46476.0,51715.0,28876.0,36363.0,34951.0,24731.0,0.0,0.0,0.0,0.0,1413.0,243843.0,8698.0,221785.0,280598.0,247638.0,32960.0,16282.0,3202.0,42.0,16678.0,2.0,30732.0,40558.0,9826.0,17831.0,28601.0,226737.0
미창석유공업(주),3650,2017/12,601-81-08046,19,280844.0,228559.0,18792.0,52470.0,39264.0,52285.0,31110.0,32917.0,32324.0,26516.0,0.0,0.0,0.0,0.0,594.0,247926.0,8698.0,231497.0,313159.0,281881.0,31278.0,17683.0,2992.0,30.0,13595.0,1.0,12475.0,16232.0,3757.0,7310.0,-4460.0,210975.0
미창석유공업(주),3650,2018/12,601-81-08046,19,283168.0,212732.0,24592.0,58261.0,39513.0,70436.0,36877.0,33110.0,31721.0,24337.0,1909.0,0.0,0.0,0.0,1389.0,250058.0,8698.0,239854.0,316300.0,290812.0,25488.0,12892.0,2975.0,44.0,12596.0,44.0,10722.0,15337.0,4615.0,6593.0,12086.0,131321.0
미창석유공업(주),3650,2019/12,601-81-08046,19,284061.0,209232.0,26116.0,52742.0,56908.0,74829.0,39173.0,35393.0,31767.0,25660.0,0.0,0.0,0.0,0.0,3626.0,248668.0,8698.0,243058.0,323728.0,293526.0,30201.0,12687.0,3229.0,2394.0,17515.0,92.0,15971.0,22126.0,6155.0,10240.0,6542.0,89404.0
미창석유공업(주),3650,2020/12,601-81-08046,19,293849.0,218922.0,56042.0,45259.0,45097.0,74927.0,40258.0,31409.0,27492.0,17802.0,0.0,0.0,0.0,0.0,3917.0,262440.0,8698.0,258818.0,277578.0,245886.0,31693.0,12903.0,3318.0,2497.0,18789.0,85.0,18854.0,22368.0,3514.0,12418.0,38233.0,74455.0
미창석유공업(주),3650,2021/12,601-81-08046,19,333235.0,260308.0,37358.0,63080.0,51404.0,72927.0,39008.0,43354.0,39162.0,22136.0,0.0,0.0,0.0,0.0,4191.0,289881.0,8698.0,286418.0,406293.0,356419.0,49873.0,14353.0,3516.0,2494.0,35521.0,28.0,30808.0,41404.0,10597.0,20362.0,15305.0,101859.0
미창석유공업(주),3650,2022/12,601-81-08046,19,342399.0,266449.0,25846.0,62395.0,62217.0,75950.0,37281.0,36181.0,32950.0,19310.0,0.0,0.0,0.0,0.0,3232.0,306218.0,8698.0,302712.0,418790.0,360903.0,57887.0,13829.0,3533.0,2520.0,44058.0,32.0,20885.0,28817.0,7932.0,13804.0,15353.0,97227.0
미창석유공업(주),3650,2023/12,601-81-08046,19,401935.0,289563.0,30276.0,67607.0,52022.0,112372.0,35049.0,49922.0,46599.0,21713.0,10000.0,0.0,0.0,0.0,3323.0,352013.0,8698.0,348241.0,409235.0,347419.0,61816.0,13790.0,3787.0,2527.0,48026.0,590.0,49731.0,63281.0,13550.0,32869.0,54133.0,169088.0
미창석유공업(주),3650,2024/12,601-81-08046,19,488925.0,360989.0,33784.0,68303.0,57289.0,127936.0,36659.0,76420.0,68519.0,7978.0,50000.0,0.0,0.0,0.0,7901.0,412505.0,8698.0,407797.0,431942.0,372372.0,59570.0,13931.0,4034.0,2576.0,45639.0,1951.0,52625.0,67464.0,14839.0,34783.0,23714.0,232056.0
에스케이이노베이션(주),96770,2010/12,101-86-32319,19,26330968.0,11561038.0,2248113.0,2813433.0,4875050.0,14769931.0,10329313.0,15534400.0,9961703.0,4157180.0,2099628.0,1522771.0,3464088.0,1463252.0,5572697.0,10796569.0,468570.0,2495975.0,43863585.0,40799366.0,3064219.0,1350158.0,197361.0,41956.0,1714061.0,388517.0,1208404.0,1480908.0,272504.0,12990.0,71613.0,1007533.0
에스케이이노베이션(주),96770,2011/12,101-86-32319,19,14885810.0,1930410.0,1516926.0,138610.0,50776.0,12955400.0,1217272.0,2318992.0,430797.0,5854.0,0.0,123583.0,516617.0,767601.0,1888195.0,12566818.0,468570.0,6363594.0,1526207.0,694330.0,831877.0,344165.0,62445.0,7010.0,487711.0,63895.0,1703394.0,2203289.0,499894.0,18278.0,146453.0,986353.0
에스케이이노베이션(주),96770,2012/12,101-86-32319,19,15303735.0,2081152.0,834366.0,159180.0,44649.0,13222583.0,1489897.0,2058561.0,668740.0,4773.0,0.0,483433.0,0.0,769707.0,1389820.0,13245174.0,468570.0,7042131.0,2349805.0,791721.0,1558084.0,340562.0,69971.0,6340.0,1217522.0,44168.0,953729.0,1190527.0,236798.0,10233.0,1156459.0,1506731.0
에스케이이노베이션(주),96770,2013/12,101-86-32319,19,14486694.0,971188.0,676228.0,118042.0,74349.0,13515506.0,1609060.0,1314866.0,187203.0,4974.0,0.0,2134.0,366035.0,162444.0,1127663.0,13171828.0,468570.0,6975646.0,1493808.0,806938.0,686870.0,328334.0,70737.0,8654.0,358536.0,44087.0,237032.0,362536.0,125503.0,2534.0,428770.0,731078.0
에스케이이노베이션(주),96770,2014/12,101-86-32319,19,14508603.0,649084.0,286365.0,139256.0,70324.0,13859519.0,1593384.0,1516290.0,180807.0,3546.0,0.0,2223.0,640919.0,183453.0,1335483.0,12992314.0,468570.0,6809241.0,1589721.0,858670.0,731051.0,377164.0,65415.0,8619.0,353887.0,11419.0,138617.0,284033.0,145416.0,1487.0,356140.0,849042.0
