회사명,거래소코드,회계년도,사업자등록번호,한국표준산업분류코드,자산총계(요약)(백만원),유동자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),매출채권(요약)(백만원),재고자산(요약)(백만원),비유동자산(요약)(백만원),유형자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),비유동부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),이익잉여금(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,감가상각비,영업이익(요약)(백만원),이자비용(요약)(백만원),당기순이익(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),주당순이익(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원)
(주)SIMPAC,9160,2010/12,122-81-00819,24,246340.0,132097.0,42714.0,56750.0,21059.0,114243.0,30196.0,116728.0,110405.0,39874.0,30000.0,0.0,0.0,0.0,6323.0,129612.0,14542.0,87143.0,180593.0,143241.0,37352.0,14050.0,4774.0,128.0,23302.0,1567.0,20122.0,28155.0,8032.0,761.0,23187.0,16653.0
(주)SIMPAC,9160,2011/12,122-81-00819,24,296953.0,151220.0,62613.0,60526.0,26353.0,145733.0,62702.0,141120.0,116923.0,37851.0,33556.0,0.0,0.0,10000.0,24197.0,155833.0,14542.0,112027.0,213868.0,169699.0,44168.0,15257.0,6192.0,148.0,28911.0,1307.0,21196.0,29403.0,8206.0,785.0,18175.0,35254.0
(주)SIMPAC,9160,2012/12,122-81-00819,24,307367.0,150643.0,22483.0,63509.0,25281.0,156723.0,64183.0,129536.0,108043.0,37651.0,30338.0,0.0,0.0,10000.0,21493.0,177830.0,14542.0,131842.0,223855.0,182102.0,41753.0,16443.0,6342.0,178.0,25310.0,1624.0,22517.0,27334.0,4817.0,833.0,12987.0,83644.0
(주)SIMPAC,9160,2013/12,122-81-00819,24,349837.0,106535.0,8441.0,70208.0,25607.0,243302.0,64271.0,151936.0,133732.0,38556.0,57162.0,2500.0,0.0,6667.0,18204.0,197901.0,14542.0,148337.0,204528.0,163875.0,40652.0,16911.0,5899.0,187.0,23741.0,1424.0,19196.0,26700.0,7504.0,711.0,11709.0,105821.0
(주)SIMPAC,9160,2014/12,122-81-00819,24,329326.0,118045.0,18150.0,65023.0,31898.0,211281.0,70605.0,125421.0,116089.0,39370.0,25004.0,3333.0,0.0,2500.0,9332.0,203905.0,14542.0,156394.0,227492.0,188349.0,39142.0,20406.0,6205.0,188.0,18737.0,2023.0,10219.0,13208.0,2990.0,378.0,29061.0,10332.0
(주)SIMPAC,9160,2015/12,122-81-00819,24,369349.0,138075.0,13258.0,62817.0,48861.0,231274.0,75847.0,149261.0,142954.0,44285.0,40000.0,2500.0,0.0,0.0,6307.0,220088.0,14542.0,173682.0,213152.0,171342.0,41810.0,18180.0,6609.0,151.0,23630.0,1006.0,19449.0,25123.0,5674.0,719.0,10490.0,25729.0
(주)SIMPAC,9160,2016/12,122-81-00819,24,366245.0,138254.0,37552.0,48744.0,41543.0,227992.0,75130.0,137286.0,130874.0,41037.0,10000.0,30000.0,0.0,0.0,6412.0,228959.0,14542.0,186878.0,215839.0,175972.0,39868.0,18462.0,6239.0,158.0,21406.0,1024.0,16445.0,21457.0,5013.0,613.0,30471.0,8193.0
(주)SIMPAC,9160,2017/12,122-81-00819,24,343005.0,124800.0,21377.0,67026.0,34297.0,218205.0,70403.0,119223.0,114191.0,25003.0,15000.0,35000.0,0.0,0.0,5032.0,223782.0,14542.0,191361.0,203150.0,168484.0,34666.0,20695.0,5775.0,168.0,13971.0,915.0,7134.0,11558.0,4424.0,282.0,-13629.0,4745.0
(주)SIMPAC,9160,2018/12,122-81-00819,24,628334.0,273219.0,96706.0,56603.0,103871.0,355115.0,156313.0,217215.0,207957.0,37013.0,95000.0,8250.0,0.0,0.0,9257.0,411120.0,32715.0,250257.0,268864.0,243575.0,25289.0,18073.0,6883.0,212.0,7216.0,2223.0,62381.0,64537.0,2156.0,1513.0,36290.0,4431.0
(주)SIMPAC,9160,2019/12,122-81-00819,24,608693.0,224313.0,102478.0,44616.0,69945.0,384380.0,153003.0,189477.0,178142.0,25347.0,102000.0,0.0,0.0,0.0,11335.0,419216.0,32715.0,258118.0,391971.0,357127.0,34844.0,26405.0,7560.0,3083.0,8438.0,2948.0,11507.0,14937.0,3430.0,190.0,45147.0,37188.0
