회사명,거래소코드,회계년도,사업자등록번호,한국표준산업분류코드,자산총계(요약)(백만원),유동자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),매출채권(요약)(백만원),재고자산(요약)(백만원),비유동자산(요약)(백만원),유형자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),비유동부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),이익잉여금(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,감가상각비,영업이익(요약)(백만원),이자비용(요약)(백만원),당기순이익(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),주당순이익(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원)
(주)누리플랜,069140,2010/12,136-81-16116,25,48990.0,28717.0,6112.0,12605.0,7168.0,20273.0,16446.0,23180.0,20661.0,2994.0,6385.0,1267.0,0.0,758.0,2519.0,25810.0,2155.0,13735.0,53205.0,40190.0,13015.0,9436.0,4228.0,349.0,3579.0,442.0,3416.0,4314.0,898.0,1012.0,-1687.0,3200.0
(주)누리플랜,069140,2011/12,136-81-16116,25,56159.0,35839.0,6148.0,14802.0,3002.0,20320.0,15092.0,27432.0,25593.0,4654.0,12523.0,1467.0,0.0,42.0,1839.0,28727.0,2155.0,20920.0,59649.0,46116.0,13533.0,9310.0,4174.0,311.0,4223.0,668.0,3910.0,4825.0,916.0,911.0,461.0,4500.0
(주)누리플랜,069140,2012/12,136-81-16116,25,55755.0,34999.0,1396.0,8302.0,3305.0,20756.0,15662.0,27821.0,17596.0,3340.0,8588.0,0.0,8540.0,0.0,10224.0,27934.0,2155.0,19257.0,44832.0,36644.0,8189.0,9890.0,4338.0,300.0,-1701.0,847.0,-1324.0,-1623.0,-299.0,-313.0,1817.0,25525.0
(주)누리플랜,069140,2013/12,136-81-16116,25,52322.0,32899.0,2458.0,10142.0,1714.0,19423.0,15452.0,26028.0,25448.0,2161.0,8834.0,8194.0,0.0,0.0,580.0,26294.0,2270.0,16060.0,39376.0,34797.0,4579.0,8379.0,3623.0,326.0,-3799.0,1004.0,-3220.0,-3710.0,-491.0,-753.0,560.0,22118.0
(주)누리플랜,069140,2014/12,136-81-16116,25,33576.0,15749.0,2250.0,5476.0,1337.0,17827.0,14918.0,16904.0,16454.0,1776.0,9277.0,0.0,0.0,0.0,450.0,16672.0,2270.0,6379.0,30611.0,29982.0,628.0,8064.0,2897.0,300.0,-7435.0,1051.0,-9825.0,-9721.0,104.0,-2219.0,-1256.0,17285.0
(주)누리플랜,069140,2015/12,136-81-16116,25,32560.0,20905.0,2723.0,6364.0,1432.0,11655.0,8171.0,15296.0,13027.0,1971.0,5613.0,0.0,0.0,1800.0,2269.0,17264.0,2270.0,6960.0,32143.0,25256.0,6887.0,5659.0,2192.0,244.0,1228.0,414.0,484.0,484.0,0.0,109.0,-702.0,3259.0
(주)누리플랜,069140,2016/12,136-81-16116,25,35390.0,17713.0,4326.0,6609.0,1187.0,17677.0,12586.0,15997.0,13420.0,2179.0,6919.0,0.0,0.0,1800.0,2577.0,19393.0,2270.0,9090.0,34412.0,28049.0,6362.0,5636.0,2751.0,268.0,726.0,270.0,2371.0,1865.0,-506.0,536.0,-2111.0,24446.0
(주)누리플랜,069140,2017/12,136-81-16116,25,38785.0,21091.0,4964.0,8645.0,687.0,17693.0,12370.0,17930.0,17004.0,3475.0,5111.0,1800.0,0.0,250.0,926.0,20855.0,2376.0,9120.0,34579.0,27641.0,6938.0,6455.0,3046.0,285.0,483.0,278.0,28.0,-29.0,-57.0,6.0,545.0,2685.0
(주)누리플랜,069140,2018/12,136-81-16116,25,41436.0,12561.0,913.0,3572.0,326.0,28875.0,12495.0,19354.0,14447.0,1623.0,2787.0,4898.0,0.0,4050.0,4908.0,22081.0,2376.0,9279.0,31804.0,26430.0,5374.0,7535.0,3229.0,316.0,-2161.0,643.0,373.0,1131.0,758.0,80.0,-1088.0,10265.0
(주)누리플랜,069140,2019/12,136-81-16116,25,53280.0,12676.0,1954.0,3941.0,385.0,40604.0,11937.0,29677.0,20766.0,1113.0,5637.0,250.0,0.0,7800.0,8911.0,23603.0,2735.0,5702.0,32924.0,27154.0,5770.0,7579.0,3255.0,2806.0,-1810.0,1154.0,-3518.0,-3685.0,-166.0,-665.0,-383.0,18025.0
