회사명,거래소코드,회계년도,사업자등록번호,한국표준산업분류코드,자산총계(요약)(백만원),유동자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),매출채권(요약)(백만원),재고자산(요약)(백만원),비유동자산(요약)(백만원),유형자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),비유동부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),이익잉여금(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,감가상각비,영업이익(요약)(백만원),이자비용(요약)(백만원),당기순이익(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),주당순이익(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원)
(주)고영테크놀러지,98460,2010/12,104-81-71655,29,69019.0,47884.0,5987.0,22532.0,8940.0,21135.0,12809.0,13836.0,11804.0,5545.0,0.0,0.0,0.0,0.0,2032.0,55183.0,4261.0,33665.0,71208.0,29661.0,41546.0,22728.0,4486.0,375.0,18818.0,349.0,15847.0,19215.0,3368.0,1940.0,8578.0,19189.0
(주)고영테크놀러지,98460,2011/12,104-81-71655,29,87018.0,61560.0,3496.0,25227.0,13002.0,25458.0,14870.0,16635.0,14155.0,6713.0,0.0,0.0,0.0,0.0,2481.0,70382.0,4313.0,48019.0,80201.0,34340.0,45861.0,26842.0,5181.0,549.0,19019.0,0.0,16581.0,19894.0,3314.0,1945.0,12777.0,44967.0
(주)고영테크놀러지,98460,2012/12,104-81-71655,29,103020.0,75787.0,4463.0,31125.0,15164.0,27232.0,15337.0,18929.0,14597.0,6922.0,0.0,0.0,0.0,0.0,4332.0,84091.0,4477.0,60686.0,100791.0,46250.0,54541.0,34182.0,7118.0,763.0,20358.0,0.0,14836.0,18233.0,3397.0,1703.0,10610.0,51366.0
(주)고영테크놀러지,98460,2013/12,104-81-71655,29,121329.0,93557.0,10708.0,36903.0,17889.0,27773.0,14690.0,21278.0,16477.0,9720.0,0.0,0.0,0.0,0.0,4801.0,100052.0,4478.0,73047.0,103934.0,48747.0,55187.0,37408.0,7880.0,981.0,17779.0,0.0,14817.0,16924.0,2108.0,1664.0,12177.0,75282.0
(주)고영테크놀러지,98460,2014/12,104-81-71655,29,141873.0,107119.0,13663.0,45701.0,13345.0,34754.0,19813.0,23525.0,18714.0,8064.0,0.0,0.0,0.0,0.0,4811.0,118349.0,6718.0,92948.0,135532.0,61382.0,74149.0,46420.0,10126.0,1344.0,27729.0,0.0,22776.0,27157.0,4381.0,1706.0,23832.0,15501.0
(주)고영테크놀러지,98460,2015/12,104-81-71655,29,160171.0,124934.0,19239.0,61053.0,12476.0,35237.0,19341.0,26600.0,20346.0,8692.0,0.0,0.0,0.0,0.0,6254.0,133571.0,6819.0,111993.0,138555.0,56962.0,81593.0,55420.0,10589.0,2081.0,26173.0,0.0,23272.0,27192.0,3920.0,1748.0,15162.0,4861.0
(주)고영테크놀러지,98460,2016/12,104-81-71655,29,194333.0,156029.0,27424.0,80713.0,12592.0,38304.0,23463.0,36760.0,26393.0,11629.0,0.0,0.0,0.0,0.0,10367.0,157573.0,6834.0,135417.0,153255.0,61186.0,92069.0,61029.0,11634.0,2341.0,31040.0,0.0,28063.0,33834.0,5770.0,2106.0,17957.0,7490.0
(주)고영테크놀러지,98460,2017/12,104-81-71655,29,205696.0,159375.0,18027.0,99662.0,12750.0,46322.0,24159.0,40860.0,29688.0,14022.0,0.0,0.0,0.0,0.0,11172.0,164836.0,6843.0,159350.0,188935.0,73639.0,115296.0,69783.0,12950.0,2752.0,45513.0,0.0,28907.0,34648.0,5741.0,2183.0,7493.0,4112.0
(주)고영테크놀러지,98460,2018/12,104-81-71655,29,279985.0,231667.0,17974.0,102772.0,19487.0,48318.0,32378.0,50714.0,38507.0,14095.0,0.0,0.0,0.0,0.0,12207.0,229271.0,6844.0,192362.0,219818.0,88093.0,131725.0,85528.0,12958.0,3228.0,46197.0,0.0,42430.0,52560.0,10130.0,3131.0,44999.0,82319.0
(주)고영테크놀러지,98460,2019/12,104-81-71655,29,308020.0,229213.0,21195.0,107142.0,21338.0,78807.0,35418.0,55999.0,34506.0,11824.0,0.0,0.0,0.0,0.0,21493.0,252021.0,6859.0,217898.0,209481.0,81602.0,127878.0,87820.0,10894.0,10701.0,40058.0,214.0,34703.0,44571.0,9868.0,2574.0,26125.0,21569.0
