회사명,거래소코드,회계년도,사업자등록번호,한국표준산업분류코드,자산총계(요약)(백만원),유동자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),매출채권(요약)(백만원),재고자산(요약)(백만원),비유동자산(요약)(백만원),유형자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),비유동부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),이익잉여금(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,감가상각비,영업이익(요약)(백만원),이자비용(요약)(백만원),당기순이익(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),주당순이익(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원)
(주)가온칩스,399720,2018/12,144-81-04023,26,13644.0,12620.0,10073.0,766.0,0.0,1024.0,614.0,8902.0,8902.0,1754.0,0.0,0.0,0.0,0.0,0.0,4742.0,200.0,4542.0,28931.0,25218.0,3713.0,1821.0,542.0,2270.0,1892.0,0.0,2006.0,2087.0,81.0,50145.0,8561.0,2089.0
(주)가온칩스,399720,2019/12,144-81-04023,26,16013.0,13586.0,5521.0,4441.0,0.0,2427.0,1902.0,7856.0,7856.0,4348.0,0.0,0.0,0.0,0.0,0.0,8157.0,200.0,7957.0,27791.0,22019.0,5772.0,2692.0,732.0,2270.0,3080.0,0.0,3415.0,3663.0,248.0,85376.0,-1930.0,5111.0
(주)가온칩스,399720,2020/12,144-81-04023,26,25532.0,20212.0,9390.0,2311.0,0.0,5320.0,3544.0,14657.0,9389.0,4658.0,0.0,0.0,0.0,0.0,5268.0,10875.0,400.0,10275.0,17098.0,12078.0,5020.0,3047.0,869.0,2353.0,1974.0,17.0,1852.0,1877.0,25.0,35220.0,1890.0,13128.0
(주)가온칩스,399720,2021/12,144-81-04023,26,36993.0,29916.0,5621.0,1963.0,0.0,7077.0,4955.0,15131.0,13808.0,6128.0,0.0,0.0,0.0,1008.0,1323.0,21862.0,4714.0,16369.0,32236.0,21548.0,10687.0,4485.0,1315.0,2379.0,6202.0,93.0,6183.0,6591.0,408.0,677.0,3453.0,36325.0
(주)가온칩스,399720,2022/12,144-81-04023,26,73187.0,54577.0,10587.0,6817.0,0.0,18611.0,10759.0,18740.0,14329.0,1852.0,0.0,0.0,0.0,3490.0,4411.0,54447.0,5744.0,20844.0,43321.0,31692.0,11629.0,7674.0,2110.0,2351.0,3955.0,52.0,4475.0,4313.0,-162.0,418.0,5962.0,96841.0
(주)가온칩스,399720,2023/12,144-81-04023,26,94766.0,64147.0,6805.0,13840.0,0.0,30619.0,14631.0,32477.0,24724.0,10532.0,0.0,0.0,0.0,4062.0,7753.0,62289.0,5744.0,27386.0,63597.0,50879.0,12718.0,8172.0,2771.0,2426.0,4546.0,299.0,6542.0,5580.0,-962.0,569.0,5800.0,61191.0
(주)가온칩스,399720,2024/12,144-81-04023,26,110582.0,72005.0,16040.0,18403.0,0.0,38576.0,20871.0,41217.0,34257.0,24713.0,0.0,0.0,0.0,4196.0,6960.0,69365.0,5799.0,34718.0,96492.0,82248.0,14244.0,10880.0,3292.0,2552.0,3365.0,445.0,7332.0,5231.0,-2101.0,637.0,8709.0,85665.0
(주)강원에너지,114190,2010/11,124-81-46960,28,28678.0,23837.0,5565.0,13202.0,739.0,4841.0,3167.0,9409.0,9247.0,6849.0,0.0,70.0,0.0,0.0,162.0,19269.0,2650.0,10780.0,30619.0,23931.0,6689.0,4909.0,1850.0,130.0,1779.0,4.0,1717.0,2020.0,303.0,325.0,-1441.0,3667.0
(주)강원에너지,114190,2011/11,124-81-46960,28,52878.0,47409.0,15338.0,11954.0,3990.0,5469.0,3591.0,28341.0,28009.0,13966.0,0.0,0.0,0.0,0.0,332.0,24537.0,2650.0,16588.0,50223.0,37515.0,12708.0,6403.0,2201.0,235.0,6304.0,17.0,5808.0,7315.0,1506.0,1130.0,15100.0,10384.0
(주)강원에너지,114190,2011/12,124-81-46960,28,59922.0,54121.0,16960.0,17990.0,4462.0,5801.0,3926.0,34499.0,34330.0,14088.0,0.0,0.0,0.0,0.0,169.0,25423.0,2650.0,17475.0,5803.0,4237.0,1567.0,603.0,120.0,14.0,964.0,0.0,921.0,1210.0,289.0,181.0,789.0,611.0
