회사명,거래소코드,회계년도,사업자등록번호,한국표준산업분류코드,자산총계(요약)(백만원),유동자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),매출채권(요약)(백만원),재고자산(요약)(백만원),비유동자산(요약)(백만원),유형자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),비유동부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),이익잉여금(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,감가상각비,영업이익(요약)(백만원),이자비용(요약)(백만원),당기순이익(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),주당순이익(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원)
(주)그린광학,0015G0,2010/12,301-81-36394,27,11580.0,4876.0,444.0,1622.0,1014.0,6704.0,3847.0,7726.0,6311.0,646.0,4002.0,676.0,0.0,785.0,1415.0,3854.0,350.0,3504.0,10332.0,6410.0,3922.0,2317.0,899.0,2591.0,1605.0,326.0,1366.0,1366.0,0.0,1952.0,1688.0,3105.0
(주)그린광학,0015G0,2011/12,301-81-36394,27,13774.0,6190.0,247.0,1524.0,1601.0,7583.0,4222.0,8365.0,6333.0,821.0,4127.0,576.0,0.0,1099.0,2032.0,5408.0,350.0,5058.0,13949.0,8374.0,5575.0,3723.0,1181.0,2790.0,1852.0,356.0,1555.0,1555.0,0.0,2221.0,1537.0,3105.0
(주)그린광학,0015G0,2012/12,301-81-36394,27,16616.0,5641.0,278.0,1242.0,1994.0,10975.0,7339.0,10822.0,6603.0,362.0,4457.0,825.0,0.0,3498.0,4220.0,5793.0,350.0,5443.0,11521.0,7913.0,3608.0,3086.0,863.0,2877.0,523.0,454.0,385.0,394.0,9.0,550.0,1936.0,6859.0
(주)그린광학,0015G0,2013/12,301-81-36394,27,20950.0,6268.0,214.0,2337.0,1969.0,14681.0,9931.0,13540.0,9169.0,828.0,4098.0,2381.0,0.0,3026.0,4371.0,7410.0,350.0,7060.0,17802.0,11202.0,6599.0,3882.0,1090.0,2758.0,2717.0,441.0,1617.0,1798.0,181.0,2310.0,4170.0,7142.0
(주)그린광학,0015G0,2014/12,301-81-36394,27,26015.0,7338.0,240.0,3049.0,2048.0,18676.0,13563.0,16450.0,11784.0,1009.0,7754.0,1440.0,0.0,3185.0,4666.0,9564.0,350.0,9214.0,20531.0,13859.0,6672.0,4212.0,1324.0,2978.0,2460.0,452.0,2154.0,2233.0,79.0,3077.0,3302.0,9511.0
(주)그린광학,0015G0,2015/12,301-81-36394,27,32122.0,8495.0,196.0,3062.0,2730.0,23628.0,17470.0,19965.0,15538.0,1050.0,8688.0,2008.0,0.0,2550.0,4427.0,12157.0,350.0,11807.0,25530.0,18152.0,7378.0,4730.0,1499.0,3100.0,2648.0,429.0,2623.0,2716.0,93.0,3747.0,6847.0,10951.0
(주)그린광학,0015G0,2016/12,301-81-36394,27,41887.0,10673.0,329.0,3071.0,4999.0,31214.0,24141.0,29114.0,20811.0,1709.0,11706.0,2334.0,0.0,5592.0,8303.0,12772.0,350.0,12403.0,30048.0,22435.0,7613.0,6047.0,1865.0,3252.0,1566.0,433.0,596.0,603.0,7.0,852.0,4767.0,14355.0
(주)그린광학,0015G0,2017/12,301-81-36394,27,54212.0,15348.0,919.0,5825.0,6307.0,38864.0,29891.0,38240.0,22803.0,2296.0,12037.0,2730.0,3404.0,3812.0,15437.0,15972.0,3500.0,15622.0,39458.0,27879.0,11579.0,6469.0,2363.0,2909.0,5110.0,1411.0,4125.0,3841.0,-284.0,589.0,1987.0,15286.0
(주)그린광학,0015G0,2018/12,301-81-36394,27,63131.0,17924.0,295.0,4452.0,9506.0,45207.0,35766.0,53793.0,44617.0,1686.0,21653.0,2427.0,0.0,4717.0,9176.0,9338.0,3500.0,8988.0,33725.0,29688.0,4037.0,7068.0,2763.0,2637.0,-3031.0,1885.0,-6245.0,-5427.0,818.0,-892.0,-734.0,18303.0
(주)그린광학,0015G0,2019/12,301-81-36394,27,60349.0,17562.0,90.0,3053.0,12984.0,42787.0,33297.0,56030.0,45645.0,2307.0,20472.0,2466.0,0.0,4209.0,10385.0,4319.0,3500.0,3969.0,25465.0,21914.0,3550.0,6074.0,2721.0,2629.0,-2524.0,1896.0,-4552.0,-3897.0,655.0,-650.0,2983.0,6613.0
