회사명,거래소코드,회계년도,사업자등록번호,한국표준산업분류코드,자산총계(요약)(백만원),유동자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),매출채권(요약)(백만원),재고자산(요약)(백만원),비유동자산(요약)(백만원),유형자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),비유동부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),이익잉여금(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,감가상각비,영업이익(요약)(백만원),이자비용(요약)(백만원),당기순이익(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),주당순이익(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원)
(주)구영테크,53270,2010/12,505-81-04626,30,79780.0,34807.0,1153.0,11934.0,4526.0,44972.0,24783.0,57809.0,51793.0,2997.0,35244.0,5562.0,0.0,3525.0,6016.0,21971.0,6430.0,-4658.0,60777.0,47438.0,13339.0,7204.0,3057.0,75.0,6135.0,3119.0,1740.0,1949.0,210.0,147.0,5551.0,7977.0
(주)구영테크,53270,2011/12,505-81-04626,30,94941.0,40822.0,684.0,13515.0,5433.0,54119.0,26074.0,66978.0,60331.0,6300.0,35083.0,4108.0,0.0,1617.0,6647.0,27963.0,6430.0,11754.0,62528.0,50905.0,11623.0,7202.0,3256.0,90.0,4421.0,3682.0,986.0,2136.0,1151.0,83.0,299.0,9400.0
(주)구영테크,53270,2012/12,505-81-04626,30,109441.0,48965.0,1088.0,15328.0,7326.0,60476.0,31960.0,80138.0,72156.0,7454.0,49925.0,3283.0,0.0,2553.0,7983.0,29302.0,6430.0,13081.0,65451.0,53454.0,11997.0,7157.0,2856.0,134.0,4839.0,4003.0,1250.0,1738.0,488.0,105.0,3401.0,15549.0
(주)구영테크,53270,2013/12,505-81-04626,30,97549.0,36392.0,1687.0,14996.0,7503.0,61157.0,32041.0,66787.0,57510.0,6845.0,37102.0,1749.0,0.0,4035.0,9277.0,30762.0,6430.0,14422.0,76283.0,63114.0,13168.0,8705.0,3073.0,148.0,4463.0,3536.0,1137.0,2192.0,1055.0,96.0,6156.0,4570.0
(주)구영테크,53270,2014/12,505-81-04626,30,101546.0,40629.0,1259.0,20348.0,7998.0,60918.0,31370.0,59346.0,48916.0,7336.0,32676.0,1994.0,2000.0,2915.0,10430.0,42200.0,9897.0,15721.0,77800.0,64483.0,13317.0,10535.0,3509.0,155.0,2782.0,2565.0,1327.0,1894.0,567.0,77.0,-1477.0,8121.0
(주)구영테크,53270,2015/12,505-81-04626,30,102761.0,41056.0,5731.0,17835.0,6702.0,61706.0,33224.0,58695.0,39445.0,6601.0,23734.0,2892.0,7000.0,6356.0,19250.0,44067.0,9897.0,18819.0,87109.0,72768.0,14341.0,10811.0,3726.0,167.0,3530.0,1781.0,3196.0,3656.0,459.0,173.0,9374.0,9274.0
(주)구영테크,53270,2016/12,505-81-04626,30,108895.0,39434.0,5812.0,14925.0,7727.0,69461.0,37856.0,62465.0,37679.0,8951.0,14834.0,6784.0,5000.0,13342.0,24787.0,46430.0,9897.0,21242.0,75320.0,61393.0,13927.0,9813.0,3913.0,164.0,4114.0,1342.0,3920.0,5217.0,1296.0,213.0,12369.0,12829.0
(주)구영테크,53270,2017/12,505-81-04626,30,139584.0,52077.0,10845.0,12949.0,8042.0,87507.0,56419.0,92482.0,56414.0,6283.0,24700.0,9987.0,0.0,29459.0,36068.0,47102.0,9897.0,22414.0,74298.0,61736.0,12562.0,9537.0,3611.0,190.0,3025.0,1184.0,1239.0,1329.0,90.0,68.0,3339.0,28862.0
(주)구영테크,53270,2018/12,505-81-04626,30,146492.0,43158.0,3008.0,16103.0,10320.0,103334.0,71616.0,88631.0,43472.0,6111.0,11800.0,12827.0,3500.0,36387.0,45159.0,57861.0,13197.0,26330.0,81929.0,69674.0,12255.0,10617.0,3799.0,362.0,1639.0,2231.0,3912.0,3629.0,-284.0,195.0,-2316.0,50559.0
(주)구영테크,53270,2019/12,505-81-04626,30,141035.0,37520.0,3698.0,16726.0,9543.0,103515.0,71525.0,82366.0,46819.0,5908.0,14200.0,19217.0,0.0,28475.0,35547.0,58669.0,13197.0,26962.0,93133.0,79774.0,13359.0,10845.0,3779.0,2690.0,2514.0,2208.0,1558.0,1221.0,-337.0,63.0,9761.0,15528.0
(주)구영테크,53270,2020/12,505-81-04626,30,151133.0,47351.0,7528.0,15044.0,10341.0,103782.0,74317.0,92403.0,56952.0,10274.0,26500.0,9741.0,2975.0,28885.0,35451.0,58730.0,13197.0,27164.0,84841.0,71992.0,12849.0,10472.0,3769.0,2843.0,2377.0,1816.0,902.0,1040.0,138.0,37.0,8014.0,14787.0
(주)구영테크,53270,2021/12,505-81-04626,30,150871.0,45091.0,9396.0,13207.0,10985.0,105780.0,78656.0,88931.0,47994.0,6486.0,18100.0,12405.0,8362.0,28871.0,40937.0,61940.0,13197.0,29754.0,101637.0,85838.0,15799.0,12682.0,3992.0,2638.0,3117.0,1612.0,2853.0,3528.0,675.0,116.0,8874.0,19993.0
(주)구영테크,53270,2022/12,505-81-04626,30,154122.0,51902.0,7699.0,17633.0,12629.0,102220.0,75916.0,88440.0,57969.0,9179.0,17300.0,10225.0,0.0,26646.0,30471.0,65683.0,13197.0,32487.0,116247.0,96624.0,19623.0,15316.0,4591.0,2676.0,4307.0,2809.0,2971.0,3815.0,843.0,119.0,8019.0,16859.0
(주)구영테크,53270,2023/12,505-81-04626,30,217443.0,60470.0,4280.0,19674.0,17259.0,156974.0,131050.0,140204.0,94871.0,12689.0,29600.0,8053.0,3000.0,37193.0,45334.0,77239.0,13705.0,39265.0,145145.0,120045.0,25100.0,17031.0,5926.0,2673.0,8069.0,3702.0,7566.0,5934.0,-1632.0,299.0,17936.0,62433.0
(주)구영테크,53270,2024/12,505-81-04626,30,238947.0,73006.0,10800.0,20121.0,19576.0,165941.0,140565.0,151067.0,90612.0,13100.0,33733.0,9663.0,3000.0,50928.0,60454.0,87880.0,13705.0,49895.0,180102.0,147070.0,33032.0,22626.0,7564.0,2720.0,10405.0,3355.0,12163.0,14403.0,2240.0,466.0,22238.0,60783.0
(주)금호에이치티,214330,2010/12,409-81-07801,30,47413.0,33860.0,3009.0,13365.0,9885.0,13554.0,12118.0,13357.0,13357.0,2591.0,6830.0,300.0,0.0,0.0,0.0,34057.0,2300.0,32922.0,69193.0,56719.0,12474.0,4143.0,1773.0,103.0,8331.0,228.0,7105.0,8358.0,1253.0,30889.0,8620.0,8778.0
(주)금호에이치티,214330,2011/12,409-81-07801,30,62559.0,45332.0,2153.0,18231.0,15792.0,17227.0,15249.0,23436.0,23136.0,5177.0,11401.0,0.0,0.0,300.0,300.0,39123.0,2300.0,37798.0,85311.0,74152.0,11159.0,3924.0,1726.0,117.0,7235.0,283.0,5579.0,7018.0,1438.0,24259.0,2544.0,7866.0
(주)금호에이치티,214330,2012/12,409-81-07801,30,76273.0,54578.0,791.0,25021.0,18928.0,21695.0,19989.0,33449.0,33449.0,7710.0,15113.0,300.0,0.0,0.0,0.0,42824.0,2300.0,40430.0,106418.0,95755.0,10663.0,4212.0,1870.0,133.0,6450.0,439.0,3437.0,4582.0,1145.0,14943.0,2794.0,10667.0
(주)금호에이치티,214330,2013/12,409-81-07801,30,87131.0,62727.0,4907.0,31934.0,21915.0,24404.0,20355.0,38473.0,38473.0,13272.0,15416.0,0.0,0.0,0.0,0.0,48658.0,2300.0,46469.0,124006.0,109998.0,14008.0,4395.0,1761.0,177.0,9614.0,418.0,6730.0,8959.0,2230.0,29260.0,9252.0,11075.0
(주)금호에이치티,214330,2014/12,409-81-07801,30,102363.0,74903.0,329.0,53739.0,16883.0,27461.0,23724.0,40358.0,34606.0,6920.0,17717.0,0.0,0.0,5400.0,5752.0,62006.0,2300.0,59706.0,175222.0,152456.0,22766.0,6515.0,2127.0,208.0,16251.0,732.0,13520.0,16722.0,3202.0,2939.0,-4445.0,9038.0
(주)금호에이치티,214330,2015/12,409-81-07801,30,109367.0,80694.0,163.0,56548.0,20907.0,28673.0,25050.0,27250.0,24870.0,3329.0,13130.0,0.0,0.0,2100.0,2379.0,82117.0,4883.0,71947.0,181780.0,151766.0,30014.0,9500.0,2913.0,234.0,20514.0,668.0,16768.0,21163.0,4395.0,1807.0,9740.0,7245.0
(주)금호에이치티,214330,2016/12,409-81-07801,30,151787.0,92744.0,3024.0,65822.0,20951.0,59043.0,52902.0,59073.0,38336.0,11374.0,12992.0,4750.0,0.0,19750.0,20737.0,92714.0,4883.0,82526.0,189734.0,166275.0,23459.0,6978.0,3400.0,228.0,16481.0,883.0,12888.0,16969.0,4081.0,1320.0,18418.0,36535.0
(주)금호에이치티,214330,2017/12,409-81-07801,30,146407.0,89724.0,315.0,60899.0,21606.0,56683.0,48127.0,48846.0,36202.0,9885.0,12773.0,5250.0,0.0,12500.0,12645.0,97561.0,4883.0,87505.0,165485.0,147105.0,18381.0,7373.0,3110.0,186.0,11008.0,918.0,5434.0,7055.0,1621.0,556.0,7280.0,3480.0
(주)금호에이치티,214330,2018/12,409-81-07801,30,230269.0,138884.0,39590.0,61666.0,31972.0,91385.0,45119.0,99204.0,72419.0,22001.0,12933.0,4250.0,4655.0,22000.0,26784.0,131065.0,7916.0,92446.0,189250.0,174072.0,15179.0,7665.0,3474.0,2405.0,7514.0,2553.0,7103.0,7370.0,267.0,576.0,18945.0,40738.0
(주)금호에이치티,214330,2019/12,409-81-07801,30,314666.0,183830.0,61308.0,60763.0,31973.0,130836.0,46469.0,133896.0,117617.0,21828.0,25000.0,5500.0,0.0,16000.0,16279.0,180770.0,11804.0,95419.0,221734.0,209806.0,11928.0,7398.0,2976.0,2461.0,4530.0,11305.0,1795.0,1796.0,1.0,81.0,12111.0,69479.0
(주)금호에이치티,214330,2020/12,409-81-07801,30,333353.0,184558.0,59780.0,48642.0,24740.0,148795.0,40195.0,106542.0,106107.0,20231.0,25000.0,15500.0,0.0,0.0,436.0,226810.0,58952.0,85061.0,181174.0,177410.0,3764.0,8236.0,2894.0,2464.0,-4472.0,9310.0,-10620.0,-9155.0,1465.0,-117.0,15821.0,99335.0
(주)금호에이치티,214330,2021/12,409-81-07801,30,419500.0,157653.0,74741.0,44252.0,31061.0,261848.0,39235.0,86963.0,84667.0,17127.0,25000.0,0.0,0.0,0.0,2296.0,332537.0,98402.0,54337.0,197312.0,184527.0,12784.0,18586.0,2913.0,2528.0,-5801.0,2886.0,-29332.0,-28912.0,419.0,-215.0,-1903.0,142605.0
(주)금호에이치티,214330,2022/12,409-81-07801,30,392136.0,160495.0,56334.0,50051.0,35487.0,231641.0,37769.0,75496.0,67410.0,23452.0,25000.0,0.0,5484.0,0.0,8086.0,316640.0,100586.0,24406.0,209082.0,194182.0,14900.0,8334.0,3155.0,2557.0,6566.0,2315.0,-22409.0,-17615.0,4795.0,-119.0,7374.0,113311.0
(주)금호에이치티,214330,2023/12,409-81-07801,30,367257.0,157639.0,27560.0,71778.0,38620.0,209618.0,38677.0,89253.0,88855.0,31312.0,25000.0,0.0,0.0,0.0,398.0,278004.0,100588.0,-14267.0,256235.0,243962.0,12273.0,20316.0,3310.0,2527.0,-8044.0,4205.0,-38840.0,-33862.0,4978.0,-209.0,-13166.0,44596.0
(주)금호에이치티,214330,2024/12,409-81-07801,30,355481.0,167475.0,39550.0,75828.0,35149.0,188006.0,39027.0,81186.0,79146.0,33306.0,26000.0,0.0,0.0,0.0,2040.0,274295.0,109473.0,19939.0,290469.0,279867.0,10602.0,1336.0,3583.0,2599.0,9266.0,2253.0,-12644.0,-4805.0,7839.0,-63.0,18775.0,45061.0
(주)나라스페이스테크놀로지,478340,2023/12,632-88-00033,31,10328.0,4086.0,3655.0,7.0,149.0,6242.0,4291.0,44214.0,40698.0,65.0,100.0,22.0,0.0,150.0,3516.0,-33887.0,100.0,-34675.0,1628.0,1422.0,206.0,3208.0,746.0,2853.0,-3002.0,423.0,-13909.0,-13909.0,0.0,-13909.0,-1230.0,8350.0
