회사명,거래소코드,회계년도,사업자등록번호,한국표준산업분류코드,자산총계(요약)(백만원),유동자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),매출채권(요약)(백만원),재고자산(요약)(백만원),비유동자산(요약)(백만원),유형자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),비유동부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),이익잉여금(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,감가상각비,영업이익(요약)(백만원),이자비용(요약)(백만원),당기순이익(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),주당순이익(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원)
(주)ES큐브,50120,2010/12,621-81-21761,46,47490.0,26290.0,2514.0,3033.0,758.0,21200.0,1596.0,5481.0,4770.0,3826.0,0.0,0.0,0.0,0.0,711.0,42010.0,11622.0,-2250.0,34640.0,28458.0,6183.0,5478.0,1436.0,213.0,704.0,74.0,-2250.0,-2250.0,0.0,-97.0,3945.0,14924.0
(주)ES큐브,50120,2011/12,621-81-21761,46,45233.0,18786.0,1508.0,2102.0,384.0,26447.0,1407.0,6089.0,4840.0,2386.0,0.0,0.0,0.0,0.0,1249.0,39144.0,11622.0,-3118.0,41700.0,29105.0,12596.0,14676.0,3965.0,761.0,-2080.0,15.0,-2933.0,-2933.0,0.0,-126.0,1625.0,35293.0
(주)ES큐브,50120,2012/12,621-81-21761,46,44676.0,15631.0,2224.0,2920.0,411.0,29045.0,1396.0,4795.0,3228.0,1624.0,0.0,0.0,0.0,0.0,1567.0,39881.0,11697.0,488.0,44178.0,31651.0,12527.0,11881.0,4039.0,357.0,646.0,32.0,517.0,517.0,0.0,22.0,4619.0,28838.0
(주)ES큐브,50120,2013/12,621-81-21761,46,47510.0,32519.0,9131.0,2151.0,426.0,14991.0,915.0,3797.0,2691.0,1330.0,0.0,0.0,0.0,0.0,1106.0,43713.0,18247.0,-13964.0,45823.0,34023.0,11800.0,11583.0,3946.0,156.0,217.0,23.0,-14749.0,-14749.0,0.0,-469.0,4509.0,33813.0
(주)ES큐브,50120,2014/12,621-81-21761,46,44914.0,21478.0,5337.0,3091.0,265.0,23437.0,640.0,3688.0,3055.0,2309.0,0.0,0.0,0.0,0.0,633.0,41226.0,18247.0,-2486.0,37188.0,30574.0,6614.0,6288.0,2526.0,74.0,326.0,0.0,-2412.0,-2412.0,0.0,-66.0,2934.0,67409.0
(주)ES큐브,50120,2015/12,621-81-21761,46,47124.0,22590.0,14593.0,2053.0,398.0,24533.0,596.0,2251.0,1792.0,1126.0,0.0,0.0,0.0,0.0,459.0,44873.0,18247.0,3646.0,36887.0,30736.0,6151.0,3781.0,2117.0,127.0,2371.0,0.0,3610.0,3610.0,0.0,98.0,3266.0,13518.0
(주)ES큐브,50120,2016/12,621-81-21761,46,104460.0,43389.0,28644.0,2707.0,421.0,61071.0,4673.0,34628.0,4570.0,2932.0,0.0,1200.0,0.0,28600.0,30058.0,69832.0,20811.0,21107.0,34818.0,28469.0,6349.0,3990.0,1867.0,229.0,2360.0,204.0,17469.0,17469.0,0.0,438.0,3735.0,64154.0
(주)ES큐브,50120,2017/12,621-81-21761,46,104850.0,44762.0,21622.0,2463.0,408.0,60088.0,7506.0,33452.0,4086.0,2417.0,0.0,1200.0,0.0,27400.0,29366.0,71398.0,41622.0,22258.0,37105.0,30497.0,6608.0,4438.0,1886.0,464.0,2170.0,785.0,1219.0,1062.0,-157.0,14.0,3990.0,27132.0
(주)ES큐브,50120,2018/12,621-81-21761,46,108482.0,29055.0,18765.0,2907.0,560.0,79427.0,10881.0,41963.0,37696.0,2520.0,0.0,25200.0,0.0,2100.0,4267.0,66519.0,41622.0,19158.0,31309.0,25694.0,5615.0,4924.0,2130.0,393.0,691.0,1482.0,-3836.0,-3841.0,-4.0,-46.0,117.0,36634.0
(주)ES큐브,50120,2019/12,621-81-21761,46,136065.0,24298.0,13607.0,2606.0,469.0,111767.0,10577.0,82079.0,54790.0,4247.0,0.0,1200.0,0.0,24900.0,27289.0,53986.0,42816.0,4185.0,28527.0,22708.0,5819.0,5231.0,2086.0,2694.0,588.0,3540.0,-12739.0,-12563.0,176.0,-158.0,1886.0,57925.0
(주)ES큐브,50120,2020/12,621-81-21761,46,81995.0,7524.0,1265.0,2047.0,641.0,74471.0,554.0,9046.0,8346.0,4116.0,0.0,0.0,0.0,0.0,699.0,72950.0,69092.0,-24894.0,30293.0,24197.0,6096.0,4643.0,1934.0,2447.0,1453.0,3207.0,-29081.0,-29081.0,0.0,-2765.0,-312.0,33255.0
(주)ES큐브,50120,2021/12,621-81-21761,46,76173.0,11457.0,3650.0,3624.0,0.0,64716.0,875.0,10875.0,9871.0,6572.0,1500.0,0.0,0.0,0.0,1004.0,65298.0,69092.0,-19164.0,41106.0,33613.0,7492.0,5152.0,2034.0,2630.0,2340.0,533.0,5695.0,2991.0,-2704.0,425.0,3015.0,1747.0
(주)ES큐브,50120,2022/12,621-81-21761,46,77328.0,12615.0,5000.0,4091.0,0.0,64712.0,683.0,6250.0,5217.0,4677.0,0.0,0.0,0.0,0.0,1033.0,71078.0,69092.0,-13384.0,52850.0,41865.0,10986.0,5982.0,2517.0,2672.0,5004.0,147.0,5705.0,5248.0,-457.0,426.0,4303.0,90.0
(주)ES큐브,50120,2023/12,621-81-21761,46,91892.0,14420.0,6605.0,3967.0,0.0,77473.0,668.0,6091.0,5194.0,3817.0,0.0,0.0,0.0,0.0,897.0,85802.0,69092.0,1340.0,42495.0,34073.0,8422.0,5712.0,2328.0,2706.0,2710.0,18.0,14736.0,13475.0,-1261.0,1100.0,12826.0,21385.0
(주)ES큐브,50120,2024/12,621-81-21761,46,93284.0,11441.0,6794.0,3891.0,0.0,81842.0,601.0,3472.0,2440.0,1652.0,0.0,0.0,0.0,0.0,1033.0,89811.0,69092.0,5350.0,11596.0,9707.0,1889.0,3651.0,1744.0,2640.0,-1761.0,11.0,4080.0,4838.0,758.0,305.0,5133.0,15710.0
(주)STX,11810,2010/12,609-81-01917,46,2888566.0,933424.0,194906.0,268166.0,199058.0,1955143.0,159455.0,1996713.0,1086857.0,219550.0,660768.0,65405.0,737916.0,22724.0,909855.0,891853.0,125000.0,276957.0,3242434.0,3021839.0,220595.0,135076.0,47977.0,4170.0,85519.0,94622.0,19813.0,36458.0,16644.0,401.0,-7903.0,433861.0
(주)STX,11810,2011/12,609-81-01917,46,3302248.0,993206.0,88385.0,429658.0,240418.0,2309042.0,72801.0,2137600.0,1568777.0,263754.0,657305.0,334734.0,446356.0,115350.0,568823.0,1164648.0,150000.0,464921.0,4173397.0,3988988.0,184409.0,122698.0,32012.0,2403.0,61711.0,91958.0,84657.0,84026.0,-631.0,1557.0,-108220.0,393428.0
(주)STX,11810,2012/12,609-81-01917,46,3226878.0,856988.0,17643.0,404642.0,108537.0,2369890.0,69598.0,2103344.0,1821548.0,211303.0,749942.0,540299.0,180338.0,97993.0,281796.0,1123534.0,151128.0,421859.0,4116767.0,3997635.0,119132.0,101399.0,29897.0,2307.0,17733.0,92496.0,-23863.0,-45763.0,-21900.0,-408.0,159192.0,508028.0
(주)STX,11810,2013/12,609-81-01917,46,1086567.0,640293.0,43139.0,228917.0,47749.0,446274.0,62152.0,1608657.0,1071743.0,117155.0,474021.0,350280.0,144989.0,391256.0,536914.0,-522090.0,153838.0,-1231455.0,1895063.0,1814171.0,80892.0,148125.0,20005.0,2052.0,-67233.0,83645.0,-1646014.0,-1625720.0,20294.0,-27673.0,85353.0,873528.0
(주)STX,11810,2014/12,609-81-01917,46,1070433.0,728283.0,78042.0,201680.0,148535.0,342150.0,57120.0,1015539.0,671976.0,78622.0,488720.0,40313.0,123884.0,214533.0,343563.0,54894.0,74756.0,-896967.0,1291351.0,1233380.0,57971.0,34557.0,8879.0,1868.0,23414.0,44568.0,334488.0,335500.0,1012.0,13720.0,-78562.0,354374.0
(주)STX,11810,2015/12,609-81-01917,46,1057543.0,663016.0,46446.0,163618.0,143454.0,394527.0,53714.0,985227.0,677923.0,92719.0,500659.0,36560.0,121033.0,165217.0,307304.0,72316.0,74842.0,-28460.0,1362127.0,1352181.0,9946.0,26282.0,8199.0,1553.0,-16336.0,39104.0,-53449.0,-53325.0,124.0,-1791.0,28936.0,368600.0
(주)STX,11810,2016/12,609-81-01917,46,627686.0,441306.0,19366.0,189468.0,139765.0,186380.0,30798.0,956569.0,914419.0,161565.0,510241.0,185474.0,0.0,30940.0,42150.0,-328883.0,118473.0,-457165.0,1465561.0,1494187.0,-28626.0,77154.0,7531.0,1193.0,-105780.0,35884.0,-456150.0,-456269.0,-119.0,-14556.0,31638.0,296081.0
