회사명,거래소코드,회계년도,사업자등록번호,한국표준산업분류코드,자산총계(요약)(백만원),유동자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),매출채권(요약)(백만원),재고자산(요약)(백만원),비유동자산(요약)(백만원),유형자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),비유동부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),이익잉여금(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,감가상각비,영업이익(요약)(백만원),이자비용(요약)(백만원),당기순이익(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),주당순이익(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원)
(주)STX그린로지스,465770,2023/12,423-86-02883,50,73934.0,23994.0,4312.0,14324.0,1492.0,49940.0,39762.0,43495.0,24247.0,0.0,0.0,3997.0,0.0,14893.0,19248.0,30439.0,17928.0,1437.0,28310.0,25655.0,2656.0,809.0,343.0,2283.0,1847.0,397.0,1437.0,1454.0,17.0,201.0,548.0,9005.0
(주)STX그린로지스,465770,2024/12,423-86-02883,50,147888.0,24435.0,2720.0,5494.0,3755.0,123454.0,85960.0,95111.0,71076.0,7003.0,0.0,4557.0,0.0,16462.0,24036.0,52777.0,17928.0,5967.0,46509.0,36843.0,9666.0,2094.0,1223.0,2381.0,7572.0,2094.0,5299.0,5370.0,71.0,634.0,16532.0,19216.0
(주)대한항공,3490,2010/12,110-81-14794,51,17814309.0,2635194.0,733494.0,854497.0,343039.0,15179115.0,12597996.0,14315275.0,6033207.0,245710.0,762801.0,3463017.0,2162198.0,1303612.0,8282068.0,3499035.0,366754.0,352166.0,11460522.0,9027155.0,2433367.0,1323785.0,229255.0,10992.0,1109582.0,565066.0,461701.0,613833.0,152132.0,6837.0,2242055.0,1033509.0
(주)대한항공,3490,2011/12,110-81-14794,51,20222503.0,3022470.0,1381685.0,898632.0,421869.0,17200033.0,13831985.0,18036103.0,6524037.0,293604.0,995577.0,3611448.0,2441516.0,1086695.0,11512066.0,2186400.0,366754.0,1668229.0,11805282.0,10205749.0,1599532.0,1205435.0,243608.0,11071.0,394097.0,497574.0,-301091.0,-443012.0,-141922.0,-4458.0,1820213.0,647571.0
(주)대한항공,3490,2012/12,110-81-14794,51,20678036.0,2973522.0,1250002.0,805372.0,481642.0,17704514.0,14404534.0,18304368.0,6072875.0,257118.0,1234048.0,2834157.0,3480280.0,907844.0,12231493.0,2373669.0,366754.0,1847601.0,12263867.0,10868959.0,1394908.0,1123286.0,252086.0,11509.0,271621.0,502429.0,259597.0,395491.0,135894.0,3844.0,2065536.0,732012.0
(주)대한항공,3490,2013/12,110-81-14794,51,20964254.0,2925307.0,1002505.0,757558.0,452042.0,18038947.0,15049843.0,18693691.0,6688806.0,223856.0,786020.0,3910964.0,2140275.0,1171312.0,12004885.0,2270564.0,298931.0,1592157.0,11712354.0,10606444.0,1105910.0,1123911.0,248114.0,28978.0,-18001.0,437407.0,-290460.0,-401135.0,-106837.0,-4540.0,1762075.0,1441111.0
(주)대한항공,3490,2014/12,110-81-14794,51,21420447.0,2392892.0,410108.0,583736.0,416669.0,19027555.0,15120652.0,19440735.0,6350692.0,140978.0,563315.0,3706074.0,1854847.0,1535253.0,13090042.0,1979712.0,298931.0,1462639.0,11680398.0,10171068.0,1509330.0,1136823.0,243523.0,31197.0,372508.0,410006.0,-205477.0,-336885.0,-131408.0,-3502.0,1840787.0,1393305.0
(주)대한항공,3490,2015/12,110-81-14794,51,23048940.0,2873563.0,698947.0,540851.0,475679.0,20175377.0,16803447.0,20752646.0,8428114.0,150168.0,862438.0,5153640.0,95228.0,907994.0,12324532.0,2296294.0,369753.0,817445.0,11308423.0,9286479.0,2021944.0,1162726.0,258606.0,36140.0,859218.0,367086.0,-407682.0,-498980.0,-91298.0,-5749.0,2666464.0,1478421.0
(주)대한항공,3490,2016/12,110-81-14794,51,22706038.0,2875642.0,746001.0,584769.0,549283.0,19830397.0,16265985.0,21052892.0,8269323.0,142145.0,1167972.0,4333311.0,83169.0,944815.0,12783569.0,1653146.0,369753.0,-197849.0,11502877.0,9218012.0,2284865.0,1205861.0,264264.0,50349.0,1079004.0,400164.0,-591361.0,-742090.0,-150729.0,-7997.0,2771539.0,905631.0
(주)대한항공,3490,2017/12,110-81-14794,51,23423067.0,3219951.0,575786.0,602632.0,665811.0,20203116.0,17177634.0,19750938.0,6594634.0,172296.0,772625.0,3294420.0,792932.0,1233846.0,13156304.0,3672128.0,479777.0,690144.0,11802819.0,9660188.0,2142631.0,1186479.0,263590.0,39175.0,956151.0,427154.0,907880.0,1218124.0,310244.0,9909.0,2813805.0,2242209.0
