회사명,거래소코드,회계년도,사업자등록번호,한국표준산업분류코드,자산총계(요약)(백만원),유동자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),매출채권(요약)(백만원),재고자산(요약)(백만원),비유동자산(요약)(백만원),유형자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),비유동부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),이익잉여금(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,감가상각비,영업이익(요약)(백만원),이자비용(요약)(백만원),당기순이익(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),주당순이익(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원)
(주)강원랜드,35250,2010/12,225-81-10770,91,2609745.0,1105888.0,36554.0,3733.0,1972.0,1503857.0,1235107.0,508617.0,493627.0,1767.0,0.0,0.0,0.0,0.0,14990.0,2101127.0,106970.0,2012516.0,1313683.0,494108.0,819574.0,248364.0,30834.0,10737.0,571210.0,0.0,421785.0,555683.0,133898.0,2066.0,491444.0,1229676.0
(주)강원랜드,35250,2011/12,225-81-10770,91,2730284.0,1116718.0,47911.0,4762.0,2246.0,1613566.0,1302069.0,452082.0,439575.0,1885.0,0.0,0.0,0.0,0.0,12506.0,2278202.0,106970.0,2210113.0,1263651.0,530019.0,733632.0,232037.0,31708.0,10700.0,501595.0,428.0,393401.0,511896.0,118495.0,1935.0,428912.0,1222064.0
(주)강원랜드,35250,2012/12,225-81-10770,91,2915386.0,1117339.0,79762.0,5691.0,1201.0,1798047.0,1334113.0,532225.0,516757.0,2233.0,0.0,0.0,0.0,0.0,15468.0,2383161.0,106970.0,2320909.0,1292896.0,639098.0,653799.0,237009.0,35479.0,11477.0,416789.0,648.0,296504.0,397355.0,100851.0,1461.0,458413.0,1381601.0
(주)강원랜드,35250,2013/12,225-81-10770,91,3105430.0,1032979.0,129278.0,5988.0,1493.0,2072451.0,1327018.0,581467.0,568327.0,2219.0,0.0,0.0,0.0,0.0,13140.0,2523963.0,106970.0,2462643.0,1356906.0,718287.0,638619.0,240056.0,43994.0,12100.0,398564.0,273.0,293129.0,389346.0,96217.0,1446.0,432140.0,1289743.0
(주)강원랜드,35250,2014/12,225-81-10770,91,3380462.0,1349602.0,93386.0,5091.0,1205.0,2030860.0,1284799.0,664287.0,619817.0,3263.0,0.0,0.0,0.0,0.0,44469.0,2716175.0,106970.0,2653051.0,1492291.0,713324.0,778968.0,252650.0,35702.0,10214.0,526318.0,247.0,363816.0,500402.0,136586.0,1795.0,516729.0,1321734.0
(주)강원랜드,35250,2015/12,225-81-10770,91,3688060.0,1736168.0,103417.0,4791.0,1622.0,1951892.0,1253601.0,690618.0,662837.0,3607.0,0.0,0.0,0.0,0.0,27781.0,2997442.0,106970.0,2935190.0,1630977.0,754752.0,876225.0,272340.0,39581.0,10532.0,603885.0,227.0,430460.0,582714.0,152254.0,2123.0,581804.0,2090701.0
(주)강원랜드,35250,2016/12,225-81-10770,91,3975980.0,1799027.0,91359.0,4197.0,1310.0,2176953.0,1254129.0,723242.0,717426.0,3084.0,0.0,0.0,0.0,0.0,5816.0,3252738.0,106970.0,3190486.0,1694575.0,782104.0,912471.0,287586.0,45665.0,11015.0,624885.0,228.0,454999.0,597325.0,142327.0,2244.0,600687.0,2499084.0
(주)강원랜드,35250,2017/12,225-81-10770,91,4182527.0,2155755.0,103274.0,4636.0,1300.0,2026773.0,1253404.0,681738.0,680591.0,3361.0,0.0,0.0,0.0,0.0,1147.0,3500790.0,106970.0,3438538.0,1602902.0,785131.0,817770.0,281946.0,46653.0,12137.0,535825.0,197.0,437096.0,565750.0,128654.0,2156.0,465969.0,1684082.0
(주)강원랜드,35250,2018/12,225-81-10770,91,4229631.0,1749493.0,47368.0,9729.0,1144.0,2480138.0,1299058.0,643178.0,635168.0,3562.0,0.0,0.0,0.0,0.0,8010.0,3586453.0,106970.0,3524201.0,1436042.0,727186.0,708857.0,274005.0,49277.0,12605.0,434852.0,217.0,297320.0,410771.0,113451.0,1467.0,366068.0,2502064.0
(주)강원랜드,35250,2019/12,225-81-10770,91,4436462.0,1868366.0,59133.0,7787.0,3631.0,2568096.0,1353732.0,718029.0,650508.0,3858.0,0.0,0.0,0.0,0.0,67521.0,3718433.0,106970.0,3656181.0,1517612.0,734363.0,783249.0,280524.0,42567.0,17968.0,502725.0,1819.0,335610.0,489881.0,154271.0,1655.0,408995.0,2063318.0
