column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
종업원,125,2442,78.84,191.083948,51.0,68.0,-0.1945,0.3925,normal_high,119796.5,4.868899831049224e-05,7.513734307174729e-05,1.0,1,
부채비율,125,2442,0.904863,0.120944,0.077744,0.023124,0.4261,0.7524,distress_high,229676.0,1.5229944581048235e-21,5.215734445564464e-21,1.0,1,
총부채비율,125,2442,0.666532,0.324954,0.502842,0.334215,0.9753,0.7492,distress_high,228701.0,4.8396436829655456e-21,1.4577240008932364e-20,1.0,1,
장기부채비율,125,2442,0.702342,0.170474,0.05142,0.012622,0.1276,0.7032,distress_high,214649.5,1.65695627865758e-14,3.6985631220035274e-14,1.0,1,
장기부채의존도,125,2442,0.353287,0.195447,0.194248,0.128939,0.5752,0.5826,distress_high,177849.0,0.001801567864232189,0.0025590452616934506,1.0,1,
차입금의존도,125,2442,0.639596,0.352819,0.560685,0.365314,1.0577,0.7243,distress_high,221092.0,2.324174661135676e-17,6.116249108251779e-17,1.0,1,
순차입금비율,125,2442,1.008722,0.155256,0.095779,0.028302,0.2954,0.7663,distress_high,233915.0,8.485028841674804e-24,3.3144643912792203e-23,1.0,1,
금융부채비율,125,2442,1.094299,0.159166,0.094148,0.028231,0.3209,0.7628,distress_high,232850.0,3.0396297557846217e-23,1.117510939626699e-22,1.0,1,
자기자본비율,125,2442,0.33346,0.675047,0.497158,0.665785,-0.9753,0.2508,normal_high,76548.0,4.8339485140901965e-21,1.4577240008932364e-20,1.0,1,
유보율,125,2442,0.077184,0.234904,0.051967,0.08666,-0.2453,0.2571,normal_high,78481.5,4.578719404744235e-20,1.2861572332585452e-19,1.0,1,
자본잠식률,125,2442,0.909187,0.735598,0.936783,0.901707,0.2394,0.7103,distress_high,216812.5,1.9946180858835424e-15,4.749090680675101e-15,1.0,1,
유동비율,125,2442,0.473022,0.267182,0.054645,0.128424,0.1526,0.2201,normal_high,67178.0,4.0158195548528526e-26,1.9894288526936889e-25,1.0,1,
당좌비율_추정,125,2442,0.550085,0.25036,0.040825,0.113105,0.1884,0.2226,normal_high,67950.0,1.1071944464605017e-25,4.856115993247815e-25,1.0,1,
현금비율,125,2442,0.79711,0.132677,0.009926,0.03688,0.2717,0.2914,normal_high,88935.0,3.2705313729153846e-15,7.713517388951379e-15,1.0,1,
순운전자본비율,125,2442,0.312005,0.642602,0.439666,0.638357,-1.1027,0.2128,normal_high,64972.0,2.1063424920889655e-27,1.3164640575556034e-26,1.0,1,
순운전자본회전율,125,2442,0.000394,0.002396,8e-06,0.000274,-0.0756,0.1259,normal_high,38416.5,5.667260828771692e-48,1.4168152071929228e-45,1.0,1,
금융비용부담률,125,2442,0.713257,0.110948,0.107411,0.034705,0.5851,0.7936,distress_high,242242.0,1.391889461226648e-28,1.2427584475237929e-27,1.0,1,
비유동비율,125,2442,0.991581,0.14651,0.090651,0.027566,0.3124,0.7879,distress_high,240499.0,1.5594612335144259e-27,1.0781189274188843e-26,1.0,1,
비유동장기적합률,125,2442,0.445123,0.088301,0.123209,0.063399,1.342,0.7858,distress_high,239858.0,3.712827233511044e-27,2.1586204845994442e-26,1.0,1,
유형자산비율,125,2442,0.584632,0.436523,0.609165,0.440342,0.5845,0.656,distress_high,200235.0,3.84813234832883e-09,7.233331481821109e-09,1.0,1,
유형자산부채비율,125,2442,3.673337,0.207864,0.145192,0.158584,0.4017,0.4368,normal_high,133332.0,0.016986121844198225,0.021650483797751165,1.0,1,
ROA,125,2442,0.445812,0.655947,0.547368,0.671284,-1.0116,0.1569,normal_high,47900.0,2.1271204337519156e-38,2.5322862306570423e-37,1.0,1,
ROE,125,2442,0.729945,0.812403,0.781082,0.825226,-0.2264,0.2837,normal_high,86585.0,3.0402665464878546e-16,7.600666366219636e-16,1.0,1,
ROIC,125,2442,0.428792,0.887165,0.739504,0.915473,-0.4128,0.1314,normal_high,40115.0,4.700502357322331e-44,9.792713244421524e-43,1.0,1,
총자본영업이익률,125,2442,0.569421,0.9829,0.766171,0.991119,-1.1777,0.1246,normal_high,38042.0,1.2650049048809437e-45,9.408822929943735e-44,1.0,1,
매출총이익률,125,2442,0.189227,0.316505,0.223844,0.2751,-0.6565,0.3742,normal_high,114233.0,2.0333267303063657e-06,3.306919271664739e-06,1.0,1,
영업이익률,125,2442,0.559663,0.844489,0.790317,0.855047,-0.5776,0.1257,normal_high,38368.0,2.2581175031864962e-45,9.408822929943735e-44,1.0,1,
순이익률,125,2442,0.710975,0.886858,0.852455,0.895569,-0.4525,0.1356,normal_high,41388.0,4.255933396496606e-43,7.093222327494342e-42,1.0,1,
EBITDA마진,125,2442,0.550177,0.763697,0.722539,0.768227,-0.5652,0.1896,normal_high,57862.0,9.523635202789287e-32,1.035177739433618e-30,1.0,1,
영업현금흐름비율,125,2442,0.156562,0.704003,0.6701,0.722497,-0.7432,0.2554,normal_high,77956.0,2.4991482742952476e-20,7.43794129254538e-20,1.0,1,
현금ROA,125,2442,0.353149,0.514914,0.413574,0.523106,-0.7286,0.2751,normal_high,83972.0,1.9892423140603246e-17,5.290538069309374e-17,1.0,1,
현금ROE,125,2442,0.490647,-1.940747,0.409333,0.441396,0.0216,0.4132,normal_high,126117.0,0.0010379441230943334,0.001544559706985615,1.0,1,
매출원가율,125,2442,0.810773,0.683494,0.776156,0.724889,0.6565,0.6258,distress_high,191014.0,2.0370622713454793e-06,3.306919271664739e-06,1.0,1,
판관비율,125,2442,0.342495,0.127883,0.140212,0.073834,0.3966,0.6766,distress_high,206542.0,2.5417181786657602e-11,5.043091624336826e-11,1.0,1,
감가상각비율,125,2442,0.578593,0.113357,0.134331,0.072349,0.7198,0.6762,distress_high,206402.0,2.8596990764885958e-11,5.6293288907255824e-11,1.0,1,
총자산회전율,125,2442,0.271225,0.335458,0.18229,0.258007,-0.0848,0.3755,normal_high,114622.0,2.5753115702019915e-06,4.15372833903547e-06,1.0,1,
유동자산회전율,125,2442,0.334087,0.290624,0.271121,0.236836,0.1216,0.5335,ambiguous,162845.0,0.20606296851526784,0.2310122965417801,0.0,0,FDR 비유의
비유동자산회전율,125,2442,0.331012,1.027719,0.080765,0.143347,-0.0407,0.3503,normal_high,106918.0,1.555780568199716e-08,2.7981664895678348e-08,1.0,1,
유형자산회전율,125,2442,1.531117,1.885415,0.042085,0.07971,-0.0145,0.3434,normal_high,104830.0,3.3445296872660646e-09,6.334336528913001e-09,1.0,1,
자기자본회전율,125,2442,0.167056,0.154361,0.048632,0.05518,0.01,0.4478,normal_high,136701.0,0.04879578374209633,0.05836816237092863,0.0,0,FDR 비유의
투하자본회전율,125,2442,0.26528,0.289042,0.10251,0.156731,-0.0132,0.3693,normal_high,112732.0,7.970545117448227e-07,1.3555348839197664e-06,1.0,1,
