column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
종업원,92,1820,40.315217,80.626923,25.0,42.0,-0.3082,0.3343,normal_high,55983.0,7.92037804412893e-08,1.3944327542480508e-07,1.0,1,
부채비율,92,1820,0.602176,0.042238,0.028386,0.012332,1.5324,0.7272,distress_high,121767.0,1.783265675435525e-13,6.024546200795693e-13,1.0,1,
총부채비율,92,1820,0.468873,0.298635,0.431326,0.306531,0.9455,0.7245,distress_high,121317.0,3.413857735841026e-13,1.0941851717439187e-12,1.0,1,
장기부채비율,92,1820,0.49818,0.115022,0.046977,0.01125,0.2807,0.7217,distress_high,120837.5,6.667693298330007e-13,2.008341354918677e-12,1.0,1,
장기부채의존도,92,1820,0.272046,0.175033,0.188519,0.088771,0.4299,0.6257,distress_high,104770.0,4.5930959077427416e-05,7.0881109687388e-05,1.0,1,
차입금의존도,92,1820,0.514673,0.302873,0.466829,0.294169,0.917,0.7301,distress_high,122250.5,8.383371234403912e-14,3.082121777354379e-13,1.0,1,
순차입금비율,92,1820,0.461664,0.053973,0.04485,0.019617,0.9853,0.7509,distress_high,125739.0,4.1907984609115278e-16,2.4365107330880975e-15,1.0,1,
금융부채비율,92,1820,0.46485,0.048113,0.036957,0.01239,0.9933,0.7454,distress_high,124816.5,1.7024872023950362e-15,8.86712084580748e-15,1.0,1,
자기자본비율,92,1820,0.531123,0.701367,0.568682,0.693471,-0.9455,0.2755,normal_high,46122.0,3.4089651315734827e-13,1.0941851717439187e-12,1.0,1,
유보율,92,1820,0.017227,0.146407,0.016036,0.041249,-0.2278,0.2559,normal_high,42843.0,2.5362194746433683e-15,1.2231346048063884e-14,1.0,1,
자본잠식률,92,1820,0.980022,0.826394,0.980444,0.952322,0.225,0.7394,distress_high,123801.5,8.637270058337226e-15,3.926031844698739e-14,1.0,1,
유동비율,92,1820,0.073445,0.158794,0.036538,0.082137,-0.2148,0.291,normal_high,48720.0,1.2499729033060843e-11,3.063659076730599e-11,1.0,1,
당좌비율_추정,92,1820,0.053116,0.119629,0.021475,0.049227,-0.169,0.3102,normal_high,51937.0,7.668117417833327e-10,1.4746379649679475e-09,1.0,1,
현금비율,92,1820,0.04762,0.151726,0.008135,0.049686,-0.3047,0.2625,normal_high,43954.0,1.3952029897777402e-14,5.911877075329408e-14,1.0,1,
순운전자본비율,92,1820,0.427898,0.609451,0.424687,0.613639,-0.9248,0.285,normal_high,47724.0,3.2355188840840883e-12,8.697631408828194e-12,1.0,1,
순운전자본회전율,92,1820,0.021479,0.053592,-0.001117,0.016889,-0.1707,0.1951,normal_high,32672.0,1.611447111269976e-23,1.611447111269976e-22,1.0,1,
금융비용부담률,92,1820,3.362941,0.125076,0.230843,0.053076,0.5649,0.8259,distress_high,138292.0,4.2619270955669985e-26,7.610584099226783e-25,1.0,1,
비유동비율,92,1820,0.801852,0.067255,0.056169,0.023968,1.1725,0.738,distress_high,123566.0,1.2354979666290208e-14,5.416464147096658e-14,1.0,1,
비유동장기적합률,92,1820,0.527971,0.129421,0.172767,0.095362,1.424,0.7072,distress_high,118406.0,1.8995394915753597e-11,4.43817638218542e-11,1.0,1,
유형자산비율,92,1820,0.482841,0.346986,0.531207,0.307556,0.4821,0.6235,distress_high,104404.5,6.241607663259076e-05,9.456981307968296e-05,1.0,1,
유형자산부채비율,92,1820,0.122515,0.16107,0.125125,0.111324,-0.105,0.5035,ambiguous,84301.5,0.9104624277663153,0.9178048666999146,0.0,0,FDR 비유의
ROA,92,1820,0.557908,0.674007,0.601545,0.677203,-0.7885,0.1905,normal_high,31898.0,1.1197261806588558e-23,1.166381438186308e-22,1.0,1,
ROE,92,1820,0.381978,0.601356,0.542496,0.590584,-0.4491,0.271,normal_high,45374.0,1.1497437839073888e-13,3.9921659163451e-13,1.0,1,
ROIC,92,1820,0.742457,1.014467,0.905991,1.006864,-0.8488,0.1493,normal_high,24991.0,6.072503571191207e-30,3.7953147319945043e-28,1.0,1,
총자본영업이익률,92,1820,0.736047,1.016477,0.849091,1.014861,-1.0222,0.141,normal_high,23615.0,2.77720327867264e-31,3.4715040983408e-29,1.0,1,
매출총이익률,92,1820,0.207462,0.438011,0.336856,0.380618,-0.6927,0.3923,normal_high,65685.5,0.0004819996443765825,0.0006699290820308312,1.0,1,
영업이익률,92,1820,0.361586,0.810116,0.750145,0.821932,-0.8422,0.1513,normal_high,25340.0,1.3178449154946574e-29,4.0869591754017925e-28,1.0,1,
순이익률,92,1820,-0.007766,0.68727,0.634069,0.683465,-0.6494,0.1853,normal_high,31028.0,2.0097918661419605e-24,2.5122398326774506e-23,1.0,1,
EBITDA마진,92,1820,0.358678,0.770832,0.708512,0.775606,-0.7793,0.2007,normal_high,33603.0,3.006726732467166e-22,2.505605610389305e-21,1.0,1,
영업현금흐름비율,92,1820,0.457122,0.50727,0.44683,0.523297,-0.0775,0.2896,normal_high,48486.0,9.129014780542495e-12,2.2596571238966572e-11,1.0,1,
현금ROA,92,1820,0.335358,0.455213,0.384099,0.449524,-0.752,0.2781,normal_high,46570.5,6.455673769700555e-13,1.9681932224696813e-12,1.0,1,
현금ROE,92,1820,0.228161,0.482328,0.425022,0.458927,-0.586,0.3672,normal_high,61485.0,1.6783241642025296e-05,2.6724907073288687e-05,1.0,1,
매출원가율,92,1820,0.792527,0.561984,0.663137,0.619376,0.6927,0.6077,distress_high,101753.5,0.00048234891202067725,0.0006699290820308312,1.0,1,
판관비율,92,1820,0.523283,0.185381,0.212264,0.108167,0.7535,0.6582,distress_high,110205.5,2.955010521213331e-07,5.059949522625567e-07,1.0,1,
감가상각비율,92,1820,0.597337,0.169079,0.202193,0.086786,0.7117,0.7018,distress_high,117506.5,6.175037140520256e-11,1.3082705806186985e-10,1.0,1,
총자산회전율,92,1820,0.161406,0.300497,0.117725,0.255217,-0.6189,0.2834,normal_high,47459.0,2.2423271844546605e-12,6.160239517732583e-12,1.0,1,
유동자산회전율,92,1820,0.205819,0.259553,0.148832,0.213413,-0.1605,0.3745,normal_high,62701.0,4.735657995807783e-05,7.263279134674514e-05,1.0,1,
비유동자산회전율,92,1820,0.032025,0.118012,0.009995,0.024552,-0.1096,0.299,normal_high,50067.0,7.331267686675612e-11,1.5401822871167253e-10,1.0,1,
유형자산회전율,92,1820,0.068482,0.686634,0.001674,0.005128,-0.0693,0.3222,normal_high,53950.0,8.302206151530522e-09,1.504022853538138e-08,1.0,1,
자기자본회전율,92,1820,0.252277,0.117165,0.038078,0.058365,0.1993,0.4065,normal_high,68065.0,0.0024438779626724497,0.0031656450293684585,1.0,1,
투하자본회전율,92,1820,0.079109,0.163421,0.044381,0.101389,-0.2469,0.3004,normal_high,50291.0,9.773987915042311e-11,2.0028663760332605e-10,1.0,1,
매출채권회전율,92,1820,0.099473,0.576062,0.057791,0.088444,-0.0484,0.3599,normal_high,60267.0,5.638453089440097e-06,9.213158642875974e-06,1.0,1,
매출채권회수기간,92,1820,0.825842,0.187322,0.168072,0.123536,0.5571,0.5994,distress_high,100369.0,0.001270698496677686,0.0017264925226598993,1.0,1,
재고자산회전율,92,1820,0.210752,0.167726,0.013831,0.019043,0.0434,0.4385,normal_high,73422.0,0.04621902141996322,0.05528591078942969,0.0,0,FDR 비유의
