column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
종업원,188,4463,77.765957,106.656285,47.0,51.0,-0.1191,0.4556,ambiguous,382287.0,0.03895722503450588,0.044881595661873136,1.0,0,방향 불명확 (CLES 0.45~0.55)
부채비율,188,4463,0.597656,0.068385,0.041391,0.020959,0.6587,0.6833,distress_high,573358.0,1.4668233153669908e-17,2.9336466307339816e-17,1.0,1,
총부채비율,188,4463,5.366542,0.302915,0.421187,0.315255,0.3755,0.6826,distress_high,572753.0,1.9593485746621776e-17,3.797187160198019e-17,1.0,1,
장기부채비율,188,4463,0.483536,0.059564,0.028071,0.010505,0.4874,0.6606,distress_high,554311.0,7.73239378691673e-14,1.2634630370778968e-13,1.0,1,
장기부채의존도,188,4463,0.232118,0.17756,0.160384,0.107806,0.2674,0.5887,distress_high,493907.0,3.705872906658689e-05,5.1470457036926236e-05,1.0,1,
차입금의존도,188,4463,0.486609,0.305783,0.476534,0.286653,0.6779,0.6874,distress_high,576791.0,2.410272851505777e-18,5.332462060853488e-18,1.0,1,
순차입금비율,188,4463,0.672388,0.085778,0.065708,0.034353,0.6871,0.7104,distress_high,596048.0,1.2699074942217506e-22,4.535383907934824e-22,1.0,1,
금융부채비율,188,4463,0.664989,0.074202,0.050162,0.019692,0.669,0.7103,distress_high,595998.0,1.094179214456543e-22,4.022717700207879e-22,1.0,1,
자기자본비율,188,4463,-4.36638,0.697095,0.578826,0.684755,-0.3755,0.3174,normal_high,266290.0,1.958413314448577e-17,3.797187160198019e-17,1.0,1,
유보율,188,4463,0.082039,0.152575,0.031942,0.073706,-0.2364,0.2519,normal_high,211334.5,7.97537363268215e-31,4.6383408380857395e-30,1.0,1,
자본잠식률,188,4463,0.906913,0.838072,0.96141,0.918365,0.2237,0.7278,distress_high,610664.0,3.036689601841612e-26,1.3318814043164965e-25,1.0,1,
유동비율,188,4463,0.088813,0.140791,0.03915,0.071026,-0.1323,0.3071,normal_high,257654.0,2.8316015621753283e-19,7.230753555247479e-19,1.0,1,
당좌비율_추정,188,4463,0.08721,0.138264,0.031411,0.065232,-0.1114,0.3063,normal_high,256993.0,2.0284048422927657e-19,5.394693729502037e-19,1.0,1,
현금비율,188,4463,0.087125,0.147889,0.018323,0.0497,-0.0812,0.3165,normal_high,265568.0,1.3862828224324356e-17,2.7949250452266846e-17,1.0,1,
순운전자본비율,188,4463,-4.871206,0.665371,0.499655,0.657735,-0.3782,0.2994,normal_high,251185.0,1.0217889800283066e-20,3.11521030496435e-20,1.0,1,
순운전자본회전율,188,4463,0.029749,0.08373,-0.002214,0.014532,-0.0761,0.223,normal_high,187137.0,6.729689174821407e-39,5.257569667829224e-38,1.0,1,
금융비용부담률,188,4463,0.905109,0.233412,0.199584,0.051147,0.112,0.8097,distress_high,679352.0,4.005095683820283e-47,5.006369604775354e-46,1.0,1,
비유동비율,188,4463,0.522456,0.070263,0.055741,0.025596,0.6073,0.7167,distress_high,601374.0,6.559412070400626e-24,2.6449242219357363e-23,1.0,1,
비유동장기적합률,188,4463,0.492062,0.159055,0.204083,0.128024,1.0537,0.7086,distress_high,594575.0,2.83870374721499e-22,9.769400379057172e-22,1.0,1,
유형자산비율,188,4463,0.49607,0.416556,0.439694,0.396524,0.3229,0.5752,distress_high,482632.0,0.0004665946211939318,0.0006171886523729257,1.0,1,
유형자산부채비율,188,4463,0.143457,0.187193,0.135814,0.145988,-0.2285,0.4445,normal_high,372987.0,0.00987429585482563,0.011699402671594349,1.0,1,
ROA,188,4463,0.42713,0.601539,0.511221,0.60807,-0.9736,0.1799,normal_high,150961.0,3.7617679368624206e-50,4.949694653766343e-49,1.0,1,
ROE,188,4463,0.671508,0.728101,0.677536,0.72243,-0.2889,0.2536,normal_high,212767.0,1.9906198129557573e-30,1.131033984633953e-29,1.0,1,
ROIC,188,4463,0.504555,0.751027,0.685555,0.782401,-0.08,0.1457,normal_high,122278.0,4.954228226431994e-61,1.125960960552726e-59,1.0,1,
총자본영업이익률,188,4463,0.654401,0.984071,0.760696,0.981857,-1.0669,0.1384,normal_high,116105.0,1.631735916363706e-63,5.099174738636581e-62,1.0,1,
매출총이익률,188,4463,0.341852,0.49933,0.405941,0.484077,-0.817,0.3285,normal_high,275656.5,1.5006652152226182e-15,2.6797593128975324e-15,1.0,1,
영업이익률,188,4463,-0.034517,0.704304,0.711711,0.834736,-0.1196,0.1295,normal_high,108694.0,1.463983373802366e-66,7.768202692299941e-65,1.0,1,
순이익률,188,4463,0.221548,0.636044,0.688107,0.752365,-0.0811,0.1707,normal_high,143258.0,5.797886793233157e-53,9.059198114426807e-52,1.0,1,
