column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
종업원,93,1512,72.139785,103.994048,10.0,22.0,-0.0512,0.3784,normal_high,53210.5,8.01438002037865e-05,0.00011990980793848973,1.0,1,
부채비율,93,1512,0.424275,0.126122,0.057164,0.015944,0.6616,0.7115,distress_high,100054.0,7.015363573763478e-12,1.8835770691200573e-11,1.0,1,
총부채비율,93,1512,0.584633,0.418222,0.589382,0.418043,0.3038,0.7071,distress_high,99430.0,1.9071208784139725e-11,4.5584840508431535e-11,1.0,1,
장기부채비율,93,1512,0.428661,0.132115,0.040677,0.009255,0.541,0.6661,distress_high,93668.0,7.234819696337156e-08,1.2774996941280025e-07,1.0,1,
장기부채의존도,93,1512,0.450364,0.319745,0.465903,0.209651,0.4402,0.5934,distress_high,83438.0,0.002472957644704209,0.003413378157479049,1.0,1,
차입금의존도,93,1512,0.549222,0.377756,0.578218,0.359306,0.3263,0.6756,distress_high,95005.0,1.2233709624618601e-08,2.3507912612012214e-08,1.0,1,
순차입금비율,93,1512,0.374242,0.115018,0.06618,0.015369,0.6453,0.7242,distress_high,101829.0,3.688141378103613e-13,1.3386587224227927e-12,1.0,1,
금융부채비율,93,1512,0.398053,0.116397,0.062031,0.012673,0.6335,0.7162,distress_high,100705.0,2.358752278716188e-12,7.223678853568326e-12,1.0,1,
자기자본비율,93,1512,0.415394,0.581803,0.410645,0.581981,-0.3038,0.2929,normal_high,41186.0,1.9071208784139725e-11,4.5584840508431535e-11,1.0,1,
유보율,93,1512,0.17431,0.704572,0.451221,0.482082,-0.1981,0.2542,normal_high,35739.0,1.6050601287631545e-15,9.533084401138735e-15,1.0,1,
자본잠식률,93,1512,0.683765,0.230026,0.46403,0.434592,0.1717,0.716,distress_high,100683.0,2.5269698941915733e-12,7.504334837296187e-12,1.0,1,
유동비율,93,1512,0.034186,0.124478,0.018463,0.043503,-0.1055,0.2828,normal_high,39766.0,1.9183350190932814e-12,6.064413931327148e-12,1.0,1,
당좌비율_추정,93,1512,0.032933,0.120008,0.015521,0.041111,-0.1017,0.2958,normal_high,41598.0,3.641154484472263e-11,8.49602713043528e-11,1.0,1,
현금비율,93,1512,0.049608,0.183848,0.006748,0.042537,-0.0834,0.3508,normal_high,49334.5,1.3338487666462539e-06,2.196927380358536e-06,1.0,1,
순운전자본비율,93,1512,0.435027,0.566829,0.504101,0.584326,-0.2868,0.2824,normal_high,39712.0,1.7542511074374605e-12,5.730553617629038e-12,1.0,1,
순운전자본회전율,93,1512,0.125504,0.084868,0.0,0.009222,0.0554,0.3061,normal_high,43045.5,9.263641492238923e-11,2.111248526138173e-10,1.0,1,
금융비용부담률,93,1512,0.608619,0.084436,0.09707,0.007651,1.1709,0.7842,distress_high,110278.0,3.053122601578165e-20,3.149536999522739e-19,1.0,1,
비유동비율,93,1512,0.457858,0.122536,0.071032,0.019466,0.8095,0.7369,distress_high,103623.0,1.589436119037286e-14,7.417368555507336e-14,1.0,1,
비유동장기적합률,93,1512,0.100818,0.048105,0.043943,0.03627,0.6556,0.7118,distress_high,100087.0,6.676058234514435e-12,1.817371408284485e-11,1.0,1,
