column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
종업원,414,5949,30.545894,94.234493,5.0,25.0,-0.1579,0.2614,normal_high,643905.0,1.8462071594394051e-59,4.615517898598513e-59,1.0,1,
부채비율,414,5949,1.187877,0.171812,0.08074,0.006727,0.3378,0.7766,distress_high,1912779.0,2.6734458975715888e-79,1.7498054913833394e-78,1.0,1,
총부채비율,414,5949,0.342399,0.213646,0.357158,0.207765,0.9488,0.7669,distress_high,1888796.0,6.342475630582353e-74,2.6460352664847582e-73,1.0,1,
장기부채비율,414,5949,0.731007,0.147182,0.079326,0.0029,0.1999,0.7589,distress_high,1869068.0,1.0795833868163511e-69,3.598611289387837e-69,1.0,1,
장기부채의존도,414,5949,0.301969,0.169184,0.143776,0.068494,0.5578,0.5922,distress_high,1458400.5,3.370089801228688e-10,4.760013843543344e-10,1.0,1,
차입금의존도,414,5949,0.430012,0.203198,0.436817,0.135449,1.0939,0.7705,distress_high,1897653.0,4.0928146092035425e-76,2.0881707189813993e-75,1.0,1,
순차입금비율,414,5949,0.683198,0.160458,0.075294,0.009131,0.1607,0.8045,distress_high,1981291.0,1.2013841499450516e-95,2.73041852260239e-94,1.0,1,
금융부채비율,414,5949,0.676892,0.152003,0.067222,0.002871,0.1675,0.7996,distress_high,1969373.0,5.682875524103746e-93,9.471459206839576e-92,1.0,1,
자기자본비율,414,5949,0.657601,0.786354,0.642837,0.792238,-0.9488,0.2331,normal_high,574092.5,6.3504846395634195e-74,2.6460352664847582e-73,1.0,1,
유보율,414,5949,0.35456,0.476154,0.411087,0.435351,-0.3283,0.2442,normal_high,601485.0,4.825827652877929e-68,1.4366063809083029e-67,1.0,1,
자본잠식률,414,5949,0.539887,0.380101,0.46787,0.435368,0.3235,0.7283,distress_high,1793796.0,1.3591459724785473e-54,3.2360618392346363e-54,1.0,1,
유동비율,414,5949,0.052842,0.068187,0.009107,0.016168,-0.0212,0.3143,normal_high,774207.0,1.097059444476451e-36,1.8657473545517873e-36,1.0,1,
당좌비율_추정,414,5949,0.042471,0.04984,0.00488,0.016489,-0.019,0.2902,normal_high,714848.0,2.3857677273969363e-46,4.733666125787572e-46,1.0,1,
현금비율,414,5949,0.030897,0.037215,0.000838,0.007934,-0.0216,0.2891,normal_high,711959.0,7.541776066388947e-47,1.520519368223578e-46,1.0,1,
순운전자본비율,414,5949,0.626114,0.737524,0.630735,0.743654,-0.7646,0.3057,normal_high,752972.0,5.216841171875335e-40,9.519783160356451e-40,1.0,1,
순운전자본회전율,414,5949,0.028661,0.167787,0.0,0.029778,-0.0552,0.2291,normal_high,564282.0,6.6030277297851645e-77,3.751720301014298e-76,1.0,1,
금융비용부담률,414,5949,5.090858,0.380508,0.146765,0.001439,0.4693,0.8529,distress_high,2100518.5,4.6046889942925307e-128,1.1511722485731327e-125,1.0,1,
비유동비율,414,5949,1.147292,0.153508,0.166645,0.012813,0.2709,0.7834,distress_high,1929317.5,4.201742937369357e-83,3.1831385889161796e-82,1.0,1,
비유동장기적합률,414,5949,0.950579,0.190001,0.176318,0.080405,0.2698,0.6646,distress_high,1636818.0,3.37700271780865e-29,5.446778577110726e-29,1.0,1,
유형자산비율,414,5949,0.265336,0.173871,0.044547,0.052398,0.3578,0.4991,ambiguous,1229149.0,0.9493753128777711,0.955574346353787,0.0,0,FDR 비유의
유형자산부채비율,414,5949,0.101911,0.111796,0.019915,0.031863,-0.0378,0.4537,ambiguous,1117397.0,0.001593265622090991,0.0020322265587895297,1.0,0,방향 불명확 (CLES 0.45~0.55)
ROA,414,5949,0.59777,0.64584,0.614748,0.66261,-0.3199,0.231,normal_high,568871.0,4.448915626244294e-75,2.098545106719007e-74,1.0,1,
ROE,414,5949,0.472537,0.527942,0.473267,0.485899,-0.0893,0.4461,normal_high,1098658.0,0.00023725910329639013,0.0003223629120874866,1.0,1,
ROIC,414,5949,0.752153,0.92583,0.86381,0.909893,-0.1099,0.2435,normal_high,599624.0,1.9098994668999955e-68,5.822864228353645e-68,1.0,1,
총자본영업이익률,414,5949,0.764175,0.8787,0.813922,0.885021,-0.447,0.2353,normal_high,579459.5,9.32042004365824e-73,3.584776939868553e-72,1.0,1,
매출총이익률,414,5949,0.275244,0.190291,0.393968,0.386488,0.0048,0.4953,ambiguous,1219745.5,0.7461510862367016,0.7868782158322558,0.0,0,FDR 비유의
영업이익률,414,5949,-1.020261,0.705525,0.893442,0.926645,-0.4035,0.239,normal_high,588529.5,8.444869592410604e-71,3.0597353595690594e-70,1.0,1,
순이익률,414,5949,-1.452143,0.699301,0.886928,0.920725,-0.4873,0.2021,normal_high,497794.5,1.2664924331333527e-91,1.9788944267708633e-90,1.0,1,
EBITDA마진,414,5949,-1.069022,0.696941,0.896447,0.922789,-0.3923,0.2778,normal_high,684139.5,8.250401664459578e-52,1.9276639402942938e-51,1.0,1,
영업현금흐름비율,414,5949,0.313593,0.645136,0.952888,0.959328,-0.0215,0.3227,normal_high,794852.0,1.332811760630399e-33,2.2066419877986738e-33,1.0,1,
현금ROA,414,5949,0.447256,0.466571,0.454139,0.473974,-0.1318,0.3985,normal_high,981569.5,4.706822674751649e-12,6.962755436023149e-12,1.0,1,
현금ROE,414,5949,0.685011,0.565784,0.541762,0.537789,0.141,0.551,distress_high,1357023.0,0.0005085889215860825,0.0006763150553006417,1.0,1,
매출원가율,414,5949,0.724631,0.809732,0.606032,0.613512,-0.0048,0.5047,ambiguous,1242999.5,0.7491080614723076,0.7868782158322558,0.0,0,FDR 비유의
판관비율,414,5949,1.990397,0.205305,0.069753,0.00754,0.5223,0.7972,distress_high,1963402.5,3.274722280642588e-91,4.093402850803236e-90,1.0,1,
감가상각비율,414,5949,1.290833,0.099361,0.070578,0.004665,1.1315,0.6907,distress_high,1701141.5,1.2100952725518875e-38,2.130449423506844e-38,1.0,1,
총자산회전율,414,5949,0.092984,0.44565,0.012814,0.306066,-0.7405,0.213,normal_high,524568.5,2.965990522513546e-85,2.8519139639553327e-84,1.0,1,
유동자산회전율,414,5949,0.081029,0.23503,0.012664,0.168106,-0.6313,0.2547,normal_high,627328.5,9.009997998301317e-63,2.39627606337801e-62,1.0,1,
비유동자산회전율,414,5949,0.025398,0.053329,0.000123,0.003426,-0.0284,0.2487,normal_high,612492.0,8.358593945722112e-66,2.3479196476747503e-65,1.0,1,
유형자산회전율,414,5949,0.011467,0.0237,8e-06,0.000478,-0.0531,0.2831,normal_high,697309.0,1.3427273941175384e-49,2.9445776186788123e-49,1.0,1,
자기자본회전율,414,5949,0.144955,0.118287,0.00144,0.047533,0.0373,0.251,normal_high,618186.5,9.222754791136066e-65,2.5337238437186995e-64,1.0,1,
