column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
종업원,454,11343,138.15859,83.133915,24.0,25.0,0.0971,0.4634,ambiguous,2386182.0,0.00800196083254287,0.009304605619235896,1.0,0,방향 불명확 (CLES 0.45~0.55)
부채비율,454,11343,9466.153946,644.343383,342.05158,137.175619,1.0741,0.7111,distress_high,3662027.0,1.0555073720740053e-52,3.1792390725120643e-52,1.0,1,
총부채비율,454,11343,102.75298,60.084104,77.378204,57.83715,0.1787,0.7083,distress_high,3647497.0,2.3783962736314379e-51,6.534055696789664e-51,1.0,1,
장기부채비율,454,11343,2010.484403,150.760799,49.902725,12.79691,0.71,0.6808,distress_high,3506029.5,3.493648642354998e-39,7.594888352945648e-39,1.0,1,
장기부채의존도,454,11343,17.594516,12.474655,7.307755,5.018,0.1616,0.572,distress_high,2945658.5,1.8363505847430403e-07,2.5937155151737856e-07,1.0,1,
차입금의존도,454,11343,62.052059,32.440604,51.306597,27.23585,0.164,0.7072,distress_high,3641793.5,3.7717202647682216e-51,1.0139032969807046e-50,1.0,1,
순차입금비율,454,11343,5528.518174,346.341023,216.686977,45.047871,1.3577,0.7365,distress_high,3792718.0,1.1329335690877787e-65,4.425521754249135e-65,1.0,1,
금융부채비율,454,11343,6578.641718,383.936305,221.186284,63.240389,1.2019,0.7391,distress_high,3806095.5,1.738928658178612e-67,7.245536075744216e-67,1.0,1,
자기자본비율,454,11343,-2.753507,39.915878,22.621796,42.16285,-0.1787,0.2917,normal_high,1502224.0,2.3778902509324648e-51,6.534055696789664e-51,1.0,1,
유보율,454,11343,-297.105195,9962.418157,170.027512,2405.2,-0.2182,0.2674,normal_high,1376796.5,1.2985684186680606e-63,4.7741485980443413e-63,1.0,1,
자본잠식률,454,11343,-642.174135,-10145.739988,-376.219841,-2556.0,0.2067,0.7028,distress_high,3619252.5,8.959335727487072e-49,2.1745960503609396e-48,1.0,1,
유동비율,454,11343,144.141691,331.492798,60.673845,137.027281,-0.0662,0.2465,normal_high,1269564.5,3.659356402956371e-75,1.7261115108284769e-74,1.0,1,
당좌비율_추정,454,11343,114.200827,264.580114,33.653441,95.372697,-0.0535,0.2618,normal_high,1348388.0,1.4102257217572035e-66,5.59613381649684e-66,1.0,1,
현금비율,454,11343,23.840989,77.505755,3.499133,14.864605,-0.0582,0.3084,normal_high,1588194.5,1.0118709446462337e-43,2.299706692377804e-43,1.0,1,
순운전자본비율,454,11343,-42.43734,12.111607,-20.672156,16.000512,-0.2293,0.238,normal_high,1225794.0,3.683220273847574e-80,2.361038637081778e-79,1.0,1,
순운전자본회전율,454,11343,4.897747,21.402509,0.0,3.120716,-0.1038,0.173,normal_high,891152.0,7.363056445665861e-127,2.629663016309236e-125,1.0,1,
금융비용부담률,454,11343,65.240784,3.315753,2.927993,0.547398,0.8333,0.774,distress_high,3985640.0,1.0492847591099228e-87,1.0492847591099229e-86,1.0,1,
비유동비율,454,11343,4373.770906,320.641762,266.954615,83.817777,1.0875,0.7639,distress_high,3933806.0,2.5947735991870156e-81,1.734529107549475e-80,1.0,1,
비유동장기적합률,454,11343,829.883303,108.215698,150.843259,68.137021,1.2762,0.7546,distress_high,3885847.5,8.369755503844107e-76,4.649864168802282e-75,1.0,1,
유형자산비율,454,11343,40.458041,29.567911,37.296587,22.598159,0.388,0.5762,distress_high,2967052.0,3.5518343112594436e-08,5.1327085422824326e-08,1.0,1,
유형자산부채비율,454,11343,72.074601,80.209836,52.613288,47.776032,-0.0176,0.4928,ambiguous,2537805.0,0.6025245220732272,0.6382675021962152,0.0,0,FDR 비유의
ROA,454,11343,-9.50103,2.175097,-3.902998,3.022898,-0.6824,0.1844,normal_high,949554.5,1.7305467119524423e-115,1.9665303544914117e-114,1.0,1,
ROE,454,11343,-28.147522,16.157804,-3.373911,9.521979,-0.1172,0.3386,normal_high,1743671.0,1.557011156994415e-31,2.971395337775601e-31,1.0,1,
ROIC,454,11343,-233.530854,18.122583,-3.107029,5.271406,-0.2146,0.1593,normal_high,820136.5,2.5709291939301633e-134,1.606830746206352e-132,1.0,1,
총자본영업이익률,454,11343,-7.948043,4.515483,-2.208763,4.56549,-0.7944,0.1443,normal_high,743295.5,4.018451578392251e-146,5.023064472990314e-144,1.0,1,
매출총이익률,454,11343,28.804134,24.186019,22.238528,18.082404,0.1989,0.5621,distress_high,2894870.0,6.87946170812804e-06,9.004531031581205e-06,1.0,1,
영업이익률,454,11343,-207.758664,-12.188397,-3.097707,3.121142,-0.19,0.1709,normal_high,879989.0,2.1010534219325215e-125,3.501755703220869e-124,1.0,1,
순이익률,454,11343,-242.561151,-1.255448,-5.468139,1.906127,-0.1045,0.1702,normal_high,876521.5,6.560322830670369e-126,1.490982461515993e-124,1.0,1,
EBITDA마진,454,11343,-190.745113,-9.475341,-1.075201,4.023623,-0.1841,0.2339,normal_high,1204572.0,1.2143446688993074e-82,1.046848852499403e-81,1.0,1,
영업현금흐름비율,454,11343,-100.00808,-48.481567,-2.56856,1.955739,-0.0114,0.2902,normal_high,1494220.0,4.30319065663617e-52,1.280711504951241e-51,1.0,1,
현금ROA,454,11343,-4.950715,2.212841,-1.617249,2.890667,-0.4278,0.3284,normal_high,1691387.0,2.122825636695143e-35,4.4597177241494604e-35,1.0,1,
현금ROE,454,11343,176.597276,26.718842,-0.022479,9.552164,0.2309,0.4432,normal_high,2282499.0,3.967518016439678e-05,5.060609714846528e-05,1.0,1,
매출원가율,454,11343,71.19868,75.816665,77.759667,81.917596,-0.1989,0.4378,normal_high,2254705.0,6.812946858150536e-06,9.004531031581205e-06,1.0,1,
판관비율,454,11343,226.266092,36.772204,32.256496,13.330928,0.1841,0.718,distress_high,3697636.5,4.320490043121218e-56,1.4027565075068888e-55,1.0,1,
감가상각비율,454,11343,15.135462,2.727643,1.985959,0.573218,0.1704,0.7,distress_high,3604877.0,1.72515411684216e-47,4.0307339178555145e-47,1.0,1,
총자산회전율,454,11343,1.559176,2.875869,0.832177,1.431085,-0.1068,0.3525,normal_high,1815064.0,1.2840381864018611e-26,2.3094211985644985e-26,1.0,1,
유동자산회전율,454,11343,4.421925,4.714306,2.22983,2.636848,-0.0198,0.4462,normal_high,2297590.0,9.744933113780593e-05,0.0001224237828364396,1.0,1,
비유동자산회전율,454,11343,21.032596,103.089234,1.533185,4.155014,-0.0263,0.3377,normal_high,1739110.0,7.405045824831026e-32,1.4462980126623096e-31,1.0,1,
유형자산회전율,454,11343,707.950581,925.923709,2.397741,6.419753,-0.013,0.3848,normal_high,1981838.0,7.753000182685699e-17,1.2424679779945032e-16,1.0,1,
자기자본회전율,454,11343,24.235817,22.844289,1.697119,3.256226,0.0014,0.3627,normal_high,1867619.0,2.765341359421404e-23,4.767829930036904e-23,1.0,1,
투하자본회전율,454,11343,10.498827,13.067453,0.905757,2.080848,-0.01,0.3363,normal_high,1731870.0,2.1742387246658415e-32,4.313965723543336e-32,1.0,1,
매출채권회전율,454,11343,337.836714,169.643389,15.129458,10.861729,0.0645,0.5698,distress_high,2934484.5,4.308959720853539e-07,5.951601824383341e-07,1.0,1,
매출채권회수기간,454,11343,391.044229,76.495664,29.737446,39.388157,0.3087,0.4574,ambiguous,2355652.5,0.002062055044823492,0.002454827434313681,1.0,0,방향 불명확 (CLES 0.45~0.55)
재고자산회전율,454,11343,156.417384,242.912212,9.260319,10.944763,-0.0504,0.4681,ambiguous,2410783.5,0.021054100124626926,0.02403436087286179,1.0,0,방향 불명확 (CLES 0.45~0.55)
