column,final_selected,final_VIF,stage,removed_iter,removed_VIF
부채비율_ratio,0,,"STEP_VIF제거 (VIF=63.19, 반복42)",42.0,63.1909
매입채무회전율_ratio_industry,0,,"STEP_VIF제거 (VIF=1125.28, 반복17)",17.0,1125.2835
금융부채비율_diff,0,,"STEP_VIF제거 (VIF=15201.62, 반복7)",7.0,15201.6241
매입채무회전율,1,6.0331,최종 선택,,
순차입금비율_ratio,0,,"STEP_VIF제거 (VIF=770.92, 반복20)",20.0,770.9201
부채비율,0,,"STEP_VIF제거 (VIF=521.41, 반복24)",24.0,521.4113
부채비율_diff_industry,0,,"STEP_VIF제거 (VIF=266137.93, 반복4)",4.0,266137.9344
부채비율_ratio_industry,1,5.4606,최종 선택,,
총자본영업이익률,0,,"STEP_VIF제거 (VIF=25.85, 반복53)",53.0,25.8476
비유동비율_ratio_industry,1,8.9746,최종 선택,,
유보율_diff,0,,"STEP_VIF제거 (VIF=36471032.06, 반복2)",2.0,36471032.0618
금융비용부담률,0,,"STEP_VIF제거 (VIF=1059.10, 반복18)",18.0,1059.0954
유보율,0,,"STEP_VIF제거 (VIF=1829.52, 반복14)",14.0,1829.524
현금전환주기_CCC_diff,1,8.6636,최종 선택,,
자기자본비율_ratio_industry,0,,"STEP_VIF제거 (VIF=4817.98, 반복10)",10.0,4817.9802
EBITDA마진_ratio,0,,"STEP_VIF제거 (VIF=57343.19, 반복5)",5.0,57343.1857
자기자본증가율_diff,0,,"STEP_VIF제거 (VIF=738.00, 반복21)",21.0,737.9977
자기자본증가율,1,7.1066,최종 선택,,
ROE_diff,0,,"STEP_VIF제거 (VIF=318.74, 반복25)",25.0,318.744
EBITDA대매출액_diff_industry,0,,"STEP_VIF제거 (VIF=1836.41, 반복13)",13.0,1836.4115
재고자산회전율_diff_industry,1,8.1839,최종 선택,,
당좌비율_추정_diff,1,3.3317,최종 선택,,
금융부채비율_ratio,0,,"STEP_VIF제거 (VIF=11.06, 반복59)",59.0,11.0604
순운전자본대총자본_ratio_industry,0,,"STEP_VIF제거 (VIF=1259.84, 반복16)",16.0,1259.8383
ROE_ratio,0,,"STEP_VIF제거 (VIF=59.03, 반복44)",44.0,59.0277
매출채권회수기간,0,,"STEP_VIF제거 (VIF=13.60, 반복55)",55.0,13.6049
비유동장기적합률_ratio,1,1.8005,최종 선택,,
