column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
종업원,83,732,183.228916,361.427596,23.0,52.0,-0.113,0.3981,normal_high,24190.0,0.002330279990350343,0.004380225545771321,1.0,1,
부채비율,83,732,0.351106,0.144633,0.023305,0.00857,0.3917,0.6256,distress_high,38006.0,0.00017464141364957782,0.0004322807268553906,1.0,1,
총부채비율,83,732,0.329963,0.178749,0.222414,0.178997,0.587,0.6426,distress_high,39042.0,2.023306933443613e-05,6.402870042543078e-05,1.0,1,
장기부채비율,83,732,0.442885,0.123409,0.010998,0.004821,0.4665,0.6326,distress_high,38433.0,7.389246468241375e-05,0.00020079474098481999,1.0,1,
장기부채의존도,83,732,0.409981,0.181111,0.153844,0.112378,0.4621,0.5604,distress_high,34050.0,0.07085056039679775,0.0957440005362132,0.0,0,FDR 비유의
차입금의존도,83,732,0.644301,0.331783,0.389705,0.35644,0.5442,0.6028,distress_high,36622.0,0.0021037333124793263,0.004141207308030169,1.0,1,
순차입금비율,83,732,0.350775,0.144697,0.020298,0.008665,0.3804,0.6417,distress_high,38986.0,2.2820668182627556e-05,7.131458807071112e-05,1.0,1,
금융부채비율,83,732,0.349486,0.143804,0.020922,0.006556,0.3794,0.6388,distress_high,38809.5,3.2943258162809516e-05,9.804541119883785e-05,1.0,1,
자기자본비율,83,732,0.670034,0.821251,0.777586,0.821003,-0.587,0.3574,normal_high,21712.0,2.0144139587416274e-05,6.402870042543078e-05,1.0,1,
유보율,83,732,-0.115172,0.344551,0.281701,0.288178,-0.5145,0.2737,normal_high,16631.5,1.3533900353655463e-11,1.082773853727316e-10,1.0,1,
자본잠식률,83,732,1.080358,0.666785,0.734182,0.722553,0.491,0.702,distress_high,42653.0,1.5520936300629176e-09,8.818713807175669e-09,1.0,1,
유동비율,83,732,0.113692,0.298588,0.015167,0.024716,-0.057,0.4115,normal_high,25001.0,0.008165426706843002,0.013700380380609063,1.0,1,
당좌비율_추정,83,732,0.111328,0.29206,0.013207,0.020417,-0.0558,0.413,normal_high,25095.0,0.009352155672868274,0.015281300119065809,1.0,1,
