column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
종업원,295,3618,103.4,250.667219,66.0,99.0,-0.1827,0.3844,normal_high,410301.5,3.807704029961614e-11,6.16785115597088e-11,1.0,1,
부채비율,295,3618,1.070097,0.075541,0.045563,0.011731,1.7524,0.7246,distress_high,773338.0,8.969261919397341e-38,3.6624486170872473e-37,1.0,1,
총부채비율,295,3618,0.294418,0.109144,0.151781,0.087455,0.6701,0.7181,distress_high,766412.0,1.0234683941719407e-35,3.7951023494226323e-35,1.0,1,
장기부채비율,295,3618,0.571466,0.075983,0.029435,0.004717,0.8611,0.7018,distress_high,749058.5,7.4099902787494745e-31,1.7289977317082107e-30,1.0,1,
장기부채의존도,295,3618,0.238903,0.119361,0.084041,0.045355,0.4119,0.6126,distress_high,653875.0,1.1471991532759282e-10,1.8280571873339995e-10,1.0,1,
차입금의존도,295,3618,0.402068,0.162873,0.23008,0.048655,0.3328,0.6847,distress_high,730828.5,5.424573587648146e-27,1.1946251945831873e-26,1.0,1,
순차입금비율,295,3618,2.142336,0.190508,0.18072,0.128914,1.8887,0.7121,distress_high,760023.0,7.054088477871766e-34,2.0635840920341285e-33,1.0,1,
금융부채비율,295,3618,2.121447,0.085569,0.066069,0.004352,1.8653,0.7476,distress_high,797879.0,5.867787776108733e-47,3.709956142313909e-46,1.0,1,
자기자본비율,295,3618,0.705584,0.890858,0.84822,0.912546,-0.6701,0.2819,normal_high,300902.0,1.026226655711222e-35,3.7951023494226323e-35,1.0,1,
유보율,295,3618,0.198233,0.261455,0.10607,0.117286,-0.0591,0.2957,normal_high,315551.0,1.441590619107371e-31,3.4457531871346916e-31,1.0,1,
자본잠식률,295,3618,0.779052,0.723403,0.881089,0.869404,0.0512,0.6926,distress_high,739228.5,3.130909769628441e-28,7.0535438488180975e-28,1.0,1,
유동비율,295,3618,0.083758,0.295911,0.027759,0.06965,-0.036,0.2907,normal_high,310306.0,5.06265433092458e-33,1.2886756478717112e-32,1.0,1,
당좌비율_추정,295,3618,0.080482,0.218002,0.02621,0.067813,-0.0947,0.2906,normal_high,310195.0,4.712258688817719e-33,1.2152667144845697e-32,1.0,1,
현금비율,295,3618,0.047797,0.101877,0.009305,0.024288,-0.0469,0.3563,normal_high,380308.5,2.0558245124867736e-16,3.76580938735895e-16,1.0,1,
순운전자본비율,295,3618,0.6099,0.816626,0.747844,0.836417,-0.6554,0.2854,normal_high,304560.0,1.1799262539591851e-34,3.791238455344267e-34,1.0,1,
순운전자본회전율,295,3618,0.034694,0.1002,-1e-06,0.016041,-0.0535,0.2961,normal_high,316031.5,4.36949896055328e-32,1.0705272453355534e-31,1.0,1,
금융비용부담률,295,3618,5.353431,0.52946,0.041941,0.004365,0.2041,0.7897,distress_high,842806.0,5.4863380722827725e-62,5.974012567596797e-61,1.0,1,
비유동비율,295,3618,1.76006,0.086177,0.070881,0.020356,1.8561,0.7256,distress_high,774478.0,4.064426800838806e-38,1.7702836732542354e-37,1.0,1,
비유동장기적합률,295,3618,0.835184,0.195251,0.218602,0.107952,0.379,0.7118,distress_high,759669.0,8.938403987479684e-34,2.5390249007913306e-33,1.0,1,
유형자산비율,295,3618,0.255138,0.234701,0.088683,0.112284,0.0729,0.5024,ambiguous,536267.5,0.8886646638319299,0.8978261552116404,0.0,0,FDR 비유의
유형자산부채비율,295,3618,0.050676,0.092799,0.015275,0.037007,-0.2041,0.4004,normal_high,427353.5,1.2167493618749775e-08,1.7931043227631248e-08,1.0,1,
ROA,295,3618,0.611708,0.785326,0.707062,0.838549,-0.5017,0.1936,normal_high,206611.0,8.521429295991191e-69,1.043875088758921e-67,1.0,1,
ROE,295,3618,0.551082,0.70671,0.643838,0.693263,-0.3021,0.3477,normal_high,371071.0,2.857021071910499e-18,5.436661457227745e-18,1.0,1,
ROIC,295,3618,0.582058,0.87609,0.836523,0.903997,-0.8946,0.1723,normal_high,183852.0,1.4610533883431914e-78,2.8636646411526555e-77,1.0,1,
총자본영업이익률,295,3618,0.556495,0.873156,0.733115,0.926805,-0.7533,0.1552,normal_high,165610.0,1.2589091558381659e-86,4.112436575738008e-85,1.0,1,
매출총이익률,295,3618,0.641029,0.542555,0.877936,0.643231,0.0112,0.5404,ambiguous,576760.0,0.018353407460337003,0.022624326177522344,1.0,0,방향 불명확 (CLES 0.45~0.55)
영업이익률,295,3618,0.224902,0.877884,0.977776,0.991994,-0.1596,0.1382,normal_high,147482.0,3.653174965432812e-95,2.386740977416104e-93,1.0,1,
순이익률,295,3618,0.322824,0.851961,0.952432,0.967437,-0.1497,0.1688,normal_high,180161.0,4.7683203555092115e-80,1.1682384870997567e-78,1.0,1,
EBITDA마진,295,3618,0.298435,0.868548,0.964761,0.977079,-0.1496,0.1897,normal_high,202496.0,1.7581357525710058e-70,2.650727750030132e-69,1.0,1,
영업현금흐름비율,295,3618,-0.350803,0.807519,0.90577,0.922092,-0.1733,0.242,normal_high,258276.5,2.6823441643227282e-49,1.7524648540241823e-48,1.0,1,
현금ROA,295,3618,0.427376,0.617661,0.55714,0.654223,-0.6097,0.2672,normal_high,285205.5,1.846298024758323e-40,8.826205191527593e-40,1.0,1,
현금ROE,295,3618,0.382556,0.478137,0.401268,0.419371,-0.088,0.4609,ambiguous,491933.0,0.02529176843325116,0.03059991736368659,1.0,0,방향 불명확 (CLES 0.45~0.55)
매출원가율,295,3618,0.358939,0.45742,0.122057,0.356814,-0.0112,0.4596,ambiguous,490544.0,0.018337180929556524,0.022624326177522344,1.0,0,방향 불명확 (CLES 0.45~0.55)
판관비율,295,3618,0.772857,0.121253,0.043686,0.01409,0.1633,0.7459,distress_high,796118.0,6.056013583465957e-45,3.391367606740936e-44,1.0,1,
