column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
종업원,2458,16488,18.594793,153.126456,2.0,4.0,-0.2271,0.3522,normal_high,14275344.5,3.505241505874325e-125,6.481389954258186e-125,1.0,1,
부채비율,2458,16488,0.595332,0.444147,0.750337,0.008595,0.0622,0.6452,distress_high,26147853.5,1.801329842087576e-120,3.180726568010494e-120,1.0,1,
총부채비율,2458,16488,2.351967,0.233701,0.28634,0.223777,0.1061,0.7268,distress_high,29455139.5,4.515560127006089e-289,2.6030876026270394e-288,1.0,1,
장기부채비율,2458,16488,0.463275,0.360901,0.701753,0.003473,0.0395,0.6249,distress_high,25325082.0,1.0343384866469149e-89,1.6349221240548008e-89,1.0,1,
장기부채의존도,2458,16488,0.652046,0.227734,0.08183,0.087522,0.082,0.5079,ambiguous,20583949.5,0.2050103033772689,0.2114843129576037,0.0,0,FDR 비유의
차입금의존도,2458,16488,3.318166,0.300392,0.468912,0.283067,0.1185,0.7259,distress_high,29418099.5,1.1110561540718011e-287,5.730710689422973e-287,1.0,1,
순차입금비율,2458,16488,0.729682,0.509182,0.883038,0.010757,0.0676,0.6609,distress_high,26783333.5,1.9222320767255516e-147,3.965868284612717e-147,1.0,1,
금융부채비율,2458,16488,0.753167,0.517266,0.933309,0.00765,0.0731,0.6589,distress_high,26703559.5,2.6381918216759655e-144,5.170855970484893e-144,1.0,1,
자기자본비율,2458,16488,-1.352038,0.766296,0.713658,0.77622,-0.1061,0.2732,normal_high,11072321.5,4.487734733486079e-289,2.6030876026270394e-288,1.0,1,
유보율,2458,16488,0.51808,0.631536,0.598182,0.601583,-0.0939,0.2645,normal_high,10720723.5,0.0,0.0,1.0,1,
자본잠식률,2458,16488,0.471165,0.375142,0.409972,0.407145,0.0792,0.7011,distress_high,28414897.5,8.445036352094122e-228,2.7587118750174133e-227,1.0,1,
유동비율,2458,16488,0.084876,0.096947,0.00327,0.004804,-0.0059,0.3724,normal_high,15092185.5,6.782711894732884e-93,1.0986872160063185e-92,1.0,1,
당좌비율_추정,2458,16488,0.031083,0.078407,0.000797,0.003906,-0.0228,0.3335,normal_high,13516589.0,9.768121288107896e-157,2.2262229912431952e-156,1.0,1,
현금비율,2458,16488,0.013077,0.077244,0.000196,0.001883,-0.0322,0.3092,normal_high,12530834.0,3.083978060204046e-205,8.513516898591451e-205,1.0,1,
순운전자본비율,2458,16488,-1.525308,0.688801,0.639725,0.709483,-0.0999,0.3546,normal_high,14370505.0,4.7543678495281026e-120,8.320143736674179e-120,1.0,1,
순운전자본회전율,2458,16488,0.01724,0.404171,0.0,0.000618,-0.0183,0.3201,normal_high,12972512.5,6.499495094206781e-210,1.8462333890790277e-209,1.0,1,
금융비용부담률,2458,16488,1.656304,0.125133,0.055412,0.001581,0.7514,0.8074,distress_high,32722282.0,0.0,0.0,1.0,1,
비유동비율,2458,16488,0.693172,0.303374,0.860919,0.007315,0.1481,0.6636,distress_high,26892078.0,2.4366529095813467e-152,5.427090571340272e-152,1.0,1,
비유동장기적합률,2458,16488,1.982676,0.44832,0.090603,0.038623,0.0677,0.6602,distress_high,26754432.5,2.6831684618258006e-145,5.366336923651601e-145,1.0,1,
유형자산비율,2458,16488,0.344745,0.290877,0.018835,0.045366,0.1412,0.4889,ambiguous,19814866.0,0.07443672841015564,0.07843870305586294,0.0,0,FDR 비유의
유형자산부채비율,2458,16488,0.091596,0.917644,0.003584,0.018643,-0.0134,0.4545,ambiguous,18420633.0,2.398909654062969e-13,3.1985462054172923e-13,1.0,0,방향 불명확 (CLES 0.45~0.55)
ROA,2458,16488,0.45827,0.509717,0.490767,0.533712,-0.2684,0.2947,normal_high,11944116.5,2.610327432902587e-237,9.653286355639755e-237,1.0,1,
ROE,2458,16488,0.454927,0.383529,0.637236,0.344316,0.0052,0.486,ambiguous,19697460.0,0.024250754336938535,0.02626048535933676,1.0,0,방향 불명확 (CLES 0.45~0.55)
ROIC,2458,16488,0.768302,0.992804,0.895968,0.913623,-0.03,0.3515,normal_high,14243653.0,2.3870771388627106e-125,4.45587732587706e-125,1.0,1,
총자본영업이익률,2458,16488,0.766453,0.870149,0.833829,0.885463,-0.2597,0.325,normal_high,13169441.5,3.9948338873096476e-173,9.66651162855174e-173,1.0,1,
매출총이익률,2458,16488,0.348557,0.4353,0.526961,0.564294,-0.0018,0.4178,normal_high,16932810.0,3.360084750231575e-41,4.842475081216093e-41,1.0,1,
영업이익률,2458,16488,0.465199,0.888608,0.977552,0.991748,-0.3993,0.293,normal_high,11872921.0,6.602005176791345e-242,2.6958187805231326e-241,1.0,1,
순이익률,2458,16488,0.04769,0.84649,0.9333,0.957423,-0.4991,0.2214,normal_high,8973322.5,0.0,0.0,1.0,1,
EBITDA마진,2458,16488,0.483492,0.892859,0.979949,0.991647,-0.3972,0.3196,normal_high,12954135.5,4.3625160462669407e-184,1.1400708600910938e-183,1.0,1,
영업현금흐름비율,2458,16488,0.82581,0.92726,0.9846,0.988883,-0.0999,0.2736,normal_high,11087273.0,6.600413789732996e-289,3.5935586188546316e-288,1.0,1,
현금ROA,2458,16488,0.464036,0.472562,0.483301,0.498189,-0.0492,0.377,normal_high,15277034.5,1.5452031072208822e-86,2.4036492778991503e-86,1.0,1,
현금ROE,2458,16488,0.577761,0.681946,0.755425,0.548186,-0.0471,0.5067,ambiguous,20535988.0,0.2787385137928886,0.2860353335256867,0.0,0,FDR 비유의
매출원가율,2458,16488,0.651053,0.564665,0.47286,0.435809,0.0018,0.5819,distress_high,23583103.0,6.306224406397153e-41,9.022043676305416e-41,1.0,1,
판관비율,2458,16488,0.552338,0.10684,0.021988,0.005434,0.5378,0.741,distress_high,30031901.5,0.0,0.0,1.0,1,
감가상각비율,2458,16488,1.359526,0.234659,0.136932,0.008958,0.2195,0.7222,distress_high,29268767.0,5.557857629028696e-279,2.53334905881308e-278,1.0,1,
총자산회전율,2458,16488,0.029605,0.169906,0.002201,0.025022,-0.2305,0.2863,normal_high,11604952.0,1.254156554690677e-259,5.586697379985742e-259,1.0,1,
유동자산회전율,2458,16488,0.059812,0.163974,0.001687,0.037998,-0.021,0.3386,normal_high,13723049.5,4.892924842393145e-149,1.0424057272924525e-148,1.0,1,
비유동자산회전율,2458,16488,0.018961,0.086542,1.1e-05,0.000185,-0.0549,0.3223,normal_high,13060572.5,8.947895370943354e-181,2.248445503467817e-180,1.0,1,
유형자산회전율,2458,16488,0.008367,0.043392,1e-06,1.2e-05,-0.0861,0.3493,normal_high,14157490.0,3.3420119747482374e-133,6.359556767482083e-133,1.0,1,
자기자본회전율,2458,16488,0.018694,0.150861,0.0,0.006707,-0.0356,0.2967,normal_high,12026115.5,2.204395191829468e-244,9.392640382577733e-244,1.0,1,
투하자본회전율,2458,16488,0.027551,0.400519,0.000625,0.007322,-0.0339,0.3079,normal_high,12477939.5,9.178640352049871e-212,2.725778043942083e-211,1.0,1,
매출채권회전율,2458,16488,0.389384,0.335829,0.641987,0.010717,0.1158,0.478,ambiguous,19373192.0,0.00032613251841291343,0.0003827663090355152,1.0,0,방향 불명확 (CLES 0.45~0.55)
매출채권회수기간,2458,16488,0.984612,0.720473,1.515907,0.045292,0.0107,0.7245,distress_high,29364156.5,8.759082067732763e-297,5.722600284252072e-296,1.0,1,
재고자산회전율,2458,16488,0.175693,1.417972,0.004822,2.489071,-0.6438,0.2787,normal_high,11293857.0,1.9252365215795497e-308,1.572276492623299e-307,1.0,1,
재고자산보유기간,2458,16488,2.120994,0.509089,2.458783,0.679371,0.8454,0.8458,distress_high,34276561.5,0.0,0.0,1.0,1,
매입채무회전율,2458,16488,0.359137,1.753271,0.451544,2.417783,-0.7337,0.2458,normal_high,9962380.5,0.0,0.0,1.0,1,
매입채무지급기간,2458,16488,1.371098,0.592663,1.524138,0.728054,0.8428,0.9014,distress_high,36532631.5,0.0,0.0,1.0,1,
현금전환주기_CCC,2458,16488,1.01257,0.532835,1.063447,0.612128,1.17,0.932,distress_high,37771889.0,0.0,0.0,1.0,1,
영업CF_유동부채,2458,16488,0.559588,0.658242,0.621114,0.628515,-0.0739,0.3085,normal_high,12503190.0,9.171162436561798e-207,2.567925482237303e-206,1.0,1,
영업CF_총부채,2458,16488,0.54713,0.666959,0.560429,0.581953,-0.0402,0.3038,normal_high,12312318.5,5.935054282882818e-217,1.817610374132863e-216,1.0,1,
