column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
종업원,97,1091,51.082474,113.142988,12.0,30.0,-0.107,0.3298,normal_high,34902.5,2.645455646571412e-08,5.9598770888275494e-08,1.0,1,
부채비율,97,1091,0.49649,0.176161,0.01479,0.003704,0.1562,0.701,distress_high,74184.0,4.968136867604646e-11,1.4980843477700162e-10,1.0,1,
총부채비율,97,1091,0.355615,0.194142,0.257714,0.182954,0.4363,0.6858,distress_high,72577.0,1.2611291306351041e-09,3.1288773367655747e-09,1.0,1,
장기부채비율,97,1091,0.227959,0.170411,0.008543,0.002192,0.0216,0.6484,distress_high,68623.0,1.2094797508078895e-06,2.27940414575333e-06,1.0,1,
장기부채의존도,97,1091,0.148611,0.146825,0.075075,0.076299,0.0094,0.5063,ambiguous,53585.5,0.8356937057910937,0.8712551400800764,0.0,0,FDR 비유의
차입금의존도,97,1091,0.369668,0.181078,0.343772,0.155456,0.7308,0.7407,distress_high,78381.5,2.6298072315390035e-15,1.1814779781246023e-14,1.0,1,
순차입금비율,97,1091,0.903726,0.364799,0.0344,0.010578,0.1147,0.7398,distress_high,78286.0,4.530614381201274e-15,1.889362593011595e-14,1.0,1,
금융부채비율,97,1091,0.796283,0.323884,0.025599,0.004082,0.1132,0.7392,distress_high,78226.0,4.292302554397234e-15,1.828894131873604e-14,1.0,1,
자기자본비율,97,1091,0.644389,0.805861,0.742314,0.81705,-0.4362,0.3142,normal_high,33249.0,1.2587054525863461e-09,3.1288773367655747e-09,1.0,1,
유보율,97,1091,0.270009,0.376776,0.260973,0.271205,-0.2202,0.2687,normal_high,28435.0,4.0547167995568375e-14,1.5894489854262802e-13,1.0,1,
자본잠식률,97,1091,0.575688,0.440635,0.592328,0.580248,0.2181,0.6532,distress_high,69122.0,5.577251085438693e-07,1.082318032421766e-06,1.0,1,
유동비율,97,1091,0.064449,0.082404,0.004181,0.014251,-0.0561,0.3429,normal_high,36293.0,2.858556019709026e-07,5.659363432959284e-07,1.0,1,
당좌비율_추정,97,1091,0.063073,0.080239,0.003669,0.012194,-0.0535,0.3338,normal_high,35320.0,5.540798869408918e-08,1.206662864893498e-07,1.0,1,
현금비율,97,1091,0.021008,0.032773,0.000476,0.004658,-0.0681,0.2716,normal_high,28740.5,8.33715997655857e-14,3.08317614227449e-13,1.0,1,
순운전자본비율,97,1091,0.600027,0.754208,0.686551,0.766486,-0.5001,0.3383,normal_high,35801.0,1.260626023648189e-07,2.628539368457926e-07,1.0,1,
순운전자본회전율,97,1091,0.017124,0.203424,-1e-06,-1e-06,-0.1359,0.3954,normal_high,41842.5,8.279039932441088e-05,0.00014360104661579234,1.0,1,
금융비용부담률,97,1091,10.064226,0.1205,0.123242,0.012098,1.6331,0.8019,distress_high,84864.0,4.2623800770368114e-23,7.594786319083772e-22,1.0,1,
비유동비율,97,1091,0.515725,0.181255,0.016137,0.004074,0.1397,0.7138,distress_high,75535.0,2.7623722282985957e-12,8.875818963057784e-12,1.0,1,
비유동장기적합률,97,1091,0.640289,0.639301,0.045647,0.024675,0.0001,0.6693,distress_high,70834.0,3.1272387227806253e-08,6.965213518920484e-08,1.0,1,
유형자산비율,97,1091,0.627886,0.560997,0.729186,0.676092,0.1821,0.5655,distress_high,59842.5,0.03237949067984735,0.042880947116554595,1.0,1,
유형자산부채비율,97,1091,0.152553,0.217465,0.115093,0.128158,-0.0992,0.4444,normal_high,47030.0,0.06924504691073495,0.08482518246565032,0.0,0,FDR 비유의
ROA,97,1091,0.647161,0.763375,0.70908,0.770807,-0.6339,0.1987,normal_high,21026.0,7.032072738879898e-23,9.844901834431856e-22,1.0,1,
ROE,97,1091,0.578008,0.590631,0.529363,0.543241,-0.0606,0.3692,normal_high,39071.0,1.878920240188101e-05,3.409892287748776e-05,1.0,1,
ROIC,97,1091,0.731923,0.931625,0.897508,0.932029,-0.1741,0.2277,normal_high,24092.0,5.348925984498987e-19,4.368289554007506e-18,1.0,1,
총자본영업이익률,97,1091,0.770139,0.96532,0.859141,0.960179,-0.6933,0.1815,normal_high,19207.5,2.255277678324323e-25,7.41518841175899e-24,1.0,1,
매출총이익률,97,1091,0.558588,0.738714,0.898081,0.793489,-0.604,0.5011,ambiguous,53030.0,0.9711462588513965,0.9763764032007737,0.0,0,FDR 비유의
영업이익률,97,1091,0.308657,0.9122,0.955147,0.975229,-1.316,0.2006,normal_high,21227.0,1.294502905199518e-22,1.5857660588694096e-21,1.0,1,
순이익률,97,1091,-0.663381,0.834779,0.88186,0.899068,-1.4866,0.2023,normal_high,21404.0,2.219016285664271e-22,2.5583952470011595e-21,1.0,1,
EBITDA마진,97,1091,0.247943,0.907181,0.9492,0.966581,-1.3815,0.2753,normal_high,29139.0,2.0987241836109306e-13,7.617591481254489e-13,1.0,1,
영업현금흐름비율,97,1091,-0.650522,0.861422,0.888288,0.900141,-1.5582,0.242,normal_high,25605.0,3.346432840345934e-17,1.8219467686327864e-16,1.0,1,
현금ROA,97,1091,0.540141,0.669359,0.600033,0.659906,-0.6172,0.2321,normal_high,24561.0,2.0276903187701325e-18,1.4193832231390926e-17,1.0,1,
현금ROE,97,1091,0.38734,0.350181,0.258399,0.265367,0.1361,0.4019,normal_high,42534.0,0.001335047319519619,0.0020933541970067624,1.0,1,
매출원가율,97,1091,0.441347,0.261251,0.101905,0.206503,0.6039,0.4989,ambiguous,52798.0,0.9713948909395453,0.9763764032007737,0.0,0,FDR 비유의
판관비율,97,1091,1.041188,0.121807,0.094197,0.037688,1.3986,0.7653,distress_high,80989.0,4.295809124418417e-18,2.7160599625355156e-17,1.0,1,
감가상각비율,97,1091,0.458084,0.163378,0.188156,0.05269,0.4539,0.762,distress_high,80638.0,1.1064213706395364e-17,6.37819378368674e-17,1.0,1,
총자산회전율,97,1091,0.078049,0.174281,0.020236,0.052289,-0.2267,0.3036,normal_high,32129.0,1.3543874782780992e-10,3.9038227315074624e-10,1.0,1,
유동자산회전율,97,1091,0.077612,0.084708,0.02204,0.045044,-0.0436,0.4336,normal_high,45883.0,0.029868970534483605,0.03982529404597814,1.0,1,
비유동자산회전율,97,1091,0.05245,0.082474,0.001441,0.003734,-0.0671,0.3092,normal_high,32718.0,4.4045400195422914e-10,1.2159011884933648e-09,1.0,1,
유형자산회전율,97,1091,0.016435,0.228301,0.000329,0.00102,-0.1103,0.311,normal_high,32911.0,6.387385951675677e-10,1.7149693788060724e-09,1.0,1,
자기자본회전율,97,1091,0.011256,0.050583,0.002366,0.008641,-0.1923,0.3413,normal_high,36114.0,1.9465437194553342e-07,3.933222360961294e-07,1.0,1,
투하자본회전율,97,1091,0.017534,0.158793,0.004512,0.01408,-0.0813,0.3203,normal_high,33898.0,3.99505017649832e-09,9.549144324313056e-09,1.0,1,
매출채권회전율,97,1091,0.343995,0.417794,0.014662,0.025793,-0.1067,0.4226,normal_high,44723.0,0.010925473573051033,0.015538741970193498,1.0,1,
매출채권회수기간,97,1091,0.283616,0.321076,0.084729,0.026524,-0.0795,0.5749,distress_high,60844.0,0.013689260923529524,0.019164965292941333,1.0,1,
재고자산회전율,97,1091,0.731267,0.692835,1.354542,0.127454,0.0489,0.3727,normal_high,39446.5,1.752274455971913e-05,3.2097737698177095e-05,1.0,1,
재고자산보유기간,97,1091,0.888693,0.339806,1.188326,0.638904,1.4911,0.7985,distress_high,84506.0,7.586606467029962e-25,2.1242498107683892e-23,1.0,1,
매입채무회전율,97,1091,0.706962,0.483322,1.164147,0.50734,0.469,0.6679,distress_high,70683.5,8.12348821349474e-09,1.9183176986083964e-08,1.0,1,
매입채무지급기간,97,1091,0.854908,0.715103,1.050244,1.157228,0.222,0.3782,normal_high,40025.0,1.5425787232956898e-05,2.8523153751505208e-05,1.0,1,
현금전환주기_CCC,97,1091,1.468913,0.656239,1.716812,0.875157,1.4323,0.827,distress_high,87517.0,2.4681511617354438e-34,4.83757627700147e-32,1.0,1,
영업CF_유동부채,97,1091,0.193462,0.271522,0.200197,0.213785,-0.2615,0.2081,normal_high,22023.0,1.4346034586627757e-21,1.4059113894895202e-20,1.0,1,
영업CF_총부채,97,1091,0.415664,0.835242,0.476412,0.572011,-0.4653,0.1929,normal_high,20410.0,1.0411188995315479e-23,2.0405930430818338e-22,1.0,1,
FCF_총자산,97,1091,0.4267,0.502894,0.480222,0.509678,-0.426,0.2879,normal_high,30466.5,4.153286609351928e-12,1.3129744765048031e-11,1.0,1,
매출액증가율,97,1091,0.192711,0.108396,0.077506,0.076956,0.1742,0.5305,ambiguous,56136.0,0.3195235036544747,0.3662374661770587,0.0,0,FDR 비유의
영업이익증가율,97,1091,0.347744,0.356319,0.363133,0.363133,-0.0232,0.4367,normal_high,46211.0,0.03802605719819353,0.04903360007135482,1.0,1,
순이익증가율,97,1091,0.721885,0.735245,0.719675,0.719675,-0.0627,0.4593,ambiguous,48610.0,0.18175136557111282,0.21459799790324166,0.0,0,FDR 비유의
EBITDA증가율,97,1091,0.522197,0.45624,0.453135,0.453135,0.1205,0.4319,normal_high,45702.0,0.02575245614238132,0.03481021657866716,1.0,1,
총자산증가율,97,1091,0.221781,0.24115,0.208449,0.217095,-0.1308,0.3906,normal_high,41334.0,0.00034906831831966984,0.0005701449199221275,1.0,1,
유형자산증가율,97,1091,0.724825,0.617095,0.250754,0.251106,0.0133,0.4806,ambiguous,50862.5,0.5265294445507068,0.5670317095161458,0.0,0,FDR 비유의
자기자본증가율,97,1091,7.313819,0.518363,0.454875,0.474462,0.3531,0.2681,normal_high,28370.0,3.431825900658583e-14,1.3727303602634332e-13,1.0,1,
부채증가율,97,1091,0.241556,0.395762,0.22137,0.210947,-0.0407,0.585,distress_high,61911.0,0.005461433093191115,0.008297991366398904,1.0,1,
