,FeatureSet,FeatureFile,N_Features,Method,SMOTE_Ratio,Model,Weighted_Score,Test_F1,Test_Recall,Test_PR_AUC,Test_ROC_AUC,Gap_F1,Gap_Recall,Gap_PR_AUC,Gap_ROC_AUC
1,top65_dedup47,lasso_features_top65--47.csv,47,ClassWeight,-,LogisticRegression,0.41,0.3812206572769953,0.688135593220339,0.3160843875396255,0.8159873888560961,-0.1633261532302128,0.0044539324219249,-0.133580646145563,0.0188726044562795
2,top55_dedup42,lasso_features_top55--42.csv,42,ClassWeight,-,LogisticRegression,0.4075,0.3707052441229656,0.6949152542372882,0.3146115049240367,0.8162192802466013,-0.150517916970773,0.0027333463169919,-0.1456910625116816,0.0071710035930306
3,top60_dedup45,lasso_features_top60--45.csv,45,ClassWeight,-,LogisticRegression,0.4056,0.3709090909090909,0.6915254237288135,0.3121256401632655,0.8141922215663677,-0.151680142187682,0.0126327293644308,-0.1318216337916712,0.018341656917843
4,top60_dedup45,lasso_features_top60--45.csv,45,ClassWeight,-,RandomForest,0.39,0.3902439024390244,0.8135593220338984,0.2205245296728277,0.8579044513777626,-0.0951045428572338,0.064786376103889,0.0958755028277367,0.0659562247737792
5,top65_dedup47,lasso_features_top65--47.csv,47,ClassWeight,-,RandomForest,0.3756,0.3840399002493765,0.7830508474576271,0.2075020663642914,0.8517497259465385,-0.0891950497337872,0.0851941180794277,0.1217231628190429,0.0721698577218269
6,top55_dedup42,lasso_features_top55--42.csv,42,ClassWeight,-,RandomForest,0.3721,0.3818181818181818,0.7830508474576271,0.2019595807453679,0.8477771219233401,-0.0850871967562,0.0513349369180152,0.123046718335303,0.0721697984012826
7,top65_dedup47,lasso_features_top65--47.csv,47,BorderlineSMOTE,0.1,LogisticRegression,0.3696,0.4087102177554438,0.4135593220338983,0.3284698892597556,0.8248301805473577,-0.210587742835892,-0.1837000467588015,-0.1442160364664617,-0.0206339578263732
8,top60_dedup45,lasso_features_top60--45.csv,45,,-,LogisticRegression,0.3631,0.4159445407279029,0.4067796610169492,0.3138996659567344,0.8145894819686877,-0.2717746003837215,-0.2768644685916147,-0.1286014247285532,-0.0065466042276879
9,top65_dedup47,lasso_features_top65--47.csv,47,,-,LogisticRegression,0.3594,0.4119718309859155,0.3966101694915254,0.3130168234731403,0.8150996430277989,-0.2714887350162474,-0.270663231034445,-0.1250670401472751,-0.0068348274973422
10,top65_dedup47,lasso_features_top65--47.csv,47,CTGAN,0.1,LogisticRegression,0.3593,0.3987034035656402,0.4169491525423728,0.3126809549348022,0.8124654505251521,-0.2485164400186313,-0.2761796183803437,-0.1295391412295491,-0.0295584124406877
