회사명,사업자등록번호,회계년도,y_true,y_prob,y_pred,correct,error_type
(주)모토닉,1018102940,2014,0,1e-04,0,1,TN
(주)모토닉,1018102940,2015,0,0.0002,0,1,TN
(주)모토닉,1018102940,2016,0,0.0029,0,1,TN
(주)모토닉,1018102940,2017,0,0.0009,0,1,TN
(주)모토닉,1018102940,2018,0,1e-04,0,1,TN
(주)모토닉,1018102940,2019,0,1e-04,0,1,TN
(주)모토닉,1018102940,2020,0,0.0004,0,1,TN
(주)모토닉,1018102940,2021,0,1e-04,0,1,TN
(주)모토닉,1018102940,2022,0,1e-04,0,1,TN
(주)모토닉,1018102940,2023,0,0.0002,0,1,TN
(주)모토닉,1018102940,2024,0,0.0009,0,1,TN
현대자동차(주),1018109147,2014,0,0.0006,0,1,TN
현대자동차(주),1018109147,2015,0,0.001,0,1,TN
현대자동차(주),1018109147,2016,0,0.0025,0,1,TN
현대자동차(주),1018109147,2017,0,0.0019,0,1,TN
현대자동차(주),1018109147,2018,0,0.0014,0,1,TN
현대자동차(주),1018109147,2019,0,0.0223,0,1,TN
현대자동차(주),1018109147,2020,0,0.0015,0,1,TN
현대자동차(주),1018109147,2021,0,0.0014,0,1,TN
현대자동차(주),1018109147,2022,0,0.0009,0,1,TN
현대자동차(주),1018109147,2023,0,0.0014,0,1,TN
현대자동차(주),1018109147,2024,0,0.0004,0,1,TN
현대모비스(주),1018116406,2014,0,0.0004,0,1,TN
현대모비스(주),1018116406,2015,0,0.0004,0,1,TN
현대모비스(주),1018116406,2016,0,0.0005,0,1,TN
현대모비스(주),1018116406,2017,0,0.0003,0,1,TN
현대모비스(주),1018116406,2018,0,0.0004,0,1,TN
현대모비스(주),1018116406,2019,0,0.0002,0,1,TN
현대모비스(주),1018116406,2020,0,1e-04,0,1,TN
현대모비스(주),1018116406,2021,0,0.0007,0,1,TN
현대모비스(주),1018116406,2022,0,0.0003,0,1,TN
현대모비스(주),1018116406,2023,0,0.0003,0,1,TN
현대모비스(주),1018116406,2024,0,0.0006,0,1,TN
삼표레일웨이주식회사,1018684739,2014,0,0.0002,0,1,TN
삼표레일웨이주식회사,1018684739,2015,0,0.0007,0,1,TN
삼표레일웨이주식회사,1018684739,2016,0,0.0009,0,1,TN
삼표레일웨이주식회사,1018684739,2017,0,0.0017,0,1,TN
삼표레일웨이주식회사,1018684739,2018,0,0.0018,0,1,TN
삼표레일웨이주식회사,1018684739,2019,0,0.0006,0,1,TN
삼표레일웨이주식회사,1018684739,2020,0,0.0003,0,1,TN
삼표레일웨이주식회사,1018684739,2021,0,0.0012,0,1,TN
삼표레일웨이주식회사,1018684739,2022,0,1e-04,0,1,TN
삼표레일웨이주식회사,1018684739,2023,0,0.0004,0,1,TN
삼표레일웨이주식회사,1018684739,2024,0,0.0012,0,1,TN
주식회사더밴,1028129767,2015,0,0.039,0,1,TN
주식회사더밴,1028129767,2016,0,0.4013,1,0,FP
주식회사더밴,1028129767,2017,1,0.9767,1,1,TP
대원강업(주),1048115560,2014,0,0.0005,0,1,TN
대원강업(주),1048115560,2015,0,0.0009,0,1,TN
대원강업(주),1048115560,2016,0,0.0007,0,1,TN
대원강업(주),1048115560,2017,0,0.0014,0,1,TN
대원강업(주),1048115560,2018,0,0.0004,0,1,TN
대원강업(주),1048115560,2019,0,0.0026,0,1,TN
대원강업(주),1048115560,2020,0,0.0535,0,1,TN
대원강업(주),1048115560,2021,0,0.1889,1,0,FP
대원강업(주),1048115560,2022,0,0.0784,0,1,TN
대원강업(주),1048115560,2023,0,0.002,0,1,TN
대원강업(주),1048115560,2024,0,0.0053,0,1,TN
한국유미코아촉매주식회사,1048125409,2014,0,0.0006,0,1,TN
한국유미코아촉매주식회사,1048125409,2015,0,0.0007,0,1,TN
한국유미코아촉매주식회사,1048125409,2016,0,0.0009,0,1,TN
한국유미코아촉매주식회사,1048125409,2017,0,0.001,0,1,TN
한국유미코아촉매주식회사,1048125409,2018,0,0.0308,0,1,TN
한국유미코아촉매주식회사,1048125409,2019,0,0.0445,0,1,TN
한국유미코아촉매주식회사,1048125409,2020,0,0.0014,0,1,TN
한국유미코아촉매주식회사,1048125409,2021,0,0.0015,0,1,TN
한화오션(주),1048157667,2014,0,0.5805,1,0,FP
한화오션(주),1048157667,2015,0,0.1064,0,1,TN
한화오션(주),1048157667,2016,1,0.9925,1,1,TP
(주)네오오토,1048625573,2014,0,0.0011,0,1,TN
(주)네오오토,1048625573,2015,0,0.0008,0,1,TN
(주)네오오토,1048625573,2016,0,1e-04,0,1,TN
(주)네오오토,1048625573,2017,0,0.0037,0,1,TN
(주)네오오토,1048625573,2018,0,0.0047,0,1,TN
(주)네오오토,1048625573,2019,0,0.1604,0,1,TN
(주)네오오토,1048625573,2020,0,0.0019,0,1,TN
(주)네오오토,1048625573,2021,0,0.0013,0,1,TN
(주)네오오토,1048625573,2022,0,0.0005,0,1,TN
(주)네오오토,1048625573,2023,0,0.0005,0,1,TN
(주)네오오토,1048625573,2024,0,0.0007,0,1,TN
주식회사세웅기업,1048802176,2022,0,0.0003,0,1,TN
주식회사세웅기업,1048802176,2023,0,1e-04,0,1,TN
주식회사세웅기업,1048802176,2024,0,0.0006,0,1,TN
에스앤티다이내믹스(주),1058132752,2014,0,0.0669,0,1,TN
에스앤티다이내믹스(주),1058132752,2015,0,0.0008,0,1,TN
에스앤티다이내믹스(주),1058132752,2016,0,0.0032,0,1,TN
에스앤티다이내믹스(주),1058132752,2017,0,0.2396,1,0,FP
에스앤티다이내믹스(주),1058132752,2018,0,0.0036,0,1,TN
에스앤티다이내믹스(주),1058132752,2019,0,0.0016,0,1,TN
에스앤티다이내믹스(주),1058132752,2020,0,0.0007,0,1,TN
에스앤티다이내믹스(주),1058132752,2021,0,0.0006,0,1,TN
에스앤티다이내믹스(주),1058132752,2022,0,0.0008,0,1,TN
에스앤티다이내믹스(주),1058132752,2023,0,0.0004,0,1,TN
에스앤티다이내믹스(주),1058132752,2024,0,0.0011,0,1,TN
파이오락스(주),1058179567,2014,0,0.0007,0,1,TN
파이오락스(주),1058179567,2015,0,0.0004,0,1,TN
파이오락스(주),1058179567,2016,0,0.0006,0,1,TN
파이오락스(주),1058179567,2017,0,0.001,0,1,TN
파이오락스(주),1058179567,2018,0,1e-04,0,1,TN
파이오락스(주),1058179567,2019,0,1e-04,0,1,TN
파이오락스(주),1058179567,2020,0,0.0004,0,1,TN
파이오락스(주),1058179567,2021,0,0.0002,0,1,TN
파이오락스(주),1058179567,2022,0,0.0002,0,1,TN
파이오락스(주),1058179567,2023,0,0.0004,0,1,TN
파이오락스(주),1058179567,2024,0,0.0003,0,1,TN
(주)셀맥인터내셔날,1058738331,2014,0,1e-04,0,1,TN
(주)셀맥인터내셔날,1058738331,2015,0,0.0008,0,1,TN
(주)셀맥인터내셔날,1058738331,2016,0,0.0004,0,1,TN
(주)셀맥인터내셔날,1058738331,2017,0,0.0004,0,1,TN
(주)셀맥인터내셔날,1058738331,2018,0,0.0003,0,1,TN
(주)셀맥인터내셔날,1058738331,2019,0,0.0004,0,1,TN
(주)셀맥인터내셔날,1058738331,2020,0,0.0288,0,1,TN
(주)셀맥인터내셔날,1058738331,2021,0,0.4861,1,0,FP
(주)셀맥인터내셔날,1058738331,2022,0,0.0037,0,1,TN
(주)셀맥인터내셔날,1058738331,2023,0,0.0072,0,1,TN
(주)셀맥인터내셔날,1058738331,2024,0,0.0032,0,1,TN
(주)고려차량,1068103736,2022,0,0.0003,0,1,TN
(주)고려차량,1068103736,2023,0,0.0004,0,1,TN
(주)고려차량,1068103736,2024,0,0.0023,0,1,TN
케이비아이동국실업(주),1068112972,2014,0,0.0547,0,1,TN
케이비아이동국실업(주),1068112972,2015,0,0.0094,0,1,TN
