회사명,사업자등록번호,회계년도,y_true,y_prob,y_pred,correct,error_type
삼환기업(주),1018100452,2015,0,0.1681,0,1,TN
삼환기업(주),1018100452,2016,0,0.8463,1,0,FP
삼환기업(주),1018100452,2017,1,0.8384,1,1,TP
현대건설(주),1018116293,2014,0,0.0321,0,1,TN
현대건설(주),1018116293,2015,0,0.0312,0,1,TN
현대건설(주),1018116293,2016,0,0.0331,0,1,TN
현대건설(주),1018116293,2017,0,0.0391,0,1,TN
현대건설(주),1018116293,2018,0,0.0692,0,1,TN
현대건설(주),1018116293,2019,0,0.0462,0,1,TN
현대건설(주),1018116293,2020,0,0.0855,0,1,TN
현대건설(주),1018116293,2021,0,0.0379,0,1,TN
현대건설(주),1018116293,2022,0,0.0642,0,1,TN
현대건설(주),1018116293,2023,0,0.0486,0,1,TN
현대건설(주),1018116293,2024,0,0.398,0,1,TN
구산토건(주),1018122169,2014,0,0.0622,0,1,TN
구산토건(주),1018122169,2015,0,0.0437,0,1,TN
구산토건(주),1018122169,2016,0,0.0605,0,1,TN
구산토건(주),1018122169,2017,0,0.0685,0,1,TN
구산토건(주),1018122169,2018,0,0.0365,0,1,TN
구산토건(주),1018122169,2019,0,0.102,0,1,TN
구산토건(주),1018122169,2020,0,0.091,0,1,TN
구산토건(주),1018122169,2021,0,0.0924,0,1,TN
구산토건(주),1018122169,2022,0,0.1034,0,1,TN
구산토건(주),1018122169,2023,0,0.0634,0,1,TN
구산토건(주),1018122169,2024,0,0.3024,0,1,TN
진호실업주식회사,1018132274,2014,0,0.1716,0,1,TN
에스케이에코플랜트(주),1018134928,2014,0,0.3693,0,1,TN
에스케이에코플랜트(주),1018134928,2015,0,0.1288,0,1,TN
에스케이에코플랜트(주),1018134928,2016,0,0.05,0,1,TN
에스케이에코플랜트(주),1018134928,2017,0,0.0975,0,1,TN
에스케이에코플랜트(주),1018134928,2018,0,0.092,0,1,TN
에스케이에코플랜트(주),1018134928,2019,0,0.0651,0,1,TN
에스케이에코플랜트(주),1018134928,2020,0,0.1455,0,1,TN
에스케이에코플랜트(주),1018134928,2021,0,0.1127,0,1,TN
에스케이에코플랜트(주),1018134928,2022,0,0.1666,0,1,TN
에스케이에코플랜트(주),1018134928,2023,1,0.533,1,1,TP
주식회사아이티에스컨버젼스,1018150869,2022,0,0.1679,0,1,TN
주식회사아이티에스컨버젼스,1018150869,2023,0,0.2525,0,1,TN
