회사명,사업자등록번호,회계년도,y_true,y_prob,y_pred,correct,error_type
주식회사초록뱀엔터테인먼트,1018184336,2014,0,0.0421,0,1,TN
주식회사초록뱀엔터테인먼트,1018184336,2015,0,0.0842,0,1,TN
주식회사초록뱀엔터테인먼트,1018184336,2016,0,0.057,0,1,TN
주식회사초록뱀엔터테인먼트,1018184336,2017,0,0.2639,0,1,TN
주식회사초록뱀엔터테인먼트,1018184336,2018,0,0.0668,0,1,TN
주식회사초록뱀엔터테인먼트,1018184336,2019,0,0.2111,0,1,TN
주식회사초록뱀엔터테인먼트,1018184336,2020,0,0.4094,1,0,FP
주식회사초록뱀엔터테인먼트,1018184336,2021,0,0.5275,1,0,FP
주식회사초록뱀엔터테인먼트,1018184336,2022,1,0.4571,1,1,TP
(주)예감,1018192928,2014,0,0.7809,1,0,FP
주식회사현진시닝,1018626646,2016,0,0.1017,0,1,TN
주식회사현진시닝,1018626646,2017,0,0.0498,0,1,TN
주식회사현진시닝,1018626646,2018,0,0.0522,0,1,TN
주식회사현진시닝,1018626646,2019,0,0.0388,0,1,TN
주식회사현진시닝,1018626646,2020,0,0.3457,0,1,TN
주식회사현진시닝,1018626646,2021,0,0.3509,0,1,TN
주식회사현진시닝,1018626646,2022,0,0.1187,0,1,TN
주식회사현진시닝,1018626646,2023,0,0.3088,0,1,TN
주식회사현진시닝,1018626646,2024,0,0.1251,0,1,TN
유진비디에스주식회사,1018633676,2014,0,0.1479,0,1,TN
유진비디에스주식회사,1018633676,2015,0,0.0908,0,1,TN
유진비디에스주식회사,1018633676,2016,0,0.0647,0,1,TN
유진비디에스주식회사,1018633676,2017,0,0.0595,0,1,TN
유진비디에스주식회사,1018633676,2018,0,0.1619,0,1,TN
유진비디에스주식회사,1018633676,2019,0,0.5614,1,0,FP
(주)연타운,1018644979,2016,0,0.126,0,1,TN
(주)연타운,1018644979,2017,0,0.4708,1,0,FP
(주)연타운,1018644979,2018,0,0.3109,0,1,TN
(주)연타운,1018644979,2019,0,0.3022,0,1,TN
더케이예다함(주),1018649300,2014,0,0.3501,0,1,TN
더케이예다함(주),1018649300,2015,0,0.2949,0,1,TN
더케이예다함(주),1018649300,2016,0,0.2952,0,1,TN
더케이예다함(주),1018649300,2017,0,0.3069,0,1,TN
더케이예다함(주),1018649300,2018,0,0.2773,0,1,TN
더케이예다함(주),1018649300,2019,0,0.2943,0,1,TN
더케이예다함(주),1018649300,2020,0,0.3023,0,1,TN
더케이예다함(주),1018649300,2021,0,0.3361,0,1,TN
더케이예다함(주),1018649300,2022,0,0.3272,0,1,TN
더케이예다함(주),1018649300,2023,0,0.3583,0,1,TN
더케이예다함(주),1018649300,2024,0,0.3275,0,1,TN
유진레저주식회사,1018653110,2015,0,0.1179,0,1,TN
유진레저주식회사,1018653110,2016,0,0.0646,0,1,TN
유진레저주식회사,1018653110,2017,0,0.0462,0,1,TN
유진레저주식회사,1018653110,2018,0,0.0495,0,1,TN
유진레저주식회사,1018653110,2019,0,0.0504,0,1,TN
유진레저주식회사,1018653110,2020,0,0.0425,0,1,TN
유진레저주식회사,1018653110,2021,0,0.037,0,1,TN
유진레저주식회사,1018653110,2022,0,0.0518,0,1,TN
유진레저주식회사,1018653110,2023,0,0.0599,0,1,TN
유진레저주식회사,1018653110,2024,0,0.0548,0,1,TN
천룡종합개발(주),1028125209,2014,0,0.2546,0,1,TN
천룡종합개발(주),1028125209,2015,0,0.4791,1,0,FP
천룡종합개발(주),1028125209,2016,0,0.5597,1,0,FP
천룡종합개발(주),1028125209,2017,0,0.514,1,0,FP
천룡종합개발(주),1028125209,2018,0,0.592,1,0,FP
천룡종합개발(주),1028125209,2019,0,0.2245,0,1,TN
천룡종합개발(주),1028125209,2020,0,0.2097,0,1,TN
천룡종합개발(주),1028125209,2021,0,0.1862,0,1,TN
천룡종합개발(주),1028125209,2022,0,0.2022,0,1,TN
천룡종합개발(주),1028125209,2023,0,0.1807,0,1,TN
천룡종합개발(주),1028125209,2024,0,0.1973,0,1,TN
주식회사석파문화원,1028140097,2014,1,0.4046,1,1,TP
농업회사법인주식회사여울,1028700457,2016,0,0.1586,0,1,TN
농업회사법인주식회사여울,1028700457,2017,0,0.6835,1,0,FP
농업회사법인주식회사여울,1028700457,2018,1,0.7935,1,1,TP
(주)피렌체,1038800480,2017,0,0.1623,0,1,TN
(주)피렌체,1038800480,2018,0,0.647,1,0,FP
(주)피렌체,1038800480,2019,0,0.7359,1,0,FP
(주)피렌체,1038800480,2020,0,0.7654,1,0,FP
(주)피렌체,1038800480,2021,1,0.7325,1,1,TP
(주)피엠씨프러덕션,1048140579,2014,0,0.0403,0,1,TN
(주)피엠씨프러덕션,1048140579,2015,0,0.0944,0,1,TN
(주)피엠씨프러덕션,1048140579,2016,0,0.0518,0,1,TN
(주)피엠씨프러덕션,1048140579,2017,0,0.5068,1,0,FP
(주)피엠씨프러덕션,1048140579,2018,0,0.0347,0,1,TN
(주)피엠씨프러덕션,1048140579,2019,0,0.0346,0,1,TN
(주)피엠씨프러덕션,1048140579,2020,0,0.6211,1,0,FP
(주)피엠씨프러덕션,1048140579,2021,0,0.5213,1,0,FP
(주)피엠씨프러덕션,1048140579,2022,0,0.0803,0,1,TN
(주)피엠씨프러덕션,1048140579,2023,0,0.0402,0,1,TN
(주)피엠씨프러덕션,1048140579,2024,0,0.0444,0,1,TN
(주)대우전자서비스,1048142785,2014,0,0.2576,0,1,TN
(주)대우전자서비스,1048142785,2015,0,0.119,0,1,TN
(주)대우전자서비스,1048142785,2016,0,0.2057,0,1,TN
(주)대우전자서비스,1048142785,2017,0,0.067,0,1,TN
(주)대우전자서비스,1048142785,2018,0,0.08,0,1,TN
(주)교원투어,1048148192,2014,0,0.1787,0,1,TN
(주)교원투어,1048148192,2015,0,0.5976,1,0,FP
(주)교원투어,1048148192,2016,0,0.3752,0,1,TN
(주)교원투어,1048148192,2017,0,0.215,0,1,TN
(주)교원투어,1048148192,2018,0,0.2607,0,1,TN
(주)교원투어,1048148192,2019,0,0.0599,0,1,TN
(주)교원투어,1048148192,2020,0,0.6102,1,0,FP
(주)교원투어,1048148192,2021,0,0.6007,1,0,FP
(주)교원투어,1048148192,2022,1,0.7353,1,1,TP
그랜드코리아레저(주),1048196184,2014,0,0.0408,0,1,TN
그랜드코리아레저(주),1048196184,2015,0,0.0373,0,1,TN
그랜드코리아레저(주),1048196184,2016,0,0.0492,0,1,TN
그랜드코리아레저(주),1048196184,2017,0,0.0369,0,1,TN
그랜드코리아레저(주),1048196184,2018,0,0.0407,0,1,TN
그랜드코리아레저(주),1048196184,2019,0,0.0413,0,1,TN
그랜드코리아레저(주),1048196184,2020,0,0.4463,1,0,FP
그랜드코리아레저(주),1048196184,2021,0,0.4897,1,0,FP
그랜드코리아레저(주),1048196184,2022,1,0.345,0,0,FN
래복,1048601101,2014,0,0.6922,1,0,FP
래복,1048601101,2015,0,0.656,1,0,FP
래복,1048601101,2016,0,0.5417,1,0,FP
래복,1048601101,2017,0,0.441,1,0,FP
주식회사제주미술관,1048608104,2014,0,0.1982,0,1,TN
주식회사제주미술관,1048608104,2015,0,0.1768,0,1,TN
주식회사제주미술관,1048608104,2016,0,0.1419,0,1,TN
주식회사제주미술관,1048608104,2017,0,0.1274,0,1,TN
주식회사제주미술관,1048608104,2018,0,0.2222,0,1,TN
주식회사제주미술관,1048608104,2019,0,0.2742,0,1,TN
제이티앤미디어(주),1048618688,2016,0,0.1404,0,1,TN
제이티앤미디어(주),1048618688,2017,0,0.0823,0,1,TN
제이티앤미디어(주),1048618688,2018,0,0.0439,0,1,TN
제이티앤미디어(주),1048618688,2019,0,0.0404,0,1,TN
제이티앤미디어(주),1048618688,2020,0,0.2116,0,1,TN
(주)제주해양과학관,1048622085,2014,1,0.4522,1,1,TP
주식회사여수씨월드,1048626290,2014,0,0.0609,0,1,TN
주식회사여수씨월드,1048626290,2015,0,0.08,0,1,TN
주식회사여수씨월드,1048626290,2016,0,0.0544,0,1,TN
주식회사여수씨월드,1048626290,2017,0,0.0412,0,1,TN
주식회사여수씨월드,1048626290,2018,0,0.1462,0,1,TN
주식회사여수씨월드,1048626290,2019,0,0.0417,0,1,TN
주식회사여수씨월드,1048626290,2020,0,0.352,0,1,TN
주식회사여수씨월드,1048626290,2021,0,0.0372,0,1,TN
주식회사여수씨월드,1048626290,2022,0,0.0584,0,1,TN
주식회사여수씨월드,1048626290,2023,0,0.062,0,1,TN
주식회사여수씨월드,1048626290,2024,0,0.2138,0,1,TN
(주)일산씨월드,1048628696,2014,0,0.7352,1,0,FP
(주)일산씨월드,1048628696,2015,0,0.624,1,0,FP
(주)일산씨월드,1048628696,2016,0,0.2225,0,1,TN
(주)일산씨월드,1048628696,2017,0,0.1059,0,1,TN
(주)일산씨월드,1048628696,2018,0,0.0841,0,1,TN
(주)일산씨월드,1048628696,2019,0,0.0724,0,1,TN
(주)일산씨월드,1048628696,2020,0,0.5366,1,0,FP
(주)일산씨월드,1048628696,2021,0,0.4442,1,0,FP
(주)일산씨월드,1048628696,2022,1,0.6346,1,1,TP
주식회사교원라이프,1048630469,2014,0,0.3196,0,1,TN
주식회사교원라이프,1048630469,2015,0,0.4488,1,0,FP
주식회사교원라이프,1048630469,2016,0,0.4511,1,0,FP
주식회사교원라이프,1048630469,2017,0,0.5652,1,0,FP
주식회사교원라이프,1048630469,2018,1,0.5288,1,1,TP
유한산업주식회사,1058123516,2014,0,0.1481,0,1,TN
유한산업주식회사,1058123516,2015,0,0.1235,0,1,TN
유한산업주식회사,1058123516,2016,0,0.1267,0,1,TN
유한산업주식회사,1058123516,2017,0,0.1287,0,1,TN
유한산업주식회사,1058123516,2018,0,0.134,0,1,TN
유한산업주식회사,1058123516,2019,0,0.251,0,1,TN
유한산업주식회사,1058123516,2020,0,0.7183,1,0,FP
유한산업주식회사,1058123516,2021,0,0.2237,0,1,TN
해비치컨트리클럽주식회사,1058137005,2014,0,0.3973,1,0,FP
해비치컨트리클럽주식회사,1058137005,2015,0,0.386,0,1,TN
해비치컨트리클럽주식회사,1058137005,2016,0,0.3934,1,0,FP
해비치컨트리클럽주식회사,1058137005,2017,0,0.3561,0,1,TN
해비치컨트리클럽주식회사,1058137005,2018,0,0.2733,0,1,TN
해비치컨트리클럽주식회사,1058137005,2019,0,0.3355,0,1,TN
해비치컨트리클럽주식회사,1058137005,2020,0,0.4262,1,0,FP
해비치컨트리클럽주식회사,1058137005,2021,0,0.4097,1,0,FP
해비치컨트리클럽주식회사,1058137005,2022,0,0.5471,1,0,FP
해비치컨트리클럽주식회사,1058137005,2023,0,0.5372,1,0,FP
해비치컨트리클럽주식회사,1058137005,2024,0,0.5535,1,0,FP
(주)알티베이스,1058605167,2014,0,0.6592,1,0,FP
(주)알티베이스,1058605167,2015,0,0.6522,1,0,FP
(주)알티베이스,1058605167,2016,0,0.0579,0,1,TN
(주)알티베이스,1058605167,2017,0,0.4598,1,0,FP
(주)알티베이스,1058605167,2018,0,0.224,0,1,TN
(주)알티베이스,1058605167,2019,0,0.0658,0,1,TN
(주)알티베이스,1058605167,2022,0,0.0633,0,1,TN
(주)알티베이스,1058605167,2023,0,0.0882,0,1,TN
(주)알티베이스,1058605167,2024,0,0.0871,0,1,TN
오토플러스주식회사,1058606429,2014,0,0.2817,0,1,TN
오토플러스주식회사,1058606429,2015,0,0.3224,0,1,TN
오토플러스주식회사,1058606429,2016,0,0.1096,0,1,TN
오토플러스주식회사,1058606429,2017,0,0.4957,1,0,FP
오토플러스주식회사,1058606429,2018,0,0.5193,1,0,FP
오토플러스주식회사,1058606429,2019,1,0.3077,0,0,FN
(주)골든블루마리나,1058639366,2016,0,0.1777,0,1,TN
(주)골든블루마리나,1058639366,2017,0,0.5004,1,0,FP
(주)골든블루마리나,1058639366,2019,0,0.4463,1,0,FP
(주)골든블루마리나,1058639366,2020,0,0.4699,1,0,FP
(주)골든블루마리나,1058639366,2021,0,0.5147,1,0,FP
(주)골든블루마리나,1058639366,2022,0,0.3909,1,0,FP
(주)골든블루마리나,1058639366,2023,0,0.3559,0,1,TN
(주)골든블루마리나,1058639366,2024,0,0.3486,0,1,TN
(주)엔에스디영상,1058691101,2014,0,0.5286,1,0,FP
(주)엔에스디영상,1058691101,2015,0,0.6209,1,0,FP
(주)엔에스디영상,1058691101,2016,0,0.4402,1,0,FP
주식회사이엠케이뮤지컬컴퍼니,1058728060,2018,0,0.0965,0,1,TN
주식회사이엠케이뮤지컬컴퍼니,1058728060,2019,0,0.0537,0,1,TN
주식회사이엠케이뮤지컬컴퍼니,1058728060,2020,0,0.158,0,1,TN
주식회사이엠케이뮤지컬컴퍼니,1058728060,2021,0,0.1763,0,1,TN
주식회사이엠케이뮤지컬컴퍼니,1058728060,2022,0,0.2727,0,1,TN
주식회사이엠케이뮤지컬컴퍼니,1058728060,2023,0,0.0835,0,1,TN
주식회사이엠케이뮤지컬컴퍼니,1058728060,2024,0,0.2667,0,1,TN
엠케스,1058762281,2021,0,0.1511,0,1,TN
엠케스,1058762281,2022,0,0.3345,0,1,TN
엠케스,1058762281,2023,0,0.1228,0,1,TN
엠케스,1058762281,2024,0,0.1884,0,1,TN
(주)라이브네이션코리아,1058765842,2014,0,0.4854,1,0,FP
(주)라이브네이션코리아,1058765842,2015,0,0.1044,0,1,TN
(주)라이브네이션코리아,1058765842,2016,0,0.1721,0,1,TN
(주)라이브네이션코리아,1058765842,2017,0,0.1743,0,1,TN
(주)라이브네이션코리아,1058765842,2018,0,0.1465,0,1,TN
(주)라이브네이션코리아,1058765842,2019,0,0.1836,0,1,TN
(주)라이브네이션코리아,1058765842,2020,0,0.4355,1,0,FP
(주)라이브네이션코리아,1058765842,2022,0,0.4292,1,0,FP
(주)라이브네이션코리아,1058765842,2023,0,0.2066,0,1,TN
(주)라이브네이션코리아,1058765842,2024,0,0.3806,0,1,TN
주식회사웨딩그룹위더스영등포,1058772135,2018,0,0.1632,0,1,TN
주식회사웨딩그룹위더스영등포,1058772135,2019,0,0.0816,0,1,TN
주식회사웨딩그룹위더스영등포,1058772135,2020,0,0.0385,0,1,TN
주식회사웨딩그룹위더스영등포,1058772135,2021,0,0.2092,0,1,TN
주식회사웨딩그룹위더스영등포,1058772135,2022,0,0.0646,0,1,TN
주식회사웨딩그룹위더스영등포,1058772135,2023,0,0.0556,0,1,TN
주식회사웨딩그룹위더스영등포,1058772135,2024,0,0.2525,0,1,TN
주식회사케이큐엔터테인먼트,1058790055,2019,0,0.1726,0,1,TN
주식회사케이큐엔터테인먼트,1058790055,2020,0,0.2815,0,1,TN
주식회사케이큐엔터테인먼트,1058790055,2021,0,0.0513,0,1,TN
주식회사케이큐엔터테인먼트,1058790055,2022,0,0.1691,0,1,TN
주식회사케이큐엔터테인먼트,1058790055,2023,0,0.0402,0,1,TN
주식회사케이큐엔터테인먼트,1058790055,2024,0,0.096,0,1,TN
주식회사성남시민프로축구단,1068135806,2014,0,0.7138,1,0,FP
주식회사성남시민프로축구단,1068135806,2015,1,0.6249,1,1,TP
주식회사리더스스타코리아,1068640473,2014,0,0.1976,0,1,TN
주식회사리더스스타코리아,1068640473,2015,0,0.4149,1,0,FP
주식회사리더스스타코리아,1068640473,2016,0,0.3422,0,1,TN
주식회사리더스스타코리아,1068640473,2017,0,0.2997,0,1,TN
주식회사리더스스타코리아,1068640473,2018,0,0.2611,0,1,TN
주식회사리더스스타코리아,1068640473,2019,0,0.1025,0,1,TN
주식회사리더스스타코리아,1068640473,2020,0,0.2696,0,1,TN
주식회사리더스스타코리아,1068640473,2021,0,0.1002,0,1,TN
주식회사리더스스타코리아,1068640473,2022,0,0.4635,1,0,FP
주식회사리더스스타코리아,1068640473,2023,0,0.4005,1,0,FP
주식회사리더스스타코리아,1068640473,2024,0,0.1287,0,1,TN
주식회사대노복지사업단,1068659521,2014,1,0.5511,1,1,TP
주식회사월드아이,1068669897,2016,0,0.1433,0,1,TN
주식회사월드아이,1068669897,2017,0,0.4327,1,0,FP
주식회사월드아이,1068669897,2018,0,0.0728,0,1,TN
주식회사월드아이,1068669897,2019,0,0.0646,0,1,TN
주식회사월드아이,1068669897,2020,0,0.5834,1,0,FP
주식회사월드아이,1068669897,2021,0,0.4753,1,0,FP
주식회사월드아이,1068669897,2022,0,0.1084,0,1,TN
주식회사월드아이,1068669897,2023,0,0.0465,0,1,TN
주식회사월드아이,1068669897,2024,0,0.0434,0,1,TN
한국통합상조(주),1068693970,2016,0,0.1606,0,1,TN
한국통합상조(주),1068693970,2017,0,0.484,1,0,FP
한국통합상조(주),1068693970,2018,0,0.2601,0,1,TN
한국통합상조(주),1068693970,2019,0,0.4924,1,0,FP
한국통합상조(주),1068693970,2020,0,0.5461,1,0,FP
한국통합상조(주),1068693970,2021,0,0.5461,1,0,FP
한국통합상조(주),1068693970,2022,0,0.4642,1,0,FP
한국통합상조(주),1068693970,2023,0,0.4605,1,0,FP
제이앤씨티주식회사,1068700099,2017,0,0.187,0,1,TN
제이앤씨티주식회사,1068700099,2018,0,0.3206,0,1,TN
제이앤씨티주식회사,1068700099,2019,0,0.0976,0,1,TN
제이앤씨티주식회사,1068700099,2020,0,0.0364,0,1,TN
제이앤씨티주식회사,1068700099,2021,0,0.0393,0,1,TN
제이앤씨티주식회사,1068700099,2022,0,0.0726,0,1,TN
