회사명,사업자등록번호,회계년도,y_true,y_prob,y_pred,correct,error_type
동원팜스주식회사,1018636260,2014,0,0.0298,0,1,TN
동원팜스주식회사,1018636260,2015,0,0.0177,0,1,TN
동원팜스주식회사,1018636260,2016,0,0.0005,0,1,TN
동원팜스주식회사,1018636260,2017,0,0.0023,0,1,TN
동원팜스주식회사,1018636260,2018,0,0.1228,1,0,FP
동원팜스주식회사,1018636260,2019,1,0.4543,1,1,TP
(주)삼양사,1018666838,2014,0,0.0002,0,1,TN
(주)삼양사,1018666838,2015,0,0.0013,0,1,TN
(주)삼양사,1018666838,2016,0,1e-04,0,1,TN
(주)삼양사,1018666838,2017,0,0.0012,0,1,TN
(주)삼양사,1018666838,2018,0,0.0004,0,1,TN
(주)삼양사,1018666838,2019,0,1e-04,0,1,TN
(주)삼양사,1018666838,2020,0,0.0002,0,1,TN
(주)삼양사,1018666838,2021,0,0.0082,0,1,TN
(주)삼양사,1018666838,2022,0,0.0005,0,1,TN
(주)삼양사,1018666838,2023,0,0.0004,0,1,TN
(주)삼양사,1018666838,2024,0,0.0003,0,1,TN
주식회사왓츠피데,1018687584,2017,0,0.0046,0,1,TN
주식회사왓츠피데,1018687584,2018,0,0.1172,1,0,FP
주식회사왓츠피데,1018687584,2019,1,0.9728,1,1,TP
순수본주식회사,1018700153,2018,0,0.0026,0,1,TN
순수본주식회사,1018700153,2019,0,0.0497,1,0,FP
순수본주식회사,1018700153,2020,0,0.0091,0,1,TN
순수본주식회사,1018700153,2021,0,0.0284,0,1,TN
순수본주식회사,1018700153,2022,0,0.0022,0,1,TN
순수본주식회사,1018700153,2023,0,0.2082,1,0,FP
순수본주식회사,1018700153,2024,0,0.0011,0,1,TN
삼양식품(주),1028105450,2014,0,0.0012,0,1,TN
삼양식품(주),1028105450,2015,0,0.0031,0,1,TN
삼양식품(주),1028105450,2016,0,0.0006,0,1,TN
삼양식품(주),1028105450,2017,0,0.0013,0,1,TN
삼양식품(주),1028105450,2018,0,0.0002,0,1,TN
삼양식품(주),1028105450,2019,0,0.0005,0,1,TN
삼양식품(주),1028105450,2020,0,0.0002,0,1,TN
삼양식품(주),1028105450,2021,0,0.0002,0,1,TN
삼양식품(주),1028105450,2022,0,0.0002,0,1,TN
삼양식품(주),1028105450,2023,0,0.0009,0,1,TN
삼양식품(주),1028105450,2024,0,0.0003,0,1,TN
코카콜라음료주식회사,1028141121,2014,0,0.0003,0,1,TN
코카콜라음료주식회사,1028141121,2015,0,0.0008,0,1,TN
코카콜라음료주식회사,1028141121,2016,0,0.0003,0,1,TN
코카콜라음료주식회사,1028141121,2017,0,0.0011,0,1,TN
코카콜라음료주식회사,1028141121,2018,0,0.0005,0,1,TN
코카콜라음료주식회사,1028141121,2019,0,1e-04,0,1,TN
코카콜라음료주식회사,1028141121,2020,0,0.0002,0,1,TN
코카콜라음료주식회사,1028141121,2021,0,0.0009,0,1,TN
코카콜라음료주식회사,1028141121,2022,0,0.0002,0,1,TN
코카콜라음료주식회사,1028141121,2023,0,0.0003,0,1,TN
코카콜라음료주식회사,1028141121,2024,0,0.0003,0,1,TN
에이치에이엠주식회사,1038700300,2018,0,0.0004,0,1,TN
에이치에이엠주식회사,1038700300,2019,0,0.0014,0,1,TN
에이치에이엠주식회사,1038700300,2020,0,0.0002,0,1,TN
에이치에이엠주식회사,1038700300,2021,0,0.0009,0,1,TN
에이치에이엠주식회사,1038700300,2022,0,0.0008,0,1,TN
에이치에이엠주식회사,1038700300,2023,0,0.0006,0,1,TN
에이치에이엠주식회사,1038700300,2024,0,0.0004,0,1,TN
대한사료주식회사,1048104326,2014,0,0.0002,0,1,TN
대한사료주식회사,1048104326,2015,0,0.0007,0,1,TN
대한사료주식회사,1048104326,2016,0,1e-04,0,1,TN
대한사료주식회사,1048104326,2017,0,0.0004,0,1,TN
대한사료주식회사,1048104326,2018,0,0.0004,0,1,TN
대한사료주식회사,1048104326,2019,0,0.0004,0,1,TN
대한사료주식회사,1048104326,2020,0,0.0002,0,1,TN
대한사료주식회사,1048104326,2021,0,0.001,0,1,TN
대한사료주식회사,1048104326,2022,0,0.0005,0,1,TN
대한사료주식회사,1048104326,2023,0,0.0003,0,1,TN
대한사료주식회사,1048104326,2024,0,0.0003,0,1,TN
대한제분(주),1048104345,2014,0,0.0003,0,1,TN
대한제분(주),1048104345,2015,0,0.0006,0,1,TN
대한제분(주),1048104345,2016,0,0.0005,0,1,TN
대한제분(주),1048104345,2017,0,0.0008,0,1,TN
대한제분(주),1048104345,2018,0,0.0002,0,1,TN
대한제분(주),1048104345,2019,0,0.0011,0,1,TN
대한제분(주),1048104345,2020,0,0.0003,0,1,TN
대한제분(주),1048104345,2021,0,0.0009,0,1,TN
대한제분(주),1048104345,2022,0,0.0027,0,1,TN
대한제분(주),1048104345,2023,0,0.0004,0,1,TN
대한제분(주),1048104345,2024,0,0.0006,0,1,TN
유성물산교역(주),1048126373,2014,0,0.0004,0,1,TN
유성물산교역(주),1048126373,2015,0,0.0067,0,1,TN
유성물산교역(주),1048126373,2016,0,0.004,0,1,TN
유성물산교역(주),1048126373,2017,0,0.0018,0,1,TN
유성물산교역(주),1048126373,2018,0,0.0002,0,1,TN
유성물산교역(주),1048126373,2019,0,0.0003,0,1,TN
유성물산교역(주),1048126373,2020,0,0.0002,0,1,TN
유성물산교역(주),1048126373,2021,0,0.0028,0,1,TN
유성물산교역(주),1048126373,2022,0,0.0032,0,1,TN
유성물산교역(주),1048126373,2023,0,0.0063,0,1,TN
유성물산교역(주),1048126373,2024,0,0.0005,0,1,TN
(주)사조오양,1048127881,2014,0,0.1179,1,0,FP
(주)사조오양,1048127881,2015,0,0.0029,0,1,TN
(주)사조오양,1048127881,2016,0,0.0002,0,1,TN
(주)사조오양,1048127881,2017,0,0.0004,0,1,TN
(주)사조오양,1048127881,2018,0,0.001,0,1,TN
(주)사조오양,1048127881,2019,0,0.0004,0,1,TN
(주)사조오양,1048127881,2020,0,0.0002,0,1,TN
(주)사조오양,1048127881,2021,0,0.0012,0,1,TN
(주)사조오양,1048127881,2022,0,0.0009,0,1,TN
(주)사조오양,1048127881,2023,0,0.0004,0,1,TN
(주)사조오양,1048127881,2024,0,0.0004,0,1,TN
씨제이제일제당(주),1048609535,2014,0,0.0014,0,1,TN
씨제이제일제당(주),1048609535,2015,0,0.0008,0,1,TN
씨제이제일제당(주),1048609535,2016,0,0.0007,0,1,TN
씨제이제일제당(주),1048609535,2017,0,0.0004,0,1,TN
씨제이제일제당(주),1048609535,2018,0,0.0008,0,1,TN
씨제이제일제당(주),1048609535,2019,0,0.0013,0,1,TN
씨제이제일제당(주),1048609535,2020,0,0.0007,0,1,TN
씨제이제일제당(주),1048609535,2021,0,0.0007,0,1,TN
씨제이제일제당(주),1048609535,2022,0,0.0008,0,1,TN
씨제이제일제당(주),1048609535,2023,0,0.001,0,1,TN
씨제이제일제당(주),1048609535,2024,0,0.0007,0,1,TN
코스맥스바이오주식회사,1058122365,2014,0,0.0018,0,1,TN
코스맥스바이오주식회사,1058122365,2015,0,0.1009,1,0,FP
코스맥스바이오주식회사,1058122365,2016,0,0.1081,1,0,FP
코스맥스바이오주식회사,1058122365,2017,1,0.7028,1,1,TP
(주)서림글로벌,1058175218,2014,0,0.0109,0,1,TN
(주)서림글로벌,1058175218,2015,0,0.0303,1,0,FP
(주)서림글로벌,1058175218,2016,0,0.0334,1,0,FP
(주)서림글로벌,1058175218,2017,0,0.1244,1,0,FP
건식무역(주),1058616475,2014,0,0.2159,1,0,FP
건식무역(주),1058616475,2015,1,0.9388,1,1,TP
(주)대명오앤씨,1058633421,2015,0,0.0003,0,1,TN
(주)대명오앤씨,1058633421,2016,0,0.0002,0,1,TN
(주)대명오앤씨,1058633421,2017,0,0.0254,0,1,TN
(주)대명오앤씨,1058633421,2018,0,0.1267,1,0,FP
(주)대명오앤씨,1058633421,2019,1,0.867,1,1,TP
(주)신성티엔에프,1058665035,2016,0,0.0009,0,1,TN
(주)신성티엔에프,1058665035,2017,0,0.0067,0,1,TN
(주)신성티엔에프,1058665035,2018,0,0.0045,0,1,TN
(주)신성티엔에프,1058665035,2019,0,0.0013,0,1,TN
(주)신성티엔에프,1058665035,2020,0,0.0031,0,1,TN
(주)신성티엔에프,1058665035,2021,0,0.0137,0,1,TN
(주)신성티엔에프,1058665035,2022,0,0.0015,0,1,TN
(주)신성티엔에프,1058665035,2023,0,0.0025,0,1,TN
(주)신성티엔에프,1058665035,2024,0,0.001,0,1,TN
(주)부농산업,1058675514,2015,0,0.0007,0,1,TN
(주)부농산업,1058675514,2016,0,0.0793,1,0,FP
(주)부농산업,1058675514,2017,1,0.933,1,1,TP
에스비바이오팜주식회사,1058680661,2021,0,0.0008,0,1,TN
에스비바이오팜주식회사,1058680661,2022,0,0.1028,1,0,FP
에스비바이오팜주식회사,1058680661,2023,1,0.311,1,1,TP
(주)올박스,1058728037,2018,0,1e-04,0,1,TN
(주)올박스,1058728037,2019,0,1e-04,0,1,TN
(주)올박스,1058728037,2020,0,1e-04,0,1,TN
(주)올박스,1058728037,2021,0,0.0004,0,1,TN
(주)올박스,1058728037,2022,0,0.0155,0,1,TN
(주)올박스,1058728037,2023,0,0.0339,1,0,FP
(주)올박스,1058728037,2024,1,0.1282,1,1,TP
(주)네이브플러스,1058743834,2016,0,0.0003,0,1,TN
(주)네이브플러스,1058743834,2017,0,0.0003,0,1,TN
(주)네이브플러스,1058743834,2018,0,0.003,0,1,TN
(주)네이브플러스,1058743834,2019,0,0.0063,0,1,TN
(주)네이브플러스,1058743834,2020,0,0.0425,1,0,FP
(주)네이브플러스,1058743834,2021,0,0.0378,1,0,FP
(주)네이브플러스,1058743834,2022,1,0.1475,1,1,TP
주식회사마마스푸드,1058746831,2017,0,0.0015,0,1,TN
