회사명,사업자등록번호,회계년도,y_true,y_prob,y_pred,correct,error_type
주식회사튤립코리아,1018122999,2021,0,0.019,0,1,TN
주식회사튤립코리아,1018122999,2022,0,0.042,0,1,TN
주식회사튤립코리아,1018122999,2023,0,0.0648,0,1,TN
주식회사튤립코리아,1018122999,2024,0,0.0825,0,1,TN
(주)인다인,1018189665,2021,0,0.0032,0,1,TN
(주)인다인,1018189665,2022,0,0.0145,0,1,TN
(주)인다인,1018189665,2023,0,0.558,1,0,FP
(주)인다인,1018189665,2024,0,0.6437,1,0,FP
(주)대한패브릭,1018625818,2021,0,0.016,0,1,TN
(주)대한패브릭,1018625818,2022,0,0.0064,0,1,TN
(주)대한패브릭,1018625818,2023,0,0.002,0,1,TN
(주)대한패브릭,1018625818,2024,0,0.0019,0,1,TN
주식회사이새에프앤씨,1018627946,2021,0,0.0006,0,1,TN
주식회사이새에프앤씨,1018627946,2022,0,0.0025,0,1,TN
주식회사이새에프앤씨,1018627946,2023,0,0.0005,0,1,TN
주식회사이새에프앤씨,1018627946,2024,0,0.0014,0,1,TN
몬로스타주식회사,1018629380,2021,0,0.031,0,1,TN
몬로스타주식회사,1018629380,2022,0,0.017,0,1,TN
몬로스타주식회사,1018629380,2023,0,0.3045,1,0,FP
몬로스타주식회사,1018629380,2024,0,0.2435,1,0,FP
(주)충남섬유,1018640987,2021,0,0.0052,0,1,TN
(주)충남섬유,1018640987,2022,0,0.0035,0,1,TN
(주)충남섬유,1018640987,2023,0,0.0008,0,1,TN
(주)충남섬유,1018640987,2024,0,0.0013,0,1,TN
주식회사풍신,1018677257,2021,0,0.217,1,0,FP
주식회사풍신,1018677257,2022,0,0.0225,0,1,TN
(주)헬리녹스,1018683690,2021,0,0.0013,0,1,TN
(주)헬리녹스,1018683690,2022,0,0.0006,0,1,TN
(주)헬리녹스,1018683690,2023,0,0.0081,0,1,TN
(주)헬리녹스,1018683690,2024,0,0.263,1,0,FP
주식회사돌담,1028113611,2021,0,0.0062,0,1,TN
주식회사돌담,1028113611,2022,0,0.5711,1,0,FP
주식회사돌담,1028113611,2023,0,0.6592,1,0,FP
주식회사돌담,1028113611,2024,1,0.5935,1,1,TP
(주)박홍근홈패션,1028122750,2021,0,0.027,0,1,TN
(주)박홍근홈패션,1028122750,2022,0,0.1481,1,0,FP
(주)박홍근홈패션,1028122750,2023,0,0.0848,0,1,TN
(주)박홍근홈패션,1028122750,2024,0,0.1813,1,0,FP
주식회사한림상사,1028139834,2021,0,0.1511,1,0,FP
주식회사한림상사,1028139834,2022,0,0.0034,0,1,TN
주식회사한림상사,1028139834,2023,0,0.0009,0,1,TN
주식회사한림상사,1028139834,2024,0,0.0016,0,1,TN
주식회사안다르,1038800990,2021,1,0.9411,1,1,TP
삼덕상공(주),1048100766,2021,0,0.0103,0,1,TN
삼덕상공(주),1048100766,2022,0,0.0138,0,1,TN
삼덕상공(주),1048100766,2023,0,0.106,1,0,FP
삼덕상공(주),1048100766,2024,0,0.4062,1,0,FP
(주)동극섬유,1048154845,2021,0,0.0029,0,1,TN
(주)동극섬유,1048154845,2022,0,0.0011,0,1,TN
(주)동극섬유,1048154845,2023,0,0.0003,0,1,TN
(주)동극섬유,1048154845,2024,0,0.0003,0,1,TN
주식회사프런티어텍스타일,1048171413,2022,0,0.0032,0,1,TN
주식회사프런티어텍스타일,1048171413,2023,0,0.0068,0,1,TN
주식회사프런티어텍스타일,1048171413,2024,0,0.001,0,1,TN
(주)에이치더블유아이,1048178774,2021,0,0.0006,0,1,TN
(주)에이치더블유아이,1048178774,2022,0,0.0006,0,1,TN
(주)에이치더블유아이,1048178774,2023,0,0.0004,0,1,TN
(주)에이치더블유아이,1048178774,2024,0,0.0007,0,1,TN
던필드알파,1048629545,2021,0,0.0058,0,1,TN
던필드알파,1048629545,2022,0,0.0054,0,1,TN
던필드알파,1048629545,2023,0,0.0049,0,1,TN
던필드알파,1048629545,2024,0,0.0353,0,1,TN
(주)신원,1058111908,2021,0,0.0056,0,1,TN
(주)신원,1058111908,2022,0,0.0017,0,1,TN
(주)신원,1058111908,2023,0,0.0014,0,1,TN
(주)신원,1058111908,2024,0,0.0045,0,1,TN
주식회사두백,1058129655,2021,0,0.0027,0,1,TN
주식회사두백,1058129655,2022,0,0.0004,0,1,TN
주식회사두백,1058129655,2023,0,0.0002,0,1,TN
주식회사두백,1058129655,2024,0,0.0002,0,1,TN
(주)좋은사람들,1058158242,2021,1,0.9643,1,1,TP
(주)노바인터내쇼널,1058163269,2021,0,0.0004,0,1,TN
(주)노바인터내쇼널,1058163269,2022,0,0.5068,1,0,FP
(주)노바인터내쇼널,1058163269,2023,0,0.818,1,0,FP
(주)노바인터내쇼널,1058163269,2024,1,0.592,1,1,TP
바이네르주식회사,1058163987,2021,0,0.0087,0,1,TN
바이네르주식회사,1058163987,2022,0,0.0037,0,1,TN
바이네르주식회사,1058163987,2023,0,0.0026,0,1,TN
바이네르주식회사,1058163987,2024,0,0.0028,0,1,TN
호전실업(주),1058164268,2021,0,0.005,0,1,TN
호전실업(주),1058164268,2022,0,0.0008,0,1,TN
호전실업(주),1058164268,2023,0,0.0012,0,1,TN
호전실업(주),1058164268,2024,0,0.001,0,1,TN
발렌시아(주),1058191770,2021,0,0.0029,0,1,TN
발렌시아(주),1058191770,2022,0,0.0008,0,1,TN
발렌시아(주),1058191770,2023,0,1e-04,0,1,TN
발렌시아(주),1058191770,2024,0,0.0003,0,1,TN
(주)코리아실크로드,1058192463,2021,0,0.0016,0,1,TN
(주)코리아실크로드,1058192463,2022,0,0.0013,0,1,TN
(주)코리아실크로드,1058192463,2023,0,0.0011,0,1,TN
(주)토마스힐,1058610016,2021,0,0.0035,0,1,TN
(주)토마스힐,1058610016,2022,0,0.0267,0,1,TN
(주)토마스힐,1058610016,2023,0,0.0009,0,1,TN
(주)토마스힐,1058610016,2024,0,0.0004,0,1,TN
(주)우인어패럴,1058633760,2021,0,0.0003,0,1,TN
(주)우인어패럴,1058633760,2022,0,0.0009,0,1,TN
(주)우인어패럴,1058633760,2023,0,0.0008,0,1,TN
(주)우인어패럴,1058633760,2024,0,0.2541,1,0,FP
(주)두리콜렉션,1058664152,2021,0,0.0096,0,1,TN
(주)두리콜렉션,1058664152,2022,0,0.0127,0,1,TN
(주)두리콜렉션,1058664152,2023,0,0.0819,0,1,TN
(주)두리콜렉션,1058664152,2024,0,0.0124,0,1,TN
(주)브이제이원,1058674515,2021,0,0.0087,0,1,TN
(주)브이제이원,1058674515,2022,0,0.015,0,1,TN
(주)브이제이원,1058674515,2023,0,0.0301,0,1,TN
(주)브이제이원,1058674515,2024,0,0.0216,0,1,TN
(주)임오파트너스,1058724443,2021,0,0.1139,1,0,FP
(주)임오파트너스,1058724443,2022,0,0.0103,0,1,TN
(주)임오파트너스,1058724443,2023,0,0.0023,0,1,TN
(주)임오파트너스,1058724443,2024,0,0.0032,0,1,TN
(주)배럴,1058739951,2021,0,0.1232,1,0,FP
(주)배럴,1058739951,2022,1,0.788,1,1,TP
(주)밀레,1058752430,2021,0,0.0013,0,1,TN
(주)밀레,1058752430,2022,0,0.0009,0,1,TN
(주)밀레,1058752430,2023,0,0.0013,0,1,TN
(주)밀레,1058752430,2024,0,0.1031,1,0,FP
이룸디자인스킨(주),1058765032,2021,0,0.0005,0,1,TN
이룸디자인스킨(주),1058765032,2022,0,0.0003,0,1,TN
이룸디자인스킨(주),1058765032,2023,0,0.0008,0,1,TN
이룸디자인스킨(주),1058765032,2024,0,0.0073,0,1,TN
(주)동잠,1058783156,2021,0,0.0005,0,1,TN
(주)동잠,1058783156,2022,0,0.0012,0,1,TN
(주)동잠,1058783156,2023,0,0.0003,0,1,TN
(주)동잠,1058783156,2024,0,0.0007,0,1,TN
주식회사케이앤케이인터내셔널,1058790017,2022,0,0.0005,0,1,TN
주식회사케이앤케이인터내셔널,1058790017,2023,0,0.0002,0,1,TN
주식회사케이앤케이인터내셔널,1058790017,2024,0,1e-04,0,1,TN
주식회사마플코퍼레이션,1058813322,2021,0,0.019,0,1,TN
주식회사마플코퍼레이션,1058813322,2022,0,0.7525,1,0,FP
주식회사마플코퍼레이션,1058813322,2023,1,0.1039,1,1,TP
예진에프앤지(주),1068140328,2021,0,0.0005,0,1,TN
예진에프앤지(주),1068140328,2022,0,0.0006,0,1,TN
예진에프앤지(주),1068140328,2023,0,0.0004,0,1,TN
예진에프앤지(주),1068140328,2024,0,0.0013,0,1,TN
(주)훼미모드,1068171160,2021,0,0.4169,1,0,FP
(주)훼미모드,1068171160,2022,0,0.0294,0,1,TN
(주)훼미모드,1068171160,2023,0,0.0631,0,1,TN
(주)훼미모드,1068171160,2024,0,0.1829,1,0,FP
(주)더네이쳐홀딩스,1068626388,2021,0,0.0003,0,1,TN
(주)더네이쳐홀딩스,1068626388,2022,0,1e-04,0,1,TN
(주)더네이쳐홀딩스,1068626388,2023,0,0.0002,0,1,TN
(주)더네이쳐홀딩스,1068626388,2024,0,0.0009,0,1,TN
(주)케이마켓,1068630733,2021,0,0.0044,0,1,TN
(주)케이마켓,1068630733,2022,0,0.0004,0,1,TN
(주)케이마켓,1068630733,2023,0,1e-04,0,1,TN
(주)케이마켓,1068630733,2024,0,0.0003,0,1,TN
(주)씨씨컴퍼니,1068674162,2021,0,0.0067,0,1,TN
(주)씨씨컴퍼니,1068674162,2022,0,0.3491,1,0,FP
(주)씨씨컴퍼니,1068674162,2023,0,0.406,1,0,FP
(주)씨씨컴퍼니,1068674162,2024,1,0.479,1,1,TP
주식회사지지,1068683360,2021,0,0.0013,0,1,TN
주식회사지지,1068683360,2022,0,1e-04,0,1,TN
주식회사지지,1068683360,2023,0,0.0,0,1,TN
주식회사지지,1068683360,2024,0,0.0006,0,1,TN
주식회사영안양행,1078159698,2021,0,0.0357,0,1,TN
주식회사영안양행,1078159698,2022,0,0.1175,1,0,FP
주식회사영안양행,1078159698,2023,1,0.0354,0,0,FN
주식회사준우에스피,1078173540,2021,0,0.1998,1,0,FP
주식회사준우에스피,1078173540,2022,0,0.2643,1,0,FP
주식회사준우에스피,1078173540,2023,0,0.0008,0,1,TN
주식회사준우에스피,1078173540,2024,0,0.0008,0,1,TN
(주)피앤지코퍼레이션,1078178147,2021,0,0.0224,0,1,TN
(주)피앤지코퍼레이션,1078178147,2022,0,0.0002,0,1,TN
(주)피앤지코퍼레이션,1078178147,2023,0,0.0009,0,1,TN
(주)피앤지코퍼레이션,1078178147,2024,0,0.0109,0,1,TN
(주)우성에프앤티,1078636496,2021,0,0.0027,0,1,TN
(주)우성에프앤티,1078636496,2022,0,0.0077,0,1,TN
(주)우성에프앤티,1078636496,2023,0,0.0013,0,1,TN
(주)우성에프앤티,1078636496,2024,0,0.0065,0,1,TN
(주)신티에스,1078649026,2021,0,0.0016,0,1,TN
(주)신티에스,1078649026,2022,0,0.0005,0,1,TN
(주)신티에스,1078649026,2023,0,0.0003,0,1,TN
(주)신티에스,1078649026,2024,0,0.0016,0,1,TN
(주)대한글로벌코리아,1078662238,2021,0,0.0126,0,1,TN
(주)대한글로벌코리아,1078662238,2022,0,0.0003,0,1,TN
(주)대한글로벌코리아,1078662238,2023,0,0.1134,1,0,FP
(주)대한글로벌코리아,1078662238,2024,0,0.6703,1,0,FP
(주)재키에프앤씨,1078675714,2021,0,0.0031,0,1,TN
(주)재키에프앤씨,1078675714,2022,0,0.0036,0,1,TN
(주)재키에프앤씨,1078675714,2023,0,0.261,1,0,FP
(주)재키에프앤씨,1078675714,2024,0,0.4241,1,0,FP
주식회사풍인인터내셔날,1078721613,2021,0,0.0042,0,1,TN
주식회사풍인인터내셔날,1078721613,2022,0,0.0019,0,1,TN
주식회사풍인인터내셔날,1078721613,2023,0,0.0206,0,1,TN
주식회사풍인인터내셔날,1078721613,2024,0,0.1221,1,0,FP
(주)에이치에스케미칼,1078750665,2021,0,0.0039,0,1,TN
(주)에이치에스케미칼,1078750665,2022,0,0.4663,1,0,FP
(주)에이치에스케미칼,1078750665,2023,0,0.4849,1,0,FP
(주)머큐리코퍼레이션,1078755374,2021,0,0.1463,1,0,FP
(주)머큐리코퍼레이션,1078755374,2022,0,0.2932,1,0,FP
