회사명,사업자등록번호,회계년도,y_true,y_prob,y_pred,correct,error_type
잉글우드랩(주),0008120019,2021,0,0.0005,0,1,TN
잉글우드랩(주),0008120019,2022,0,0.0002,0,1,TN
잉글우드랩(주),0008120019,2023,0,1e-04,0,1,TN
잉글우드랩(주),0008120019,2024,0,1e-04,0,1,TN
디아이지에어가스주식회사,1018110436,2021,0,0.005,0,1,TN
디아이지에어가스주식회사,1018110436,2022,0,0.0006,0,1,TN
디아이지에어가스주식회사,1018110436,2023,0,0.0004,0,1,TN
디아이지에어가스주식회사,1018110436,2024,0,0.0005,0,1,TN
대정화금(주),1018118476,2021,0,0.0003,0,1,TN
대정화금(주),1018118476,2022,0,1e-04,0,1,TN
대정화금(주),1018118476,2023,0,1e-04,0,1,TN
대정화금(주),1018118476,2024,0,0.0002,0,1,TN
다무라케미컬코리아(주),1018121307,2021,0,0.0002,0,1,TN
다무라케미컬코리아(주),1018121307,2022,0,0.0004,0,1,TN
다무라케미컬코리아(주),1018121307,2023,0,0.0005,0,1,TN
다무라케미컬코리아(주),1018121307,2024,0,0.0007,0,1,TN
바이오플러스(주),1018194737,2021,0,0.0005,0,1,TN
바이오플러스(주),1018194737,2022,0,0.0002,0,1,TN
바이오플러스(주),1018194737,2023,0,1e-04,0,1,TN
바이오플러스(주),1018194737,2024,0,0.0002,0,1,TN
(주)샤페론,1018642705,2021,0,0.042,1,0,FP
(주)샤페론,1018642705,2022,1,0.6856,1,1,TP
(주)자연인,1018643209,2021,0,0.0004,0,1,TN
(주)자연인,1018643209,2022,0,0.0104,0,1,TN
(주)자연인,1018643209,2023,0,0.0101,0,1,TN
(주)자연인,1018643209,2024,0,0.0033,0,1,TN
에스케이지오센트릭주식회사,1018660116,2021,0,0.001,0,1,TN
에스케이지오센트릭주식회사,1018660116,2022,0,0.0088,0,1,TN
에스케이지오센트릭주식회사,1018660116,2023,0,0.0063,0,1,TN
에스케이지오센트릭주식회사,1018660116,2024,0,0.0249,0,1,TN
울산아로마틱스주식회사,1018660644,2021,0,0.0008,0,1,TN
울산아로마틱스주식회사,1018660644,2022,0,0.0003,0,1,TN
울산아로마틱스주식회사,1018660644,2023,0,0.0024,0,1,TN
울산아로마틱스주식회사,1018660644,2024,0,0.0024,0,1,TN
에네오스코리아주식회사,1018672475,2021,0,0.0016,0,1,TN
에네오스코리아주식회사,1018672475,2022,0,0.0577,1,0,FP
에네오스코리아주식회사,1018672475,2023,0,0.0164,0,1,TN
에네오스코리아주식회사,1018672475,2024,0,0.0062,0,1,TN
(주)삼양패키징,1018693655,2021,0,0.0025,0,1,TN
(주)삼양패키징,1018693655,2022,0,0.0008,0,1,TN
