회사명,사업자등록번호,회계년도,y_true,y_prob,y_pred,correct,error_type
스틸싸이클에스씨주식회사,1018669422,2015,0,0.005,0,1,TN
스틸싸이클에스씨주식회사,1018669422,2016,0,0.0632,1,0,FP
스틸싸이클에스씨주식회사,1018669422,2017,1,0.6749,1,1,TP
와이케이스틸주식회사,1038601995,2020,0,0.0023,0,1,TN
와이케이스틸주식회사,1038601995,2021,0,1e-04,0,1,TN
와이케이스틸주식회사,1038601995,2022,0,1e-04,0,1,TN
와이케이스틸주식회사,1038601995,2023,0,0.0002,0,1,TN
와이케이스틸주식회사,1038601995,2024,0,0.0202,1,0,FP
(주)세아홀딩스,1048163174,2014,0,0.0002,0,1,TN
(주)세아홀딩스,1048163174,2015,0,1e-04,0,1,TN
(주)세아홀딩스,1048163174,2016,0,0.002,0,1,TN
(주)세아홀딩스,1048163174,2017,0,0.0003,0,1,TN
(주)세아홀딩스,1048163174,2018,0,0.0032,0,1,TN
(주)세아홀딩스,1048163174,2019,0,0.0035,0,1,TN
(주)세아홀딩스,1048163174,2020,0,0.0544,1,0,FP
(주)세아홀딩스,1048163174,2021,0,0.0007,0,1,TN
(주)세아홀딩스,1048163174,2022,0,0.0008,0,1,TN
(주)세아홀딩스,1048163174,2023,0,0.0004,0,1,TN
(주)세아홀딩스,1048163174,2024,0,0.0076,0,1,TN
(주)제이슨앤컴퍼니,1048174929,2014,0,0.0032,0,1,TN
(주)제이슨앤컴퍼니,1048174929,2015,0,0.005,0,1,TN
(주)제이슨앤컴퍼니,1048174929,2016,0,0.015,0,1,TN
(주)제이슨앤컴퍼니,1048174929,2017,0,0.0034,0,1,TN
(주)제이슨앤컴퍼니,1048174929,2018,0,0.0049,0,1,TN
(주)제이슨앤컴퍼니,1048174929,2019,0,0.0067,0,1,TN
(주)제이슨앤컴퍼니,1048174929,2020,0,0.0087,0,1,TN
(주)제이슨앤컴퍼니,1048174929,2021,0,0.0013,0,1,TN
(주)제이슨앤컴퍼니,1048174929,2022,0,0.0294,1,0,FP
(주)세대에셋,1048179924,2014,0,0.0121,0,1,TN
(주)세대에셋,1048179924,2015,0,0.0605,1,0,FP
(주)세대에셋,1048179924,2016,0,0.044,1,0,FP
디케이동신주식회사,1048613169,2014,0,0.1174,1,0,FP
디케이동신주식회사,1048613169,2015,0,0.0018,0,1,TN
디케이동신주식회사,1048613169,2016,0,0.0037,0,1,TN
디케이동신주식회사,1048613169,2017,0,0.048,1,0,FP
디케이동신주식회사,1048613169,2018,0,0.0291,1,0,FP
디케이동신주식회사,1048613169,2019,1,0.5742,1,1,TP
신스틸(주),1058128957,2014,0,0.001,0,1,TN
신스틸(주),1058128957,2015,0,0.0022,0,1,TN
신스틸(주),1058128957,2016,0,0.0014,0,1,TN
신스틸(주),1058128957,2017,0,0.0003,0,1,TN
신스틸(주),1058128957,2018,0,0.0007,0,1,TN
신스틸(주),1058128957,2019,0,0.0003,0,1,TN
신스틸(주),1058128957,2020,0,0.0011,0,1,TN
신스틸(주),1058128957,2021,0,0.0002,0,1,TN
신스틸(주),1058128957,2022,0,0.0003,0,1,TN
신스틸(주),1058128957,2023,0,0.107,1,0,FP
신스틸(주),1058128957,2024,0,0.0021,0,1,TN
비엔에프머티리얼즈(주),1058659509,2016,0,0.0006,0,1,TN
비엔에프머티리얼즈(주),1058659509,2017,0,0.0006,0,1,TN
비엔에프머티리얼즈(주),1058659509,2019,0,0.0008,0,1,TN
비엔에프머티리얼즈(주),1058659509,2020,0,0.0436,1,0,FP
비엔에프머티리얼즈(주),1058659509,2021,0,0.0003,0,1,TN
비엔에프머티리얼즈(주),1058659509,2022,0,0.0694,1,0,FP
비엔에프머티리얼즈(주),1058659509,2023,0,0.0006,0,1,TN
비엔에프머티리얼즈(주),1058659509,2024,0,0.0003,0,1,TN
