회사명,사업자등록번호,회계년도,y_true,y_prob,y_pred,correct,error_type
메가플랙슨공업(주),1018139656,2021,0,0.0007,0,1,TN
메가플랙슨공업(주),1018139656,2022,0,0.205,1,0,FP
메가플랙슨공업(주),1018139656,2023,0,0.0009,0,1,TN
메가플랙슨공업(주),1018139656,2024,0,0.0007,0,1,TN
(주)맬콤인터네셔널,1018701185,2021,0,0.0009,0,1,TN
(주)맬콤인터네셔널,1018701185,2022,0,0.0011,0,1,TN
(주)맬콤인터네셔널,1018701185,2023,0,0.0011,0,1,TN
(주)맬콤인터네셔널,1018701185,2024,0,0.0442,1,0,FP
(주)동국에스엔씨,1048163193,2021,0,0.0004,0,1,TN
(주)동국에스엔씨,1048163193,2022,0,0.023,0,1,TN
(주)동국에스엔씨,1048163193,2023,0,0.0601,1,0,FP
(주)동국에스엔씨,1048163193,2024,1,0.0394,1,1,TP
주식회사한신비텍,1048607667,2021,0,0.0002,0,1,TN
주식회사한신비텍,1048607667,2022,0,0.008,0,1,TN
주식회사한신비텍,1048607667,2023,0,0.0041,0,1,TN
주식회사한신비텍,1048607667,2024,0,0.0292,0,1,TN
대건스틸건재주식회사,1058648512,2021,0,0.0005,0,1,TN
대건스틸건재주식회사,1058648512,2022,0,0.0005,0,1,TN
대건스틸건재주식회사,1058648512,2023,0,0.0491,1,0,FP
대건스틸건재주식회사,1058648512,2024,0,0.008,0,1,TN
(주)포스패널시스템,1058785324,2021,0,0.0014,0,1,TN
(주)포스패널시스템,1058785324,2022,0,0.0117,0,1,TN
(주)포스패널시스템,1058785324,2023,0,0.008,0,1,TN
하이리움산업(주),1058806971,2022,0,0.0041,0,1,TN
하이리움산업(주),1058806971,2023,0,0.1154,1,0,FP
하이리움산업(주),1058806971,2024,1,0.6038,1,1,TP
주식회사금가,1068113006,2021,0,0.0125,0,1,TN
주식회사금가,1068113006,2022,1,0.0097,0,0,FN
장한기술(주),1068125254,2021,0,0.0088,0,1,TN
장한기술(주),1068125254,2022,0,0.0018,0,1,TN
장한기술(주),1068125254,2023,0,0.0007,0,1,TN
장한기술(주),1068125254,2024,0,0.0016,0,1,TN
주식회사태양자동문,1068160979,2021,0,1e-04,0,1,TN
주식회사태양자동문,1068160979,2022,0,0.0003,0,1,TN
주식회사태양자동문,1068160979,2023,0,0.0004,0,1,TN
주식회사태양자동문,1068160979,2024,0,0.0003,0,1,TN
유진크레베스주식회사,1068161298,2021,0,0.0051,0,1,TN
유진크레베스주식회사,1068161298,2022,0,0.011,0,1,TN
유진크레베스주식회사,1068161298,2023,0,0.035,1,0,FP
유진크레베스주식회사,1068161298,2024,0,0.3403,1,0,FP
삼진로푸(주),1078112086,2021,0,0.001,0,1,TN
삼진로푸(주),1078112086,2022,0,0.0011,0,1,TN
삼진로푸(주),1078112086,2023,0,0.0008,0,1,TN
삼진로푸(주),1078112086,2024,0,0.0015,0,1,TN
주식회사대진,1078122925,2021,0,0.0105,0,1,TN
주식회사대진,1078122925,2022,0,0.0422,1,0,FP
주식회사대진,1078122925,2023,0,0.0027,0,1,TN
주식회사대진,1078122925,2024,0,0.0324,1,0,FP
오제이씨(주),1078136472,2021,0,0.0006,0,1,TN
오제이씨(주),1078136472,2022,0,0.0027,0,1,TN
오제이씨(주),1078136472,2023,0,0.0035,0,1,TN
오제이씨(주),1078136472,2024,0,0.0024,0,1,TN
주식회사신원에스앤티,1078146795,2021,0,0.0034,0,1,TN
(주)삼우기초기술,1078150625,2021,0,0.0003,0,1,TN
(주)삼우기초기술,1078150625,2022,0,0.0007,0,1,TN
(주)삼우기초기술,1078150625,2023,0,0.0005,0,1,TN
(주)삼우기초기술,1078150625,2024,0,0.0004,0,1,TN
(주)영원코퍼레이션,1078610443,2021,0,1e-04,0,1,TN
(주)영원코퍼레이션,1078610443,2022,0,0.0004,0,1,TN
(주)영원코퍼레이션,1078610443,2023,0,0.0007,0,1,TN
(주)영원코퍼레이션,1078610443,2024,0,0.0004,0,1,TN
이알텍(주),1078658980,2021,0,0.0002,0,1,TN
이알텍(주),1078658980,2022,0,0.0004,0,1,TN
이알텍(주),1078658980,2023,0,0.0015,0,1,TN
이알텍(주),1078658980,2024,0,0.0005,0,1,TN
동인중공업주식회사,1078677594,2021,0,0.0027,0,1,TN
동인중공업주식회사,1078677594,2022,0,0.0054,0,1,TN
동인중공업주식회사,1078677594,2023,0,0.0048,0,1,TN
동인중공업주식회사,1078677594,2024,0,0.009,0,1,TN
주식회사엘씨씨,1078802419,2022,0,0.0002,0,1,TN
주식회사엘씨씨,1078802419,2023,0,0.0006,0,1,TN
주식회사엘씨씨,1078802419,2024,0,0.0002,0,1,TN
(주)정산테크,1078842181,2021,0,0.0007,0,1,TN
(주)정산테크,1078842181,2022,0,0.0011,0,1,TN
(주)정산테크,1078842181,2023,0,0.0005,0,1,TN
(주)정산테크,1078842181,2024,0,0.0016,0,1,TN
주식회사신한에스엔지,1088183401,2021,0,1e-04,0,1,TN
주식회사신한에스엔지,1088183401,2022,0,0.0007,0,1,TN
주식회사신한에스엔지,1088183401,2023,0,0.0009,0,1,TN
주식회사신한에스엔지,1088183401,2024,0,0.0026,0,1,TN
(주)삼우이앤아이,1098114926,2021,0,0.0004,0,1,TN
(주)삼우이앤아이,1098114926,2022,0,0.004,0,1,TN
(주)삼우이앤아이,1098114926,2023,0,0.0062,0,1,TN
(주)삼우이앤아이,1098114926,2024,0,0.0006,0,1,TN
