회사명,사업자등록번호,회계년도,y_true,y_prob,y_pred,correct,error_type
(주)모토닉,1018102940,2021,0,0.0002,0,1,TN
(주)모토닉,1018102940,2022,0,1e-04,0,1,TN
(주)모토닉,1018102940,2023,0,0.0003,0,1,TN
(주)모토닉,1018102940,2024,0,0.0007,0,1,TN
현대자동차(주),1018109147,2021,0,0.0009,0,1,TN
현대자동차(주),1018109147,2022,0,0.0005,0,1,TN
현대자동차(주),1018109147,2023,0,0.0005,0,1,TN
현대자동차(주),1018109147,2024,0,0.0007,0,1,TN
현대모비스(주),1018116406,2021,0,0.0005,0,1,TN
현대모비스(주),1018116406,2022,0,0.0003,0,1,TN
현대모비스(주),1018116406,2023,0,0.0004,0,1,TN
현대모비스(주),1018116406,2024,0,0.0009,0,1,TN
삼표레일웨이주식회사,1018684739,2021,0,0.0013,0,1,TN
삼표레일웨이주식회사,1018684739,2022,0,1e-04,0,1,TN
삼표레일웨이주식회사,1018684739,2023,0,0.0005,0,1,TN
삼표레일웨이주식회사,1018684739,2024,0,0.0017,0,1,TN
대원강업(주),1048115560,2021,0,0.1973,1,0,FP
대원강업(주),1048115560,2022,0,0.085,0,1,TN
대원강업(주),1048115560,2023,0,0.0027,0,1,TN
대원강업(주),1048115560,2024,0,0.0059,0,1,TN
한국유미코아촉매주식회사,1048125409,2021,0,0.0026,0,1,TN
(주)네오오토,1048625573,2021,0,0.0016,0,1,TN
(주)네오오토,1048625573,2022,0,0.0006,0,1,TN
(주)네오오토,1048625573,2023,0,0.0006,0,1,TN
(주)네오오토,1048625573,2024,0,0.0007,0,1,TN
주식회사세웅기업,1048802176,2022,0,0.0002,0,1,TN
주식회사세웅기업,1048802176,2023,0,0.0003,0,1,TN
주식회사세웅기업,1048802176,2024,0,0.0012,0,1,TN
에스앤티다이내믹스(주),1058132752,2021,0,0.0005,0,1,TN
에스앤티다이내믹스(주),1058132752,2022,0,0.0015,0,1,TN
에스앤티다이내믹스(주),1058132752,2023,0,0.0011,0,1,TN
에스앤티다이내믹스(주),1058132752,2024,0,0.0019,0,1,TN
파이오락스(주),1058179567,2021,0,0.0003,0,1,TN
파이오락스(주),1058179567,2022,0,0.0005,0,1,TN
파이오락스(주),1058179567,2023,0,0.0007,0,1,TN
파이오락스(주),1058179567,2024,0,0.0003,0,1,TN
(주)셀맥인터내셔날,1058738331,2021,0,0.4762,1,0,FP
