회사명,사업자등록번호,회계년도,y_true,y_prob,y_pred,correct,error_type
한화호텔앤드리조트(주),1018130747,2014,0,0.1355,1,0,FP
한화호텔앤드리조트(주),1018130747,2015,1,0.6685,1,1,TP
(주)씨디엘호텔코리아,1018151607,2014,0,0.0214,0,1,TN
(주)씨디엘호텔코리아,1018151607,2015,0,0.8231,1,0,FP
(주)씨디엘호텔코리아,1018151607,2016,0,0.6812,1,0,FP
(주)씨디엘호텔코리아,1018151607,2017,1,0.829,1,1,TP
(주)종로크라운,1018173033,2014,0,0.6886,1,0,FP
(주)종로크라운,1018173033,2015,1,0.8445,1,1,TP
(주)한일관,1018189006,2019,0,0.0231,0,1,TN
(주)한일관,1018189006,2020,0,0.1021,1,0,FP
(주)한일관,1018189006,2021,0,0.0342,0,1,TN
(주)한일관,1018189006,2022,0,0.0162,0,1,TN
(주)한일관,1018189006,2023,0,0.6064,1,0,FP
(주)한일관,1018189006,2024,0,0.4034,1,0,FP
(주)동승에이치엠씨,1018607858,2014,0,0.0692,1,0,FP
(주)동승에이치엠씨,1018607858,2015,1,0.5959,1,1,TP
(주)푸르웰,1018662400,2020,0,0.0065,0,1,TN
(주)푸르웰,1018662400,2021,0,0.0074,0,1,TN
(주)푸르웰,1018662400,2022,0,0.0217,0,1,TN
(주)푸르웰,1018662400,2023,0,0.0107,0,1,TN
(주)푸르웰,1018662400,2024,0,0.0181,0,1,TN
주식회사센터마크호텔,1018668909,2014,0,0.055,1,0,FP
주식회사센터마크호텔,1018668909,2015,0,0.4678,1,0,FP
주식회사센터마크호텔,1018668909,2016,0,0.7202,1,0,FP
주식회사센터마크호텔,1018668909,2017,1,0.8414,1,1,TP
주식회사비케이알,1018676277,2014,0,0.0056,0,1,TN
주식회사비케이알,1018676277,2015,0,0.002,0,1,TN
주식회사비케이알,1018676277,2016,0,0.0022,0,1,TN
주식회사비케이알,1018676277,2017,0,0.1691,1,0,FP
주식회사비케이알,1018676277,2018,0,0.0221,0,1,TN
주식회사비케이알,1018676277,2019,0,0.008,0,1,TN
주식회사비케이알,1018676277,2020,0,0.0209,0,1,TN
주식회사비케이알,1018676277,2021,0,0.0084,0,1,TN
주식회사비케이알,1018676277,2022,0,0.0057,0,1,TN
주식회사비케이알,1018676277,2023,0,0.0223,0,1,TN
주식회사비케이알,1018676277,2024,0,0.0088,0,1,TN
주식회사마크호텔,1018683079,2016,0,0.786,1,0,FP
주식회사마크호텔,1018683079,2017,0,0.3299,1,0,FP
주식회사마크호텔,1018683079,2018,1,0.6548,1,1,TP
주식회사에스지빌라앤호텔,1028144550,2018,0,0.2055,1,0,FP
주식회사에스지빌라앤호텔,1028144550,2019,0,0.4305,1,0,FP
주식회사에스지빌라앤호텔,1028144550,2020,0,0.1589,1,0,FP
주식회사에스지빌라앤호텔,1028144550,2021,0,0.0577,1,0,FP
주식회사에스지빌라앤호텔,1028144550,2022,0,0.6069,1,0,FP
주식회사에스지빌라앤호텔,1028144550,2023,0,0.6492,1,0,FP
주식회사에스지빌라앤호텔,1028144550,2024,1,0.6609,1,1,TP
신신관광개발(주),1048102478,2014,0,0.021,0,1,TN
신신관광개발(주),1048102478,2015,0,0.1362,1,0,FP
신신관광개발(주),1048102478,2016,0,0.5174,1,0,FP
신신관광개발(주),1048102478,2017,1,0.8033,1,1,TP
우양산업개발주식회사,1048104006,2014,0,0.3398,1,0,FP
우양산업개발주식회사,1048104006,2015,1,0.6803,1,1,TP
(주)뉴오리엔탈호텔,1048105908,2016,0,0.0667,1,0,FP
(주)뉴오리엔탈호텔,1048105908,2017,0,0.5571,1,0,FP
(주)뉴오리엔탈호텔,1048105908,2018,1,0.7222,1,1,TP
남풍산업(주),1048115691,2014,1,0.7157,1,1,TP
(주)파란하늘앤드지,1048122402,2014,0,0.0508,1,0,FP
(주)파란하늘앤드지,1048122402,2015,0,0.0236,0,1,TN
(주)파란하늘앤드지,1048122402,2016,0,0.0713,1,0,FP
(주)파란하늘앤드지,1048122402,2017,0,0.0971,1,0,FP
(주)파란하늘앤드지,1048122402,2018,0,0.019,0,1,TN
(주)파란하늘앤드지,1048122402,2019,0,0.1893,1,0,FP
(주)파란하늘앤드지,1048122402,2020,0,0.0504,1,0,FP
(주)파란하늘앤드지,1048122402,2021,0,0.1326,1,0,FP
(주)파란하늘앤드지,1048122402,2022,0,0.0703,1,0,FP
(주)파란하늘앤드지,1048122402,2023,0,0.6433,1,0,FP
(주)파란하늘앤드지,1048122402,2024,1,0.6706,1,1,TP
주식회사뉴서울호텔,1048125656,2014,0,0.1002,1,0,FP
주식회사코리아나호텔,1048125812,2014,0,0.6496,1,0,FP
주식회사코리아나호텔,1048125812,2015,1,0.7603,1,1,TP
주식회사호텔롯데,1048125980,2014,0,0.0057,0,1,TN
주식회사호텔롯데,1048125980,2015,0,0.0046,0,1,TN
주식회사호텔롯데,1048125980,2016,0,0.0338,0,1,TN
주식회사호텔롯데,1048125980,2017,0,0.4147,1,0,FP
주식회사호텔롯데,1048125980,2018,0,0.1319,1,0,FP
주식회사호텔롯데,1048125980,2019,0,0.0597,1,0,FP
주식회사호텔롯데,1048125980,2020,0,0.4423,1,0,FP
주식회사호텔롯데,1048125980,2021,0,0.3231,1,0,FP
주식회사호텔롯데,1048125980,2022,1,0.6159,1,1,TP
(주)조선호텔앤리조트,1048127386,2014,0,0.218,1,0,FP
(주)조선호텔앤리조트,1048127386,2015,0,0.4513,1,0,FP
(주)조선호텔앤리조트,1048127386,2016,1,0.8481,1,1,TP
씨앤아이레저산업(주),1048601678,2014,0,0.1022,1,0,FP
씨앤아이레저산업(주),1048601678,2015,1,0.8441,1,1,TP
STX리조트주식회사,1048611593,2014,1,0.7028,1,1,TP
주식회사폴앤파트너스,1048622237,2014,0,0.5992,1,0,FP
삼성웰스토리(주),1048651732,2014,0,0.0062,0,1,TN
삼성웰스토리(주),1048651732,2015,0,0.0027,0,1,TN
삼성웰스토리(주),1048651732,2016,0,0.0012,0,1,TN
삼성웰스토리(주),1048651732,2017,0,0.0017,0,1,TN
삼성웰스토리(주),1048651732,2018,0,0.0006,0,1,TN
삼성웰스토리(주),1048651732,2019,0,0.0009,0,1,TN
삼성웰스토리(주),1048651732,2020,0,0.0019,0,1,TN
삼성웰스토리(주),1048651732,2021,0,0.0017,0,1,TN
삼성웰스토리(주),1048651732,2022,0,0.001,0,1,TN
삼성웰스토리(주),1048651732,2023,0,0.001,0,1,TN
삼성웰스토리(주),1048651732,2024,0,0.0019,0,1,TN
(주)서울가든,1058103830,2014,0,0.0563,1,0,FP
(주)서울가든,1058103830,2015,1,0.8824,1,1,TP
씨에스개발(주),1058162727,2014,0,0.134,1,0,FP
씨에스개발(주),1058162727,2015,0,0.6093,1,0,FP
씨에스개발(주),1058162727,2016,0,0.7371,1,0,FP
씨에스개발(주),1058162727,2017,0,0.684,1,0,FP
씨에스개발(주),1058162727,2018,1,0.8778,1,1,TP
(주)삼양에프앤비,1058632252,2014,0,0.2903,1,0,FP
(주)삼양에프앤비,1058632252,2015,1,0.7289,1,1,TP
(주)원앤온니에이엠씨,1058736935,2014,0,0.0436,1,0,FP
(주)원앤온니에이엠씨,1058736935,2015,0,0.6146,1,0,FP
(주)원앤온니에이엠씨,1058736935,2016,1,0.8322,1,1,TP
(주)엘브이아이파트너스,1058770194,2015,0,0.2324,1,0,FP
(주)엘브이아이파트너스,1058770194,2016,0,0.2983,1,0,FP
(주)엘브이아이파트너스,1058770194,2017,1,0.796,1,1,TP
(주)아주호텔서교,1058779161,2014,0,0.1396,1,0,FP
(주)아주호텔서교,1058779161,2015,0,0.1118,1,0,FP
(주)아주호텔서교,1058779161,2016,1,0.7029,1,1,TP
(주)써클관광개발,1058779609,2014,0,0.0852,1,0,FP
(주)써클관광개발,1058779609,2015,0,0.1562,1,0,FP
(주)써클관광개발,1058779609,2016,0,0.0431,1,0,FP
(주)써클관광개발,1058779609,2017,0,0.4062,1,0,FP
(주)써클관광개발,1058779609,2018,0,0.1745,1,0,FP
(주)써클관광개발,1058779609,2019,0,0.1705,1,0,FP
(주)써클관광개발,1058779609,2020,0,0.2497,1,0,FP
(주)써클관광개발,1058779609,2021,0,0.2626,1,0,FP
(주)써클관광개발,1058779609,2022,0,0.2189,1,0,FP
(주)써클관광개발,1058779609,2023,0,0.3806,1,0,FP
(주)써클관광개발,1058779609,2024,0,0.3939,1,0,FP
씨디엔에이,1058779986,2015,0,0.1368,1,0,FP
씨디엔에이,1058779986,2016,0,0.1153,1,0,FP
씨디엔에이,1058779986,2017,0,0.1301,1,0,FP
씨디엔에이,1058779986,2018,0,0.6848,1,0,FP
씨디엔에이,1058779986,2019,0,0.6964,1,0,FP
씨디엔에이,1058779986,2020,1,0.8705,1,1,TP
해밀톤관광(주),1068101174,2014,0,0.0023,0,1,TN
해밀톤관광(주),1068101174,2015,0,0.0128,0,1,TN
해밀톤관광(주),1068101174,2016,0,0.0023,0,1,TN
해밀톤관광(주),1068101174,2017,0,0.1654,1,0,FP
해밀톤관광(주),1068101174,2018,0,0.0515,1,0,FP
해밀톤관광(주),1068101174,2019,0,0.0171,0,1,TN
해밀톤관광(주),1068101174,2020,0,0.1747,1,0,FP
해밀톤관광(주),1068101174,2021,0,0.1614,1,0,FP
해밀톤관광(주),1068101174,2022,1,0.0497,1,1,TP
주식회사주영이십일,1068103395,2014,0,0.0245,0,1,TN
주식회사주영이십일,1068103395,2015,0,0.258,1,0,FP
주식회사주영이십일,1068103395,2016,0,0.7487,1,0,FP
주식회사주영이십일,1068103395,2017,0,0.5411,1,0,FP
주식회사주영이십일,1068103395,2018,1,0.6826,1,1,TP
주식회사크라운관광호텔,1068108653,2015,0,0.4143,1,0,FP
주식회사크라운관광호텔,1068108653,2016,0,0.2216,1,0,FP
주식회사크라운관광호텔,1068108653,2021,0,0.3973,1,0,FP
주식회사크라운관광호텔,1068108653,2022,0,0.6622,1,0,FP
주식회사크라운관광호텔,1068108653,2023,0,0.5775,1,0,FP
주식회사크라운관광호텔,1068108653,2024,0,0.5208,1,0,FP
(주)호텔캐피탈,1068118879,2014,0,0.0603,1,0,FP
(주)호텔캐피탈,1068118879,2019,0,0.4772,1,0,FP
(주)호텔캐피탈,1068118879,2020,0,0.0358,0,1,TN
(주)호텔캐피탈,1068118879,2021,1,0.8113,1,1,TP
주식회사테이스터스,1068705191,2020,0,0.0165,0,1,TN
주식회사테이스터스,1068705191,2021,0,0.1136,1,0,FP
주식회사테이스터스,1068705191,2022,0,0.0595,1,0,FP
주식회사테이스터스,1068705191,2023,0,0.7134,1,0,FP
주식회사엘르인,1068710146,2014,0,0.0083,0,1,TN
주식회사엘르인,1068710146,2015,0,0.1511,1,0,FP
주식회사엘르인,1068710146,2016,0,0.0485,1,0,FP
주식회사엘르인,1068710146,2017,0,0.5601,1,0,FP
주식회사엘르인,1068710146,2018,0,0.7306,1,0,FP
주식회사엘르인,1068710146,2019,1,0.8957,1,1,TP
세마앤드남경주식회사,1078119643,2014,0,0.0106,0,1,TN
세마앤드남경주식회사,1078119643,2015,0,0.0244,0,1,TN
세마앤드남경주식회사,1078119643,2016,0,0.0262,0,1,TN
세마앤드남경주식회사,1078119643,2017,0,0.0285,0,1,TN
세마앤드남경주식회사,1078119643,2018,0,0.0909,1,0,FP
세마앤드남경주식회사,1078119643,2019,0,0.0931,1,0,FP
세마앤드남경주식회사,1078119643,2020,0,0.0541,1,0,FP
